,hexojs/hexo,gohugoio/hugo,sphinx-doc/sphinx
2017-10-04,0.0,4,5
2017-10-05,0.0,5,17
2017-10-06,0.0,0,0
2017-10-07,1.0,4,12
2017-10-08,-0.19999999999999996,0,3
2017-10-09,2.92,0,14
2017-10-10,-0.6479999999999999,1,12
2017-10-11,-0.27360000000000023,0,2
2017-10-12,-0.1695360000000001,0,1
2017-10-13,-0.12122880000000004,1,10
2017-10-14,-0.09353472000000004,2,0
2017-10-15,-0.07567411199999997,5,1
2017-10-16,-0.0632495104,6,9
2017-10-17,-0.04316313599999982,1,4
2017-10-18,-0.03740805119999989,3,11
2017-10-19,0.0,17,9
2017-10-20,3.0,0,5
2017-10-21,-0.5999999999999999,9,19
2017-10-22,-0.2400000000000002,0,8
2017-10-23,-0.1440000000000001,3,9
2017-10-24,1.8992,0,0
2017-10-25,-0.4766079999999999,0,5
2017-10-26,-0.22128640000000016,0,2
2017-10-27,2.85321984,0,1
2017-10-28,-0.7103631359999997,1,0
2017-10-29,1.6715199487999999,1,1
2017-10-30,-0.5848576000000001,1,3
2017-10-31,0.7053465599999998,0,14
2017-11-01,2.598616576,0,5
2017-11-02,-0.8334251008,0,1
2017-11-03,-0.38985216000000034,0,0
2017-11-04,-0.26162073599999996,2,0
2017-11-05,-0.19759749119999998,2,1
2017-11-06,0.8741877760000001,2,1
2017-11-07,-0.3031518207999999,3,2
2017-11-08,0.854832128,0,0
2017-11-09,2.6963675136000003,1,0
2017-11-10,1.2489919488,0,0
2017-11-11,-0.7135360000000002,2,15
2017-11-12,-0.35802880000000026,0,4
2017-11-13,-0.23926272000000015,0,0
2017-11-14,-0.178624512,0,0
2017-11-15,9.8582455296,1,0
2017-11-16,-0.10602547199999934,4,2
2017-11-17,-1.2894859264000005,6,1
2017-11-18,0.29381652479999976,2,0
2017-11-19,-0.6569387008,3,0
2017-11-20,-0.40256000000000025,8,1
2017-11-21,0.6966399999999998,0,0
2017-11-22,2.5562752,0,0
2017-11-23,-0.8832665599999994,0,0
2017-11-24,-0.4618977279999998,1,0
2017-11-25,-0.21946542080000006,1,1
2017-11-26,-0.14072371199999997,0,8
2017-11-27,-0.10950615040000002,7,4
2017-11-28,-0.07821312000000004,1,0
2017-11-29,-0.06516787199999997,0,1
2017-11-30,-0.05563248639999978,1,0
2017-12-01,-0.03740805119999989,1,1
2017-12-02,0.0,2,2
2017-12-03,0.0,0,3
2017-12-04,3.0,0,2
2017-12-05,1.4000000000000001,1,1
2017-12-06,-0.6400000000000001,2,3
2017-12-07,-0.30400000000000027,2,0
2017-12-08,-0.19680000000000009,0,0
2017-12-09,-0.14380800000000005,0,0
2017-12-10,-0.11235840000000005,0,11
2017-12-11,2.9083622399999998,0,7
2017-12-12,-0.6770165759999998,0,15
2017-12-13,-0.3061834752,0,8
2017-12-14,-0.16893870080000004,0,28
2017-12-15,-0.10080000000000003,1,10
2017-12-16,0.923392,3,19
2017-12-17,-0.2612864,1,9
2017-12-18,-0.1307801600000001,0,11
2017-12-19,-0.09116313599999985,0,18
2017-12-20,1.9289919488,0,23
2017-12-21,-0.4255359999999999,0,15
2017-12-22,-0.18042880000000017,0,0
2017-12-23,-0.11292672000000008,0,1
2017-12-24,-0.08158771199999997,0,5
2017-12-25,-0.06354135039999999,0,2
2017-12-26,-0.04085760000000002,0,0
2017-12-27,-0.03385344000000002,1,3
2017-12-28,-0.02877542399999988,5,10
2017-12-29,-0.02493870079999993,4,14
2017-12-30,0.0,2,2
2017-12-31,0.0,5,6
2018-01-01,0.0,3,12
2018-01-02,0.0,6,0
2018-01-03,0.0,8,6
2018-01-04,1.0,0,0
2018-01-05,0.8,0,8
2018-01-06,4.72,5,13
2018-01-07,2.872,2,7
2018-01-08,-1.2816000000000003,6,27
2018-01-09,-0.6191360000000005,0,5
2018-01-10,-0.40596480000000024,4,4
2018-01-11,-0.2994355200000002,10,9
2018-01-12,-0.23560243200000008,5,3
2018-01-13,-0.19320586239999998,1,30
2018-01-14,5.8478852096,4,19
2018-01-15,0.6801024000000007,3,16
2018-01-16,3.0701225984,0,2
2018-01-17,-1.2480000000000002,5,2
2018-01-18,-0.6176000000000004,6,1
2018-01-19,-0.4124160000000002,2,10
