,getredash/redash,apache/superset,metabase/metabase
2023-10-02,0,1,12.0
2023-10-03,0,7,8.600000000000001
2023-10-04,1,9,9.84
2023-10-05,0,6,0.9439999999999991
2023-10-06,0,3,13.028799999999999
2023-10-07,1,0,-3.9000320000000004
2023-10-08,3,0,-1.6828416000000015
2023-10-09,2,1,10.024194559999998
2023-10-10,0,4,10.182299136000001
2023-10-11,0,9,7.1197356032000005
2023-10-12,1,2,15.1091664896
2023-10-13,1,11,6.4139675648
2023-10-14,0,0,-4.882737664
2023-10-15,0,1,-3.436673638400001
2023-10-16,4,2,13.801587097599999
2023-10-17,3,7,7.1372384256000005
2023-10-18,2,4,4.9916751872
2023-10-19,2,9,16.2951317504
2023-10-20,0,5,6.2085373952000005
2023-10-21,1,0,-6.025129984
2023-10-22,0,0,-2.1937820672000017
2023-10-23,2,3,6.686597529599999
2023-10-24,0,2,3.5093319680000006
2023-10-25,0,3,11.529597849600002
2023-10-26,0,1,12.059855155200001
2023-10-27,0,2,5.089181184000001
2023-10-28,0,0,-3.2143494144
2023-10-29,2,0,-2.141639475200001
2023-10-30,0,1,14.848030207999999
2023-10-31,3,9,11.0534102016
2023-11-01,1,5,1.2297754624000001
2023-11-02,0,4,4.6037558272
2023-11-03,0,7,4.61658112
2023-11-04,0,1,-3.2522380288
2023-11-05,0,0,-2.5259305984000013
2023-11-06,0,7,10.3529065472
2023-11-07,1,1,13.3488864256
2023-11-08,1,8,15.632047411200002
2023-11-09,0,7,11.2020407296
2023-11-10,1,0,23.1112558592
2023-11-11,1,1,-8.5842722816
2023-11-12,0,1,-3.9754694656000034
2023-11-13,1,4,13.576064409599997
2023-11-14,0,4,18.114940416
2023-11-15,1,5,12.8749171712
2023-11-16,0,6,15.5731981312
2023-11-17,0,1,13.7221984256
2023-11-18,0,0,-9.4619471872
2023-11-19,0,1,-4.063148544000002
2023-11-20,0,6,9.548441497599999
2023-11-21,0,13,4.8420294656000005
2023-11-22,1,7,9.921635635200001
2023-11-23,1,0,3.064889958400002
2023-11-24,1,1,2.061187993600001
2023-11-25,1,0,-4.158578585599999
2023-11-26,0,0,-2.3206561792000007
2023-11-27,0,2,16.539836928
2023-11-28,0,6,1.259767193600001
2023-11-29,0,6,8.4375093248
2023-11-30,0,4,10.620148736
2023-12-01,0,5,7.712183296000001
2023-12-02,0,2,-5.2501861376
2023-12-03,0,0,-2.7714198528000016
2023-12-04,0,5,17.13831424
2023-12-05,0,1,19.774475264000003
2023-12-06,1,2,4.3277047807999995
2023-12-07,0,7,14.921056153599999
2023-12-08,0,5,8.4161047552
2023-12-09,1,0,-4.1552645120000005
2023-12-10,0,0,-4.479848755200002
2023-12-11,0,2,11.147640319999999
2023-12-12,1,3,13.040463872
2023-12-13,0,3,19.5418881024
2023-12-14,0,3,6.444683776
2023-12-15,0,4,4.8017119232
2023-12-16,0,1,-3.3531439104
2023-12-17,1,0,-4.141923942400001
2023-12-18,0,5,6.373963468799999
2023-12-19,0,0,9.232502272000001
2023-12-20,1,5,13.0926915584
2023-12-21,0,1,1.7538167808000011
2023-12-22,0,4,11.2291741696
2023-12-23,0,1,-5.781096959999999
2023-12-24,0,0,-2.9774225408000015
