,facebook/react,angular/angular,emberjs/ember.js
2018-12-18,3.0,26.0,4
2018-12-19,-0.30000000000000027,7.0,18
2018-12-20,2.8649999999999998,13.0,5
2018-12-21,-0.38550000000000034,8.0,5
2018-12-22,-0.19698749999999987,0.0,4
2018-12-23,-0.1338502499999999,0.0,2
2018-12-24,-0.10147353749999966,0.0,3
2018-12-25,0.9183686612500003,0.0,0
2018-12-26,-0.1681909765468749,8.0,1
2018-12-27,-0.10347764635781237,0.0,1
2018-12-28,-0.057204939046874945,0.0,1
2018-12-29,-0.04585905760781236,0.0,0
2018-12-30,-0.016116749999999947,0.0,0
2018-12-31,-0.01316201249999996,0.0,0
2019-01-01,-0.011093696249999967,0.0,0
2019-01-02,0.990431686984375,0.0,7
2019-01-03,-0.10839885253593756,16.0,0
2019-01-04,-0.04500000000000003,14.0,7
2019-01-05,-0.028500000000000022,3.0,4
2019-01-06,-0.020662499999999924,3.0,0
2019-01-07,0.9838832500000001,31.0,3
2019-01-08,1.8868379874999999,16.0,3
2019-01-09,0.7439063037499998,34.0,9
2019-01-10,1.7719316869843749,22.0,1
2019-01-11,-0.33106135253593766,36.0,1
2019-01-12,0.8240582500000001,5.0,3
2019-01-13,-0.2230580124999999,0.0,1
2019-01-14,1.8601405287500004,27.0,2
2019-01-15,4.694348781984375,22.0,2
2019-01-16,1.3243843001828122,8.0,7
2019-01-17,4.4533298394125,14.0,5
2019-01-18,9.185477508932813,10.0,2
2019-01-19,-0.4454374013218756,0.0,0
2019-01-20,-0.850301088015625,0.0,0
2019-01-21,9.438057692464064,0.0,2
2019-01-22,1.5833621177187505,43.0,9
2019-01-23,9.91553327485,20.0,6
2019-01-24,2.215663755039062,8.0,2
2019-01-25,0.6241367548500005,19.0,1
2019-01-26,-1.0654260890859368,0.0,3
2019-01-27,2.2951852866250015,0.0,2
2019-01-28,1.2242438974640635,21.0,1
2019-01-29,2.285461643593751,26.0,1
2019-01-30,8.20489432684375,17.0,0
2019-01-31,6.644865689220312,8.0,4
2019-02-01,1.4669767275421872,6.0,4
2019-02-02,-0.10293907367500021,3.0,8
2019-02-03,-0.7737155688218743,0.0,3
2019-02-04,4.468770880953127,19.0,2
2019-02-05,9.084506115110939,22.0,3
2019-02-06,12.45534523963125,32.0,1
2019-02-07,-0.24816373224843868,18.0,1
2019-02-08,4.583108221801563,22.0,7
2019-02-09,0.5168017944156253,3.0,3
2019-02-10,0.921982566876564,0.0,1
2019-02-11,2.076553041214064,25.0,3
2019-02-12,2.053744797421876,11.0,3
2019-02-13,10.050661334664063,45.0,1
2019-02-14,15.286837124921874,29.0,1
2019-02-15,1.3956722359656242,2.0,7
2019-02-16,1.2884432493343745,0.0,3
2019-02-17,-0.37134092124687434,8.0,2
2019-02-18,-0.9862482073531231,0.0,1
2019-02-19,9.289299379631252,27.0,7
2019-02-20,4.445359132095313,23.0,2
2019-02-21,19.509298362970313,17.0,0
2019-02-22,4.989973728339061,40.0,2
2019-02-23,1.6498781535765623,2.0,0
2019-02-24,-0.7170365454406249,1.0,4
2019-02-25,3.795002004376564,12.0,6
2019-02-26,1.6389403599640642,10.0,0
2019-02-27,8.796268429843751,21.0,2
2019-02-28,12.157708375296876,19.0,6
2019-03-01,5.55234544145625,11.0,5
2019-03-02,-2.1680304548796876,2.0,3
2019-03-03,1.803656918900001,0.0,6
2019-03-04,1.8834392580906265,17.0,7
2019-03-05,2.952923868635939,16.0,2
2019-03-06,3.8846616607734386,19.0,3
2019-03-07,8.791024964735938,27.0,7
2019-03-08,-1.756032227578125,13.0,13
2019-03-09,4.042883272871876,2.0,0
2019-03-10,0.9072625534625003,0.0,0
2019-03-11,8.173157172203126,10.0,0
2019-03-12,-0.45775384415468734,26.0,1
2019-03-13,4.084129084079688,14.0,11
2019-03-14,2.884217312278125,27.0,11
2019-03-15,10.924816544664063,12.0,3
2019-03-16,3.146005718390625,0.0,10
2019-03-17,2.538083679921875,0.0,6
2019-03-18,12.695630082539063,16.0,19
2019-03-19,4.7852667190375,19.0,10
2019-03-20,6.066011982910938,50.0,1
2019-03-21,4.0642068973859375,25.0,5
2019-03-22,6.207556067757814,12.0,1
2019-03-23,-1.9248036975812493,0.0,0
2019-03-24,3.8136119944906266,0.0,0
2019-03-25,2.691377650257814,7.0,4
2019-03-26,4.762495733887501,10.0,11
2019-03-27,2.5962822283875004,31.0,5
2019-03-28,3.805490750623438,12.0,2
2019-03-29,6.77241598161875,20.0,14
2019-03-30,4.479808318159375,0.0,5
2019-03-31,-1.4571578515374997,0.0,3
2019-04-01,11.163032074921876,30.0,5
2019-04-02,10.183638507757813,29.0,9
2019-04-03,17.8059008642625,11.0,24
2019-04-04,30.771868551471872,16.0,2
2019-04-05,14.860891379778122,4.0,2
2019-04-06,6.273546055695311,0.0,10
2019-04-07,23.14180415161875,0.0,3
2019-04-08,24.868678379784377,16.0,5
2019-04-09,15.9990961388125,9.0,4
2019-04-10,46.24588916338125,15.0,4
2019-04-11,3.2872498367562493,16.0,8
2019-04-12,38.91801699425,6.0,4
2019-04-13,11.585590257215626,3.0,0
2019-04-14,-4.763637167640621,0.0,1
2019-04-15,6.558372008182817,16.0,4
2019-04-16,13.674482123560944,10.0,1
2019-04-17,7.31221143257813,17.0,6
2019-04-18,16.90509804989688,6.0,2
2019-04-19,19.273462330693754,34.0,3
2019-04-20,9.984232483865625,4.0,0
2019-04-21,2.547164345570314,0.0,0
2019-04-22,15.767625939500002,15.0,4
2019-04-23,9.043468419256252,20.0,5
2019-04-24,17.274616870323438,26.0,10
2019-04-25,22.572256226915627,44.0,8
2019-04-26,8.713695548740626,38.0,3
2019-04-27,-4.452885696879687,1.0,0
2019-04-28,5.284238482653128,0.0,0
2019-04-29,2.3298133796015668,27.0,1
2019-04-30,13.754362521201566,6.0,4
2019-05-01,16.849057273864062,7.0,0
2019-05-02,2.178282369954688,1.0,4
2019-05-03,13.221721397823439,0.0,4
2019-05-04,-0.3172052506890619,0.0,0
2019-05-05,-0.13426156800312272,0.0,0
2019-05-06,7.420082814625002,11.0,0
2019-05-07,4.941427724634377,12.0,0
2019-05-08,12.022211229070313,19.0,0
2019-05-09,6.3359224716125,14.0,1
2019-05-10,11.6099318936875,12.0,0
2019-05-11,-2.756779487215625,0.0,0
2019-05-12,1.4076756653781266,0.0,0
2019-05-13,12.653092462610939,13.0,6
2019-05-14,1.6658376790375011,19.0,3
2019-05-15,3.2425277760671887,11.0,0
2019-05-16,6.382152708779688,43.0,0
2019-05-17,1.1643642498562512,23.0,1
2019-05-18,-0.35981659254218634,0.0,0
2019-05-19,-0.9659126992531238,0.0,0
2019-05-20,9.386951513453127,8.0,0
2019-05-21,5.5112407126734375,23.0,0
2019-05-22,24.464365481184377,23.0,1
2019-05-23,19.574210667278123,20.0,2
2019-05-24,3.958891131945311,16.0,5
2019-05-25,-0.988794455584376,0.0,0
2019-05-26,0.9680727543765641,0.0,0
2019-05-27,-0.7237429025359343,0.0,0
2019-05-28,8.656463421093754,7.0,0
2019-05-29,7.957111893531252,2.0,11
2019-05-30,5.759259780092188,31.0,6
2019-05-31,6.842472289706251,16.0,2
2019-06-01,6.900864707548438,0.0,3
2019-06-02,5.96643695243125,0.0,0
2019-06-03,14.02381603463125,10.0,5
2019-06-04,9.191281541876563,10.0,3
2019-06-05,8.200671704807814,5.0,2
2019-06-06,0.20676991198437555,11.0,1
2019-06-07,6.024629591765627,7.0,6
2019-06-08,6.887236996321877,0.0,2
2019-06-09,8.77276524003594,0.0,2
2019-06-10,5.540148783051563,2.0,1
2019-06-11,1.736659428962501,29.0,1
2019-06-12,10.200885406987501,3.0,0
2019-06-13,1.675046887646876,3.0,3
2019-06-14,4.275115750557814,25.0,8
2019-06-15,2.3200475345171885,0.0,0
2019-06-16,-1.4770493961781235,0.0,0
2019-06-17,6.050710264004689,5.0,5
2019-06-18,10.626305182979689,15.0,8
2019-06-19,9.01441302265,16.0,0
2019-06-20,5.8242709736687495,9.0,6
2019-06-21,5.96009279000625,21.0,0
2019-06-22,6.030352676762501,0.0,0
2019-06-23,-1.9894889547781243,0.0,0
2019-06-24,7.800220316106252,5.0,0
2019-06-25,1.232881316390626,35.0,1
2019-06-26,2.5998275173109393,26.0,5
2019-06-27,1.6794826563968759,18.0,11
2019-06-28,0.8855579479796889,8.0,3
2019-06-29,-0.8885251444124991,0.0,0
2019-06-30,-0.5686956869124989,0.0,1
2019-07-01,4.610025375962501,11.0,0
2019-07-02,4.238280794109375,13.0,0
2019-07-03,3.0546110656296874,3.0,3
2019-07-04,2.1094250765796874,0.0,1
2019-07-05,1.1896997583093751,0.0,2
2019-07-06,0.3227705663609379,0.0,0
2019-07-07,-0.5213415175718744,0.0,0
2019-07-08,4.65026695625,8.0,0
2019-07-09,0.2258666536718753,13.0,1
2019-07-10,1.4484073497421879,7.0,4
2019-07-11,3.4565106215078125,31.0,4
2019-07-12,2.280537745809375,13.0,3
2019-07-13,1.3063268701109374,0.0,0
2019-07-14,0.40138216941250016,0.0,1
2019-07-15,1.532587153714063,7.0,0
2019-07-16,1.4862862136718755,8.0,1
2019-07-17,3.465426731804688,9.0,1
2019-07-18,4.288707698932813,30.0,1
2019-07-19,4.090882179115625,3.0,3
2019-07-20,1.9897917458093748,2.0,0
2019-07-21,-0.8641344048890625,0.0,0
2019-07-22,4.479843064412501,9.0,0
