,hyperledger/besu,ethereum/go-ethereum,NethermindEth/nethermind
2019-01-09,6.0,1,0
2019-01-10,2.8000000000000003,4,1
2019-01-11,4.72,5,0
2019-01-12,-0.8080000000000003,0,0
2019-01-13,-0.07360000000000055,0,0
2019-01-14,14.144383999999999,0,3
2019-01-15,9.445683200000001,7,15
2019-01-16,3.7819084799999994,4,1
2019-01-17,6.3042580479999994,7,0
2019-01-18,-2.0478920704000005,3,2
2019-01-19,-1.5773991936000007,1,0
2019-01-20,2.1466694655999996,0,0
2019-01-21,6.9373797376,2,0
2019-01-22,7.8976772096,2,0
2019-01-23,6.089545728000001,4,0
2019-01-24,3.0407359488,14,4
2019-01-25,2.5695418368,2,14
2019-01-26,-1.0915348480000002,2,5
2019-01-27,-2.123788492800001,1,0
2019-01-28,4.6143625215999995,2,1
2019-01-29,20.753799270400002,8,3
2019-01-30,14.116826214400001,7,0
2019-01-31,12.2988281856,1,4
2019-02-01,3.9265745919999997,2,0
2019-02-02,-5.813481164800001,0,8
2019-02-03,-0.27749232640000177,1,0
2019-02-04,10.126518579199999,7,0
2019-02-05,3.420999168,4,6
2019-02-06,6.802688921600001,5,0
2019-02-07,4.314326220800002,17,5
2019-02-08,4.713644544000001,6,2
2019-02-09,-3.1052368895999996,0,6
2019-02-10,-0.37940541440000075,0,5
2019-02-11,8.078063104,0,7
2019-02-12,8.675197132800001,10,7
2019-02-13,5.793319628800001,3,0
2019-02-14,3.8730446848,13,0
2019-02-15,1.1975064575999999,2,0
2019-02-16,-3.0780578816000004,1,0
2019-02-17,-1.7911853056000007,1,0
2019-02-18,12.7801824256,15,9
2019-02-19,23.2514875392,15,0
2019-02-20,11.722276352000002,6,0
2019-02-21,3.8369329152000002,7,1
2019-02-22,-2.8108288000000012,3,0
2019-02-23,-1.8283973632000015,1,1
2019-02-24,-1.8442219520000012,2,0
2019-02-25,7.852664319999999,5,0
2019-02-26,16.395707392000002,9,6
2019-02-27,3.898828390400002,4,0
2019-02-28,4.9778086912,9,0
2019-03-01,-2.6083562496,6,14
2019-03-02,-1.841968230400001,2,0
2019-03-03,-0.9741181952000009,0,1
2019-03-04,13.4154703872,4,2
2019-03-05,8.850271129600001,2,7
2019-03-06,1.281325056000001,4,3
2019-03-07,1.3774750720000002,11,8
2019-03-08,-0.956388864,6,0
2019-03-09,-2.098664448,0,0
2019-03-10,0.7037468671999993,0,1
2019-03-11,0.6364517375999998,1,3
2019-03-12,5.6742148096000005,6,2
2019-03-13,2.7151431680000013,4,6
2019-03-14,4.9028809728,7,1
2019-03-15,-0.43488010239999975,4,0
2019-03-16,-1.6182517760000006,1,1
2019-03-17,-0.9424017408000005,0,15
2019-03-18,6.335489536,6,9
2019-03-19,9.0797028352,0,12
2019-03-20,6.8356401152,3,2
2019-03-21,7.4654313472,2,2
2019-03-22,2.039885824,4,2
2019-03-23,-2.224412876800001,0,24
2019-03-24,-1.9928363008000012,0,10
2019-03-25,1.6638361599999993,7,0
2019-03-26,5.378308096,3,2
2019-03-27,9.533649715200001,7,5
2019-03-28,1.280657305600001,2,0
2019-03-29,0.1982525439999998,2,11
2019-03-30,-2.1282238464,0,1
2019-03-31,0.7875577855999996,0,1
2019-04-01,5.775316889599999,5,10
2019-04-02,3.804724224,9,5
2019-04-03,0.6240053247999997,1,7
2019-04-04,8.1109420032,7,0
2019-04-05,3.9133770752000006,7,0
2019-04-06,-2.8707194880000007,1,9
2019-04-07,2.4917209087999987,0,16
2019-04-08,1.1815567359999997,47,12
2019-04-09,4.3009405952,9,11
2019-04-10,7.7605681152,8,4
2019-04-11,4.8113519616,4,27
2019-04-12,2.8092837888,3,12
2019-04-13,-1.9053306880000003,0,5
2019-04-14,-0.7694947328000008,0,2
2019-04-15,6.676936191999999,2,6
2019-04-16,3.4672231424,6,8
2019-04-17,9.4687520768,4,20
2019-04-18,-2.7998157823999996,2,12
2019-04-19,-2.1041203200000007,1,15
2019-04-20,-0.2853245952000001,0,5
2019-04-21,-0.07397693440000008,0,12
2019-04-22,1.0951243776,0,0
2019-04-23,5.972187033600001,1,14
2019-04-24,4.948769484800001,0,20
2019-04-25,-0.3795313663999993,6,10
2019-04-26,3.4268152832,2,8
2019-04-27,1.1679031295999998,0,14
2019-04-28,2.4178759679999997,0,46
2019-04-29,13.270335897599999,0,15
2019-04-30,0.014194585600000309,5,8
2019-05-01,4.2945226752,0,7
2019-05-02,6.0249951232,2,3
2019-05-03,0.5798751231999999,0,0
2019-05-04,-2.602812620800001,1,0
2019-05-05,-1.5689927680000006,0,24
2019-05-06,1.8962731007999998,0,8
2019-05-07,2.559374438400001,5,5
2019-05-08,12.310918656,7,7
2019-05-09,1.3513529344000008,0,11
2019-05-10,1.3027182591999997,16,8
2019-05-11,-2.2527830016,1,1
2019-05-12,-0.24370780160000072,0,0
2019-05-13,6.950000639999999,11,18
2019-05-14,2.6610467840000003,2,0
2019-05-15,0.7757790207999999,5,1
2019-05-16,2.1647458304000002,15,0
2019-05-17,5.111447654400001,4,0
2019-05-18,-1.3766143999999998,0,0
2019-05-19,-0.41071452160000077,0,0
2019-05-20,3.9210465279999998,2,0
2019-05-21,3.2611649536000007,1,4
2019-05-22,10.035459276800001,0,0
2019-05-23,0.584645632,0,106
2019-05-24,0.5725892607999992,0,11
2019-05-25,-1.9796269056000002,3,12
2019-05-26,0.8163761151999998,2,0
2019-05-27,0.8015333375999998,13,7
2019-05-28,4.8228688896000005,4,10
2019-05-29,2.0482708480000005,0,10
2019-05-30,0.19280742400000062,2,10
2019-05-31,3.6157647872000003,3,10
2019-06-01,-0.7385701376,0,15
2019-06-02,-1.0957350912000003,0,31
2019-06-03,2.325454336,4,4
2019-06-04,0.8959383552000002,5,9
2019-06-05,0.9788905472000002,5,6
2019-06-06,10.0020996096,4,14
2019-06-07,0.2594847744000006,7,1
2019-06-08,-0.8336119808000004,1,2
2019-06-09,-1.2242928640000004,0,3
2019-06-10,5.2512208896,1,27
2019-06-11,6.252429824,5,15
2019-06-12,0.4850382847999999,8,14
2019-06-13,2.1452695551999996,3,9
2019-06-14,4.1199875072,0,12
2019-06-15,-2.2832687104,0,6
2019-06-16,-1.1514565632000004,0,0
2019-06-17,0.22353192959999957,2,5
2019-06-18,3.213229568,4,9
2019-06-19,2.6443708416000007,2,12
2019-06-20,8.4988023808,5,3
2019-06-21,2.2578807808000003,2,20
2019-06-22,-2.2881396736,0,4
2019-06-23,-1.2117889024000006,0,3
2019-06-24,0.22321407999999954,5,6
2019-06-25,4.212830208,2,19
2019-06-26,1.4503049216000001,1,18
2019-06-27,4.5731605504,2,8
2019-06-28,0.008011878400000505,1,15
2019-06-29,-0.41416806399999984,0,10
2019-06-30,0.04074444799999977,0,22
2019-07-01,1.2267212799999998,1,10
2019-07-02,7.0912762879999995,5,7
2019-07-03,6.8495671296000005,6,9
2019-07-04,-0.8430638080000001,1,11
2019-07-05,1.2252474367999997,2,0
2019-07-06,-0.6528190464000001,0,0
2019-07-07,-0.13979873280000032,0,7
2019-07-08,2.0548350976,10,4
2019-07-09,1.7596102656000001,6,8
2019-07-10,-0.3314464767999996,6,0
2019-07-11,15.0324799488,1,35
2019-07-12,0.2374554624000007,1,9
2019-07-13,3.589134643199999,1,1
2019-07-14,1.4717831167999993,0,0
2019-07-15,12.825940377599998,0,7
2019-07-16,0.7221825535999997,0,8
2019-07-17,7.879897292799999,3,3
2019-07-18,-2.0119544832000003,6,2
2019-07-19,0.4409035775999999,1,0
2019-07-20,-2.2793759743999997,0,6
2019-07-21,3.6563774463999996,0,8
2019-07-22,4.019492249600001,12,27
2019-07-23,2.673084518400001,7,9
2019-07-24,3.7173616640000002,2,5
2019-07-25,4.628248576000001,4,0
2019-07-26,2.3340015616,0,4
2019-07-27,2.6605381631999996,0,2
2019-07-28,-2.309894451200001,0,5
2019-07-29,10.695941119999999,0,20
2019-07-30,10.657368576,1,20
2019-07-31,0.5530034176000003,2,17
2019-08-01,-0.1929840640000009,1,1
2019-08-02,2.5624923136,1,7
2019-08-03,-1.5006896128,1,10
2019-08-04,-1.6489349120000003,0,0
2019-08-05,-0.09995059200000034,1,26
2019-08-06,-0.0043786239999994425,1,11
2019-08-07,8.061739827200002,1,10
2019-08-08,-1.3529696255999992,6,37
2019-08-09,0.7878277119999997,0,16
2019-08-10,-1.0974093312,0,0
2019-08-11,-0.6330992640000002,0,0
2019-08-12,2.5907511295999996,6,7
2019-08-13,4.092090368,4,2
2019-08-14,8.5093016576,1,38
2019-08-15,-0.7437430783999996,5,15
2019-08-16,-0.7012653056000004,0,5
2019-08-17,-1.1258527744000004,0,8
2019-08-18,-0.7259051008000004,0,20
2019-08-19,2.47651584,6,10
2019-08-20,0.9832432640000002,0,8
2019-08-21,0.014992588800000206,4,12
2019-08-22,5.235493888000001,15,1
2019-08-23,1.3528043520000006,5,66
2019-08-24,-1.3111344128000002,0,17
2019-08-25,-0.6864277504000005,0,0
2019-08-26,2.53722624,1,15
2019-08-27,3.0485386240000003,2,11
2019-08-28,2.6777090048,0,4
2019-08-29,-0.4661731328000003,0,2
2019-08-30,1.0376242176,2,0
2019-08-31,-1.0009872383999998,0,6
2019-09-01,-0.5432384512000002,0,3
2019-09-02,0.6357606399999998,2,3
2019-09-03,2.514678784,4,2
2019-09-04,1.0858334208000002,2,12
2019-09-05,1.1467874304000003,0,2
2019-09-06,-0.8357185536,0,0
2019-09-07,-0.4235807744000001,0,0
2019-09-08,-0.2851755008000001,0,0
2019-09-09,0.8035148799999999,0,1
2019-09-10,1.642902528,8,0
2019-09-11,6.3896564736000006,2,2
2019-09-12,5.291963084800001,6,0
2019-09-13,6.8566858752,2,0
2019-09-14,-2.8136747008,0,0
2019-09-15,-0.36270080000000093,0,0
2019-09-16,3.8962636799999997,5,0
2019-09-17,2.247605248,4,3
2019-09-18,4.2194425855999995,2,1
2019-09-19,-0.22159892479999987,10,4
2019-09-20,-0.6058759168000001,3,2
2019-09-21,-1.1472836607999997,0,0
2019-09-22,1.2889611264,0,4
2019-09-23,4.150847488,1,2
2019-09-24,4.4806404096,3,0
2019-09-25,6.01614848,2,0
2019-09-26,-1.5776859135999999,6,5
2019-09-27,-1.4675902464000006,1,0
2019-09-28,-0.8734640128000004,0,0
2019-09-29,3.3815172095999997,0,0
2019-09-30,9.726130176,2,3
2019-10-01,-1.9074039807999994,0,2
2019-10-02,2.4234844159999995,3,13
2019-10-03,2.2507554816000006,2,3
2019-10-04,-0.7538865152,0,0
2019-10-05,-0.12068055040000059,0,1
2019-10-06,-0.9243596800000003,0,0
2019-10-07,3.371282432,0,0
2019-10-08,0.7094718464000009,0,0
2019-10-09,0.9198913536000002,0,0
2019-10-10,1.0643081215999999,0,0
2019-10-11,0.06481623040000017,0,0
2019-10-12,-0.7065358336,0,0
2019-10-13,-0.40284426240000015,0,0
2019-10-14,0.7126941695999999,0,5
2019-10-15,4.583066112,1,1
2019-10-16,0.7411001344000003,2,2
2019-10-17,5.0440036352,2,0
2019-10-18,-1.7042408448,2,6
2019-10-19,-0.8088624128000004,0,0
2019-10-20,-0.5157781504000003,2,1
2019-10-21,1.62825728,1,0
2019-10-22,3.3069050879999997,0,0
2019-10-23,-0.20083415039999974,0,0
2019-10-24,4.191317504,1,2
2019-10-25,-1.4504649727999994,0,6
2019-10-26,-0.7082881024000003,0,0
2019-10-27,-0.41660160000000024,0,0
2019-10-28,1.6908953599999998,3,0
2019-10-29,1.3554088960000001,5,3
2019-10-30,1.2384397312000002,3,4
2019-10-31,4.1951012864,4,2
2019-11-01,-1.4076079103999997,0,6
2019-11-02,-0.6766187520000003,2,1
2019-11-03,-0.3991296000000003,0,2
2019-11-04,3.70621696,3,1
2019-11-05,2.968833536,2,2
