,apache/mxnet,pytorch/pytorch,tensorflow/tensorflow
2016-12-25,0,4,4.0
2016-12-26,2,4,2.5999999999999996
2016-12-27,2,24,25.52
2016-12-28,2,17,22.150999999999996
2016-12-29,110,36,24.161849999999998
2016-12-30,14,23,9.207545499999997
2016-12-31,6,34,0.9892766999999996
2017-01-01,8,10,2.052541177500002
2017-01-02,1,8,-2.519235415812496
2017-01-03,6,27,26.21216923580938
2017-01-04,8,72,47.808701547735936
2017-01-05,2,35,25.403634088675
2017-01-06,6,6,41.78241036216406
2017-01-07,8,1,3.064047203024998
2017-01-08,5,0,3.9078870181687524
2017-01-09,6,9,22.08519432224219
2017-01-10,6,9,46.92664234232032
2017-01-11,7,8,37.8831978680625
2017-01-12,4,8,41.001723263431245
2017-01-13,3,22,46.101415072365626
2017-01-14,2,4,-1.8755187014515613
2017-01-15,4,2,1.163499919551568
2017-01-16,4,16,3.0206394281625073
2017-01-17,1,22,45.861369784468764
2017-01-18,3,29,34.186664280451566
2017-01-19,8,16,58.59050688261094
2017-01-20,6,17,50.83379590576406
2017-01-21,8,4,-2.987468646223439
2017-01-22,7,9,-1.2761608534546838
2017-01-23,2,11,14.015220503750008
2017-01-24,4,25,47.70887396378595
2017-01-25,8,20,40.342900324629696
2017-01-26,8,13,26.270837928495315
2017-01-27,12,20,41.14261381714219
2017-01-28,6,17,3.994893257571876
2017-01-29,5,11,0.28136353632969247
2017-01-30,3,8,26.417560683531256
2017-01-31,2,54,38.85507429943594
2017-02-01,2,23,61.873763021437505
2017-02-02,4,16,41.497265663528125
2017-02-03,1,7,58.766687095375
2017-02-04,6,4,4.909845948623435
2017-02-05,2,0,-2.9242081445671833
2017-02-06,5,9,58.998455602835946
2017-02-07,8,19,121.3879682482125
2017-02-08,3,12,50.78631646138125
2017-02-09,1,20,36.98388432423749
2017-02-10,3,15,58.887219645854685
2017-02-11,0,5,22.75387942270001
2017-02-12,2,2,-5.277530426098426
2017-02-13,2,9,17.172485245707826
2017-02-14,2,32,84.2186261344672
2017-02-15,4,14,44.75477073030001
2017-02-16,3,35,34.67616565736094
2017-02-17,0,25,24.391978285339064
2017-02-18,5,5,-0.9076935781484323
2017-02-19,7,0,0.5217489354296987
2017-02-20,0,9,2.546925357671885
2017-02-21,5,26,23.6108631657547
2017-02-22,7,18,62.13776946181095
2017-02-23,3,63,31.747252730168753
2017-02-24,7,8,27.88039849952656
2017-02-25,3,8,6.5302094573593745
2017-02-26,0,14,-6.071307468287495
2017-02-27,2,15,41.43641292621407
2017-02-28,11,34,30.029204206285943
2017-03-01,4,19,54.47396117097344
2017-03-02,4,27,36.51950376462969
2017-03-03,7,25,40.692297307848435
2017-03-04,1,9,8.402546793860937
2017-03-05,6,10,9.28903032413438
2017-03-06,4,14,14.656428293909382
2017-03-07,1,21,40.872637503745324
2017-03-08,1,16,36.36505642500313
2017-03-09,5,16,28.779857813650004
2017-03-10,8,16,33.08880431048594
2017-03-11,6,7,7.928144151462503
2017-03-12,4,5,-2.687936399681244
2017-03-13,7,21,34.701247397500005
2017-03-14,5,18,48.24532702300938
2017-03-15,10,25,45.72487245445937
2017-03-16,7,15,49.50467798830625
2017-03-17,5,17,31.403459661987497
2017-03-18,6,1,1.4527406964265648
2017-03-19,3,3,-6.193467274576555
2017-03-20,5,8,41.41820803927501
2017-03-21,7,7,25.16418177669532
2017-03-22,8,28,53.154341117187506
2017-03-23,8,26,40.4176519578625
2017-03-24,7,34,27.324397366534377
2017-03-25,2,4,0.4291098963703135
2017-03-26,2,4,-2.3007840607843697
2017-03-27,4,19,37.72257764225157
2017-03-28,6,19,53.85785263569376
2017-03-29,11,27,43.77435672077969
2017-03-30,5,12,43.234916164309375
2017-03-31,7,20,65.69321132470938
2017-04-01,3,4,3.185659489271874
2017-04-02,4,3,-8.067417710823431
2017-04-03,10,18,27.31083859327657
2017-04-04,4,15,22.63375217264845
2017-04-05,8,17,21.395518452735946
2017-04-06,4,31,27.620797158162503
2017-04-07,2,20,33.34132286216406
2017-04-08,6,12,6.702217137804691
2017-04-09,3,5,-3.932530199584371
2017-04-10,10,6,39.60012346832188
2017-04-11,5,33,41.48008669364688
2017-04-12,12,32,25.63817447279375
2017-04-13,12,12,26.221553090917187
2017-04-14,12,13,30.298047462859376
2017-04-15,6,3,-1.1153125154499968
2017-04-16,2,3,3.81633729649063
2017-04-17,7,21,33.94507842287813
2017-04-18,5,44,37.60161236595469
2017-04-19,8,32,32.97880009440313
2017-04-20,7,26,45.67990841394219
2017-04-21,6,7,15.193693951945312
2017-04-22,2,8,7.282140508632814
2017-04-23,0,4,-2.9589359530265575
2017-04-24,10,23,11.137840333306258
2017-04-25,9,23,22.83118016078126
2017-04-26,9,18,33.66838923539532
2017-04-27,12,11,51.21129887047656
2017-04-28,4,40,39.72889567513125
2017-04-29,0,7,10.427721782117185
2017-04-30,5,3,0.06430084081562626
2017-05-01,8,68,43.2475521173625
2017-05-02,4,25,39.133694336606254
2017-05-03,3,27,21.904649007487503
2017-05-04,9,18,42.80921915461875
2017-05-05,1,13,30.11903185564063
2017-05-06,8,4,18.55426757834844
2017-05-07,1,4,-1.0163693826249958
2017-05-08,8,25,3.7080238763703193
2017-05-09,5,26,-3.3614534780531162
2017-05-10,11,24,60.95175502098907
2017-05-11,11,8,80.666468594275
2017-05-12,9,12,65.0795855332875
2017-05-13,7,1,-7.261046956759383
2017-05-14,5,2,-3.1374997264265616
2017-05-15,6,12,36.423912034832824
2017-05-16,11,9,41.07856284455626
2017-05-17,19,17,54.44668021735938
2017-05-18,13,11,46.0946212989125
2017-05-19,19,15,51.37604031000781
2017-05-20,11,6,-3.413160351468747
2017-05-21,5,3,1.7720154305359443
2017-05-22,5,6,37.02609348786876
2017-05-23,13,13,49.62550305011251
2017-05-24,10,23,43.19440844642344
2017-05-25,11,32,38.6344863859375
2017-05-26,18,16,50.68073747349219
2017-05-27,3,1,18.524990058114064
2017-05-28,0,1,-3.9281618167578074
2017-05-29,0,0,1.6619710564328205
