,python/cpython,rust-lang/rust,JuliaLang/julia
2018-09-16,2,50,3
2018-09-17,17,51,13
2018-09-18,14,61,17
2018-09-19,9,45,5
2018-09-20,7,86,1
2018-09-21,9,50,5
2018-09-22,6,57,3
2018-09-23,6,43,1
2018-09-24,11,41,7
2018-09-25,16,51,8
2018-09-26,4,87,6
2018-09-27,6,35,2
2018-09-28,4,37,9
2018-09-29,5,66,6
2018-09-30,3,59,7
2018-10-01,4,51,7
2018-10-02,7,64,10
2018-10-03,3,42,12
2018-10-04,5,62,30
2018-10-05,10,82,14
2018-10-06,5,48,7
2018-10-07,1,30,2
2018-10-08,10,76,6
2018-10-09,7,76,5
2018-10-10,5,76,2
2018-10-11,4,58,5
2018-10-12,10,69,1
2018-10-13,7,76,3
2018-10-14,6,54,6
2018-10-15,6,123,6
2018-10-16,4,69,11
2018-10-17,4,63,8
2018-10-18,6,73,11
2018-10-19,21,67,15
2018-10-20,15,54,7
2018-10-21,8,36,3
2018-10-22,3,52,9
2018-10-23,11,57,5
2018-10-24,8,58,5
2018-10-25,11,122,13
2018-10-26,17,77,3
2018-10-27,5,49,4
2018-10-28,18,61,1
2018-10-29,13,61,6
2018-10-30,10,70,11
2018-10-31,8,62,8
2018-11-01,7,96,13
2018-11-02,4,62,12
2018-11-03,3,71,2
2018-11-04,11,37,3
2018-11-05,5,99,4
2018-11-06,9,53,8
2018-11-07,20,81,6
2018-11-08,3,56,4
2018-11-09,10,49,4
2018-11-10,4,85,5
2018-11-11,7,60,0
2018-11-12,9,38,1
2018-11-13,11,63,3
2018-11-14,7,36,6
2018-11-15,4,67,3
2018-11-16,7,123,7
2018-11-17,3,34,3
2018-11-18,2,47,8
2018-11-19,1,52,13
2018-11-20,9,72,6
2018-11-21,6,108,9
2018-11-22,11,61,5
2018-11-23,13,42,4
2018-11-24,1,61,2
2018-11-25,4,63,4
2018-11-26,18,56,8
2018-11-27,14,127,6
2018-11-28,7,47,14
2018-11-29,7,84,12
2018-11-30,11,103,21
2018-12-01,3,18,4
2018-12-02,1,57,4
2018-12-03,7,79,8
2018-12-04,8,82,7
2018-12-05,18,59,12
2018-12-06,10,74,9
2018-12-07,10,57,10
2018-12-08,2,57,3
2018-12-09,5,57,4
2018-12-10,10,73,6
2018-12-11,12,78,12
2018-12-12,5,86,13
2018-12-13,1,53,8
2018-12-14,10,80,5
2018-12-15,0,57,0
2018-12-16,3,40,2
2018-12-17,14,56,9
2018-12-18,10,50,8
2018-12-19,8,117,3
2018-12-20,11,86,8
2018-12-21,4,79,9
2018-12-22,4,75,4
2018-12-23,6,54,0
2018-12-24,8,38,1
2018-12-25,5,60,2
2018-12-26,7,52,3
2018-12-27,4,76,3
2018-12-28,7,61,0
2018-12-29,6,73,4
2018-12-30,5,72,3
2018-12-31,13,50,1
2019-01-01,0,60,0
2019-01-02,8,83,9
2019-01-03,3,89,7
2019-01-04,1,68,12
2019-01-05,1,70,3
2019-01-06,4,63,7
2019-01-07,3,82,9
2019-01-08,8,91,7
2019-01-09,6,51,9
2019-01-10,7,45,8
2019-01-11,6,44,7
2019-01-12,8,80,8
2019-01-13,3,107,3
2019-01-14,2,69,4
2019-01-15,9,67,2
2019-01-16,3,46,5
2019-01-17,6,45,2
2019-01-18,10,82,4
2019-01-19,0,99,3
2019-01-20,2,55,1
2019-01-21,5,72,5
2019-01-22,5,102,8
2019-01-23,6,61,9
2019-01-24,3,76,5
2019-01-25,5,92,8
2019-01-26,2,111,1
2019-01-27,2,82,0
2019-01-28,2,65,5
2019-01-29,2,59,9
2019-01-30,5,72,1
2019-01-31,6,66,11
2019-02-01,10,107,11
2019-02-02,9,37,8
2019-02-03,6,69,6
2019-02-04,5,47,3
2019-02-05,6,79,7
2019-02-06,1,66,5
2019-02-07,5,131,11
2019-02-08,4,93,6
2019-02-09,4,68,3
2019-02-10,5,75,1
2019-02-11,4,83,6
2019-02-12,4,78,4
2019-02-13,6,106,11
2019-02-14,7,72,17
2019-02-15,8,41,4
2019-02-16,8,53,6
2019-02-17,3,60,0
2019-02-18,5,112,4
2019-02-19,11,42,4
2019-02-20,4,87,2
2019-02-21,12,70,3
2019-02-22,5,54,4
2019-02-23,5,83,4
2019-02-24,10,90,4
2019-02-25,15,58,2
2019-02-26,7,48,2
2019-02-27,5,81,11
2019-02-28,4,37,4
2019-03-01,21,50,9
2019-03-02,2,56,0
2019-03-03,6,59,7
2019-03-04,8,57,8
2019-03-05,13,71,4
2019-03-06,9,45,10
2019-03-07,9,56,11
2019-03-08,5,56,5
2019-03-09,7,39,0
2019-03-10,6,44,4
2019-03-11,4,50,4
2019-03-12,10,68,8
2019-03-13,7,56,5
2019-03-14,6,49,11
2019-03-15,10,109,4
2019-03-16,8,93,4
2019-03-17,3,51,1
2019-03-18,14,80,8
2019-03-19,18,64,15
2019-03-20,12,66,1
2019-03-21,7,58,14
2019-03-22,9,46,10
2019-03-23,7,60,0
2019-03-24,5,46,2
2019-03-25,16,72,5
2019-03-26,13,78,5
2019-03-27,17,60,7
2019-03-28,12,87,8
2019-03-29,7,91,11
2019-03-30,9,74,27
2019-03-31,4,49,3
2019-04-01,7,46,6
2019-04-02,8,87,10
2019-04-03,1,68,18
2019-04-04,2,67,9
2019-04-05,6,50,6
2019-04-06,3,36,1
2019-04-07,4,52,1
2019-04-08,7,47,4
2019-04-09,15,59,4
2019-04-10,6,51,6
2019-04-11,11,63,11
2019-04-12,19,74,11
2019-04-13,7,60,3
2019-04-14,5,92,0
2019-04-15,11,45,7
2019-04-16,5,64,25
2019-04-17,11,109,4
2019-04-18,6,73,10
2019-04-19,1,87,3
2019-04-20,2,51,2
2019-04-21,1,67,2
2019-04-22,16,75,8
2019-04-23,11,75,3
2019-04-24,12,74,18
2019-04-25,6,84,8
2019-04-26,15,51,7
2019-04-27,4,30,2
2019-04-28,3,43,3
2019-04-29,16,46,10
2019-04-30,8,74,12
2019-05-01,14,102,5
2019-05-02,17,98,6
2019-05-03,10,44,7
2019-05-04,4,104,4
2019-05-05,3,33,1
2019-05-06,17,41,16
2019-05-07,16,40,2
2019-05-08,11,39,4
2019-05-09,10,73,6
2019-05-10,14,57,8
2019-05-11,7,53,2
2019-05-12,4,44,4
2019-05-13,22,61,5
2019-05-14,18,62,7
2019-05-15,9,55,6
2019-05-16,10,57,15
2019-05-17,26,61,5
2019-05-18,9,45,3
2019-05-19,11,54,3
2019-05-20,16,100,6
2019-05-21,15,93,6
2019-05-22,18,75,7
2019-05-23,11,105,8
2019-05-24,23,59,9
2019-05-25,5,88,2
2019-05-26,10,51,2
2019-05-27,18,99,2
2019-05-28,27,115,15
2019-05-29,22,69,14
2019-05-30,21,63,4
2019-05-31,21,55,4
2019-06-01,28,64,3
2019-06-02,23,54,0
2019-06-03,23,84,9
2019-06-04,24,96,6
2019-06-05,13,64,4
2019-06-06,8,68,5
2019-06-07,11,44,5
2019-06-08,5,84,2
2019-06-09,2,71,2
2019-06-10,2,61,8
2019-06-11,9,93,11
2019-06-12,15,100,1
2019-06-13,16,44,13
2019-06-14,12,61,5
2019-06-15,10,85,1
2019-06-16,7,70,2
2019-06-17,21,30,3
2019-06-18,13,54,4
2019-06-19,12,65,6
2019-06-20,7,64,3
2019-06-21,10,75,3
2019-06-22,5,72,1
2019-06-23,1,44,0
2019-06-24,12,64,1
2019-06-25,16,52,1
2019-06-26,11,85,15
2019-06-27,6,29,8
2019-06-28,11,22,6
2019-06-29,5,52,0
2019-06-30,4,61,1
2019-07-01,16,43,10
2019-07-02,7,110,15
2019-07-03,8,91,12
2019-07-04,6,70,3
2019-07-05,9,61,7
2019-07-06,5,111,6
2019-07-07,4,86,1
2019-07-08,5,47,4
2019-07-09,8,77,4
2019-07-10,4,97,2
2019-07-11,8,56,3
2019-07-12,3,50,2
2019-07-13,10,49,7
2019-07-14,10,45,2
2019-07-15,3,81,3
2019-07-16,5,44,6
2019-07-17,7,48,3
2019-07-18,5,60,2
2019-07-19,4,57,1
2019-07-20,1,61,4
2019-07-21,8,38,4
2019-07-22,3,69,10
2019-07-23,5,62,5
2019-07-24,9,75,3
2019-07-25,3,64,1
2019-07-26,5,81,10
2019-07-27,4,69,3
2019-07-28,3,129,2
2019-07-29,6,71,0
2019-07-30,8,82,5
2019-07-31,10,61,2
2019-08-01,3,82,6
2019-08-02,7,103,9
2019-08-03,3,60,4
2019-08-04,9,69,3
2019-08-05,1,95,7
2019-08-06,2,88,6
2019-08-07,7,42,4
2019-08-08,9,84,10
2019-08-09,1,93,3
2019-08-10,2,91,5
2019-08-11,2,74,6
2019-08-12,6,101,3
2019-08-13,9,67,5
2019-08-14,13,81,6
2019-08-15,4,91,13
2019-08-16,2,70,25
2019-08-17,4,73,6
2019-08-18,0,46,5
2019-08-19,3,108,7
2019-08-20,7,72,9
2019-08-21,17,85,8
2019-08-22,9,81,7
2019-08-23,14,42,4
2019-08-24,16,80,6
2019-08-25,6,62,2
2019-08-26,19,68,8
2019-08-27,6,55,6
2019-08-28,3,59,7
2019-08-29,22,71,5
2019-08-30,6,63,2
2019-08-31,3,47,1
2019-09-01,5,34,0
2019-09-02,2,36,1
2019-09-03,5,65,4
2019-09-04,4,62,10
2019-09-05,12,123,4
2019-09-06,4,66,6
2019-09-07,2,79,2
2019-09-08,4,45,1
2019-09-09,52,82,2
2019-09-10,51,64,0
2019-09-11,70,45,7
2019-09-12,46,42,16
2019-09-13,30,47,20
2019-09-14,8,68,4
2019-09-15,4,56,3
2019-09-16,12,95,6
2019-09-17,17,87,6
2019-09-18,5,56,9
2019-09-19,7,72,6
2019-09-20,10,46,4
2019-09-21,5,49,5
2019-09-22,2,56,0
2019-09-23,4,74,6
2019-09-24,9,70,2
2019-09-25,20,119,9
2019-09-26,17,84,2
2019-09-27,7,57,5
2019-09-28,5,128,2
2019-09-29,4,63,2
2019-09-30,11,100,3
2019-10-01,10,82,15
2019-10-02,4,132,11
2019-10-03,7,82,11
2019-10-04,9,78,4
2019-10-05,2,34,5
2019-10-06,2,55,1
2019-10-07,15,84,3
2019-10-08,13,83,6
2019-10-09,4,50,8
2019-10-10,10,59,10
2019-10-11,4,101,6
2019-10-12,7,39,2
2019-10-13,11,78,1
2019-10-14,12,66,6
2019-10-15,7,113,20
2019-10-16,4,66,9
2019-10-17,2,91,7
2019-10-18,7,112,6
2019-10-19,4,60,1
2019-10-20,3,55,2
2019-10-21,7,65,8
2019-10-22,5,98,5
2019-10-23,9,88,3
2019-10-24,2,103,3
2019-10-25,2,138,1
2019-10-26,3,65,1
2019-10-27,5,63,0
2019-10-28,6,80,9
2019-10-29,5,87,6
2019-10-30,7,57,16
2019-10-31,6,64,7
2019-11-01,2,69,12
2019-11-02,3,37,3
2019-11-03,1,65,1
2019-11-04,4,83,6
2019-11-05,8,100,3
2019-11-06,3,102,1
2019-11-07,6,111,2
2019-11-08,2,76,1
2019-11-09,1,51,3
2019-11-10,1,51,0
2019-11-11,2,85,2
2019-11-12,10,93,8
2019-11-13,6,89,6
2019-11-14,3,86,6
2019-11-15,9,150,14
2019-11-16,9,59,7
2019-11-17,4,74,4
2019-11-18,13,84,4
2019-11-19,17,73,6
2019-11-20,25,59,6
2019-11-21,14,76,3
2019-11-22,15,101,3
2019-11-23,3,84,1
2019-11-24,5,95,2
2019-11-25,4,84,7
2019-11-26,7,99,1
