,parcel-bundler/parcel,rollup/rollup,webpack/webpack
2021-11-05,1,0,14.0
2021-11-06,0,0,-4.599999999999999
2021-11-07,0,0,-2.08
2021-11-08,4,0,1.984
2021-11-09,0,0,6.153599999999999
2021-11-10,0,0,4.979072
2021-11-11,0,0,-3.103436799999999
2021-11-12,1,5,1.2030489600000003
2021-11-13,0,0,-1.0692065279999996
2021-11-14,2,0,-2.2852355072000003
2021-11-15,0,0,19.8996165632
2021-11-16,4,0,-5.153404415999999
2021-11-17,0,0,-2.6939096064
2021-11-18,0,0,-3.0512845823999997
2021-11-19,0,0,-0.6345034752000009
2021-11-20,0,0,2.5536477183999997
2021-11-21,1,0,0.5132607488
2021-11-22,0,4,-1.3071348736
2021-11-23,7,0,-0.4952785919999998
2021-11-24,1,0,4.7255227392000005
2021-11-25,0,0,13.0669247488
2021-11-26,0,0,0.5487243264000012
2021-11-27,0,0,-4.7330795519999995
2021-11-28,5,0,-1.8150478848000002
2021-11-29,2,0,4.9846944768
2021-11-30,2,3,-1.0057319424000006
2021-12-01,0,0,-2.8908044288
2021-12-02,1,0,8.5390810112
2021-12-03,0,0,4.9976399872
2021-12-04,0,0,-5.901813964799999
2021-12-05,0,0,-2.2265099264000003
2021-12-06,0,0,5.718562611199999
2021-12-07,1,0,-3.6895198208
2021-12-08,3,0,-1.5042062336000002
2021-12-09,0,4,-0.8997320704
2021-12-10,0,0,-0.6264627200000003
2021-12-11,1,5,-0.48920268800000005
2021-12-12,2,0,5.711276032
2021-12-13,2,0,-2.5285939199999996
2021-12-14,1,0,1.1739100160000002
2021-12-15,0,0,6.7264129024
2021-12-16,2,0,-0.6895999999999995
2021-12-17,2,1,8.532288000000001
2021-12-18,0,2,-4.492979199999999
2021-12-19,2,0,-2.41492736
2021-12-20,0,0,-1.3252766720000002
2021-12-21,0,1,-0.9086916608000006
2021-12-22,0,2,0.3827624959999998
2021-12-23,0,3,0.11549911040000005
2021-12-24,0,5,0.1071082496000002
2021-12-25,1,0,-0.8074778623999999
2021-12-26,0,0,-0.3815354368
2021-12-27,0,0,-0.14835015680000008
2021-12-28,4,0,-0.09451520000000008
2021-12-29,1,0,1.92871424
2021-12-30,0,1,-0.8564894719999998
2021-12-31,0,0,-0.2863244288
2022-01-01,3,0,-0.1559538688
2022-01-02,1,0,-0.0959981568000001
2022-01-03,0,0,-0.059904000000000034
2022-01-04,4,9,3.9540736
2022-01-05,4,2,-1.6367411199999997
2022-01-06,7,0,0.48968857600000004
2022-01-07,0,0,0.31840368640000016
2022-01-08,0,0,-0.6864000000000001
2022-01-09,0,0,-0.3038080000000001
2022-01-10,0,0,12.8025472
2022-01-11,1,0,-3.3450342399999995
2022-01-12,4,0,1.526461952
2022-01-13,0,0,2.2354736128000003
2022-01-14,0,6,3.817673728
2022-01-15,0,0,-4.1565298688
2022-01-16,0,0,-1.6976237568
2022-01-17,4,0,9.93944832
2022-01-18,0,3,14.833421824000002
2022-01-19,0,0,-3.9146497023999984
2022-01-20,0,0,2.1571856384000005
2022-01-21,0,5,0.08683489280000067
2022-01-22,0,4,-5.0755527680000005
2022-01-23,0,0,-2.4228222976000007
2022-01-24,0,0,-1.5578521600000004
2022-01-25,0,5,0.8388807679999997
2022-01-26,2,0,-0.7175349247999998
2022-01-27,1,0,0.7283589120000002
2022-01-28,0,2,3.6437420032000003
2022-01-29,0,2,-2.5805195264
2022-01-30,2,2,1.0937070592
2022-01-31,1,1,4.7209216000000005
2022-02-01,0,0,1.0323916800000004
2022-02-02,0,5,-0.6923683839999999
2022-02-03,1,0,2.0604908544000002
2022-02-04,0,3,0.45953361920000013
2022-02-05,0,2,-2.3014132736
2022-02-06,0,0,-1.0575191040000003
2022-02-07,0,4,3.3493084159999995
2022-02-08,0,0,9.9194527744
2022-02-09,2,2,-3.6358617087999985
2022-02-10,7,3,4.280124108800001
2022-02-11,0,0,0.8842691584000004
2022-02-12,0,0,-0.6836677631999999
2022-02-13,0,1,-1.8208712704
2022-02-14,0,4,10.21985536
2022-02-15,0,1,1.1433400320000011
2022-02-16,0,0,-4.009104691199999
2022-02-17,0,1,-0.5667552256000001
2022-02-18,2,3,-0.1895806976000003
2022-02-19,0,0,-1.9980645376000004
2022-02-20,0,1,-1.0226508800000003
2022-02-21,0,1,2.3241086976
2022-02-22,1,5,11.310672179200001
2022-02-23,1,1,-2.943868825599999
2022-02-24,0,1,-1.1394103295999995
2022-02-25,0,0,-0.1966507007999998
2022-02-26,0,0,3.0814362623999996
2022-02-27,0,0,-0.9766619136000001
2022-02-28,0,0,10.94531072
2022-03-01,3,0,-3.2562780159999996
2022-03-02,0,6,-0.4923608063999998
2022-03-03,0,0,5.080529305600001
2022-03-04,0,3,-0.5729670143999996
2022-03-05,0,0,-3.4598629375999996
2022-03-06,0,4,-1.6432935936000002
2022-03-07,0,4,2.9193349119999996
2022-03-08,1,0,5.6473621504
2022-03-09,2,0,-3.250468454399999
2022-03-10,0,0,-1.9386788863999997
2022-03-11,2,0,0.9684775935999999
2022-03-12,1,0,-1.4796161024000003
2022-03-13,0,0,0.33573857279999975
2022-03-14,0,4,-0.8151398400000001
2022-03-15,0,0,7.566249472
2022-03-16,0,0,-0.5147128831999992
2022-03-17,0,0,0.6349326336000001
2022-03-18,4,0,-1.1514912767999999
2022-03-19,0,0,-1.3380746240000003
2022-03-20,8,0,1.2796171263999998
2022-03-21,0,0,-1.277517312
2022-03-22,3,0,-0.6001082368
