,apache/zookeeper,hashicorp/consul,etcd-io/etcd
2018-02-04,0,0,0.0
2018-02-05,0,9,13.0
2018-02-06,0,11,5.1
2018-02-07,1,16,-2.0649999999999995
2018-02-08,0,8,7.681500000000001
2018-02-09,0,11,1.7323874999999997
2018-02-10,0,1,-2.7168257499999995
2018-02-11,0,5,-2.175458462499999
2018-02-12,0,2,8.62096217875
2018-02-13,0,3,1.9787479932968743
2018-02-14,1,1,2.341318004582812
2018-02-15,0,3,-1.5379823151265621
2018-02-16,0,0,-2.311583499121875
2018-02-17,0,0,-0.3552292066718752
2018-02-18,0,4,0.8315176788374998
2018-02-19,0,9,3.6935121742671875
2018-02-20,1,11,0.7588635148437497
2018-02-21,0,12,4.024437699578125
2018-02-22,0,6,-0.7372205774906253
2018-02-23,1,3,1.1947122245718753
2018-02-24,0,1,-1.828774575215625
2018-02-25,0,0,1.0656686732343752
2018-02-26,0,0,15.752887696985937
2018-02-27,0,2,30.20696459345625
2018-02-28,0,1,-8.069013333960937
2018-03-01,0,1,6.384407324707816
2018-03-02,1,8,0.5206712658218757
2018-03-03,0,1,-6.134952951762499
2018-03-04,0,0,-3.3586809496984364
2018-03-05,1,0,9.66114811271875
2018-03-06,0,5,-1.4036004289812514
2018-03-07,0,6,9.102320590229686
2018-03-08,0,2,4.9649220810406245
2018-03-09,0,5,-2.810922574117188
2018-03-10,0,0,-3.649391106151562
2018-03-11,0,0,3.0014688441375004
2018-03-12,0,0,-2.827261485
2018-03-13,0,5,1.4585888413124997
2018-03-14,0,3,4.98429737789375
2018-03-15,0,6,9.845083930365625
2018-03-16,0,3,-1.370201327698438
2018-03-17,0,0,0.584560491642188
2018-03-18,0,0,-2.8993348584484373
2018-03-19,0,10,11.462619578671875
2018-03-20,0,0,14.027231825085938
2018-03-21,0,1,-2.827513279046875
2018-03-22,0,6,10.121163734192189
2018-03-23,0,0,-6.1480462555828135
2018-03-24,0,0,2.3621289159109384
2018-03-25,0,0,-3.98348898249375
2018-03-26,3,4,2.8163466508187507
2018-03-27,0,16,19.974043918296875
2018-03-28,0,6,-3.61793654682344
2018-03-29,0,11,2.964070095998439
2018-03-30,0,6,23.040977233601563
2018-03-31,0,2,-9.943210307757814
2018-04-01,0,0,5.1743737236734395
2018-04-02,0,3,23.047352064353127
2018-04-03,0,5,7.196382807421875
2018-04-04,0,2,5.073555679476563
2018-04-05,0,2,22.852830321817187
2018-04-06,1,9,-6.921430327789064
2018-04-07,0,0,-7.246956024049998
2018-04-08,0,2,-2.8717147872843736
2018-04-09,0,2,49.448665592860934
2018-04-10,0,4,-12.265009169781255
2018-04-11,0,9,19.966251555201563
2018-04-12,0,5,36.54812274657656
2018-04-13,0,13,-5.063921929990627
2018-04-14,0,0,-11.809054505807808
2018-04-15,0,0,-7.586875885643748
2018-04-16,2,3,-3.8278507967624984
2018-04-17,1,6,52.188785013707815
2018-04-18,0,12,-16.59591528193125
2018-04-19,0,3,-3.367304269348434
2018-04-20,0,4,19.66912355671875
2018-04-21,0,2,-12.359513943639065
2018-04-22,0,0,-4.390771424004686
2018-04-23,1,3,1.3120933335359384
2018-04-24,2,11,2.913266099485937
2018-04-25,1,2,25.365399297893745
2018-04-26,1,0,8.347249148667185
2018-04-27,1,4,8.541526905225002
2018-04-28,0,0,-10.54819144456875
2018-04-29,0,0,-4.100030493535936
2018-04-30,1,0,19.601013376984376
2018-05-01,0,0,16.71341371168906
2018-05-02,0,2,10.947425703976563
2018-05-03,0,0,-7.4315297580984385
2018-05-04,0,3,7.499317316453126
2018-05-05,0,0,-0.7178974957031254
2018-05-06,0,0,-6.781465962673437
2018-05-07,0,4,-2.674074688015624
2018-05-08,1,6,2.065864396157812
2018-05-09,2,3,17.35026150098906
2018-05-10,3,22,-7.284594535912502
2018-05-11,0,38,-3.7050705944328115
2018-05-12,0,3,-2.0427587576484374
2018-05-13,0,0,-1.405559545117188
2018-05-14,0,1,14.0916833578875
2018-05-15,0,2,-4.129281448015626
2018-05-16,1,11,6.610649391689063
2018-05-17,0,0,15.88221460800781
2018-05-18,0,0,14.091934105345311
2018-05-19,0,1,-9.735049663232813
2018-05-20,0,0,-4.240395687499998
2018-05-21,1,4,18.31262778125
2018-05-22,1,3,0.7553842122656231
2018-05-23,2,3,28.58529387099219
2018-05-24,0,5,-10.742298314123438
2018-05-25,0,7,1.189242423092189
2018-05-26,0,0,-5.404043783500001
2018-05-27,0,0,-1.779402953621875
2018-05-28,0,1,-2.94932676125
2018-05-29,1,0,12.001182546671874
2018-05-30,2,2,0.2415862024703106
2018-05-31,2,5,9.698900222857812
2018-06-01,0,13,-4.420429165945313
2018-06-02,0,0,-3.2225579725734366
2018-06-03,0,0,-1.8625170701281246
2018-06-04,0,6,0.7691345782359373
2018-06-05,0,4,13.471337666034374
2018-06-06,0,0,1.5686097477812488
2018-06-07,0,0,7.608608356646875
2018-06-08,1,4,4.350485938384375
2018-06-09,0,0,-5.560299218790625
2018-06-10,0,0,-2.564669801465624
2018-06-11,0,7,7.327880765
2018-06-12,0,27,-0.9373465772812501
2018-06-13,0,7,31.1804086558
2018-06-14,0,316,-4.825684125851563
2018-06-15,2,9,45.314860268682814
2018-06-16,0,1,-18.06773787645
2018-06-17,0,0,-7.976547644828121
2018-06-18,0,26,4.268915948750002
2018-06-19,0,7,-2.047303347140625
2018-06-20,1,26,-2.708009714392187
2018-06-21,0,11,-0.5090846259796886
2018-06-22,0,10,-0.2914946647750014
2018-06-23,0,0,-2.70176268819219
2018-06-24,0,0,-1.6244479673718757
2018-06-25,1,245,-0.6357503269828124
2018-06-26,1,31,5.525070479109375
2018-06-27,0,7,1.817324528842187
2018-06-28,0,7,-1.0428014952125002
2018-06-29,0,7,1.7913312019875003
2018-06-30,0,7,-1.5723553899953127
2018-07-01,0,6,-0.7542217396984372
2018-07-02,0,11,3.522771325
2018-07-03,0,18,5.4429251574999995
2018-07-04,2,10,-0.8035310080937506
2018-07-05,0,5,11.193192792290626
2018-07-06,0,12,-3.814232190946875
2018-07-07,0,2,-2.245232063529687
2018-07-08,0,0,-1.300740439698437
2018-07-09,0,18,5.1201518675
2018-07-10,4,17,1.5307047416874995
2018-07-11,2,14,-1.365756680290625
2018-07-12,0,44,-1.4735627474109374
2018-07-13,2,10,-0.8364964181687504
2018-07-14,0,0,-0.5909325887921878
2018-07-15,0,0,-0.3123120882328125
2018-07-16,1,5,-0.23658734250000002
2018-07-17,1,4,1.8056297419062497
2018-07-18,1,11,0.2360353797906246
2018-07-19,4,5,6.419789630303125
2018-07-20,1,7,7.662416586767187
2018-07-21,0,0,3.125175
2018-07-22,0,0,-0.6661029999999997
2018-07-23,0,2,8.412580525000001
2018-07-24,0,4,5.29763784
2018-07-25,0,17,-5.125516744781249
2018-07-26,0,13,-0.44158233448124884
2018-07-27,5,2,1.796792544407812
2018-07-28,3,0,3.4050576859640618
2018-07-29,0,0,-1.1961349584375007
2018-07-30,1,11,-2.132377679176562
2018-07-31,0,1,-1.192057361620313
2018-08-01,1,0,-0.8336024382171883
2018-08-02,0,6,1.4744813701718749
2018-08-03,1,1,-0.9067082035312501
2018-08-04,0,0,-0.4609790610281251
2018-08-05,0,0,-0.30650850102500027
2018-08-06,3,2,9.806421087071875
2018-08-07,0,3,1.9133926735343745
2018-08-08,2,3,3.4034382750000005
2018-08-09,0,2,-0.9579145474999997
2018-08-10,0,4,9.03912156646875
2018-08-11,0,0,-2.3921818264656256
2018-08-12,0,0,-2.496384874999999
2018-08-13,0,0,0.5708764500000005
2018-08-14,1,7,0.3865332885937496
2018-08-15,0,2,3.4072291663437495
2018-08-16,0,6,-0.3456219017578128
2018-08-17,3,5,1.307329350821875
2018-08-18,0,0,1.2130092416124998
2018-08-19,0,0,-0.8219857040921876
2018-08-20,0,2,-0.13406934896562483
2018-08-21,1,0,-0.94950029353125
2018-08-22,0,0,1.425583396253125
2018-08-23,0,2,3.9968692047062495
2018-08-24,0,4,-1.0062676584453127
2018-08-25,0,0,1.8713300894875
2018-08-26,0,0,-1.5134435262453128
2018-08-27,0,5,-0.7103372302140623
2018-08-28,0,6,2.5567143950015625
2018-08-29,1,6,35.78188997676719
2018-08-30,0,2,-6.653981414781251
2018-08-31,0,1,-3.7588502715437473
2018-09-01,0,0,-1.5876531041796862
2018-09-02,0,0,-2.7438868135296874
2018-09-03,1,0,0.25994542280156274
2018-09-04,1,4,1.1338100162500002
2018-09-05,3,5,-2.1152190915468756
2018-09-06,0,6,6.737022646223436
2018-09-07,2,8,-1.3252711459421889
2018-09-08,0,1,-1.7575130471953122
2018-09-09,0,0,-0.8806427349968747
2018-09-10,2,4,0.42477603853437507
2018-09-11,1,9,-0.7067122547812501
2018-09-12,2,12,2.5745156232374997
2018-09-13,0,19,2.8015298453015625
2018-09-14,3,2,1.2799092183749998
2018-09-15,0,0,-0.6686409893937499
2018-09-16,0,0,-0.023935188965624743
2018-09-17,1,3,1.1477319762500002
2018-09-18,0,1,-0.08958780426562507
2018-09-19,0,0,3.137598065517188
2018-09-20,0,4,1.3128154172031248
2018-09-21,0,3,7.326044959489062
2018-09-22,2,0,-3.496804939478125
2018-09-23,0,0,0.5639837947859381
2018-09-24,0,3,1.5344759600015627
2018-09-25,0,2,0.2819591794859375
2018-09-26,0,4,-1.49019747573125
2018-09-27,0,0,-0.8123148640453124
2018-09-28,1,1,1.4284927330218748
