,nim-lang/Nim,golang/go,rust-lang/rust
2018-09-16,12,3,50
2018-09-17,14,12,51
2018-09-18,11,12,61
2018-09-19,9,9,45
2018-09-20,4,8,86
2018-09-21,4,0,50
2018-09-22,12,0,57
2018-09-23,4,2,43
2018-09-24,15,17,41
2018-09-25,8,13,51
2018-09-26,3,11,87
2018-09-27,8,14,35
2018-09-28,11,10,37
2018-09-29,12,4,66
2018-09-30,4,1,59
2018-10-01,11,6,51
2018-10-02,20,27,64
2018-10-03,8,29,42
2018-10-04,3,19,62
2018-10-05,0,15,82
2018-10-06,0,11,48
2018-10-07,0,1,30
2018-10-08,3,5,76
2018-10-09,34,16,76
2018-10-10,6,16,76
2018-10-11,17,17,58
2018-10-12,12,17,69
2018-10-13,16,4,76
2018-10-14,14,3,54
2018-10-15,6,20,123
2018-10-16,17,11,69
2018-10-17,4,18,63
2018-10-18,25,11,73
2018-10-19,13,13,67
2018-10-20,3,2,54
2018-10-21,1,1,36
2018-10-22,4,14,52
2018-10-23,6,24,57
2018-10-24,12,19,58
2018-10-25,11,15,122
2018-10-26,0,11,77
2018-10-27,4,7,49
2018-10-28,14,9,61
2018-10-29,8,12,61
2018-10-30,29,23,70
2018-10-31,8,15,62
2018-11-01,4,10,96
2018-11-02,5,41,62
2018-11-03,5,6,71
2018-11-04,1,2,37
2018-11-05,3,21,99
2018-11-06,9,15,53
2018-11-07,12,6,81
2018-11-08,18,17,56
2018-11-09,6,16,49
2018-11-10,2,7,85
2018-11-11,6,4,60
2018-11-12,1,32,38
2018-11-13,2,19,63
2018-11-14,3,23,36
2018-11-15,12,9,67
2018-11-16,6,20,123
2018-11-17,0,3,34
2018-11-18,3,2,47
2018-11-19,7,8,52
2018-11-20,7,12,72
2018-11-21,7,8,108
2018-11-22,5,2,61
2018-11-23,25,4,42
2018-11-24,1,1,61
2018-11-25,0,0,63
2018-11-26,15,13,56
2018-11-27,5,13,127
2018-11-28,1,16,47
2018-11-29,6,26,84
2018-11-30,6,10,103
2018-12-01,3,6,18
2018-12-02,0,2,57
2018-12-03,7,10,79
2018-12-04,11,14,82
2018-12-05,15,20,59
2018-12-06,5,10,74
2018-12-07,7,10,57
2018-12-08,12,1,57
2018-12-09,21,1,57
2018-12-10,10,10,73
2018-12-11,60,15,78
2018-12-12,20,21,86
2018-12-13,17,25,53
2018-12-14,10,16,80
2018-12-15,8,5,57
2018-12-16,14,1,40
2018-12-17,3,19,56
2018-12-18,8,18,50
2018-12-19,12,8,117
2018-12-20,9,13,86
2018-12-21,11,4,79
2018-12-22,4,5,75
2018-12-23,2,0,54
2018-12-24,0,3,38
