,elastic/kibana,getsentry/sentry,grafana/grafana
2021-05-22,2,0.0,1
2021-05-23,0,0.0,0
2021-05-24,15,7.0,19
2021-05-25,18,26.3,18
2021-05-26,40,13.984999999999998,29
2021-05-27,37,16.885499999999997,35
2021-05-28,30,2.320862499999998,39
2021-05-29,3,-2.6552047499999993,4
2021-05-30,0,-1.7185488374999975,0
2021-05-31,11,13.708735038750003,25
2021-06-01,31,13.463427797640627,27
2021-06-02,30,23.859329994576562,30
2021-06-03,31,9.462223660264062,34
2021-06-04,33,12.218353569076562,39
2021-06-05,1,-3.7972381788125,1
2021-06-06,0,-2.1825788027156223,0
2021-06-07,24,11.442575106250004,13
2021-06-08,38,30.467367327265627,11
2021-06-09,43,25.094258229960936,17
2021-06-10,41,19.385869960503122,17
2021-06-11,7,19.402662959310938,18
2021-06-12,3,-3.642057193753125,0
2021-06-13,0,-3.4947155530749967,0
2021-06-14,34,19.618870536250004,18
2021-06-15,44,31.93817832954688,27
2021-06-16,50,19.878955637517187,14
2021-06-17,51,19.95016225709531,24
2021-06-18,21,9.95458516728125,10
2021-06-19,0,-5.08078503128906,1
2021-06-20,0,-3.0971002144296835,0
2021-06-21,46,31.85304802742813,11
2021-06-22,60,27.898276223656254,10
2021-06-23,62,27.752249548146875,15
2021-06-24,69,18.0958368678,13
2021-06-25,10,7.682329555659376,6
2021-06-26,1,-5.095295174184373,1
2021-06-27,1,-3.1587678155749948,2
2021-06-28,59,18.724935915000007,13
2021-06-29,81,27.068883206218754,12
2021-06-30,86,42.4218141992625,12
2021-07-01,48,22.14240464253281,17
2021-07-02,3,12.8425069408875,13
2021-07-03,1,-6.040916945617187,0
2021-07-04,0,-3.64040544800312,1
2021-07-05,17,10.395530991250006,14
2021-07-06,46,34.62663174292188,13
2021-07-07,42,27.89231359826094,24
2021-07-08,51,21.20380540913594,15
2021-07-09,41,28.40631926280625,14
2021-07-10,4,-5.167024586390625,2
2021-07-11,0,-4.2270447132187465,2
2021-07-12,33,39.14160597375,19
2021-07-13,43,27.57508654829688,20
2021-07-14,39,38.88608574993906,19
2021-07-15,36,29.22499352860312,17
2021-07-16,35,13.325097855590624,18
2021-07-17,1,-7.192674719053122,2
2021-07-18,2,-4.437345489789057,0
