,python/cpython,rust-lang/rust,JuliaLang/julia
2010-06-16,24,1.0,1
2010-06-17,25,-0.19999999999999996,0
2010-06-18,12,-0.08000000000000007,1
2010-06-19,3,-0.048000000000000036,0
2010-06-20,7,-0.03360000000000001,0
2010-06-21,16,-0.025536000000000014,1
2010-06-22,25,-0.02042880000000001,2
2010-06-23,11,-0.01692672000000001,1
2010-06-24,16,14.985612288,2
2010-06-25,21,14.9875306496,1
2010-06-26,25,8.2,0
2010-06-27,52,-2.7600000000000016,1
2010-06-28,33,3.1919999999999984,0
2010-06-29,28,13.02816,0
2010-06-30,22,19.02112,1
2010-07-01,12,17.611212799999997,0
2010-07-02,29,44.27325696,1
2010-07-03,57,-8.149740032,1
2010-07-04,36,5.377109196799996,5
2010-07-05,26,6.0238379007999985,1
2010-07-06,14,-5.547583692800002,7
2010-07-07,20,-2.0025887744000013,6
2010-07-08,19,3.8681389056000004,2
2010-07-09,34,0.5370210304000018,1
2010-07-10,22,-3.6874767359999963,0
2010-07-11,45,1.7795611648000014,0
2010-07-12,17,7.048046899200001,0
2010-07-13,12,10.036573286400001,2
2010-07-14,30,-2.0572368896000004,0
2010-07-15,2,15.687940403199999,3
2010-07-16,7,17.974312652800002,2
2010-07-17,17,-5.0560325632,5
2010-07-18,19,2.1829191679999975,14
2010-07-19,25,8.404662272,7
2010-07-20,7,12.3512802304,7
2010-07-21,19,2.9966357504000003,0
2010-07-22,5,6.045907660799999,0
2010-07-23,49,6.9934943232,0
2010-07-24,17,-5.301423923199999,0
2010-07-25,15,-2.886788403200001,3
2010-07-26,16,11.1629007872,6
2010-07-27,21,-3.0031780863999993,3
2010-07-28,20,3.6822874112,1
2010-07-29,25,29.3231921152,2
2010-07-30,38,-7.838409625599999,4
2010-07-31,54,-2.5233833984000014,4
2010-08-01,133,-2.378342604800001,4
2010-08-02,109,-0.5488921600000007,5
2010-08-03,73,0.6083082240000002,10
2010-08-04,44,14.5546288128,2
2010-08-05,7,4.926013337600001,1
2010-08-06,24,1.2347483136000017,1
2010-08-07,22,7.0033180672,0
2010-08-08,51,-2.4554885120000005,0
2010-08-09,45,15.9787703296,7
2010-08-10,14,2.0670740480000003,2
2010-08-11,14,8.152388505599998,5
2010-08-12,11,3.3774134272000005,8
2010-08-13,23,-0.1442566143999997,0
2010-08-14,62,-3.0847067136000006,2
2010-08-15,30,-1.8768209920000003,0
