,ruby/ruby,python/cpython,nodejs/node
2017-02-16,6,5,18
2017-02-17,6,0,20
2017-02-18,6,3,8
2017-02-19,1,3,13
2017-02-20,13,7,8
2017-02-21,11,7,8
2017-02-22,10,6,19
2017-02-23,8,6,5
2017-02-24,12,7,40
2017-02-25,7,9,8
2017-02-26,3,10,3
2017-02-27,18,6,11
2017-02-28,7,6,3
2017-03-01,11,13,19
2017-03-02,6,14,15
2017-03-03,7,17,8
2017-03-04,10,8,6
2017-03-05,5,6,4
2017-03-06,8,10,21
2017-03-07,15,5,4
2017-03-08,7,13,6
2017-03-09,11,6,21
2017-03-10,5,5,8
2017-03-11,11,7,16
2017-03-12,6,19,1
2017-03-13,14,3,6
2017-03-14,12,7,10
2017-03-15,6,3,18
2017-03-16,12,1,9
2017-03-17,11,5,22
2017-03-18,9,1,0
2017-03-19,5,11,1
2017-03-20,5,4,13
2017-03-21,6,5,8
2017-03-22,8,2,28
2017-03-23,8,5,4
2017-03-24,7,7,18
2017-03-25,8,5,10
2017-03-26,4,2,13
2017-03-27,5,11,14
2017-03-28,8,6,7
2017-03-29,11,5,6
2017-03-30,6,18,4
2017-03-31,4,7,9
2017-04-01,9,5,2
2017-04-02,4,6,1
2017-04-03,5,3,12
2017-04-04,5,3,40
2017-04-05,7,6,8
2017-04-06,7,2,8
2017-04-07,12,3,8
2017-04-08,4,4,8
2017-04-09,13,5,6
2017-04-10,15,1,9
2017-04-11,13,4,11
2017-04-12,9,3,19
2017-04-13,12,11,12
2017-04-14,15,6,24
2017-04-15,9,4,7
2017-04-16,6,6,8
2017-04-17,12,1,16
2017-04-18,14,0,31
2017-04-19,7,10,17
2017-04-20,16,13,12
2017-04-21,16,10,14
2017-04-22,11,4,2
2017-04-23,11,1,1
2017-04-24,5,6,28
2017-04-25,18,5,12
2017-04-26,5,7,11
2017-04-27,4,5,15
2017-04-28,8,4,17
2017-04-29,4,2,12
2017-04-30,9,0,16
2017-05-01,11,3,12
2017-05-02,13,11,9
2017-05-03,6,7,16
2017-05-04,20,6,11
2017-05-05,0,8,13
2017-05-06,14,1,13
2017-05-07,17,1,14
2017-05-08,9,2,6
2017-05-09,14,7,19
2017-05-10,17,5,18
