,nim-lang/Nim,golang/go,rust-lang/rust
2010-06-16,0,6,1.0
2010-06-17,0,0,-0.19999999999999996
2010-06-18,0,2,-0.08000000000000007
2010-06-19,0,5,-0.048000000000000036
2010-06-20,0,7,-0.03360000000000001
2010-06-21,0,11,-0.025536000000000014
2010-06-22,0,9,-0.02042880000000001
2010-06-23,0,3,-0.01692672000000001
2010-06-24,0,2,14.985612288
2010-06-25,0,0,14.9875306496
2010-06-26,0,0,8.2
2010-06-27,0,0,-2.7600000000000016
2010-06-28,0,10,3.1919999999999984
2010-06-29,0,10,13.02816
2010-06-30,0,15,19.02112
2010-07-01,0,15,17.611212799999997
2010-07-02,0,9,44.27325696
2010-07-03,0,0,-8.149740032
2010-07-04,0,0,5.377109196799996
2010-07-05,0,1,6.0238379007999985
2010-07-06,0,0,-5.547583692800002
2010-07-07,0,1,-2.0025887744000013
2010-07-08,0,2,3.8681389056000004
2010-07-09,0,5,0.5370210304000018
2010-07-10,0,1,-3.6874767359999963
2010-07-11,0,0,1.7795611648000014
2010-07-12,0,12,7.048046899200001
2010-07-13,0,9,10.036573286400001
2010-07-14,0,8,-2.0572368896000004
2010-07-15,0,20,15.687940403199999
2010-07-16,0,7,17.974312652800002
2010-07-17,0,5,-5.0560325632
2010-07-18,0,0,2.1829191679999975
2010-07-19,0,7,8.404662272
2010-07-20,0,5,12.3512802304
2010-07-21,6,14,2.9966357504000003
2010-07-22,3,5,6.045907660799999
2010-07-23,4,2,6.9934943232
2010-07-24,0,0,-5.301423923199999
2010-07-25,0,3,-2.886788403200001
2010-07-26,0,12,11.1629007872
2010-07-27,0,11,-3.0031780863999993
2010-07-28,0,4,3.6822874112
2010-07-29,1,10,29.3231921152
2010-07-30,0,14,-7.838409625599999
2010-07-31,0,0,-2.5233833984000014
2010-08-01,1,1,-2.378342604800001
2010-08-02,0,1,-0.5488921600000007
2010-08-03,0,19,0.6083082240000002
2010-08-04,1,4,14.5546288128
2010-08-05,0,15,4.926013337600001
2010-08-06,0,7,1.2347483136000017
2010-08-07,0,2,7.0033180672
2010-08-08,3,0,-2.4554885120000005
2010-08-09,0,7,15.9787703296
2010-08-10,0,12,2.0670740480000003
2010-08-11,1,5,8.152388505599998
2010-08-12,2,17,3.3774134272000005
2010-08-13,0,7,-0.1442566143999997
2010-08-14,1,2,-3.0847067136000006
2010-08-15,0,1,-1.8768209920000003
2010-08-16,4,7,1.6460042239999997
2010-08-17,3,9,1.426231193600001
2010-08-18,0,5,21.366142668800002
2010-08-19,0,9,-1.461066956799998
2010-08-20,0,3,18.7827592192
2010-08-21,0,1,-5.158713651199999
2010-08-22,0,2,-3.1125718016000024
2010-08-23,2,4,-1.9697945600000013
2010-08-24,0,7,11.546850304
2010-08-25,0,21,12.253007052800001
2010-08-26,0,19,6.8489980928000005
2010-08-27,0,10,8.9588374528
2010-08-28,3,0,-2.3481337856
2010-08-29,0,3,-3.454281420800001
2010-08-30,0,7,-2.001819750400001
2010-08-31,0,9,3.532259839999999
2010-09-01,0,9,-1.1613173759999995
2010-09-02,0,13,-1.5580367871999992
2010-09-03,0,7,3.009577369600001
2010-09-04,0,5,-1.4178403327999987
2010-09-05,0,1,-0.6990140415999997
2010-09-06,0,1,-0.3570880512000001
2010-09-07,0,14,3.7605375999999997
2010-09-08,0,8,14.00899072
2010-09-09,0,17,0.5215503360000007
2010-09-10,0,19,0.7278237695999987
2010-09-11,0,7,-1.8319508480000006
2010-09-12,2,16,-0.08802140160000049
2010-09-13,0,10,0.056844799999999585
2010-09-14,0,10,4.14291712
2010-09-15,1,6,2.402225152
2010-09-16,1,14,14.323713638400001
2010-09-17,0,3,-4.114507263999999
2010-09-18,0,2,-1.779005337600001
2010-09-19,2,3,-1.1048435712000007
2010-09-20,2,16,0.22679756799999973
2010-09-21,1,5,11.1982181376
2010-09-22,0,17,5.0410244096
2010-09-23,0,12,1.0012748799999995
2010-09-24,0,29,5.6703192064
2010-09-25,0,2,-2.9322456063999995
2010-09-26,0,0,-1.427660800000001
2010-09-27,0,12,2.0152396799999996
2010-09-28,0,10,3.6481172479999997
2010-09-29,0,14,-0.8465388543999994
2010-09-30,0,16,3.7601288192
2010-10-01,0,5,0.2864805888000004
2010-10-02,0,0,-0.25758709759999965
