,middleman/middleman,getpelican/pelican,jekyll/jekyll
2010-08-14,0,1.0,0.0
2010-08-15,0,0.0,0.0
2010-08-16,0,0.0,0.0
2010-08-17,0,7.0,0.0
2010-08-18,0,11.0,0.0
2010-08-19,0,8.0,0.0
2010-08-20,0,0.0,0.0
2010-08-21,0,0.0,0.0
2010-08-22,0,0.0,0.0
2010-08-23,0,0.0,0.0
2010-08-24,0,0.0,5.0
2010-08-25,0,0.0,-0.9999999999999998
2010-08-26,0,0.0,-0.40000000000000036
2010-08-27,0,0.0,-0.24000000000000019
2010-08-28,0,0.0,-0.16800000000000007
2010-08-29,0,1.0,-0.12768000000000007
2010-08-30,0,0.0,4.897856
2010-08-31,0,0.0,-0.08463359999999986
2010-09-01,0,0.0,-0.6719385600000001
2010-09-02,0,0.0,0.6176532479999999
2010-09-03,0,0.0,-0.41600000000000004
2010-09-04,1,0.0,-0.24128000000000016
2010-09-05,4,0.0,0.8243199999999999
2010-09-06,5,0.0,-0.33866240000000003
2010-09-07,1,0.0,-0.1944012799999998
2010-09-08,0,0.0,-0.14516326399999982
2010-09-09,0,0.0,1.9370039296
2010-09-10,0,0.0,-0.43992371199999986
2010-09-11,2,0.0,-0.19289815040000013
2010-09-12,0,0.0,2.88707328
2010-09-13,0,0.0,-0.6815877119999998
2010-09-14,0,0.0,-0.3035413504000002
2010-09-15,0,9.0,-0.18485760000000012
2010-09-16,0,2.0,-0.13465344000000004
2010-09-17,0,0.0,-0.10538342399999992
2010-09-18,0,0.0,-0.08622510079999995
2010-09-19,0,2.0,-0.05078016000000003
2010-09-20,0,0.0,-0.04316313599999982
2010-09-21,0,0.0,-0.03740805119999989
2010-09-22,2,0.0,0.0
2010-09-23,0,0.0,0.0
2010-09-24,1,1.0,0.0
2010-09-25,1,0.0,0.0
2010-09-26,0,0.0,0.0
2010-09-27,0,3.0,0.0
2010-09-28,0,6.0,0.0
2010-09-29,0,0.0,0.0
2010-09-30,0,0.0,0.0
2010-10-01,0,0.0,0.0
2010-10-02,0,0.0,0.0
2010-10-03,0,0.0,0.0
2010-10-04,0,0.0,0.0
2010-10-05,0,0.0,0.0
2010-10-06,0,0.0,0.0
2010-10-07,0,0.0,0.0
2010-10-08,0,0.0,0.0
2010-10-09,0,0.0,0.0
2010-10-10,0,0.0,0.0
2010-10-11,0,0.0,0.0
2010-10-12,0,0.0,0.0
2010-10-13,0,3.0,0.0
2010-10-14,0,5.0,0.0
2010-10-15,0,1.0,0.0
2010-10-16,1,5.0,0.0
2010-10-17,0,4.0,0.0
2010-10-18,0,0.0,0.0
2010-10-19,0,0.0,0.0
2010-10-20,1,0.0,0.0
2010-10-21,0,0.0,0.0
2010-10-22,0,0.0,0.0
2010-10-23,0,0.0,0.0
2010-10-24,0,0.0,0.0
2010-10-25,0,0.0,0.0
2010-10-26,0,0.0,0.0
2010-10-27,0,0.0,0.0
2010-10-28,0,0.0,0.0
2010-10-29,0,8.0,0.0
2010-10-30,0,18.0,0.0
2010-10-31,0,3.0,0.0
2010-11-01,3,0.0,0.0
2010-11-02,0,0.0,0.0
2010-11-03,0,1.0,0.0
2010-11-04,0,0.0,0.0
2010-11-05,0,2.0,0.0
2010-11-06,0,10.0,0.0
2010-11-07,0,7.0,0.0
2010-11-08,0,5.0,0.0
2010-11-09,0,0.0,0.0
2010-11-10,0,0.0,0.0
2010-11-11,0,4.0,0.0
2010-11-12,0,6.0,1.0
2010-11-13,0,0.0,-0.19999999999999996
2010-11-14,0,1.0,-0.08000000000000007
2010-11-15,0,7.0,-0.048000000000000036
2010-11-16,0,3.0,-0.03360000000000001
2010-11-17,0,2.0,7.974464
2010-11-18,0,2.0,1.3795712000000004
2010-11-19,0,1.0,0.7430732799999995
2010-11-20,0,8.0,-0.03838771200000046
2010-11-21,0,1.0,2.2147306496
2010-11-22,0,0.0,-1.0810880000000003
2010-11-23,0,0.0,2.4047615999999996
2010-11-24,0,2.0,-1.02537216
2010-11-25,0,0.0,-0.5730754559999998
2010-11-26,0,1.0,-0.4178081791999997
2010-11-27,0,1.0,-0.24519659519999984
2010-11-28,0,0.0,-0.16671457279999993
2010-11-29,0,0.0,-0.11691888639999981
2010-11-30,0,0.0,0.9118117888000001
2010-12-01,0,4.0,0.7568368640000003
2010-12-02,0,1.0,-0.31740805119999993
2010-12-03,0,1.0,-0.1280000000000001
2010-12-04,0,0.0,-0.08160000000000005
2010-12-05,0,3.0,-0.05913600000000002
2010-12-06,0,2.0,-0.04596480000000003
2010-12-07,0,0.0,-0.03735552000000002
2010-12-08,0,0.0,-0.03131443199999995
2010-12-09,0,0.0,-0.026857062399999902
2010-12-10,0,2.0,-0.012469350399999964
2010-12-11,0,0.0,2.0
2010-12-12,0,2.0,-0.3999999999999999
2010-12-13,0,3.0,-0.16000000000000014
2010-12-14,0,4.0,4.904
2010-12-15,0,9.0,0.9328000000000003
2010-12-16,0,7.0,-0.8510720000000003
2010-12-17,0,5.0,1.5591423999999996
2010-12-18,0,11.0,-0.69785344
2010-12-19,0,4.0,1.616344576
2010-12-20,0,5.0,-0.6741547008
2010-12-21,0,2.0,-0.35269120000000026
2010-12-22,0,3.0,-0.2528639999999998
2010-12-23,0,0.0,-0.19917977599999975
2010-12-24,2,0.0,-0.10986414079999998
2010-12-25,0,2.0,-0.0696330239999999
2010-12-26,0,1.0,-0.05879214079999995
2010-12-27,0,1.0,-0.02877542399999988
2010-12-28,0,0.0,-0.02493870079999993
2010-12-29,0,4.0,0.0
2010-12-30,0,0.0,0.0
2010-12-31,0,0.0,1.0
2011-01-01,2,2.0,-0.19999999999999996
2011-01-02,1,0.0,-0.08000000000000007
2011-01-03,0,0.0,-0.048000000000000036
2011-01-04,0,0.0,-0.03360000000000001
2011-01-05,2,9.0,-0.025536000000000014
2011-01-06,2,2.0,-0.02042880000000001
2011-01-07,0,0.0,-0.01692672000000001
2011-01-08,0,0.0,-0.01438771199999994
2011-01-09,0,0.0,-0.012469350399999964
2011-01-10,1,0.0,0.0
2011-01-11,0,1.0,0.0
2011-01-12,0,6.0,0.0
2011-01-13,0,0.0,1.0
2011-01-14,0,0.0,-0.19999999999999996
2011-01-15,0,0.0,-0.08000000000000007
2011-01-16,0,0.0,-0.048000000000000036
2011-01-17,0,0.0,-0.03360000000000001
2011-01-18,1,0.0,-0.025536000000000014
2011-01-19,0,2.0,-0.02042880000000001
2011-01-20,0,1.0,-0.01692672000000001
2011-01-21,0,0.0,-0.01438771199999994
2011-01-22,2,0.0,0.9875306496
2011-01-23,0,1.0,3.8
2011-01-24,0,7.0,-0.8799999999999999
2011-01-25,0,8.0,-0.3680000000000003
2011-01-26,0,1.0,-0.22560000000000016
2011-01-27,0,0.0,3.840064
2011-01-28,0,0.0,-0.9225727999999999
2011-01-29,0,0.0,-0.41864192000000033
2011-01-30,3,0.0,-0.27409459200000014
2011-01-31,0,0.0,-0.20442019839999975
2011-02-01,0,8.0,-0.1520214015999999
2011-02-02,0,0.0,-0.08171520000000004
2011-02-03,0,0.0,-0.06770688000000004
2011-02-04,0,0.0,-0.05755084799999976
2011-02-05,3,0.0,0.9501225984000001
2011-02-06,1,0.0,-0.19999999999999996
2011-02-07,0,0.0,-0.08000000000000007
2011-02-08,0,0.0,-0.048000000000000036
2011-02-09,0,2.0,0.9664
2011-02-10,0,2.0,-0.22553599999999996
2011-02-11,2,2.0,-0.10042880000000008
2011-02-12,0,0.0,-0.06492672000000005
