,apache/tomee,spring-projects/spring-boot,dropwizard/dropwizard
2017-01-21,0.0,0,0
2017-01-22,0.0,6,0
2017-01-23,0.0,15,6
2017-01-24,0.0,70,1
2017-01-25,1.0,27,0
2017-01-26,5.8,40,0
2017-01-27,-0.2799999999999998,3,5
2017-01-28,-0.7280000000000004,6,0
2017-01-29,-0.4016000000000003,0,0
2017-01-30,0.724864,20,4
2017-01-31,1.5927552,3,0
2017-02-01,-0.6450355200000001,13,3
2017-02-02,1.6556231679999998,6,6
2017-02-03,-0.6453223423999996,2,0
2017-02-04,-0.3419398143999999,0,0
2017-02-05,-0.17997015040000008,6,0
2017-02-06,-0.12498432000000005,21,3
2017-02-07,-0.09931315199999999,23,3
2017-02-08,1.9178976256000002,34,1
2017-02-09,0.5412078592000001,15,2
2017-02-10,1.6112245760000001,2,2
2017-02-11,-0.6009387008,0,2
2017-02-12,-0.2752000000000002,6,0
2017-02-13,0.8193279999999998,10,4
2017-02-14,0.6664064,16,3
2017-02-15,-0.38535424000000007,11,0
2017-02-16,-0.21455974400000002,4,0
2017-02-17,-0.15477985279999995,4,0
2017-02-18,-0.10038077439999987,0,1
2017-02-19,-0.07090350079999995,3,0
2017-02-20,0.96264448,9,1
2017-02-21,0.7686855680000001,8,1
2017-02-22,-0.30685706239999994,44,0
2017-02-23,-0.14046935040000008,0,0
2017-02-24,-0.08160000000000005,15,2
2017-02-25,-0.05913600000000002,0,0
2017-02-26,-0.04596480000000003,2,0
2017-02-27,-0.03735552000000002,8,3
2017-02-28,-0.03131443199999995,20,0
2017-03-01,0.9731429376000001,43,0
2017-03-02,0.7875306496000001,53,0
2017-03-03,1.72,27,0
2017-03-04,-0.528,0,0
2017-03-05,-0.2416000000000002,0,0
2017-03-06,-0.1551360000000001,16,2
2017-03-07,0.8868351999999999,11,3
2017-03-08,0.7115724800000001,6,8
2017-03-09,4.647827968,12,0
2017-03-10,-1.1887105023999998,21,0
2017-03-11,0.4771552255999998,2,0
2017-03-12,-0.5240747008000001,3,1
2017-03-13,0.7060351999999999,12,1
2017-03-14,0.5869644799999999,12,3
2017-03-15,-0.44705843200000006,21,4
2017-03-16,-0.26502666240000006,10,0
2017-03-17,3.8135632896000002,11,0
2017-03-18,0.06159052800000031,3,0
2017-03-19,-0.5803525120000002,0,0
2017-03-20,-0.3218248704000002,0,2
2017-03-21,-0.21371443200000004,0,5
2017-03-22,-0.16260106239999997,4,1
2017-03-23,-0.11972055040000003,8,2
2017-03-24,-0.08813568000000005,43,2
2017-03-25,-0.07447756799999977,13,0
2017-03-26,-0.0642651135999998,6,0
2017-03-27,-0.012469350399999964,1,13
2017-03-28,0.0,18,1
2017-03-29,2.0,4,1
2017-03-30,3.6,0,0
2017-03-31,-0.96,7,0
2017-04-01,-0.41600000000000037,2,0
2017-04-02,-0.25920000000000015,3,0
2017-04-03,-0.18547200000000008,5,1
2017-04-04,-0.14300160000000006,59,0
2017-04-05,-0.11556864000000006,8,0
2017-04-06,-0.09648230399999992,15,0
2017-04-07,0.9175104512000003,31,2
2017-04-08,-0.24987740159999983,3,0
2017-04-09,-0.08000000000000007,0,0
2017-04-10,0.952,35,0
2017-04-11,-0.23359999999999997,22,2
2017-04-12,-0.10553600000000009,31,2
2017-04-13,-0.06842880000000004,6,0
2017-04-14,-0.050526720000000025,13,2
2017-04-15,-0.03992371199999995,0,0
2017-04-16,-0.03289815039999998,0,0
2017-04-17,-0.01692672000000001,7,0
2017-04-18,0.9856122880000001,17,2
2017-04-19,0.7875306496000001,32,0
2017-04-20,-0.28,31,0
2017-04-21,-0.1280000000000001,7,1
2017-04-22,-0.08160000000000005,0,12
2017-04-23,-0.05913600000000002,0,0
2017-04-24,0.9540352,13,1
2017-04-25,-0.23735552,11,2
2017-04-26,-0.11131443200000002,7,2
2017-04-27,-0.07485706239999994,47,6
2017-04-28,-0.04606935039999997,34,8
2017-04-29,-0.025536000000000014,2,0
2017-04-30,-0.02042880000000001,0,0
2017-05-01,1.98307328,0,0
2017-05-02,1.585612288,24,1
2017-05-03,8.4275306496,45,2
2017-05-04,0.944,31,0
2017-05-05,-1.4832000000000005,9,0
2017-05-06,-0.7902720000000005,4,0
2017-05-07,-0.5383296000000003,2,0
2017-05-08,0.5946649599999998,1,0
2017-05-09,0.47690393600000003,11,1
2017-05-10,0.4526589952000001,14,3
2017-05-11,-0.5332082687999995,16,0
2017-05-12,-0.31698728959999967,68,0
2017-05-13,-0.14454405119999997,0,0
2017-05-14,-0.07956480000000005,7,0
2017-05-15,-0.06289152000000003,25,1
2017-05-16,-0.05174323199999996,5,0
2017-05-17,-0.043783782399999915,3,0
2017-05-18,-0.026857062399999902,5,2
2017-05-19,-0.012469350399999964,4,1
2017-05-20,0.0,0,0
2017-05-21,0.0,1,0
2017-05-22,0.0,12,0
2017-05-23,0.0,36,0
2017-05-24,0.0,20,0
2017-05-25,0.0,0,1
2017-05-26,0.0,1,1
2017-05-27,0.0,0,0
2017-05-28,0.0,4,0
2017-05-29,0.0,14,0
2017-05-30,1.0,17,0
2017-05-31,-0.19999999999999996,30,0
2017-06-01,2.92,15,0
2017-06-02,5.352,32,0
2017-06-03,-1.4736,11,0
2017-06-04,-0.6495360000000006,0,0
2017-06-05,0.5907711999999998,6,0
2017-06-06,0.50486528,17,1
2017-06-07,-0.508890112,32,0
2017-06-08,2.6861776896,20,4
2017-06-09,0.1736765440000002,9,0
2017-06-10,1.3771296768000003,0,0
2017-06-11,-0.7447809023999998,5,0
2017-06-12,2.6538444799999996,31,0
2017-06-13,2.162477568,6,0
2017-06-14,1.9791205376,19,0
2017-06-15,3.8812496895999997,17,0
2017-06-16,-0.585747456,13,0
2017-06-17,-0.0070572032000004725,3,0
2017-06-18,-0.7999391744000002,0,0
2017-06-19,2.4903867392,5,1
2017-06-20,1.035490304,8,1
2017-06-21,4.0673686528,8,0
2017-06-22,3.4848304128,15,0
2017-06-23,-0.7435021311999999,12,0
2017-06-24,-1.0774691840000004,0,0
2017-06-25,-0.6272154624000003,0,0
2017-06-26,2.5522128896,19,1
2017-06-27,2.059559424,17,0
2017-06-28,5.8815029247999995,4,1
2017-06-29,0.014060339200000271,20,0
2017-06-30,-1.3560120320000002,9,0
2017-07-01,-0.7501424640000003,3,0
2017-07-02,-0.4815637504000002,10,0
2017-07-03,1.64198144,3,0
2017-07-04,0.3119831040000002,1,5
2017-07-05,1.4000841728000002,0,1
2017-07-06,-0.7479754751999995,6,0
2017-07-07,1.6087391232000001,6,0
2017-07-08,-0.6056107008,12,0
2017-07-09,0.7064063999999998,2,0
2017-07-10,4.59864576,2,0
2017-07-11,14.766240256,5,0
2017-07-12,10.2277481472,3,0
2017-07-13,-3.435702374400001,19,0
2017-07-14,2.6596718591999986,3,1
2017-07-15,-2.4664842240000002,0,0
2017-07-16,-1.4709854208000008,0,0
2017-07-17,-1.0569861120000004,9,0
2017-07-18,-0.8347746304,9,0
2017-07-19,5.322366976000001,26,0
2017-07-20,9.279991705600002,16,0
2017-07-21,-2.953592217599999,32,0
2017-07-22,-1.2524079104000005,11,0
2017-07-23,-0.7919467520000003,0,0
2017-07-24,1.4771839999999998,34,0
2017-07-25,0.1965311999999999,34,0
2017-07-26,1.3137228799999998,17,0
2017-07-27,0.15147980800000016,24,1
2017-07-28,0.2917190656000007,28,0
2017-07-29,-0.5978348543999998,1,0
2017-07-30,-0.2615936000000002,2,2
2017-07-31,-0.1869542400000001,6,5
2017-08-01,0.854304256,14,0
2017-08-02,4.6808553472000005,0,3
2017-08-03,2.8413997056,14,0
2017-08-04,-0.3042531328,5,2
2017-08-05,-0.8204570624000003,0,0
2017-08-06,0.5219946495999997,0,0
2017-08-07,-0.5305088000000001,0,0
2017-08-08,-0.3348147200000002,2,0
2017-08-09,0.745727488,17,0
2017-08-10,-0.4061435903999997,2,0
2017-08-11,-0.24236031999999966,13,0
2017-08-12,-0.13269391359999985,0,0
2017-08-13,-0.06299607039999999,0,0
2017-08-14,-0.03992371199999995,10,0
2017-08-15,5.9671018496,0,0
2017-08-16,0.7830732800000002,12,0
2017-08-17,3.1056122879999997,12,0
2017-08-18,0.7395306495999998,13,3
2017-08-19,0.9823999999999997,0,0
2017-08-20,-0.9724160000000003,1,0
2017-08-21,-0.5640448000000003,4,1
2017-08-22,-0.4077619200000003,7,0
2017-08-23,-0.32016691199999975,7,0
2017-08-24,-0.26322800639999977,3,6
2017-08-25,-0.15720058879999974,22,1
2017-08-26,-0.11250626559999977,1,0
2017-08-27,0.9462858752000002,4,0
2017-08-28,-0.2249387007999999,13,0
2017-08-29,-0.08000000000000007,19,0
2017-08-30,-0.048000000000000036,8,0
2017-08-31,-0.03360000000000001,1,0
2017-09-01,-0.025536000000000014,3,1
2017-09-02,-0.02042880000000001,0,0
2017-09-03,-0.01692672000000001,0,2
2017-09-04,-0.01438771199999994,10,0
2017-09-05,-0.012469350399999964,13,4
2017-09-06,0.0,13,0
2017-09-07,0.0,46,0
2017-09-08,0.0,12,2
2017-09-09,0.0,0,0
2017-09-10,0.0,3,0
2017-09-11,0.0,29,0
2017-09-12,0.0,20,0
2017-09-13,11.0,9,1
2017-09-14,0.8000000000000007,28,1
2017-09-15,0.5199999999999994,8,0
2017-09-16,-1.1680000000000006,4,0
2017-09-17,-0.6736000000000004,3,0
2017-09-18,-0.47769600000000023,17,1
2017-09-19,-0.3685248000000002,28,4
2017-09-20,-0.29855232000000015,24,0
2017-09-21,0.7500974080000006,18,0
2017-09-22,0.5858205696000006,5,1
2017-09-23,-0.3461834751999998,3,0
2017-09-24,-0.15293870080000005,26,0
2017-09-25,0.9184,37,0
2017-09-26,1.740864,17,0
2017-09-27,0.4740352,10,0
2017-09-28,-0.4453555200000001,19,0
2017-09-29,-0.24091443200000012,23,0
