,rust-lang/rust,JuliaLang/julia,python/cpython
2022-09-16,94,7,4
2022-09-17,58,7,7
2022-09-18,46,3,4
2022-09-19,70,7,8
2022-09-20,82,7,8
2022-09-21,86,11,5
2022-09-22,103,7,6
2022-09-23,99,1,4
2022-09-24,93,2,3
2022-09-25,68,1,5
2022-09-26,101,5,6
2022-09-27,140,10,4
2022-09-28,64,5,8
2022-09-29,77,14,4
2022-09-30,82,12,9
2022-10-01,104,2,3
2022-10-02,91,7,6
2022-10-03,83,11,22
2022-10-04,65,9,33
2022-10-05,65,11,27
2022-10-06,78,14,19
2022-10-07,116,15,46
2022-10-08,60,6,14
2022-10-09,83,1,3
2022-10-10,108,17,10
2022-10-11,64,0,10
2022-10-12,74,6,12
2022-10-13,68,8,3
2022-10-14,87,5,1
2022-10-15,68,5,15
2022-10-16,70,4,7
2022-10-17,77,3,11
2022-10-18,65,7,12
2022-10-19,93,5,15
2022-10-20,104,8,14
2022-10-21,78,7,8
2022-10-22,64,5,7
2022-10-23,101,2,5
2022-10-24,106,16,16
2022-10-25,92,9,18
2022-10-26,95,9,14
2022-10-27,99,9,10
2022-10-28,74,5,11
2022-10-29,109,8,8
2022-10-30,39,1,5
2022-10-31,70,4,9
2022-11-01,71,8,12
2022-11-02,72,23,18
2022-11-03,52,12,24
2022-11-04,105,9,9
2022-11-05,102,2,8
2022-11-06,69,8,14
2022-11-07,158,5,15
2022-11-08,78,15,16
2022-11-09,122,6,9
2022-11-10,95,8,22
2022-11-11,86,1,14
2022-11-12,85,0,10
2022-11-13,71,3,11
2022-11-14,72,5,22
2022-11-15,102,8,9
2022-11-16,70,6,16
2022-11-17,70,3,6
2022-11-18,97,1,6
2022-11-19,105,8,3
2022-11-20,106,2,4
2022-11-21,130,8,7
2022-11-22,80,4,19
2022-11-23,90,3,8
2022-11-24,86,3,15
2022-11-25,170,3,8
2022-11-26,80,2,13
2022-11-27,88,2,11
2022-11-28,100,12,9
2022-11-29,100,9,10
2022-11-30,65,9,14
2022-12-01,90,4,3
2022-12-02,87,3,4
2022-12-03,75,4,4
2022-12-04,54,1,6
2022-12-05,53,5,15
2022-12-06,106,3,11
2022-12-07,60,14,8
2022-12-08,59,0,13
2022-12-09,83,4,13
2022-12-10,60,5,8
2022-12-11,68,5,3
2022-12-12,68,6,12
2022-12-13,110,6,2
2022-12-14,112,5,6
2022-12-15,88,3,6
2022-12-16,70,3,11
2022-12-17,79,0,8
2022-12-18,53,1,2
2022-12-19,53,2,2
2022-12-20,91,10,8
2022-12-21,59,12,10
2022-12-22,74,9,10
2022-12-23,60,3,16
2022-12-24,42,3,16
2022-12-25,44,2,2
2022-12-26,22,3,3
2022-12-27,67,16,3
2022-12-28,110,14,19
2022-12-29,67,18,4
2022-12-30,52,2,3
2022-12-31,54,3,6
2023-01-01,39,4,9
2023-01-02,87,6,6
2023-01-03,66,6,7
2023-01-04,80,7,7
2023-01-05,56,10,9
2023-01-06,62,8,9
2023-01-07,53,3,7
2023-01-08,37,5,13
2023-01-09,172,7,12
2023-01-10,52,32,7
2023-01-11,133,6,9
2023-01-12,131,9,7
2023-01-13,106,12,5
2023-01-14,131,4,8
2023-01-15,49,1,3
2023-01-16,65,9,7
2023-01-17,100,7,3
2023-01-18,72,9,6
2023-01-19,76,11,5
2023-01-20,84,4,16
2023-01-21,83,1,9
2023-01-22,54,10,8
2023-01-23,100,2,7
2023-01-24,50,8,13
2023-01-25,64,3,7
2023-01-26,81,5,9
2023-01-27,151,3,5
2023-01-28,77,8,5
2023-01-29,57,1,1
2023-01-30,91,5,8
2023-01-31,95,3,12
2023-02-01,72,9,10
2023-02-02,73,8,5
2023-02-03,80,12,9
2023-02-04,30,3,6
2023-02-05,61,17,9
2023-02-06,65,7,11
2023-02-07,72,14,17
2023-02-08,52,9,16
2023-02-09,84,8,13
2023-02-10,89,23,10
2023-02-11,53,2,2
2023-02-12,56,5,4
2023-02-13,90,20,6
2023-02-14,139,11,7
2023-02-15,86,6,7
2023-02-16,95,13,11
2023-02-17,75,6,10
2023-02-18,98,1,4
2023-02-19,73,1,10
2023-02-20,93,3,10
2023-02-21,91,7,9
2023-02-22,83,2,7
2023-02-23,66,3,12
2023-02-24,42,5,9
2023-02-25,79,5,8
2023-02-26,82,3,4
2023-02-27,64,3,8
2023-02-28,79,7,10
2023-03-01,126,12,6
2023-03-02,66,7,5
2023-03-03,93,41,4
2023-03-04,80,5,9
2023-03-05,84,7,10
2023-03-06,75,18,5
2023-03-07,60,7,8
2023-03-08,98,22,13
2023-03-09,97,7,7
2023-03-10,104,7,6
2023-03-11,75,1,9
2023-03-12,78,0,4
2023-03-13,76,1,13
2023-03-14,87,2,12
2023-03-15,87,6,13
2023-03-16,86,10,16
2023-03-17,88,6,5
2023-03-18,47,1,5
2023-03-19,59,1,6
2023-03-20,70,7,8
2023-03-21,92,12,17
2023-03-22,91,4,17
2023-03-23,79,9,15
2023-03-24,75,17,7
2023-03-25,63,3,8
2023-03-26,61,2,0
2023-03-27,84,2,7
2023-03-28,81,10,3
2023-03-29,99,7,8
2023-03-30,105,11,6
2023-03-31,50,10,12
2023-04-01,33,5,2
2023-04-02,34,3,7
2023-04-03,105,4,8
2023-04-04,115,7,11
2023-04-05,91,17,15
2023-04-06,112,3,13
2023-04-07,70,7,12
2023-04-08,48,3,8
2023-04-09,85,11,16
2023-04-10,64,15,8
2023-04-11,101,9,15
2023-04-12,108,6,10
2023-04-13,99,17,10
2023-04-14,104,5,12
2023-04-15,47,2,3
2023-04-16,111,0,2
2023-04-17,90,14,6
2023-04-18,60,7,8
2023-04-19,83,8,12
2023-04-20,104,14,1
2023-04-21,94,5,4
2023-04-22,101,9,12
2023-04-23,70,2,11
2023-04-24,90,9,40
2023-04-25,93,7,12
2023-04-26,101,10,19
2023-04-27,109,13,20
2023-04-28,92,8,11
2023-04-29,95,3,6
2023-04-30,56,0,8
2023-05-01,64,3,21
2023-05-02,150,10,15
2023-05-03,68,10,22
2023-05-04,67,31,28
2023-05-05,120,19,21
2023-05-06,118,11,12
2023-05-07,64,2,18
2023-05-08,83,13,13
2023-05-09,70,7,18
2023-05-10,67,12,13
2023-05-11,72,10,17
2023-05-12,74,17,20
2023-05-13,63,6,6
2023-05-14,57,2,6
2023-05-15,79,16,13
2023-05-16,72,8,20
2023-05-17,54,16,11
2023-05-18,102,4,16
2023-05-19,39,6,19
2023-05-20,62,5,14
2023-05-21,44,5,20
2023-05-22,64,5,23
2023-05-23,75,4,15
2023-05-24,75,4,30
2023-05-25,105,3,17
2023-05-26,119,8,23
2023-05-27,46,2,9
2023-05-28,51,0,4
2023-05-29,66,4,7
2023-05-30,72,8,18
2023-05-31,80,13,20
2023-06-01,100,6,19
2023-06-02,105,6,14
2023-06-03,61,2,2
2023-06-04,53,2,4
2023-06-05,116,5,13
2023-06-06,67,8,29
2023-06-07,73,8,24
2023-06-08,76,4,14
2023-06-09,66,8,20
2023-06-10,72,2,2
2023-06-11,62,1,15
2023-06-12,108,4,9
2023-06-13,84,11,16
2023-06-14,102,8,30
2023-06-15,78,8,13
2023-06-16,81,8,10
2023-06-17,73,10,1
2023-06-18,58,2,4
2023-06-19,125,7,8
2023-06-20,107,10,7
2023-06-21,111,5,12
2023-06-22,85,14,10
2023-06-23,77,2,13
2023-06-24,55,4,3
2023-06-25,61,4,3
2023-06-26,62,7,13
2023-06-27,113,10,12
2023-06-28,101,11,16
2023-06-29,93,10,9
2023-06-30,99,11,18
2023-07-01,61,3,11
2023-07-02,72,3,11
2023-07-03,112,4,26
2023-07-04,67,2,19
2023-07-05,100,14,9
2023-07-06,69,13,12
2023-07-07,89,11,12
2023-07-08,83,4,8
2023-07-09,41,2,7
2023-07-10,103,10,16
2023-07-11,53,12,25
2023-07-12,81,9,13
2023-07-13,84,13,12
2023-07-14,92,10,11
2023-07-15,33,10,8
2023-07-16,74,4,7
2023-07-17,76,9,15
