,facebook/react,vuejs/core,sveltejs/svelte
2022-12-19,2.0,0,1
2022-12-20,14.8,0,1
2022-12-21,11.409999999999998,0,0
2022-12-22,10.967999999999998,0,4
2022-12-23,0.6461749999999986,1,0
2022-12-24,-1.5976709999999996,0,0
2022-12-25,-1.0421877749999984,0,0
2022-12-26,-0.7832478299999978,0,0
2022-12-27,-0.628153482281248,0,0
2022-12-28,-0.5239968640562485,0,0
2022-12-29,-0.4340749459921863,0,0
2022-12-30,-0.2668542409203118,0,0
2022-12-31,-0.13789002201406214,0,1
2023-01-01,-0.025196557607812434,1,2
2023-01-02,0.0,0,10
2023-01-03,3.0,0,2
2023-01-04,12.7,0,0
2023-01-05,4.564999999999999,0,0
2023-01-06,-0.2705000000000011,0,0
2023-01-07,-0.8024875000000002,0,0
2023-01-08,-0.532962749999999,0,0
2023-01-09,10.598521212500001,6,1
2023-01-10,8.57824974875,0,6
2023-01-11,10.236988184703124,0,0
2023-01-12,8.807191183189062,2,1
2023-01-13,5.670023842689062,0,0
2023-01-14,1.9191293217687502,0,0
2023-01-15,-0.6357984900359364,0,0
2023-01-16,0.8176607162500018,1,0
2023-01-17,3.924283194328127,0,0
2023-01-18,3.703938999448439,0,0
2023-01-19,13.706735459703125,0,0
2023-01-20,6.727622956396875,1,0
2023-01-21,-2.079516679520313,1,0
2023-01-22,-1.1592780435999996,0,0
2023-01-23,7.221817571840626,0,0
2023-01-24,6.6234722276828135,0,0
2023-01-25,9.377411311100001,0,1
2023-01-26,2.9373006159921875,19,0
2023-01-27,1.3263377758359378,3,1
2023-01-28,-0.3448316051796867,0,4
2023-01-29,-0.914607272823436,1,0
2023-01-30,10.394857580000002,1,1
2023-01-31,25.418850538375,0,0
2023-02-01,7.404409204337498,10,0
2023-02-02,10.087986467790623,17,2
2023-02-03,7.021540455776561,16,1
2023-02-04,-2.715464647976561,1,0
2023-02-05,-1.6624867581234355,4,3
2023-02-06,5.783299401214065,7,0
2023-02-07,12.334293870578128,0,3
2023-02-08,9.479963849432814,0,0
2023-02-09,8.362641362107812,0,0
2023-02-10,15.488650090401563,1,0
2023-02-11,-3.2439604631234378,1,0
2023-02-12,-0.7732071128593736,0,0
2023-02-13,7.7043874512500015,0,1
2023-02-14,12.125556661390627,0,7
2023-02-15,1.4057436575296882,0,0
2023-02-16,18.101486924559374,0,2
2023-02-17,6.813196543896875,0,0
2023-02-18,-2.726104774676562,0,0
2023-02-19,-1.609015654396874,0,0
2023-02-20,6.943603245734377,0,0
2023-02-21,6.36856653282344,5,12
2023-02-22,2.1616714099578136,0,7
2023-02-23,0.5026487624343756,0,6
2023-02-24,1.890801367043751,0,2
2023-02-25,1.9381058191250014,0,0
2023-02-26,-0.8928686253593742,0,3
2023-02-27,6.479662330000001,0,14
2023-02-28,3.9023348758750003,0,10
2023-03-01,5.8602261155875,0,7
2023-03-02,5.66001224765,0,5
2023-03-03,20.572363337575,0,0
2023-03-04,7.9905865171312485,0,2
2023-03-05,0.3392431658453119,0,0
2023-03-06,24.15188275614219,0,1
2023-03-07,5.169526990140625,0,0
2023-03-08,15.986220505920313,0,3
2023-03-09,7.238535647460937,0,1
2023-03-10,3.688311136139064,0,2
2023-03-11,3.227690449654689,0,0
2023-03-12,-1.4316578627124974,0,0
2023-03-13,7.369007718057816,0,1
2023-03-14,0.9381840502359395,0,7
2023-03-15,10.369660400675002,0,7
2023-03-16,6.819584633629688,0,2
2023-03-17,7.850963159895313,2,2
2023-03-18,-0.1931280090046874,0,1
2023-03-19,-1.4485539045953115,0,1
2023-03-20,7.046345768018751,0,2
2023-03-21,10.50558534157344,0,3
2023-03-22,16.881630420629687,0,0
2023-03-23,1.9282867949546865,4,1
2023-03-24,9.813537964928125,1,1
2023-03-25,0.463155804520313,1,0
2023-03-26,-1.776909751390623,6,0
2023-03-27,14.849977824928127,4,6
2023-03-28,6.526217153375001,32,2
2023-03-29,5.666010632275,7,2
2023-03-30,19.794652941021877,10,5
2023-03-31,11.472869844239062,6,0
2023-04-01,-2.3519256076171877,0,0
2023-04-02,-1.0524341194781242,2,4
2023-04-03,2.52283718989219,2,3
2023-04-04,12.503761625500003,4,0
2023-04-05,9.530275947284377,8,3
2023-04-06,5.425593068051563,11,0
2023-04-07,1.7049720871187501,0,0
2023-04-08,-1.8082971597749988,6,0
2023-04-09,-0.08087734730468554,1,0
2023-04-10,9.180688874448439,3,0
2023-04-11,11.383487997901563,12,9
2023-04-12,-0.24893924736250028,2,2
2023-04-13,1.5355361883093752,6,0
