,apache/commons-io,google/guava,apache/commons-lang
2012-05-19,0,0,0
2012-05-20,0,0,0
2012-05-21,0,8,0
2012-05-22,0,1,0
2012-05-23,0,8,0
2012-05-24,0,1,0
2012-05-25,0,3,4
2012-05-26,0,0,0
2012-05-27,1,0,0
2012-05-28,4,0,0
2012-05-29,0,6,0
2012-05-30,0,2,1
2012-05-31,0,3,0
2012-06-01,3,4,0
2012-06-02,0,0,0
2012-06-03,1,0,0
2012-06-04,0,0,0
2012-06-05,1,0,0
2012-06-06,1,5,0
2012-06-07,11,0,0
2012-06-08,0,0,0
2012-06-09,0,0,2
2012-06-10,0,0,1
2012-06-11,1,5,0
2012-06-12,18,3,0
2012-06-13,0,13,0
2012-06-14,0,2,0
2012-06-15,0,1,0
2012-06-16,0,0,0
2012-06-17,0,0,0
