,golang/go,swiftlang/swift,rust-lang/rust
2010-07-17,5,1.0,2
2010-07-18,0,17.5,6
2010-07-19,7,12.875,12
2010-07-20,5,-13.3125,17
2010-07-21,14,-2.9140625,9
2010-07-22,5,11.39453125,11
2010-07-23,2,-0.4970703125,12
2010-07-24,0,6.20068359375,0
2010-07-25,3,1.831634521484375,0
2010-07-26,12,-8.800277709960938,13
2010-07-27,11,12.612274169921875,1
2010-07-28,4,-7.957305908203125,6
2010-07-29,10,-4.187896728515625,32
2010-07-30,14,4.8595123291015625,0
2010-07-31,0,-2.942535400390625,1
2010-08-01,1,4.174652099609375,0
2010-08-02,1,-4.8561553955078125,1
2010-08-03,19,5.3077239990234375,2
2010-08-04,4,3.55126953125,16
2010-08-05,15,2.45257568359375,9
2010-08-06,7,-5.804534912109375,5
2010-08-07,2,0.959136962890625,10
2010-08-08,0,-0.7192535400390625,1
2010-08-09,7,-2.16326904296875,18
2010-08-10,12,-1.0094757080078125,7
2010-08-11,5,-0.626800537109375,12
2010-08-12,17,-0.4701690673828125,8
2010-08-13,7,-0.3082275390625,4
2010-08-14,2,-0.1766357421875,0
2010-08-15,1,-0.071502685546875,0
2010-08-16,7,-0.0589141845703125,3
2010-08-17,9,-0.021820068359375,3
2010-08-18,5,0.0,23
2010-08-19,9,0.0,4
2010-08-20,3,0.0,22
2010-08-21,1,0.0,1
2010-08-22,2,0.0,0
2010-08-23,4,0.0,0
2010-08-24,7,0.0,13
2010-08-25,21,0.0,16
2010-08-26,19,0.0,12
2010-08-27,10,0.0,14
2010-08-28,0,0.0,3
2010-08-29,3,0.0,0
2010-08-30,7,0.0,0
2010-08-31,9,0.0,5
2010-09-01,9,0.0,1
2010-09-02,13,0.0,0
2010-09-03,7,0.0,4
2010-09-04,5,2.0,0
2010-09-05,1,-1.0,0
2010-09-06,1,-0.25,0
2010-09-07,14,-0.125,4
2010-09-08,8,-0.078125,15
2010-09-09,17,-0.0546875,4
2010-09-10,19,-0.041015625,3
2010-09-11,7,-0.0322265625,0
2010-09-12,16,-0.02618408203125,1
2010-09-13,10,-0.021820068359375,1
2010-09-14,10,0.0,5
2010-09-15,6,0.0,4
2010-09-16,14,0.0,16
2010-09-17,3,0.0,0
2010-09-18,2,2.0,0
2010-09-19,3,-1.0,0
2010-09-20,16,-0.25,1
2010-09-21,5,-0.125,12
2010-09-22,17,-0.078125,8
2010-09-23,12,-0.0546875,4
2010-09-24,29,-0.041015625,8
2010-09-25,2,-0.0322265625,0
2010-09-26,0,-0.02618408203125,0
2010-09-27,12,-0.021820068359375,3
2010-09-28,10,0.0,5
2010-09-29,14,0.0,1
2010-09-30,16,0.0,5
2010-10-01,5,0.0,2
2010-10-02,0,0.0,1
2010-10-03,1,0.0,0
2010-10-04,3,0.0,1
2010-10-05,2,0.0,2
2010-10-06,13,0.0,5
2010-10-07,13,0.0,3
2010-10-08,2,0.0,6
2010-10-09,1,17.0,9
2010-10-10,0,2.5,2
2010-10-11,11,-4.625,2
2010-10-12,16,-0.9375,11
2010-10-13,9,-3.2265625,7
2010-10-14,10,-1.45703125,8
2010-10-15,10,3.0458984375,2
2010-10-16,2,-2.69873046875,1
2010-10-17,4,2.956634521484375,0
2010-10-18,14,-1.6893463134765625,9
2010-10-19,7,-1.3638763427734375,5
2010-10-20,17,-0.5563812255859375,4
2010-10-21,17,-0.3335113525390625,15
2010-10-22,12,-0.212890625,12
2010-10-23,0,-0.1617431640625,8
2010-10-24,1,0.87139892578125,0
2010-10-25,11,-0.5684814453125,0
2010-10-26,14,-0.181732177734375,5
2010-10-27,8,-0.0734100341796875,2
2010-10-28,14,-0.0390625,8
2010-10-29,7,-0.02734375,0
2010-10-30,4,-0.0205078125,0
2010-10-31,4,-0.01611328125,0
2010-11-01,18,-0.013092041015625,0
2010-11-02,6,-0.0109100341796875,2
2010-11-03,6,0.0,9
2010-11-04,10,0.0,3
2010-11-05,14,0.0,8
2010-11-06,4,0.0,9
2010-11-07,0,0.0,0
2010-11-08,6,0.0,2
2010-11-09,5,0.0,2
2010-11-10,9,0.0,1
2010-11-11,4,5.0,2
2010-11-12,8,-2.5,3
2010-11-13,3,-0.625,1
2010-11-14,0,-0.3125,7
2010-11-15,0,-0.1953125,1
2010-11-16,0,-0.13671875,1
2010-11-17,2,-0.1025390625,0
2010-11-18,8,-0.08056640625,1
2010-11-19,5,-0.065460205078125,4
2010-11-20,1,-0.0545501708984375,5
2010-11-21,1,0.0,6
2010-11-22,4,0.0,6
2010-11-23,2,0.0,7
2010-11-24,1,0.0,4
2010-11-25,0,4.0,10
2010-11-26,1,-2.0,10
2010-11-27,1,0.5,2
