,adblockplus/adblockplus,gorhill/ublock,brave/brave-browser
2016-11-09,0,2,4.0
2016-11-10,0,3,9.8
2016-11-11,0,0,-3.72
2016-11-12,0,4,1.607000000000001
2016-11-13,0,1,-1.7151499999999997
2016-11-14,0,2,-0.8756684999999997
2016-11-15,0,0,-0.5985461999999999
2016-11-16,0,1,1.5475939175
2016-11-17,0,6,2.0388023716875
2016-11-18,1,1,-0.4088201248531256
2016-11-19,0,0,-0.9402893668109376
2016-11-20,0,0,-0.41145515029687496
2016-11-21,1,0,0.7198217603015624
2016-11-22,1,1,2.524115025
2016-11-23,0,2,-0.14247738500000007
2016-11-24,0,0,-0.7864061172812499
2016-11-25,0,0,0.5825832494875001
2016-11-26,0,0,1.4336652935359373
2016-11-27,0,0,-0.8711875257328126
2016-11-28,0,2,11.61197988875
2016-11-29,0,0,2.1448080994843743
2016-11-30,1,0,-3.250216087279687
2016-12-01,0,2,-1.4833483189640617
2016-12-02,0,3,-0.9180524119828124
2016-12-03,0,2,-0.6514092642656251
2016-12-04,0,0,-0.5030286967640625
2016-12-05,0,0,-0.3943392864656251
2016-12-06,0,0,0.6957357563124995
2016-12-07,0,9,0.4417387406124994
2016-12-08,0,4,-0.48650047939687513
2016-12-09,0,0,0.8355000000000001
2016-12-10,0,0,0.6003375
2016-12-11,0,0,-0.47488274999999996
2016-12-12,0,0,-0.21750111249999987
2016-12-13,0,1,-0.14190063624999996
2016-12-14,0,3,4.895283259484375
2016-12-15,0,4,2.4175387575015623
2016-12-16,0,1,0.21917845051718765
2016-12-17,0,0,-1.3523339905156249
2016-12-18,0,0,-0.6782726299984373
2016-12-19,0,2,0.5581653367671875
2016-12-20,0,0,-0.6156103125
2016-12-21,1,1,0.6476496812500001
2016-12-22,0,0,0.4387255961718748
2016-12-23,0,0,1.3854990192734373
2016-12-24,0,0,-0.8803073364625001
2016-12-25,0,3,-0.36011018896562486
2016-12-26,0,3,-0.20784002374999994
2016-12-27,0,1,-0.14920282926562503
2016-12-28,0,0,-0.11526204948281252
2016-12-29,0,4,0.9186042844843749
2016-12-30,0,3,-0.3673746774984376
2016-12-31,0,0,-0.15033684676406253
2017-01-01,0,0,0.913333173534375
2017-01-02,0,1,-0.34016250000000003
2017-01-03,0,0,-0.13472024999999993
2017-01-04,0,0,-0.08278086249999997
2017-01-05,2,0,0.94088022625
2017-01-06,0,2,0.6544030332343749
2017-01-07,0,5,-0.4418642757328125
2017-01-08,0,4,-0.1834572737499999
2017-01-09,0,5,-0.11553921676562501
2017-01-10,0,0,-0.08346616323281252
2017-01-11,0,0,0.9469988875
2017-01-12,0,1,-0.34223813625000005
2017-01-13,0,0,-0.13983399051562498
2017-01-14,0,0,-0.08896012999843754
2017-01-15,0,0,-0.05374591323281252
2017-01-16,0,0,-0.029720249999999997
2017-01-17,0,1,-0.023280862499999996
2017-01-18,0,7,-0.018957273750000003
2017-01-19,3,3,1.984123283234375
2017-01-20,0,5,-0.6135834132328126
2017-01-21,0,0,-0.20999999999999985
2017-01-22,0,3,-0.11899999999999994
2017-01-23,0,7,-0.080325
2017-01-24,1,3,-0.05944049999999999
2017-01-25,0,3,-0.04656172499999999
2017-01-26,0,2,0.9620854525
2017-01-27,0,2,-0.33175343353125014
2017-01-28,0,1,-0.13216682646562497
2017-01-29,0,0,-0.05949999999999997
2017-01-30,0,0,-0.0401625
2017-01-31,0,0,-0.029720249999999997
2017-02-01,0,2,-0.023280862499999996
2017-02-02,0,0,-0.018957273750000003
2017-02-03,0,2,-0.015876716765625045
2017-02-04,0,0,-0.013583413232812524
2017-02-05,0,3,0.0
2017-02-06,0,3,0.0
2017-02-07,0,1,0.0
2017-02-08,0,0,0.0
2017-02-09,0,1,3.0
2017-02-10,0,0,1.0999999999999999
2017-02-11,0,1,-0.9149999999999998
2017-02-12,0,1,-0.38849999999999973
2017-02-13,0,2,-0.23948749999999994
2017-02-14,0,0,0.83051425
2017-02-15,0,0,-0.4292830875
2017-02-16,0,1,-0.20843354624999993
2017-02-17,0,0,-0.14504469779687512
2017-02-18,0,3,-0.11266617322968767
2017-02-19,0,2,-0.05688707646562505
2017-02-20,0,0,-0.023280862499999996
2017-02-21,0,0,-0.018957273750000003
2017-02-22,0,0,-0.015876716765625045
2017-02-23,0,0,-0.013583413232812524
2017-02-24,0,0,0.0
2017-02-25,0,0,0.0
2017-02-26,0,0,0.0
2017-02-27,0,1,0.0
2017-02-28,0,1,0.0
2017-03-01,0,0,0.0
2017-03-02,0,2,0.0
2017-03-03,1,1,0.0
2017-03-04,0,0,0.0
2017-03-05,0,5,0.0
2017-03-06,0,2,0.0
2017-03-07,1,1,0.0
2017-03-08,0,1,0.0
2017-03-09,1,0,1.0
2017-03-10,0,1,-0.30000000000000004
2017-03-11,0,2,-0.10499999999999993
2017-03-12,0,1,-0.05949999999999997
2017-03-13,0,3,-0.0401625
2017-03-14,0,3,-0.029720249999999997
2017-03-15,0,0,7.9767191375
2017-03-16,1,2,-2.4189572737500002
2017-03-17,0,0,-0.8558767167656245
2017-03-18,0,1,-0.4895834132328123
2017-03-19,0,0,0.6787000000000001
2017-03-20,0,3,-0.5377620000000001
2017-03-21,2,1,0.7087531000000001
2017-03-22,0,1,-0.5111581900000001
2017-03-23,0,1,2.7278237658749998
2017-03-24,0,1,8.902112444137499
2017-03-25,0,3,-3.3784433625
2017-03-26,0,0,-1.2771775237499994
2017-03-27,0,2,-0.7546450792656247
2017-03-28,0,0,1.4766735630171874
2017-03-29,0,0,-0.9829218042656251
2017-03-30,0,0,-0.5132638594828123
2017-03-31,0,1,0.643797112203125
2017-04-01,0,12,-0.5798424073546881
2017-04-02,0,4,-0.3002746323281252
2017-04-03,0,6,-0.10606172499999997
2017-04-04,0,2,-0.0780770475
2017-04-05,0,1,-0.06147368353125009
2017-04-06,0,0,-0.05044768896562504
2017-04-07,1,1,-0.018957273750000003
2017-04-08,0,1,-0.015876716765625045
2017-04-09,0,2,-0.013583413232812524
2017-04-10,0,0,0.0
2017-04-11,0,0,0.0
2017-04-12,0,1,0.0
2017-04-13,0,0,0.0
2017-04-14,0,1,0.0
2017-04-15,0,1,0.0
2017-04-16,0,0,0.0
2017-04-17,0,0,0.0
2017-04-18,0,0,0.0
2017-04-19,0,0,1.0
2017-04-20,0,0,8.7
2017-04-21,0,0,-1.8050000000000002
2017-04-22,0,4,-1.3044999999999993
2017-04-23,0,2,1.3193375000000003
2017-04-24,0,3,-1.05068275
2017-04-25,0,1,-0.5409256124999998
2017-04-26,0,4,-0.3772052862499999
2017-04-27,0,3,-0.2900980430156251
2017-04-28,0,0,-0.23487163787343796
2017-04-29,0,3,-0.18468916086093776
2017-04-30,0,1,-0.05149796073281253
2017-05-01,0,0,-0.03175343353125009
2017-05-02,0,1,0.9728331735343749
2017-05-03,0,2,0.7
2017-05-04,0,0,-0.40499999999999997
2017-05-05,0,0,-0.1644999999999999
2017-05-06,0,2,2.9003375
2017-05-07,0,2,-0.9698827500000001
2017-05-08,0,5,0.6319988875000002
2017-05-09,0,2,1.4792618637500001
2017-05-10,0,1,-0.8603214905156251
2017-05-11,0,0,-0.38812087999843736
2017-05-12,0,3,-0.24258850073281243
2017-05-13,0,6,-0.16691707125
2017-05-14,0,1,-0.13035151279687512
2017-05-15,0,2,-0.10626923844843757
2017-05-16,0,4,-0.053791264265625055
2017-05-17,0,5,-0.04533684676406261
2017-05-18,0,2,-0.027166826465625047
2017-05-19,1,3,0.0
2017-05-20,0,11,0.0
2017-05-21,0,0,0.0
2017-05-22,0,0,0.0
2017-05-23,0,2,0.0
2017-05-24,0,0,0.0
2017-05-25,0,4,0.0
2017-05-26,0,4,0.0
2017-05-27,0,7,0.0
2017-05-28,0,8,0.0
2017-05-29,0,4,1.0
2017-05-30,0,5,0.7
2017-05-31,0,4,-0.40499999999999997
2017-06-01,0,1,-0.1644999999999999
2017-06-02,0,4,-0.09966249999999996
2017-06-03,0,0,-0.06988275
2017-06-04,0,0,-0.05300111249999999
2017-06-05,0,4,-0.04223813625
2017-06-06,0,1,1.965166009484375
2017-06-07,0,4,-0.6294601299984377
2017-06-08,0,3,-0.2235834132328124
2017-06-09,0,1,0.881
2017-06-10,0,1,-0.380325
2017-06-11,0,1,-0.16444049999999993
2017-06-12,0,0,0.893938275
2017-06-13,0,0,0.6219229525
2017-06-14,0,2,-0.46647368353125007
2017-06-15,0,0,-0.21494768896562494
2017-06-16,0,0,0.88138022625
2017-06-17,0,3,-0.3857594667656251
2017-06-18,0,1,-0.17158452573281244
2017-06-19,0,3,-0.10173813624999997
2017-06-20,0,0,-0.07499649051562504
2017-06-21,0,6,1.9408196200015624
2017-06-22,0,5,-0.6368642757328126
2017-06-23,0,2,-0.22895727374999986
2017-06-24,0,4,-0.134876716765625
2017-06-25,0,0,-0.09390841323281252
2017-06-26,0,2,-0.05944049999999999
2017-06-27,0,0,-0.04656172499999999
2017-06-28,0,0,-0.037914547500000007
2017-06-29,0,0,-0.03175343353125009
2017-06-30,0,0,-0.027166826465625047
2017-07-01,0,0,0.0
2017-07-02,0,4,0.0
2017-07-03,1,7,0.0
2017-07-04,1,1,0.0
2017-07-05,0,2,1.0
2017-07-06,0,0,-0.30000000000000004
2017-07-07,0,3,0.895
2017-07-08,0,2,-0.35950000000000004
2017-07-09,0,5,-0.14516249999999992
2017-07-10,0,0,-0.08922024999999997
2017-07-11,0,4,0.9365566375000001
2017-07-12,0,0,-0.34867752375000005
2017-07-13,0,3,-0.14415757926562497
2017-07-14,0,1,0.9079593130171875
2017-07-15,0,0,-0.3560392167656251
2017-07-16,0,0,-0.14830366323281244
2017-07-17,1,0,-0.08278086249999997
2017-07-18,1,3,-0.05911977375
2017-07-19,0,3,-0.04559696676562504
2017-07-20,0,0,-0.03686427573281252
2017-07-21,0,2,0.98104272625
2017-07-22,0,3,-0.31587671676562507
2017-07-23,0,3,-0.11858341323281245
2017-07-24,1,4,-0.05949999999999997
2017-07-25,0,2,0.9598375
2017-07-26,0,2,-0.32972025000000005
2017-07-27,0,0,-0.12828086249999993
2017-07-28,0,0,-0.07845727374999997
2017-07-29,0,0,-0.05603921676562504
2017-07-30,0,0,-0.04330366323281252
2017-07-31,0,1,-0.023280862499999996
2017-08-01,0,0,-0.018957273750000003
2017-08-02,0,0,0.9841232832343749
2017-08-03,0,3,-0.3135834132328126
2017-08-04,0,4,-0.10499999999999993
2017-08-05,0,3,-0.05949999999999997
2017-08-06,0,0,-0.0401625
2017-08-07,0,0,-0.029720249999999997
2017-08-08,0,4,-0.023280862499999996
