,elastic/kibana,grafana/grafana,getsentry/sentry
2021-05-22,2,1,0.0
2021-05-23,0,0,0.0
2021-05-24,15,19,7.0
2021-05-25,18,18,26.3
2021-05-26,40,29,13.984999999999998
2021-05-27,37,35,16.885499999999997
2021-05-28,30,39,2.320862499999998
2021-05-29,3,4,-2.6552047499999993
2021-05-30,0,0,-1.7185488374999975
2021-05-31,11,25,13.708735038750003
2021-06-01,31,27,13.463427797640627
2021-06-02,30,30,23.859329994576562
2021-06-03,31,34,9.462223660264062
2021-06-04,33,39,12.218353569076562
2021-06-05,1,1,-3.7972381788125
2021-06-06,0,0,-2.1825788027156223
2021-06-07,24,13,11.442575106250004
2021-06-08,38,11,30.467367327265627
2021-06-09,43,17,25.094258229960936
2021-06-10,41,17,19.385869960503122
2021-06-11,7,18,19.402662959310938
2021-06-12,3,0,-3.642057193753125
2021-06-13,0,0,-3.4947155530749967
2021-06-14,34,18,19.618870536250004
2021-06-15,44,27,31.93817832954688
2021-06-16,50,14,19.878955637517187
2021-06-17,51,24,19.95016225709531
2021-06-18,21,10,9.95458516728125
2021-06-19,0,1,-5.08078503128906
2021-06-20,0,0,-3.0971002144296835
2021-06-21,46,11,31.85304802742813
2021-06-22,60,10,27.898276223656254
2021-06-23,62,15,27.752249548146875
2021-06-24,69,13,18.0958368678
2021-06-25,10,6,7.682329555659376
2021-06-26,1,1,-5.095295174184373
2021-06-27,1,2,-3.1587678155749948
2021-06-28,59,13,18.724935915000007
2021-06-29,81,12,27.068883206218754
2021-06-30,86,12,42.4218141992625
2021-07-01,48,17,22.14240464253281
2021-07-02,3,13,12.8425069408875
2021-07-03,1,0,-6.040916945617187
2021-07-04,0,1,-3.64040544800312
2021-07-05,17,14,10.395530991250006
2021-07-06,46,13,34.62663174292188
2021-07-07,42,24,27.89231359826094
2021-07-08,51,15,21.20380540913594
2021-07-09,41,14,28.40631926280625
2021-07-10,4,2,-5.167024586390625
2021-07-11,0,2,-4.2270447132187465
2021-07-12,33,19,39.14160597375
2021-07-13,43,20,27.57508654829688
2021-07-14,39,19,38.88608574993906
2021-07-15,36,17,29.22499352860312
2021-07-16,35,18,13.325097855590624
2021-07-17,1,2,-7.192674719053122
2021-07-18,2,0,-4.437345489789057
2021-07-19,31,17,30.916213127428133
2021-07-20,38,16,29.148481105843754
2021-07-21,34,27,32.926890548459376
2021-07-22,43,23,32.01917188255938
2021-07-23,4,11,22.505970571253123
2021-07-24,0,1,-6.840816282709374
2021-07-25,2,0,-4.657869430790621
2021-07-26,41,18,11.762473890000006
2021-07-27,38,10,23.946209988718756
2021-07-28,48,5,22.414037958231255
2021-07-29,41,22,26.96792065311719
2021-07-30,33,13,16.2563092816875
2021-07-31,1,0,-6.046966751171874
2021-08-01,0,0,-3.472681929129684
2021-08-02,40,9,15.668027853714069
2021-08-03,46,13,20.37022520976563
2021-08-04,26,26,18.28044929002344
2021-08-05,29,15,19.93510110080625
2021-08-06,5,10,27.602997785728125
2021-08-07,1,0,-4.363734833045313
2021-08-08,0,0,-3.68962933332656
2021-08-09,32,15,1.5666774175000042
2021-08-10,56,16,-1.2829858817812445
2021-08-11,46,11,0.1817980657281295
2021-08-12,45,12,-0.5245659789718717
2021-08-13,47,18,-1.125947434967185
2021-08-14,9,2,0.26495746458593905
2021-08-15,4,2,2.4651114402828136
2021-08-16,61,11,-0.47223050257187493
2021-08-17,78,20,14.7446922766875
2021-08-18,44,23,15.315324371840624
2021-08-19,44,20,12.50826657518281
2021-08-20,36,11,6.219621719412498
2021-08-21,2,0,-2.428416086285938
2021-08-22,4,0,-1.4683631517656233
2021-08-23,48,21,14.92504377091719
2021-08-24,47,19,14.55693003614219
2021-08-25,47,15,19.905401531015624
2021-08-26,55,15,27.905492334445313
2021-08-27,15,23,14.563751545404685
2021-08-28,0,1,-4.916728105179688
2021-08-29,0,2,-2.8474041228234355
2021-08-30,38,9,23.996861397500005
2021-08-31,44,16,37.826601868000004
2021-09-01,47,25,23.334282624409376
2021-09-02,26,17,17.387909777529686
2021-09-03,46,5,-4.205458549826563
2021-09-04,0,0,-3.8819900414624957
2021-09-05,1,0,-2.5809678757187444
2021-09-06,19,12,-1.877643127499994
2021-09-07,41,20,26.462301244093755
2021-09-08,53,19,12.898827999909376
2021-09-09,43,23,19.107626068021876
2021-09-10,26,21,11.633207519046874
2021-09-11,0,0,-3.9187590868937496
2021-09-12,1,1,-2.194829205071873
2021-09-13,41,26,29.426241400000002
2021-09-14,41,18,20.6643370425
2021-09-15,46,25,24.087900111812502
2021-09-16,31,17,14.227923593978122
2021-09-17,6,22,12.801611667529688
2021-09-18,3,0,-4.888948366576561
2021-09-19,5,1,-2.9245352780749956
2021-09-20,25,23,28.933409353750005
2021-09-21,31,15,28.250081527765627
2021-09-22,39,14,27.930368804745314
2021-09-23,45,24,22.285257459148436
2021-09-24,3,2,11.354342983645312
2021-09-25,0,2,-5.595688434999998
2021-09-26,3,0,-3.43007948314687
2021-09-27,35,17,23.561567003750007
2021-09-28,39,18,30.45047114526563
2021-09-29,41,26,31.704895706870314
2021-09-30,32,21,17.72288180753281
2021-10-01,28,21,11.492546403825001
2021-10-02,2,0,-2.5660193578234356
2021-10-03,1,0,-3.6651529206468703
2021-10-04,58,14,25.473894460000004
2021-10-05,59,12,15.202444267843752
2021-10-06,61,22,39.08403910851875
2021-10-07,51,19,23.681835385398436
2021-10-08,12,15,44.97391320824375
2021-10-09,2,0,-9.12900103642969
2021-10-10,2,0,-5.003405634693746
2021-10-11,42,18,10.569265197392193
2021-10-12,64,27,28.957015510562506
2021-10-13,57,15,18.909249846181254
2021-10-14,56,23,18.998687942843752
2021-10-15,51,15,17.902185579934375
2021-10-16,6,1,-5.902913705426561
2021-10-17,5,0,-3.461923756868746
2021-10-18,57,21,31.806860590000003
2021-10-19,80,22,21.87208257903125
2021-10-20,69,27,19.34346701623125
2021-10-21,68,22,16.206399334673435
2021-10-22,5,18,24.48754715121094
2021-10-23,1,0,-5.247967825773436
2021-10-24,0,0,-3.6777956358624966
2021-10-25,48,15,17.509946240000005
2021-10-26,75,26,18.043153746218756
2021-10-27,33,24,21.28502288110625
2021-10-28,39,18,18.718984713639063
2021-10-29,46,21,22.623302900257812
2021-10-30,8,0,-5.880827842509375
2021-10-31,0,0,-3.3605676390937473
2021-11-01,38,16,16.767227447464066
2021-11-02,70,36,12.357008097187503
2021-11-03,53,21,26.110926660437503
2021-11-04,44,17,35.670164045803126
2021-11-05,41,20,13.942779326690623
2021-11-06,2,2,-4.9063034753000005
2021-11-07,2,1,-3.576489108506247
2021-11-08,36,16,15.604462571250005
2021-11-09,54,28,27.32264328770313
2021-11-10,43,25,26.54576114356719
2021-11-11,69,27,22.723208410206247
2021-11-12,8,20,12.51417895653125
2021-11-13,1,1,-2.6040202235515615
2021-11-14,0,2,-3.5651796912703086
2021-11-15,47,26,28.59244372746407
2021-11-16,60,23,11.017208131968752
2021-11-17,35,36,8.452300558368751
2021-11-18,39,31,13.909803876135939
2021-11-19,40,36,9.721951875146877
2021-11-20,1,2,-2.8693650095890604
2021-11-21,2,0,-2.365786024729685
2021-11-22,36,17,17.39486390864219
2021-11-23,49,25,27.846900494015628
2021-11-24,45,36,29.004111286885937
2021-11-25,25,16,8.004658832721873
2021-11-26,6,20,4.344024022751562
2021-11-27,2,0,-3.741985174115623
2021-11-28,1,0,-2.3833747360187454
2021-11-29,40,31,19.279054031214066
2021-11-30,48,16,22.515192043953128
2021-12-01,49,25,25.29229950083281
2021-12-02,38,21,29.372043068854687
2021-12-03,40,14,14.455726865309373
2021-12-04,3,0,-5.609375502643751
2021-12-05,0,0,-3.333402435323434
2021-12-06,36,14,34.61963005375001
2021-12-07,59,10,8.417770199171878
2021-12-08,47,10,8.377914883339065
2021-12-09,40,10,31.845398812346875
2021-12-10,10,4,14.831663347125001
2021-12-11,0,0,-4.470989162085937
2021-12-12,0,0,-3.2286173657546855
2021-12-13,40,18,6.808397313750005
2021-12-14,37,27,42.37693900842188
2021-12-15,37,20,32.67312132270156
2021-12-16,34,18,37.884635917793744
2021-12-17,35,17,8.576763514720309
2021-12-18,1,2,-6.425750210871874
2021-12-19,0,1,-3.882993578770308
2021-12-20,31,23,9.25660156871407
2021-12-21,49,20,9.624834114109381
2021-12-22,36,11,7.354906775223441
2021-12-23,25,9,10.49891688452344
2021-12-24,3,2,-3.460172170854686
2021-12-25,0,0,-1.94612318538281
2021-12-26,2,0,-1.1365298931109356
2021-12-27,12,4,-0.7707897674999975
2021-12-28,13,6,0.37054555506250186
2021-12-29,4,1,3.3685268666156265
2021-12-30,5,4,0.18525172636093812
2021-12-31,2,0,-0.5348437601140622
2022-01-01,2,0,-0.29724643550312474
2022-01-02,0,0,-0.12726674999999965
2022-01-03,4,8,17.9017084875
2022-01-04,25,24,22.12014150375
2022-01-05,28,19,22.722894889484373
2022-01-06,23,14,19.74923419915156
2022-01-07,4,26,16.330911276840624
2022-01-08,0,0,-4.715400352535937
2022-01-09,0,0,-2.7899432249999974
2022-01-10,36,21,29.970989667500003
2022-01-11,37,18,20.198594830718754
2022-01-12,45,15,21.736404989478125
2022-01-13,29,19,20.27000042823125
2022-01-14,27,14,12.130322700440626
2022-01-15,2,0,-4.174305534190624
2022-01-16,0,0,-3.2093665532546836
2022-01-17,24,19,11.785574157500005
2022-01-18,44,15,15.841636739750005
2022-01-19,28,19,24.009522769709378
2022-01-20,45,19,21.936215157679687
2022-01-21,3,22,18.520831298123436
2022-01-22,0,1,-4.432915496465625
2022-01-23,3,1,-3.179284083662497
2022-01-24,28,17,14.848054662464067
2022-01-25,45,17,35.62717478903125
2022-01-26,27,15,20.962155784700002
2022-01-27,41,21,37.001474188629686
2022-01-28,35,17,17.249314455071872
2022-01-29,0,1,-6.751824477095312
2022-01-30,1,0,-3.9718357363781216
2022-01-31,57,30,19.25355007371407
2022-02-01,65,22,21.63972743748438
2022-02-02,36,25,21.62564021302969
2022-02-03,33,33,17.111021048426565
2022-02-04,34,26,15.373876115607812
2022-02-05,2,1,-3.3966519844359357
2022-02-06,0,0,-3.276958588398434
2022-02-07,32,25,19.814836607500006
2022-02-08,34,39,21.084088923656253
2022-02-09,35,40,14.094416269553125
2022-02-10,49,36,15.30749460639375
2022-02-11,41,33,13.271793135920312
2022-02-12,2,0,-4.528926574154687
2022-02-13,0,0,-2.6605830542859343
2022-02-14,35,1,29.17762241492813
2022-02-15,43,27,33.46781646990625
2022-02-16,48,25,21.61689544006875
2022-02-17,43,30,14.755940589304686
2022-02-18,2,28,11.365831509004687
2022-02-19,0,2,-5.068000934999997
2022-02-20,0,0,-3.1136882331468705
2022-02-21,14,17,6.786257441250005
2022-02-22,22,13,21.323571239015628
2022-02-23,37,20,45.71002916929219
2022-02-24,34,25,19.61970900544687
2022-02-25,4,22,18.55534221941562
2022-02-26,0,1,-5.119987974520313
2022-02-27,1,0,-3.6756656056109334
2022-02-28,30,17,24.463043433750006
2022-03-01,34,18,35.30932109785938
2022-03-02,24,27,36.14613041480156
2022-03-03,40,33,32.80581502710625
2022-03-04,32,23,29.298321003031248
2022-03-05,0,0,-5.6092227901109375
2022-03-06,1,0,-5.286571463914058
2022-03-07,39,8,42.40740809871407
2022-03-08,41,11,22.60047941107813
2022-03-09,59,11,21.62940300965469
2022-03-10,46,12,15.688260167640626
2022-03-11,3,11,21.375027012314064
2022-03-12,0,1,-3.7639754373171845
2022-03-13,0,0,-4.251528910412494
2022-03-14,37,17,33.19400978989219
2022-03-15,61,18,38.210613101281254
2022-03-16,56,21,24.168903414128124
2022-03-17,38,19,26.592511732718748
2022-03-18,42,17,24.348402544598436
2022-03-19,2,1,-7.625720461514061
2022-03-20,1,0,-4.5170422600531195
2022-03-21,51,25,17.866040827392194
2022-03-22,36,19,18.437064196437504
2022-03-23,39,22,22.71339283101875
2022-03-24,64,18,23.09239439941875
2022-03-25,9,12,15.80150329631875
2022-03-26,0,4,-4.708436252721874
2022-03-27,3,0,-3.4109007936499967
2022-03-28,59,0,28.741824591250005
2022-03-29,79,23,48.124913312921876
2022-03-30,58,26,51.84100003988594
2022-03-31,50,31,17.64301541098593
2022-04-01,40,24,23.579090221540625
2022-04-02,3,2,-7.229895056135936
2022-04-03,0,0,-5.034303206306243
2022-04-04,37,28,38.44755490121407
2022-04-05,27,32,40.98472664526563
2022-04-06,32,35,19.971958356557813
2022-04-07,44,19,43.97583738965781
2022-04-08,6,22,18.11917079090625
2022-04-09,1,0,-8.187651083756247
2022-04-10,1,0,-4.94595261916562
2022-04-11,41,15,23.55405355496407
2022-04-12,39,33,27.567314070843757
2022-04-13,46,27,25.215558327490626
2022-04-14,52,23,22.919465445821874
2022-04-15,21,13,10.009870004645313
2022-04-16,5,0,-4.783667846306248
2022-04-17,2,0,-3.503594958506245
2022-04-18,28,4,25.601012788750005
2022-04-19,63,13,41.29111417232813
2022-04-20,39,41,35.55297074701406
2022-04-21,29,35,22.675969999814058
2022-04-22,5,22,16.31788247963125
2022-04-23,0,2,-6.8479645935937485
2022-04-24,1,2,-4.114243156126557
2022-04-25,16,19,44.05796732746407
2022-04-26,33,22,27.960291420562502
2022-04-27,36,24,34.437836404025
2022-04-28,29,38,30.427922439925
2022-04-29,28,28,29.317345427470315
2022-04-30,1,0,-8.722678690989062
2022-05-01,1,0,-5.073598298362494
2022-05-02,25,22,12.452184838750007
2022-05-03,36,26,40.595477144515634
2022-05-04,55,31,25.458672745264067
2022-05-05,27,36,36.590360385835936
2022-05-06,34,24,14.354423528381249
2022-05-07,0,0,-4.0993316434953115
2022-05-08,1,1,-3.5258648463656215
2022-05-09,27,6,36.89870754750001
2022-05-10,35,4,40.598469748
2022-05-11,48,8,33.52865099747187
2022-05-12,46,13,28.991435633867184
2022-05-13,2,8,16.13507429237656
2022-05-14,0,0,6.341128687809379
2022-05-15,3,2,-4.992764993623433
2022-05-16,35,28,37.99829419187657
2022-05-17,50,35,29.761661378089066
2022-05-18,53,29,34.937549719328125
2022-05-19,45,30,27.044477014154687
2022-05-20,51,27,24.348599967646877
2022-05-21,0,5,-8.313753981756248
2022-05-22,1,4,-4.9036331668671815
2022-05-23,51,62,18.54254779648126
2022-05-24,70,36,28.151233202057817
2022-05-25,61,39,26.520506473162502
2022-05-26,28,36,24.032085518998436
2022-05-27,2,9,2.948223096142188
2022-05-28,0,1,-4.990044020809372
2022-05-29,0,0,-3.1139416586859325
2022-05-30,28,24,22.864202020000008
2022-05-31,38,39,24.782814474906253
2022-06-01,32,35,43.53918905094375
2022-06-02,25,37,27.014058828048434
2022-06-03,33,32,28.267220700329688
2022-06-04,1,5,-6.929678808770314
2022-06-05,1,3,-4.610387087859371
2022-06-06,31,15,31.757050981250007
2022-06-07,52,33,30.95770012085938
2022-06-08,40,31,28.63242055539844
2022-06-09,44,38,12.146857369942186
2022-06-10,8,29,7.443342692692189
2022-06-11,0,3,-5.3041115535703085
2022-06-12,0,0,-3.312767191809369
2022-06-13,46,32,32.723874316214065
2022-06-14,45,40,31.669199833203127
2022-06-15,49,24,38.188764764664064
2022-06-16,34,25,41.77614108760781
2022-06-17,25,34,2.548275800893748
2022-06-18,1,1,-5.3630321829374985
2022-06-19,2,0,-4.169386623003119
2022-06-20,34,30,7.979347418750009
2022-06-21,36,30,37.480064220703134
2022-06-22,28,40,38.38563212341406
2022-06-23,52,29,32.87142265796719
2022-06-24,24,21,22.47656211760156
2022-06-25,2,1,-7.797802829234374
2022-06-26,5,0,-4.409235930946871
2022-06-27,28,29,46.87401172621407
2022-06-28,49,22,29.546292198078127
2022-06-29,57,34,48.026833694714064
2022-06-30,55,27,31.672209026573434
2022-07-01,6,2,-5.921778781507811
2022-07-02,1,0,-6.097320657457808
2022-07-03,1,0,-4.048884803614055
2022-07-04,22,17,2.0739577250000094
2022-07-05,53,14,26.114491387968755
2022-07-06,39,39,40.862511276625
2022-07-07,42,46,21.58733363479531
2022-07-08,50,27,16.183607826331247
2022-07-09,3,1,-4.9868213085718756
2022-07-10,2,0,-3.478766222643746
2022-07-11,45,19,42.52175015625001
2022-07-12,49,20,34.553865418671876
2022-07-13,46,20,37.272168519867186
2022-07-14,51,37,29.048230648989062
2022-07-15,5,22,25.14454217964375
2022-07-16,2,1,-8.43964786915156
2022-07-17,1,1,-4.998631733842181
2022-07-18,54,24,23.47331355371407
2022-07-19,52,37,26.507332305546882
2022-07-20,53,33,36.26740849599219
2022-07-21,47,22,29.846504077823436
2022-07-22,54,23,24.676382568789062
2022-07-23,1,7,-7.9763312888968745
2022-07-24,2,3,-3.6131588237218706
2022-07-25,78,31,21.760590551250008
2022-07-26,70,28,31.98139173107813
2022-07-27,44,32,41.10450680127969
2022-07-28,48,22,39.265729889178125
2022-07-29,31,18,32.36198222011093
2022-07-30,1,0,-9.54350398838125
2022-07-31,1,0,-5.463425892435932
2022-08-01,38,30,15.263690818234382
2022-08-02,51,30,54.16872096082344
2022-08-03,62,42,51.83982358502344
2022-08-04,43,18,31.84816148642031
2022-08-05,7,5,9.552553311024997
2022-08-06,1,0,-8.003819818381245
2022-08-07,1,0,-4.939630794009367
2022-08-08,48,30,42.57105178375001
2022-08-09,58,26,31.65452096145313
2022-08-10,40,37,31.740874325145313
2022-08-11,30,34,38.11453141767656
2022-08-12,34,26,27.292383610635937
2022-08-13,3,2,-7.054724919357811
2022-08-14,4,0,-5.432982875718745
2022-08-15,31,9,36.216063985000005
2022-08-16,38,21,47.02172319753126
2022-08-17,32,21,39.3404813882375
2022-08-18,29,27,18.779080544223437
2022-08-19,3,15,27.30704440057813
2022-08-20,3,0,-7.832906043267185
2022-08-21,2,0,-5.285641669860931
2022-08-22,31,30,0.36877251992813287
