,sinatra/sinatra,rails/rails,django/django
2011-09-08,2,20,8.0
2011-09-09,0,10,20.0
2011-09-10,0,20,30.0
2011-09-11,0,7,15.0
2011-09-12,1,45,2.0
2011-09-13,0,28,5.0
2011-09-14,2,18,2.0
2011-09-15,6,11,2.0
2011-09-16,0,13,9.0
2011-09-17,6,6,3.0
2011-09-18,2,7,6.0
2011-09-19,4,1,2.0
2011-09-20,1,4,2.0
2011-09-21,1,11,9.0
2011-09-22,6,28,18.0
2011-09-23,0,10,4.0
2011-09-24,0,8,3.0
2011-09-25,2,7,2.0
2011-09-26,0,22,4.0
2011-09-27,0,9,2.0
2011-09-28,0,12,2.0
2011-09-29,4,6,3.0
2011-09-30,5,12,5.0
2011-10-01,9,5,1.0
2011-10-02,0,13,1.0
2011-10-03,6,23,1.0
2011-10-04,5,20,3.0
2011-10-05,6,28,5.0
2011-10-06,0,18,3.0
2011-10-07,6,16,8.0
2011-10-08,0,22,5.0
2011-10-09,0,25,1.0
2011-10-10,0,20,5.0
2011-10-11,7,15,5.0
2011-10-12,0,10,2.0
2011-10-13,0,13,19.0
2011-10-14,8,17,5.0
2011-10-15,3,22,3.0
2011-10-16,0,7,8.0
2011-10-17,0,12,10.0
2011-10-18,0,13,4.0
2011-10-19,0,23,2.0
2011-10-20,0,15,4.0
2011-10-21,0,9,1.0
2011-10-22,0,17,7.0
2011-10-23,4,1,2.0
2011-10-24,0,9,2.0
2011-10-25,0,12,1.0
2011-10-26,0,10,10.0
2011-10-27,0,9,1.0
2011-10-28,4,3,4.0
2011-10-29,0,12,7.0
2011-10-30,7,11,2.0
2011-10-31,6,13,3.0
2011-11-01,1,6,6.0
2011-11-02,2,5,1.0
2011-11-03,0,12,1.0
2011-11-04,0,16,2.0
2011-11-05,6,17,0.0
2011-11-06,6,19,3.0
2011-11-07,2,14,3.0
2011-11-08,2,16,0.0
2011-11-09,2,12,1.0
2011-11-10,2,21,1.0
2011-11-11,2,12,2.0
2011-11-12,0,5,10.0
2011-11-13,0,38,4.0
2011-11-14,7,20,0.0
2011-11-15,2,9,1.0
2011-11-16,0,24,4.0
2011-11-17,2,22,3.0
2011-11-18,0,33,5.0
2011-11-19,1,15,8.0
2011-11-20,0,13,12.0
2011-11-21,3,9,10.0
2011-11-22,0,16,6.0
2011-11-23,0,23,0.0
2011-11-24,2,5,2.0
2011-11-25,0,22,2.0
