,nim-lang/Nim,rust-lang/rust,golang/go
2018-06-16,18,18,3
2018-06-17,5,18,3
2018-06-18,3,29,5
2018-06-19,13,69,9
2018-06-20,3,74,11
2018-06-21,0,30,8
2018-06-22,4,57,13
2018-06-23,3,45,1
2018-06-24,6,25,1
2018-06-25,9,55,10
2018-06-26,13,131,10
2018-06-27,12,116,16
2018-06-28,2,73,10
2018-06-29,7,39,16
2018-06-30,4,54,1
2018-07-01,8,71,2
2018-07-02,5,69,12
2018-07-03,2,44,12
2018-07-04,4,49,4
2018-07-05,6,44,3
2018-07-06,10,49,11
2018-07-07,9,52,4
2018-07-08,3,25,3
2018-07-09,9,42,20
2018-07-10,4,45,18
2018-07-11,4,74,15
2018-07-12,8,100,20
2018-07-13,6,100,14
2018-07-14,1,118,1
2018-07-15,3,45,5
2018-07-16,5,83,15
2018-07-17,12,65,18
2018-07-18,6,78,32
2018-07-19,2,57,34
2018-07-20,4,89,11
2018-07-21,6,42,0
2018-07-22,3,65,0
2018-07-23,2,62,4
2018-07-24,2,109,10
2018-07-25,1,82,3
2018-07-26,1,79,1
2018-07-27,3,56,9
2018-07-28,1,32,9
2018-07-29,0,56,3
2018-07-30,21,109,3
2018-07-31,4,108,20
2018-08-01,3,120,18
2018-08-02,2,64,12
2018-08-03,2,57,14
2018-08-04,9,68,2
2018-08-05,9,97,0
2018-08-06,9,58,3
2018-08-07,8,104,6
2018-08-08,17,70,5
2018-08-09,5,127,16
2018-08-10,11,46,13
2018-08-11,1,52,0
2018-08-12,3,41,1
2018-08-13,21,53,3
2018-08-14,7,125,4
2018-08-15,6,105,0
2018-08-16,9,116,3
2018-08-17,8,44,14
2018-08-18,4,40,8
2018-08-19,1,83,0
2018-08-20,5,72,53
2018-08-21,9,44,53
2018-08-22,12,118,53
2018-08-23,21,72,11
2018-08-24,6,87,28
2018-08-25,5,43,7
2018-08-26,4,57,6
2018-08-27,9,89,3
2018-08-28,9,61,13
2018-08-29,2,92,6
2018-08-30,12,98,29
2018-08-31,8,78,11
2018-09-01,1,64,2
2018-09-02,6,42,3
2018-09-03,25,74,7
2018-09-04,10,39,10
2018-09-05,5,64,17
2018-09-06,6,93,9
2018-09-07,17,74,14
2018-09-08,4,63,3
2018-09-09,0,47,3
2018-09-10,3,69,2
2018-09-11,10,85,7
2018-09-12,8,71,10
2018-09-13,4,76,14
2018-09-14,26,44,6
2018-09-15,17,69,3
2018-09-16,12,50,3
2018-09-17,14,51,12
2018-09-18,11,61,12
2018-09-19,9,45,9
2018-09-20,4,86,8
2018-09-21,4,50,0
2018-09-22,12,57,0
2018-09-23,4,43,2
2018-09-24,15,41,17
2018-09-25,8,51,13
2018-09-26,3,87,11
2018-09-27,8,35,14
2018-09-28,11,37,10
2018-09-29,12,66,4
2018-09-30,4,59,1
2018-10-01,11,51,6
2018-10-02,20,64,27
2018-10-03,8,42,29
2018-10-04,3,62,19
2018-10-05,0,82,15
2018-10-06,0,48,11
2018-10-07,0,30,1
2018-10-08,3,76,5
2018-10-09,34,76,16
2018-10-10,6,76,16
2018-10-11,17,58,17
2018-10-12,12,69,17
2018-10-13,16,76,4
2018-10-14,14,54,3
2018-10-15,6,123,20
2018-10-16,17,69,11
2018-10-17,4,63,18
2018-10-18,25,73,11
2018-10-19,13,67,13
2018-10-20,3,54,2
2018-10-21,1,36,1
2018-10-22,4,52,14
2018-10-23,6,57,24
2018-10-24,12,58,19
2018-10-25,11,122,15
2018-10-26,0,77,11
2018-10-27,4,49,7
2018-10-28,14,61,9
2018-10-29,8,61,12
2018-10-30,29,70,23
2018-10-31,8,62,15
2018-11-01,4,96,10
2018-11-02,5,62,41
2018-11-03,5,71,6
2018-11-04,1,37,2
2018-11-05,3,99,21
2018-11-06,9,53,15
2018-11-07,12,81,6
2018-11-08,18,56,17
2018-11-09,6,49,16
2018-11-10,2,85,7
2018-11-11,6,60,4
2018-11-12,1,38,32
2018-11-13,2,63,19
2018-11-14,3,36,23
2018-11-15,12,67,9
2018-11-16,6,123,20
2018-11-17,0,34,3
2018-11-18,3,47,2
2018-11-19,7,52,8
2018-11-20,7,72,12
2018-11-21,7,108,8
2018-11-22,5,61,2
2018-11-23,25,42,4
2018-11-24,1,61,1
2018-11-25,0,63,0
2018-11-26,15,56,13
2018-11-27,5,127,13
2018-11-28,1,47,16
2018-11-29,6,84,26
2018-11-30,6,103,10
2018-12-01,3,18,6
2018-12-02,0,57,2
2018-12-03,7,79,10
2018-12-04,11,82,14
2018-12-05,15,59,20
2018-12-06,5,74,10
2018-12-07,7,57,10
2018-12-08,12,57,1
2018-12-09,21,57,1
2018-12-10,10,73,10
2018-12-11,60,78,15
2018-12-12,20,86,21
2018-12-13,17,53,25
2018-12-14,10,80,16
2018-12-15,8,57,5
2018-12-16,14,40,1
2018-12-17,3,56,19
2018-12-18,8,50,18
2018-12-19,12,117,8
2018-12-20,9,86,13
2018-12-21,11,79,4
2018-12-22,4,75,5
2018-12-23,2,54,0
2018-12-24,0,38,3
2018-12-25,1,60,1
2018-12-26,1,52,1
2018-12-27,8,76,3
2018-12-28,0,61,3
2018-12-29,0,73,4
2018-12-30,14,72,3
2018-12-31,4,50,1
2019-01-01,4,60,2
2019-01-02,3,83,13
2019-01-03,2,89,9
2019-01-04,10,68,10
2019-01-05,3,70,2
2019-01-06,7,63,1
2019-01-07,6,82,10
2019-01-08,10,91,8
2019-01-09,8,51,10
2019-01-10,17,45,5
2019-01-11,12,44,2
2019-01-12,3,80,1
2019-01-13,16,107,0
2019-01-14,9,69,5
2019-01-15,21,67,5
2019-01-16,15,46,2
2019-01-17,4,45,6
2019-01-18,9,82,8
2019-01-19,8,99,0
2019-01-20,0,55,2
2019-01-21,11,72,3
2019-01-22,16,102,3
2019-01-23,25,61,6
2019-01-24,8,76,1
2019-01-25,12,92,2
2019-01-26,3,111,0
2019-01-27,6,82,4
2019-01-28,14,65,2
2019-01-29,7,59,4
2019-01-30,14,72,7
2019-01-31,9,66,2
2019-02-01,7,107,4
2019-02-02,2,37,0
2019-02-03,3,69,0
2019-02-04,10,47,3
2019-02-05,5,79,3
2019-02-06,20,66,1
2019-02-07,11,131,3
2019-02-08,15,93,2
2019-02-09,10,68,2
2019-02-10,10,75,1
2019-02-11,5,83,13
2019-02-12,9,78,8
2019-02-13,39,106,5
2019-02-14,5,72,0
2019-02-15,5,41,6
2019-02-16,2,53,1
2019-02-17,1,60,2
2019-02-18,9,112,0
2019-02-19,13,42,12
2019-02-20,7,87,6
2019-02-21,4,70,1
2019-02-22,5,54,9
2019-02-23,12,83,1
2019-02-24,0,90,6
2019-02-25,6,58,4
2019-02-26,4,48,65
2019-02-27,1,81,52
2019-02-28,8,37,11
2019-03-01,5,50,29
2019-03-02,2,56,22
2019-03-03,3,59,8
2019-03-04,17,57,12
2019-03-05,15,71,25
2019-03-06,7,45,30
2019-03-07,4,56,20
2019-03-08,4,56,23
2019-03-09,0,39,13
2019-03-10,2,44,3
2019-03-11,4,50,14
2019-03-12,2,68,26
2019-03-13,7,56,22
2019-03-14,12,49,23
2019-03-15,6,109,16
2019-03-16,0,93,1
2019-03-17,2,51,3
2019-03-18,5,80,13
2019-03-19,8,64,23
2019-03-20,3,66,13
2019-03-21,8,58,14
2019-03-22,3,46,14
2019-03-23,6,60,3
2019-03-24,1,46,3
2019-03-25,2,72,21
2019-03-26,8,78,9
2019-03-27,4,60,18
2019-03-28,2,87,21
2019-03-29,3,91,13
2019-03-30,1,74,3
2019-03-31,2,49,4
2019-04-01,6,46,5
2019-04-02,7,87,12
2019-04-03,3,68,17
2019-04-04,10,67,8
2019-04-05,7,50,18
2019-04-06,7,36,0
2019-04-07,2,52,6
2019-04-08,5,47,17
2019-04-09,10,59,8
2019-04-10,11,51,10
2019-04-11,7,63,11
2019-04-12,5,74,11
2019-04-13,1,60,5
2019-04-14,3,92,2
2019-04-15,7,45,16
2019-04-16,7,64,34
2019-04-17,8,109,11
2019-04-18,2,73,10
2019-04-19,4,87,23
2019-04-20,5,51,3
2019-04-21,3,67,0
2019-04-22,3,75,12
2019-04-23,12,75,20
2019-04-24,4,74,16
2019-04-25,3,84,14
2019-04-26,2,51,19
2019-04-27,5,30,9
2019-04-28,6,43,4
2019-04-29,7,46,20
2019-04-30,4,74,34
2019-05-01,2,102,16
2019-05-02,6,98,13
2019-05-03,3,44,14
2019-05-04,11,104,1
2019-05-05,8,33,3
2019-05-06,9,41,22
2019-05-07,7,40,6
2019-05-08,18,39,16
2019-05-09,4,73,29
2019-05-10,10,57,9
2019-05-11,2,53,2
2019-05-12,1,44,2
2019-05-13,9,61,20
2019-05-14,4,62,15
2019-05-15,14,55,8
2019-05-16,5,57,20
2019-05-17,0,61,12
2019-05-18,0,45,0
2019-05-19,1,54,0
2019-05-20,7,100,11
2019-05-21,7,93,10
2019-05-22,14,75,12
2019-05-23,4,105,13
2019-05-24,8,59,10
2019-05-25,7,88,2
2019-05-26,1,51,0
2019-05-27,12,99,1
2019-05-28,9,115,8
2019-05-29,17,69,6
2019-05-30,4,63,13
2019-05-31,0,55,9
2019-06-01,5,64,0
2019-06-02,6,54,2
2019-06-03,11,84,6
2019-06-04,8,96,4
2019-06-05,14,64,11
2019-06-06,7,68,18
2019-06-07,11,44,12
2019-06-08,0,84,0
2019-06-09,3,71,2
2019-06-10,8,61,10
2019-06-11,6,93,6
2019-06-12,9,100,7
2019-06-13,9,44,11
2019-06-14,5,61,4
2019-06-15,3,85,3
2019-06-16,1,70,1
2019-06-17,6,30,4
2019-06-18,5,54,7
2019-06-19,10,65,11
2019-06-20,18,64,7
2019-06-21,4,75,9
2019-06-22,0,72,0
2019-06-23,4,44,2
2019-06-24,5,64,7
2019-06-25,3,52,15
2019-06-26,15,85,17
2019-06-27,7,29,8
2019-06-28,4,22,3
2019-06-29,1,52,1
2019-06-30,1,61,1
2019-07-01,11,43,2
2019-07-02,1,110,3
2019-07-03,12,91,6
2019-07-04,8,70,0
2019-07-05,8,61,5
2019-07-06,9,111,1
2019-07-07,4,86,0
2019-07-08,10,47,5
2019-07-09,19,77,2
2019-07-10,15,97,6
2019-07-11,3,56,2
2019-07-12,17,50,3
2019-07-13,3,49,0
2019-07-14,6,45,1
2019-07-15,8,81,6
2019-07-16,6,44,4
2019-07-17,13,48,4
2019-07-18,7,60,7
2019-07-19,9,57,3
2019-07-20,0,61,0
2019-07-21,2,38,0
2019-07-22,2,69,2
2019-07-23,0,62,4
2019-07-24,2,75,0
2019-07-25,6,64,0
2019-07-26,1,81,0
2019-07-27,8,69,2
2019-07-28,0,129,1
2019-07-29,0,71,3
2019-07-30,1,82,6
2019-07-31,0,61,5
2019-08-01,1,82,5
2019-08-02,2,103,8
2019-08-03,1,60,1
2019-08-04,7,69,0
2019-08-05,3,95,6
2019-08-06,2,88,5
2019-08-07,4,42,1
2019-08-08,12,84,5
2019-08-09,2,93,4
2019-08-10,1,91,1
2019-08-11,1,74,2
2019-08-12,3,101,2
2019-08-13,3,67,1
2019-08-14,4,81,2
2019-08-15,4,91,3
2019-08-16,12,70,3
2019-08-17,4,73,0
2019-08-18,3,46,1
2019-08-19,3,108,1
2019-08-20,4,72,2
2019-08-21,4,85,4
2019-08-22,2,81,3
2019-08-23,9,42,4
2019-08-24,1,80,1
2019-08-25,0,62,3
2019-08-26,10,68,13
2019-08-27,16,55,32
2019-08-28,6,59,46
2019-08-29,4,71,24
2019-08-30,3,63,13
2019-08-31,12,47,9
2019-09-01,1,34,10
2019-09-02,15,36,10
2019-09-03,7,65,16
2019-09-04,4,62,11
2019-09-05,6,123,2
2019-09-06,8,66,18
2019-09-07,0,79,7
2019-09-08,8,45,2
2019-09-09,1,82,10
2019-09-10,9,64,14
2019-09-11,10,45,22
2019-09-12,2,42,19
2019-09-13,5,47,4
2019-09-14,0,68,1
2019-09-15,0,56,2
2019-09-16,8,95,16
2019-09-17,5,87,12
2019-09-18,6,56,24
2019-09-19,3,72,12
2019-09-20,2,46,6
2019-09-21,16,49,5
2019-09-22,1,56,1
2019-09-23,6,74,12
2019-09-24,2,70,15
2019-09-25,5,119,23
2019-09-26,2,84,30
2019-09-27,5,57,11
2019-09-28,1,128,4
2019-09-29,1,63,3
2019-09-30,16,100,10
2019-10-01,4,82,14
2019-10-02,6,132,11
2019-10-03,7,82,20
2019-10-04,8,78,26
2019-10-05,0,34,7
2019-10-06,2,55,2
2019-10-07,6,84,13
2019-10-08,10,83,17
2019-10-09,2,50,24
2019-10-10,7,59,12
2019-10-11,9,101,22
2019-10-12,0,39,5
2019-10-13,0,78,2
2019-10-14,1,66,21
2019-10-15,3,113,20
2019-10-16,2,66,14
