,containerd/containerd,moby/moby,canonical/lxd
2015-11-05,2,47.0,11
2015-11-06,6,14.200000000000003,11
2015-11-07,2,-5.839999999999996,0
2015-11-08,0,1.8320000000000007,0
2015-11-09,0,25.772799999999997,2
2015-11-10,3,22.907456,11
2015-11-11,0,12.855513600000002,6
2015-11-12,0,13.679022080000003,2
2015-11-13,6,11.512403456000001,0
2015-11-14,0,-3.8709779455999964,0
2015-11-15,0,-9.850925670400002,0
2015-11-16,0,-1.3982603264000009,6
2015-11-17,0,26.8566007808,23
2015-11-18,0,6.922150502400001,20
2015-11-19,0,9.506212761600004,7
2015-11-20,0,13.266090393600003,2
2015-11-21,0,-13.443539251199997,0
2015-11-22,0,-9.965589094400002,0
2015-11-23,0,21.1534242816,7
2015-11-24,0,14.733965619200003,24
2015-11-25,0,19.844099481600004,15
2015-11-26,0,-6.565716991999995,8
2015-11-27,0,-15.142181376,8
2015-11-28,0,-3.952511180800002,0
2015-11-29,0,-6.376334848000003,0
2015-11-30,2,25.450576383999998,0
2015-12-01,5,8.925414092800004,10
2015-12-02,3,41.451008512,2
2015-12-03,6,6.816274022400009,0
2015-12-04,10,14.009761792000003,14
2015-12-05,0,-18.8404542464,1
2015-12-06,0,-6.682689433600002,0
2015-12-07,11,17.477755904,17
2015-12-08,12,10.594062643200001,11
2015-12-09,7,56.911193088000005,16
2015-12-10,9,-14.78080030719999,8
2015-12-11,8,-5.038758809599997,16
2015-12-12,0,-11.6885987328,0
2015-12-13,0,-1.9930376192000026,0
2015-12-14,7,25.3162256384,13
2015-12-15,11,25.669226086400002,5
2015-12-16,10,22.049724313600006,24
2015-12-17,14,-4.437040742399994,7
2015-12-18,11,-0.8673000448000003,13
2015-12-19,2,-7.001212211199999,12
2015-12-20,0,-0.8798277632000033,1
2015-12-21,0,13.4439604224,13
2015-12-22,2,30.93421824,0
2015-12-23,0,5.034758963200005,2
2015-12-24,0,-13.438394060799997,2
2015-12-25,1,-12.0838449152,0
2015-12-26,0,-7.008698060800002,1
2015-12-27,0,-0.3481844736000017,1
2015-12-28,0,20.4470657024,0
2015-12-29,0,27.3762461696,0
2015-12-30,0,11.180779827200006,0
2015-12-31,0,-14.350878310399999,8
2016-01-01,0,-1.2361624576000008,0
2016-01-02,0,-7.727831552000001,0
2016-01-03,0,3.221519974399998,5
2016-01-04,2,23.7326815232,5
2016-01-05,4,31.797318144000002,0
2016-01-06,1,9.400172851200004,6
2016-01-07,0,10.438607155200003,15
2016-01-08,0,24.8107708416,19
2016-01-09,0,-6.929866137599998,4
2016-01-10,0,-5.665183232,5
2016-01-11,1,3.9915613184000023,1
2016-01-12,2,29.5063226368,5
2016-01-13,0,20.339168563200005,13
2016-01-14,0,35.2454619136,13
2016-01-15,0,-7.215486975999994,7
2016-01-16,2,-16.6318518272,0
2016-01-17,0,-14.295551590400002,3
2016-01-18,0,10.451642470399996,2
2016-01-19,0,23.880117247999998,13
2016-01-20,1,24.992737792000003,0
2016-01-21,5,20.114748723200005,2
2016-01-22,10,4.771826790400006,8
2016-01-23,1,-4.176065023999996,0
2016-01-24,1,9.0782774272,2
2016-01-25,6,11.992310579200002,9
2016-01-26,2,49.1874021376,25
2016-01-27,5,21.89811025920001,6
2016-01-28,0,-20.626330931199995,1
2016-01-29,1,8.028604825599999,3
2016-01-30,0,-2.9073021952000033,2
2016-01-31,0,-13.346876620800003,1
2016-02-01,0,26.1890343936,1
2016-02-02,2,26.932151808,5
2016-02-03,7,25.203040972800004,5
2016-02-04,1,3.8991876096000055,9
2016-02-05,0,3.2814019584000036,3
2016-02-06,0,-18.146010112,0
2016-02-07,0,-10.349565030400004,0
2016-02-08,0,9.306739097599998,1
2016-02-09,0,19.4156205056,13
2016-02-10,0,15.149600256,16
2016-02-11,10,30.816720691200004,19
2016-02-12,6,9.824536371200004,5
2016-02-13,0,-21.4584870912,1
2016-02-14,0,-11.7866696704,1
2016-02-15,0,-0.3149958144000031,4
2016-02-16,3,18.450612735999997,2
2016-02-17,2,23.336157696,20
2016-02-18,0,17.8152915968,15
2016-02-19,3,4.350666547200007,9
2016-02-20,0,-8.424336179199997,1
2016-02-21,1,-8.219250892800002,6
2016-02-22,1,3.752961126399999,3
2016-02-23,4,18.580268441599998,11
2016-02-24,0,13.175183052800001,30
2016-02-25,10,17.9868061696,11
2016-02-26,10,-1.6379760639999965,17
2016-02-27,0,-2.4086540287999973,8
2016-02-28,0,-4.706363392,0
2016-02-29,8,39.9313399808,10
2016-03-01,5,29.757880934400003,7
2016-03-02,0,10.439521484800004,16
2016-03-03,0,10.863724544000004,4
2016-03-04,0,0.690656563200001,1
2016-03-05,0,-16.8724685824,0
2016-03-06,0,-7.768991641600001,0
2016-03-07,3,4.7472986112,19
2016-03-08,1,13.85487616,15
2016-03-09,2,9.367788851200004,10
2016-03-10,0,8.594702643200002,19
2016-03-11,7,24.4502086656,12
2016-03-12,2,-9.057534668799995,1
2016-03-13,0,-8.22109952,0
2016-03-14,3,20.0736854016,0
2016-03-15,4,22.5704059904,28
2016-03-16,3,15.684477747200003,5
2016-03-17,10,17.045790822400004,8
2016-03-18,4,6.934684262400005,4
2016-03-19,2,-11.828992409599998,2
2016-03-20,0,-5.095667814400002,3
2016-03-21,10,24.4561252352,8
2016-03-22,11,17.4761307136,6
2016-03-23,8,13.300912947200004,17
2016-03-24,3,12.524873011200004,3
2016-03-25,10,24.091699712,7
2016-03-26,1,-21.991692902399997,4
2016-03-27,0,-3.189643776000004,1
2016-03-28,8,29.1678199808,8
2016-03-29,6,18.430389862400002,3
2016-03-30,4,6.575872921600006,2
2016-03-31,7,19.031505920000004,15
2016-04-01,3,-19.5224594432,7
2016-04-02,1,-15.565547827200003,6
2016-04-03,0,-8.325719756800003,5
2016-04-04,5,6.7608330239999965,8
2016-04-05,4,2.3941178367999996,7
2016-04-06,7,48.328596172800005,8
2016-04-07,6,-0.6934280191999953,9
2016-04-08,0,19.564636672000002,12
2016-04-09,0,-2.609383935999997,3
2016-04-10,0,-5.56025344,3
2016-04-11,1,2.197254451199999,3
2016-04-12,0,8.397161267199998,0
2016-04-13,2,10.3009765376,5
2016-04-14,3,19.2891137024,4
2016-04-15,2,22.2255138816,0
2016-04-16,0,-15.152884633599996,0
2016-04-17,3,-13.760124415999998,0
2016-04-18,6,15.2843449344,4
2016-04-19,1,12.0017130496,2
2016-04-20,2,4.479490867199999,0
2016-04-21,5,8.592713318400001,1
2016-04-22,9,1.577948979200002,4
2016-04-23,0,-6.271959961599999,0
2016-04-24,0,-6.549547520000001,13
2016-04-25,0,25.1602668544,2
2016-04-26,16,2.214271078400003,6
2016-04-27,1,1.6659196928000028,6
2016-04-28,3,7.261491302400001,8
2016-04-29,3,10.1968303104,4
2016-04-30,0,-7.637964287999999,0
2016-05-01,0,-3.7825590272000014,6
2016-05-02,4,13.5928030208,1
2016-05-03,0,5.5179327488,2
2016-05-04,2,11.393659494400001,5
2016-05-05,0,4.002599628800002,2
2016-05-06,3,12.182204211200002,1
2016-05-07,0,1.5017640960000023,2
2016-05-08,0,-9.0943880192,0
2016-05-09,8,10.674313113599998,6
2016-05-10,0,-0.2795337727999989,3
2016-05-11,0,8.6536896512,6
2016-05-12,1,20.4566762496,0
2016-05-13,2,-6.674246451199998,0
2016-05-14,0,3.873012428800001,2
2016-05-15,0,-7.235532492799999,0
2016-05-16,0,6.439367577599999,0
2016-05-17,1,0.2796871680000006,5
2016-05-18,5,7.4431162368,1
2016-05-19,1,4.493444710400002,3
2016-05-20,0,6.376678604800002,1
2016-05-21,0,1.5277193216000011,0
2016-05-22,0,1.0254731263999997,0
2016-05-23,1,12.0813990912,1
2016-05-24,0,29.464232448,0
2016-05-25,2,32.956907724800004,6
2016-05-26,2,-5.267381759999999,5
2016-05-27,1,10.466000691200001,4
2016-05-28,0,-15.637223935999998,0
2016-05-29,0,-4.884880281600001,0
2016-05-30,0,-1.4586850304000016,0
2016-05-31,1,20.418410803199997,10
2016-06-01,0,9.668574003200003,17
2016-06-02,0,16.916362854400003,13
2016-06-03,1,27.394592256000003,11
2016-06-04,0,-10.162804223999995,0
2016-06-05,0,12.7889757184,13
2016-06-06,1,29.9742321664,3
2016-06-07,1,21.231370137600003,4
2016-06-08,0,8.4099801088,3
2016-06-09,5,6.825948672000003,4
2016-06-10,0,11.776392806399997,8
2016-06-11,0,-7.946246656,1
2016-06-12,0,-2.4416750592000014,0
2016-06-13,3,16.7445523456,8
2016-06-14,0,73.5557020672,2
2016-06-15,1,7.683841331200007,1
2016-06-16,2,28.028279091200005,11
2016-06-17,2,10.024376627200006,0
2016-06-18,0,-11.913362841600005,0
2016-06-19,0,-7.875492864000002,0
2016-06-20,0,6.195216179199999,1
2016-06-21,0,21.284850380800002,4
2016-06-22,2,-0.8113822719999959,10
2016-06-23,0,8.140350566400002,5
2016-06-24,0,13.497503334400001,2
2016-06-25,0,-20.1667336192,0
2016-06-26,0,-8.518254592,0
2016-06-27,2,18.6390437888,3
2016-06-28,1,8.321059430399998,5
2016-06-29,1,16.863698944,1
2016-06-30,1,16.001185587200006,2
2016-07-01,4,6.773454848000004,2
2016-07-02,0,-5.4427912191999965,0
2016-07-03,0,8.4318737408,0
2016-07-04,1,-3.9634308095999984,0
2016-07-05,6,11.0865728512,11
2016-07-06,0,1.8035217408000008,3
2016-07-07,0,15.6816735232,6
2016-07-08,0,7.405085696,8
2016-07-09,0,-14.037864550399998,0
2016-07-10,0,-8.1983387648,0
2016-07-11,0,19.5855826944,0
2016-07-12,0,30.560589312,4
2016-07-13,1,26.116329164800003,0
2016-07-14,2,-6.094366207999997,0
2016-07-15,1,14.454682828800003,0
2016-07-16,0,-10.554478284799998,0
2016-07-17,0,-12.3549531136,0
2016-07-18,0,17.940319232,0
2016-07-19,0,31.4686239744,2
2016-07-20,0,19.317439283200002,9
2016-07-21,0,2.037886464000003,0
2016-07-22,0,14.864963584000002,8
2016-07-23,0,-10.2020184064,0
2016-07-24,0,4.264626176,0
