,gcc-mirror/gcc,golang/go,llvm/llvm-project
2016-03-03,19,25,116
2016-03-04,28,27,85
2016-03-05,13,11,24
2016-03-06,3,9,25
2016-03-07,26,27,66
2016-03-08,8,32,90
2016-03-09,18,27,104
2016-03-10,20,29,92
2016-03-11,17,28,128
2016-03-12,8,13,34
2016-03-13,6,10,54
2016-03-14,10,25,97
2016-03-15,27,24,85
2016-03-16,28,43,66
2016-03-17,23,24,81
2016-03-18,22,25,79
2016-03-19,2,3,23
2016-03-20,1,13,25
2016-03-21,17,33,74
2016-03-22,18,18,95
2016-03-23,24,18,98
2016-03-24,18,20,133
2016-03-25,10,28,118
2016-03-26,2,8,35
2016-03-27,3,6,29
2016-03-28,6,17,114
2016-03-29,18,21,114
2016-03-30,14,32,134
2016-03-31,20,32,104
2016-04-01,10,22,125
2016-04-02,7,7,45
2016-04-03,2,12,30
2016-04-04,13,16,85
2016-04-05,20,29,120
2016-04-06,12,37,125
2016-04-07,7,23,133
2016-04-08,15,15,118
2016-04-09,14,8,21
2016-04-10,3,14,25
2016-04-11,7,25,102
2016-04-12,21,37,133
2016-04-13,28,28,112
2016-04-14,15,32,121
2016-04-15,21,18,108
2016-04-16,4,10,48
2016-04-17,14,6,36
2016-04-18,62,17,99
2016-04-19,33,20,122
2016-04-20,54,20,104
2016-04-21,45,28,146
2016-04-22,11,26,164
2016-04-23,6,5,50
2016-04-24,7,9,66
2016-04-25,15,13,121
2016-04-26,25,23,133
2016-04-27,57,40,176
2016-04-28,50,25,132
2016-04-29,37,29,165
2016-04-30,17,7,34
2016-05-01,8,19,35
2016-05-02,73,8,129
2016-05-03,29,9,124
2016-05-04,27,24,108
2016-05-05,13,21,117
2016-05-06,39,27,126
2016-05-07,6,4,42
2016-05-08,7,3,22
2016-05-09,22,11,101
2016-05-10,31,15,151
2016-05-11,18,17,100
2016-05-12,20,11,124
2016-05-13,27,5,130
2016-05-14,5,8,64
2016-05-15,2,6,34
2016-05-16,33,13,104
2016-05-17,27,6,129
2016-05-18,48,29,129
2016-05-19,34,19,125
2016-05-20,33,13,131
2016-05-21,5,3,47
2016-05-22,8,1,43
2016-05-23,24,3,116
2016-05-24,44,19,116
2016-05-25,27,19,159
2016-05-26,21,17,138
2016-05-27,22,26,135
2016-05-28,12,1,67
2016-05-29,6,4,43
2016-05-30,24,3,41
2016-05-31,26,18,111
2016-06-01,31,18,79
2016-06-02,16,22,157
2016-06-03,25,15,118
2016-06-04,7,0,57
2016-06-05,11,2,43
2016-06-06,32,4,101
2016-06-07,20,3,112
2016-06-08,30,8,126
2016-06-09,22,9,119
2016-06-10,27,5,96
2016-06-11,8,1,46
2016-06-12,4,2,32
2016-06-13,43,6,74
2016-06-14,33,8,133
2016-06-15,21,6,122
2016-06-16,36,8,119
2016-06-17,19,2,95
2016-06-18,6,0,31
2016-06-19,4,1,27
2016-06-20,28,6,89
2016-06-21,29,6,109
2016-06-22,40,5,148
2016-06-23,17,6,109
2016-06-24,18,9,119
2016-06-25,6,1,37
2016-06-26,6,2,47
2016-06-27,3,10,114
2016-06-28,19,13,113
2016-06-29,22,7,103
2016-06-30,13,9,109
2016-07-01,15,2,108
2016-07-02,3,2,46
2016-07-03,2,1,21
2016-07-04,35,4,49
2016-07-05,18,1,60
2016-07-06,33,6,118
