,apache/cassandra,linkedin/venice,voldemort/voldemort
2014-12-10,5.0,0.0,0
2014-12-11,4.0,0.0,0
2014-12-12,26.0,0.0,0
2014-12-13,0.0,0.0,3
2014-12-14,0.0,0.0,0
2014-12-15,9.0,0.0,1
2014-12-16,14.0,0.0,0
2014-12-17,8.0,0.0,1
2014-12-18,8.0,0.0,4
2014-12-19,30.0,0.0,1
2014-12-20,0.0,0.0,0
2014-12-21,0.0,0.0,0
2014-12-22,4.0,0.0,0
2014-12-23,0.0,0.0,5
2014-12-24,3.0,0.0,0
2014-12-25,1.0,0.0,0
2014-12-26,0.0,0.0,0
2014-12-27,2.0,0.0,0
2014-12-28,4.0,0.0,0
2014-12-29,0.0,0.0,0
2014-12-30,1.0,0.0,1
2014-12-31,0.0,0.0,0
2015-01-01,0.0,0.0,0
2015-01-02,6.0,0.0,0
2015-01-03,0.0,0.0,1
2015-01-04,0.0,0.0,0
2015-01-05,5.0,0.0,0
2015-01-06,11.0,0.0,0
2015-01-07,22.0,0.0,6
2015-01-08,15.0,0.0,1
2015-01-09,16.0,0.0,2
2015-01-10,5.0,0.0,1
2015-01-11,0.0,0.0,0
2015-01-12,10.0,0.0,1
2015-01-13,6.0,0.0,0
2015-01-14,27.0,0.0,0
2015-01-15,6.0,0.0,0
2015-01-16,2.0,0.0,0
2015-01-17,6.0,0.0,1
2015-01-18,0.0,0.0,0
2015-01-19,7.0,0.0,0
2015-01-20,8.0,0.0,0
2015-01-21,13.0,1.0,1
2015-01-22,14.0,0.8999999999999999,1
2015-01-23,7.0,0.8549999999999999,1
2015-01-24,2.0,-0.17350000000000015,0
2015-01-25,1.0,-0.09416249999999998,0
2015-01-26,6.0,-0.0652792499999999,0
2015-01-27,6.0,-0.04994126249999983,0
2015-01-28,27.0,1.9596275412500002,1
2015-01-29,14.0,-0.23382402176562508,0
2015-01-30,9.0,0.8809391381984375,0
2015-01-31,1.0,1.8250328344484374,2
2015-02-01,3.0,-0.2947238525359375,0
2015-02-02,2.0,-0.15073349999999996,1
2015-02-03,1.0,-0.10398652499999989,2
2015-02-04,9.0,1.9203708575000003,0
2015-02-05,12.0,-0.26453213853125,0
2015-02-06,7.0,-0.1442154263218749,0
2015-02-07,0.0,-0.08875570551562495,0
2015-02-08,0.0,-0.06886047856718727,0
2015-02-09,5.0,-0.04903120507187485,0
