,docker-archive/classicswarm,kubernetes/kubernetes,hashicorp/nomad
2015-09-01,11.0,70,9
2015-09-02,1.899999999999999,65,1
2015-09-03,6.204999999999999,61,6
2015-09-04,-0.14850000000000108,68,6
2015-09-05,0.2722125000000004,8,0
2015-09-06,-0.5837717499999995,7,29
2015-09-07,0.5887301125000011,19,37
2015-09-08,1.576503553750001,49,16
2015-09-09,2.4875541305781255,59,15
2015-09-10,2.353473046807813,77,20
2015-09-11,1.3709070425328125,72,22
2015-09-12,-0.5573957270171874,34,22
2015-09-13,-0.3008501780515622,13,22
2015-09-14,0.786845676214063,44,44
2015-09-15,0.7390830069843755,66,42
2015-09-16,1.7224638951828126,73,10
2015-09-17,2.62139224213125,93,7
2015-09-18,6.484748610845313,64,5
2015-09-19,1.026887566360937,32,17
2015-09-20,-0.6879014675718752,6,33
2015-09-21,-0.4079767087499998,64,31
2015-09-22,1.7030262157343758,69,83
2015-09-23,4.566217154448438,68,89
2015-09-24,2.2248158451828126,64,53
2015-09-25,2.26851745713125,85,53
2015-09-26,-0.7331871412171875,33,33
2015-09-27,-0.433974593782812,2,23
2015-09-28,-0.2711929800718744,35,48
2015-09-29,6.801664795000001,52,26
2015-09-30,4.13755860521875,98,7
2015-10-01,2.0475936035999998,72,11
2015-10-02,4.171519709523437,94,21
2015-10-03,-0.9760389966546875,17,16
2015-10-04,-0.5518263076078119,6,5
2015-10-05,1.6227946625000007,88,10
2015-10-06,1.5048713137500007,66,31
2015-10-07,4.467483540140625,79,15
2015-10-08,6.147275315920313,81,21
2015-10-09,20.850507317023435,91,14
2015-10-10,-0.8040966226859396,47,21
2015-10-11,-0.5933642876796879,3,34
2015-10-12,2.9092673325000002,95,23
2015-10-13,6.823473668968752,74,11
2015-10-14,7.412069600146876,61,3
2015-10-15,4.1412445811000005,77,9
2015-10-16,1.288875453710938,75,22
2015-10-17,1.6390887409046884,25,9
2015-10-18,1.8114503719281263,12,0
2015-10-19,9.034437346912501,60,9
2015-10-20,0.36693221290156286,56,5
2015-10-21,4.8652049944812505,72,4
2015-10-22,5.655308397571876,52,14
2015-10-23,5.512258072832813,53,15
2015-10-24,-1.5403576805124999,34,2
2015-10-25,-0.8895112104046867,10,9
2015-10-26,1.3679995158453138,44,22
2015-10-27,0.32050609473593883,66,6
2015-10-28,8.435361333609375,32,26
2015-10-29,-0.24599754441562527,66,40
2015-10-30,5.230147819925,56,11
2015-10-31,-0.0801661588609377,10,4
2015-11-01,0.3143047572484382,4,0
2015-11-02,1.4829373450000003,51,11
2015-11-03,7.437719815218751,69,12
2015-11-04,0.8247657031625,50,5
2015-11-05,1.1616413090734377,53,27
2015-11-06,-0.7403239258390623,49,30
2015-11-07,-0.43459793937968666,27,4
2015-11-08,-0.3246381494812492,4,0
2015-11-09,0.7809908419484382,32,7
2015-11-10,0.7251574264328129,48,10
2015-11-11,1.7131443733031253,51,16
2015-11-12,-0.38201483881875,130,5
2015-11-13,-0.1750968311031249,58,6
2015-11-14,0.8894230449281251,11,0
2015-11-15,0.8293962375000001,4,0
2015-11-16,-0.20148920874999995,42,34
2015-11-17,-0.12048603426562493,58,53
2015-11-18,3.9106829419484375,56,118
2015-11-19,1.5356852714328122,63,34
2015-11-20,-0.4260764675718752,49,19
2015-11-21,0.7717442912499999,25,10
2015-11-22,1.7396879907343752,8,4
2015-11-23,4.6312408344484375,68,7
