,apache/mxnet,tensorflow/tensorflow,pytorch/pytorch
2016-12-25,0,4,4
2016-12-26,2,3,4
2016-12-27,2,26,24
2016-12-28,2,25,17
2016-12-29,110,28,36
2016-12-30,14,14,23
2016-12-31,6,5,34
2017-01-01,8,5,10
2017-01-02,1,0,8
2017-01-03,6,28,27
2017-01-04,8,52,72
2017-01-05,2,33,35
2017-01-06,6,49,6
2017-01-07,8,12,1
2017-01-08,5,10,0
2017-01-09,6,27,9
2017-01-10,6,53,9
2017-01-11,7,47,8
2017-01-12,4,51,8
2017-01-13,3,57,22
2017-01-14,2,10,4
2017-01-15,4,9,2
2017-01-16,4,9,16
2017-01-17,1,51,22
2017-01-18,3,43,29
2017-01-19,8,68,16
2017-01-20,6,63,17
2017-01-21,8,10,4
2017-01-22,7,7,9
2017-01-23,2,20,11
2017-01-24,4,54,25
2017-01-25,8,50,20
2017-01-26,8,37,13
2017-01-27,12,51,20
2017-01-28,6,15,17
2017-01-29,5,8,11
2017-01-30,3,32,8
2017-01-31,2,46,54
2017-02-01,2,71,23
2017-02-02,4,54,16
2017-02-03,1,71,7
2017-02-04,6,19,4
2017-02-05,2,7,0
2017-02-06,5,66,9
2017-02-07,8,133,19
2017-02-08,3,71,12
2017-02-09,1,55,20
2017-02-10,3,75,15
2017-02-11,0,40,5
2017-02-12,2,9,2
2017-02-13,2,27,9
2017-02-14,2,94,32
2017-02-15,4,61,14
2017-02-16,3,50,35
2017-02-17,0,38,25
2017-02-18,5,11,5
2017-02-19,7,9,0
2017-02-20,0,9,9
2017-02-21,5,29,26
2017-02-22,7,69,18
2017-02-23,3,43,63
2017-02-24,7,38,8
2017-02-25,3,16,8
2017-02-26,0,1,14
2017-02-27,2,46,15
2017-02-28,11,38,34
2017-03-01,4,63,19
2017-03-02,4,48,27
2017-03-03,7,52,25
2017-03-04,1,20,9
2017-03-05,6,18,10
2017-03-06,4,22,14
2017-03-07,1,48,21
2017-03-08,1,46,16
2017-03-09,5,39,16
2017-03-10,8,43,16
2017-03-11,6,18,7
2017-03-12,4,5,5
2017-03-13,7,40,21
2017-03-14,5,56,18
2017-03-15,10,56,25
2017-03-16,7,61,15
2017-03-17,5,44,17
2017-03-18,6,13,1
2017-03-19,3,2,3
2017-03-20,5,47,8
2017-03-21,7,34,7
2017-03-22,8,62,28
2017-03-23,8,52,26
2017-03-24,7,39,34
2017-03-25,2,11,4
2017-03-26,2,5,4
2017-03-27,4,43,19
2017-03-28,6,62,19
2017-03-29,11,55,27
2017-03-30,5,55,12
2017-03-31,7,78,20
2017-04-01,3,18,4
2017-04-02,4,2,3
2017-04-03,10,34,18
2017-04-04,4,31,15
2017-04-05,8,30,17
2017-04-06,4,36,31
2017-04-07,2,42,20
2017-04-08,6,16,12
2017-04-09,3,3,5
2017-04-10,10,44,6
2017-04-11,5,49,33
2017-04-12,12,35,32
2017-04-13,12,35,12
2017-04-14,12,39,13
2017-04-15,6,8,3
2017-04-16,2,10,3
2017-04-17,7,39,21
2017-04-18,5,45,44
2017-04-19,8,42,32
2017-04-20,7,55,26
2017-04-21,6,26,7
2017-04-22,2,16,8
2017-04-23,0,4,4
2017-04-24,10,16,23
2017-04-25,9,28,23
2017-04-26,9,40,18
2017-04-27,12,59,11
2017-04-28,4,50,40
2017-04-29,0,21,7
2017-04-30,5,8,3
2017-05-01,8,49,68
2017-05-02,4,48,25
2017-05-03,3,32,27
2017-05-04,9,52,18
2017-05-05,1,41,13
2017-05-06,8,29,4
2017-05-07,1,8,4
2017-05-08,8,10,25
2017-05-09,5,2,26
2017-05-10,11,65,24
2017-05-11,11,90,8
2017-05-12,9,79,12
2017-05-13,7,8,1
2017-05-14,5,6,2
2017-05-15,6,43,12
2017-05-16,11,50,9
2017-05-17,19,65,17
2017-05-18,13,59,11
2017-05-19,19,65,15
2017-05-20,11,11,6
2017-05-21,5,11,3
2017-05-22,5,44,6
2017-05-23,13,59,13
2017-05-24,10,55,23
2017-05-25,11,51,32
2017-05-26,18,63,16
2017-05-27,3,32,1
2017-05-28,0,7,1
2017-05-29,0,9,0
2017-05-30,5,33,15
2017-05-31,6,64,15
2017-06-01,6,50,16
2017-06-02,7,41,44
2017-06-03,7,12,5
2017-06-04,1,2,2
2017-06-05,3,31,19
2017-06-06,5,84,24
2017-06-07,3,63,36
2017-06-08,4,46,13
2017-06-09,8,55,10
2017-06-10,4,11,5
2017-06-11,0,10,70
2017-06-12,5,18,8
2017-06-13,4,73,30
2017-06-14,7,99,20
2017-06-15,2,33,29
2017-06-16,6,63,13
2017-06-17,2,5,49
2017-06-18,2,2,0
2017-06-19,7,32,20
2017-06-20,7,55,18
2017-06-21,2,63,29
2017-06-22,6,68,32
2017-06-23,5,39,18
2017-06-24,1,9,13
2017-06-25,1,3,0
2017-06-26,2,47,13
2017-06-27,6,59,16
2017-06-28,11,42,17
2017-06-29,1,43,17
2017-06-30,5,44,10
2017-07-01,6,14,2
2017-07-02,0,7,4
2017-07-03,4,5,17
2017-07-04,2,16,17
2017-07-05,5,24,10
2017-07-06,4,71,7
2017-07-07,1,54,13
2017-07-08,1,12,5
2017-07-09,0,2,3
2017-07-10,6,35,18
2017-07-11,7,39,25
2017-07-12,29,47,30
2017-07-13,9,45,45
2017-07-14,9,41,32
2017-07-15,2,11,4
2017-07-16,4,5,3
2017-07-17,2,20,11
2017-07-18,3,50,20
2017-07-19,3,41,31
2017-07-20,10,44,19
2017-07-21,6,51,19
2017-07-22,1,12,4
2017-07-23,1,2,6
2017-07-24,1,41,10
2017-07-25,5,83,60
2017-07-26,3,42,26
2017-07-27,4,46,24
2017-07-28,5,48,8
2017-07-29,2,10,6
2017-07-30,5,8,2
2017-07-31,7,41,8
2017-08-01,14,33,22
2017-08-02,7,53,16
2017-08-03,19,51,19
2017-08-04,7,106,18
2017-08-05,3,11,0
2017-08-06,2,3,11
2017-08-07,4,32,11
2017-08-08,7,36,13
2017-08-09,7,52,24
2017-08-10,8,69,16
2017-08-11,2,48,7
2017-08-12,7,9,5
2017-08-13,2,1,1
2017-08-14,3,33,18
2017-08-15,5,36,22
2017-08-16,5,48,32
2017-08-17,2,60,19
2017-08-18,5,49,17
2017-08-19,1,13,4
2017-08-20,1,4,1
2017-08-21,4,39,8
2017-08-22,3,40,13
2017-08-23,7,40,19
2017-08-24,14,66,21
2017-08-25,3,46,50
2017-08-26,6,12,14
2017-08-27,4,5,6
2017-08-28,4,50,9
2017-08-29,11,48,13
2017-08-30,13,49,26
2017-08-31,7,27,21
2017-09-01,4,28,16
2017-09-02,4,8,6
2017-09-03,1,27,2
2017-09-04,7,22,3
2017-09-05,5,68,250
2017-09-06,9,52,22
2017-09-07,9,68,44
2017-09-08,9,61,25
2017-09-09,10,9,6
2017-09-10,16,3,9
2017-09-11,9,33,22
2017-09-12,5,42,16
2017-09-13,5,50,38
2017-09-14,1,48,19
2017-09-15,4,53,18
2017-09-16,0,21,2
2017-09-17,6,13,18
2017-09-18,4,40,14
2017-09-19,4,52,38
2017-09-20,6,55,29
2017-09-21,3,40,30
2017-09-22,9,57,21
2017-09-23,2,15,9
2017-09-24,8,11,6
2017-09-25,15,27,19
2017-09-26,10,58,21
2017-09-27,9,60,11
2017-09-28,4,76,30
2017-09-29,9,60,8
2017-09-30,2,14,16
2017-10-01,6,7,1
2017-10-02,3,58,16
2017-10-03,4,56,22
2017-10-04,7,73,17
2017-10-05,2,67,36
2017-10-06,4,69,28
2017-10-07,2,16,11
2017-10-08,3,9,3
2017-10-09,4,28,5
2017-10-10,10,54,32
2017-10-11,8,32,23
2017-10-12,2,56,21
2017-10-13,9,68,26
2017-10-14,7,10,9
2017-10-15,4,12,3
2017-10-16,4,54,22
2017-10-17,7,40,7
2017-10-18,4,48,12
2017-10-19,0,51,18
2017-10-20,0,57,41
2017-10-21,7,11,2
2017-10-22,2,7,4
2017-10-23,1,44,10
2017-10-24,1,39,27
2017-10-25,6,65,13
2017-10-26,2,53,31
2017-10-27,5,66,9
2017-10-28,7,17,19
2017-10-29,0,4,1
2017-10-30,3,44,16
2017-10-31,3,59,25
2017-11-01,4,38,26
2017-11-02,4,49,298
2017-11-03,4,40,20
2017-11-04,3,25,10
2017-11-05,4,22,1
2017-11-06,4,44,16
2017-11-07,7,66,24
2017-11-08,9,75,23
2017-11-09,5,76,21
2017-11-10,5,34,35
2017-11-11,6,175,6
2017-11-12,2,6,3
2017-11-13,9,37,15
2017-11-14,1,76,29
2017-11-15,6,42,26
2017-11-16,8,71,21
2017-11-17,3,68,13
2017-11-18,3,22,7
2017-11-19,10,2,2
2017-11-20,8,41,11
2017-11-21,9,51,17
2017-11-22,16,81,11
2017-11-23,2,26,6
2017-11-24,2,2,7
2017-11-25,7,5,0
2017-11-26,2,2,4
2017-11-27,5,29,12
2017-11-28,4,61,17
2017-11-29,0,60,21
2017-11-30,9,52,19
2017-12-01,3,53,17
2017-12-02,8,24,8
2017-12-03,0,5,4
2017-12-04,6,63,22
2017-12-05,3,44,19
2017-12-06,5,63,16
2017-12-07,2,77,12
2017-12-08,8,50,10
2017-12-09,15,19,2
2017-12-10,5,20,2
2017-12-11,2,43,11
2017-12-12,7,50,8
2017-12-13,7,52,12
2017-12-14,9,55,21
2017-12-15,11,83,26
2017-12-16,5,20,9
2017-12-17,0,5,1
2017-12-18,13,58,32
2017-12-19,6,74,11
2017-12-20,5,110,22
2017-12-21,6,74,18
2017-12-22,4,63,14
2017-12-23,1,14,12
2017-12-24,0,3,1
2017-12-25,3,2,1
2017-12-26,0,23,2
2017-12-27,6,21,7
2017-12-28,6,22,9
2017-12-29,1,18,7
2017-12-30,5,6,4
2017-12-31,1,17,2
2018-01-01,2,17,2
2018-01-02,11,33,17
2018-01-03,9,57,19
2018-01-04,14,59,33
2018-01-05,9,62,9
2018-01-06,0,13,11
2018-01-07,2,5,2
2018-01-08,2,17,13
2018-01-09,5,55,12
2018-01-10,5,60,11
2018-01-11,4,74,26
2018-01-12,10,56,12
2018-01-13,3,45,6
2018-01-14,1,3,5
2018-01-15,20,11,2
2018-01-16,8,39,16
2018-01-17,5,56,11
2018-01-18,3,60,14
2018-01-19,2,80,22
2018-01-20,4,18,11
2018-01-21,2,5,2
2018-01-22,29,36,13
2018-01-23,4,96,25
2018-01-24,5,96,22
2018-01-25,6,89,20
2018-01-26,7,98,14
2018-01-27,11,25,8
2018-01-28,2,14,6
2018-01-29,4,76,20
2018-01-30,4,89,18
2018-01-31,15,18,17
2018-02-01,6,91,15
2018-02-02,5,110,18
2018-02-03,3,39,8
2018-02-04,2,15,6
2018-02-05,4,51,17
2018-02-06,4,63,26
2018-02-07,6,64,20
2018-02-08,2,99,23
2018-02-09,5,42,15
2018-02-10,3,15,3
2018-02-11,2,11,0
2018-02-12,1,68,22
2018-02-13,8,54,26
2018-02-14,1,56,21
2018-02-15,4,66,17
2018-02-16,0,85,14
2018-02-17,1,15,4
2018-02-18,1,6,5
2018-02-19,4,13,1
2018-02-20,3,49,16
2018-02-21,4,68,17
2018-02-22,3,55,10
2018-02-23,6,52,22
2018-02-24,0,29,14
2018-02-25,2,7,7
2018-02-26,5,50,22
2018-02-27,8,107,25
2018-02-28,8,49,22
2018-03-01,8,54,32
2018-03-02,2,70,29
2018-03-03,4,6,13
2018-03-04,2,18,6
2018-03-05,4,53,12
2018-03-06,4,63,34
2018-03-07,2,83,17
2018-03-08,9,93,23
2018-03-09,4,72,42
2018-03-10,5,13,17
2018-03-11,1,14,3
2018-03-12,0,53,19
2018-03-13,3,70,11
2018-03-14,5,58,15
2018-03-15,1,76,26
2018-03-16,6,59,10
2018-03-17,2,21,16
2018-03-18,1,15,2
2018-03-19,1,42,27
2018-03-20,12,76,44
2018-03-21,4,62,17
2018-03-22,14,74,22
2018-03-23,5,38,33
2018-03-24,2,6,11
2018-03-25,1,52,5
2018-03-26,7,46,15
