,playcanvas/engine,mrdoob/three.js,BabylonJS/Babylon.js
2013-09-27,0,0,0.0
2013-09-28,0,0,0.0
2013-09-29,0,1,0.0
2013-09-30,0,3,0.0
2013-10-01,2,5,0.0
2013-10-02,4,8,0.0
2013-10-03,5,2,0.0
2013-10-04,8,3,0.0
2013-10-05,6,3,0.0
2013-10-06,0,0,4.0
2013-10-07,0,0,-0.7999999999999998
2013-10-08,2,1,9.68
2013-10-09,4,0,-1.1919999999999997
2013-10-10,19,0,-0.13440000000000074
2013-10-11,3,3,1.1378559999999995
2013-10-12,0,8,-0.9457152000000002
2013-10-13,0,0,-0.5646668800000003
2013-10-14,3,10,-0.41697484799999995
2013-10-15,5,0,-0.3323094016
2013-10-16,7,6,-0.23230463999999942
2013-10-17,5,13,-0.19686553599999962
2013-10-18,26,11,4.9392894976
2013-10-19,0,3,-1.0412447743999995
2013-10-20,0,5,-0.4249387008000003
2013-10-21,10,15,-0.24000000000000019
2013-10-22,11,8,-0.16800000000000007
2013-10-23,0,6,-0.12768000000000007
2013-10-24,2,7,-0.10214400000000005
2013-10-25,10,5,-0.08463360000000004
2013-10-26,4,3,-0.0719385599999997
2013-10-27,0,3,-0.062346751999999825
2013-10-28,2,7,5.0
2013-10-29,6,4,-0.9999999999999998
2013-10-30,1,9,-0.40000000000000036
2013-10-31,18,4,2.76
2013-11-01,5,15,0.2320000000000001
2013-11-02,0,3,-0.5676800000000002
2013-11-03,0,4,2.673856
2013-11-04,1,5,1.1665664
2013-11-05,2,15,2.1778534400000003
2013-11-06,0,12,-0.05316915199999994
2013-11-07,4,2,-0.7080089600000004
2013-11-08,3,7,0.5721021439999999
2013-11-09,0,6,-0.5129541631999999
2013-11-10,0,9,-0.29431511040000014
2013-11-11,3,2,-0.2118389759999999
2013-11-12,0,5,-0.17099243519999985
2013-11-13,4,2,-0.11056455679999977
2013-11-14,6,4,-0.07222456319999984
2013-11-15,10,6,-0.029396070399999974
2013-11-16,0,4,-0.01438771199999994
2013-11-17,4,1,-0.012469350399999964
2013-11-18,11,16,0.0
2013-11-19,8,3,0.0
2013-11-20,8,7,0.0
2013-11-21,12,4,0.0
2013-11-22,4,4,0.0
2013-11-23,3,2,0.0
2013-11-24,1,3,0.0
2013-11-25,27,14,1.0
2013-11-26,6,2,0.8
2013-11-27,5,0,-0.28
2013-11-28,2,0,-0.1280000000000001
2013-11-29,0,0,1.9183999999999999
2013-11-30,0,0,-0.45913599999999993
2013-12-01,0,2,-0.20596480000000017
2013-12-02,0,5,-0.1333555200000001
2013-12-03,0,6,0.901485568
2013-12-04,0,14,-0.27792906239999987
2013-12-05,2,3,0.8666730495999999
2013-12-06,0,6,4.71814656
2013-12-07,1,1,-1.1423754239999997
