,expressjs/express,django/django,pallets/flask
2011-01-04,0,4.0,0
2011-01-05,0,6.0,0
2011-01-06,1,0.0,0
2011-01-07,0,0.0,1
2011-01-08,0,8.0,0
2011-01-09,0,1.0,0
2011-01-10,1,2.0,0
2011-01-11,0,2.0,0
2011-01-12,1,2.0,0
2011-01-13,3,10.0,2
2011-01-14,0,4.0,0
2011-01-15,0,10.0,0
2011-01-16,0,7.0,2
2011-01-17,0,5.0,0
2011-01-18,0,3.0,0
2011-01-19,6,6.0,0
2011-01-20,1,4.0,3
2011-01-21,0,25.0,0
2011-01-22,0,3.0,0
2011-01-23,0,0.0,0
2011-01-24,1,11.0,4
2011-01-25,5,6.0,0
2011-01-26,0,14.0,0
2011-01-27,0,10.0,0
2011-01-28,2,6.0,0
2011-01-29,1,3.0,0
2011-01-30,0,11.0,0
2011-01-31,1,3.0,0
2011-02-01,3,9.0,0
2011-02-02,1,5.0,0
2011-02-03,0,2.0,0
2011-02-04,9,8.0,0
2011-02-05,0,8.0,2
2011-02-06,0,7.0,1
2011-02-07,4,7.0,0
2011-02-08,6,6.0,0
2011-02-09,2,7.0,0
2011-02-10,2,3.0,1
2011-02-11,0,1.0,0
2011-02-12,0,20.0,0
2011-02-13,0,4.0,0
2011-02-14,1,11.0,0
2011-02-15,2,2.0,0
2011-02-16,0,9.0,0
2011-02-17,0,4.0,2
2011-02-18,1,4.0,0
2011-02-19,0,14.0,0
2011-02-20,0,4.0,0
2011-02-21,4,12.0,2
2011-02-22,0,4.0,0
2011-02-23,6,3.0,0
2011-02-24,0,2.0,0
2011-02-25,0,5.0,0
2011-02-26,0,7.0,0
2011-02-27,0,5.0,0
2011-02-28,0,4.0,0
2011-03-01,19,23.0,0
2011-03-02,45,6.0,0
2011-03-03,46,19.0,0
2011-03-04,16,11.0,0
2011-03-05,1,2.0,0
2011-03-06,0,2.0,0
2011-03-07,3,6.0,0
2011-03-08,10,4.0,0
2011-03-09,18,7.0,0
2011-03-10,0,4.0,0
2011-03-11,1,0.0,0
2011-03-12,1,0.0,0
2011-03-13,1,0.0,0
2011-03-14,2,12.0,18
2011-03-15,6,29.0,6
2011-03-16,3,10.0,0
2011-03-17,12,10.0,0
2011-03-18,9,4.0,4
2011-03-19,0,3.0,1
2011-03-20,0,3.0,0
2011-03-21,6,1.0,0
2011-03-22,7,9.0,0
2011-03-23,0,4.0,0
2011-03-24,6,5.0,0
2011-03-25,0,1.0,0
2011-03-26,0,6.0,0
2011-03-27,1,1.0,0
2011-03-28,1,16.0,0
2011-03-29,9,1.0,0
2011-03-30,19,17.0,0
2011-03-31,6,2.0,0
2011-04-01,0,2.0,0
2011-04-02,5,39.0,0
2011-04-03,2,2.0,0
2011-04-04,1,3.0,0
2011-04-05,1,2.0,0
2011-04-06,0,4.0,0
