,golang/go,rust-lang/rust,swiftlang/swift
2010-09-17,3,0.0,0.0
2010-09-18,2,0.0,2.0
2010-09-19,3,0.0,-1.2000000000000002
2010-09-20,16,1.0,-0.24
2010-09-21,5,11.8,-0.11199999999999999
2010-09-22,17,5.5200000000000005,-0.06719999999999994
2010-09-23,12,1.3919999999999995,-0.04569600000000001
2010-09-24,29,5.950399999999999,-0.03351040000000002
2010-09-25,2,-2.732736,-0.025850880000000017
2010-09-26,0,-1.427660800000001,-0.02068070400000002
2010-09-27,12,2.0152396799999996,-0.01700413440000002
2010-09-28,10,3.6481172479999997,0.0
2010-09-29,14,-0.8465388543999994,0.0
2010-09-30,16,3.7601288192,0.0
2010-10-01,5,0.2864805888000004,0.0
2010-10-02,0,-0.25758709759999965,0.0
2010-10-03,1,-0.9223212032000001,0.0
2010-10-04,3,0.4775398399999997,0.0
2010-10-05,2,1.408894464,0.0
2010-10-06,13,4.206910668800001,0.0
2010-10-07,13,1.5642383360000003,0.0
2010-10-08,2,4.7317098496,0.0
2010-10-09,1,7.119215104,17.0
2010-10-10,0,-0.7028272127999999,0.7999999999999989
2010-10-11,11,0.2932663295999991,-5.640000000000001
2010-10-12,16,9.579406848,-1.072
2010-10-13,9,3.9012192256000002,-3.3471999999999995
2010-10-14,10,5.0567457792,-1.2860159999999996
2010-10-15,10,-1.1972014080000002,3.1950336
2010-10-16,2,-1.1136044032000005,-2.9733836800000004
2010-10-17,4,-1.5391125503999998,3.0832245759999997
2010-10-18,14,7.9768781824,-1.9713209344000004
2010-10-19,7,2.4976023552,-1.3777201152000003
2010-10-20,17,1.7302070272000005,-0.49191925760000005
2010-10-21,17,12.9283158016,-0.28292700159999995
2010-10-22,12,7.880930611200001,-0.17669376
2010-10-23,0,3.6647190527999998,-0.13123020800000007
2010-10-24,1,-3.7652656128000013,0.8975347711999999
2010-10-25,11,-2.0890978304000014,-0.6542868480000001
2010-10-26,14,3.5339217919999997,-0.16434862080000004
2010-10-27,8,-0.13353359359999928,-0.0645020672
2010-10-28,14,6.376768,-0.03359999999999997
