,canonical/lxd,moby/moby,containerd/containerd
2016-02-05,3,33.0,0
2016-02-06,0,-5.1999999999999975,0
2016-02-07,0,-2.1599999999999993,0
2016-02-08,1,14.927999999999999,0
2016-02-09,13,23.5152,0
2016-02-10,16,18.358784000000004,0
2016-02-11,19,33.03459840000001,10
2016-02-12,5,11.13230592,6
2016-02-13,1,-20.959358975999997,0
2016-02-14,1,-11.7866696704,0
2016-02-15,4,-0.3149958144000031,0
2016-02-16,2,18.450612735999997,3
2016-02-17,20,23.336157696,2
2016-02-18,15,17.8152915968,0
2016-02-19,9,4.350666547200007,3
2016-02-20,1,-8.424336179199997,0
2016-02-21,6,-8.219250892800002,1
2016-02-22,3,3.752961126399999,1
2016-02-23,11,18.580268441599998,4
2016-02-24,30,13.175183052800001,0
2016-02-25,11,17.9868061696,10
2016-02-26,17,-1.6379760639999965,10
2016-02-27,8,-2.4086540287999973,0
2016-02-28,0,-4.706363392,0
2016-02-29,10,39.9313399808,8
2016-03-01,7,29.757880934400003,5
2016-03-02,16,10.439521484800004,0
2016-03-03,4,10.863724544000004,0
2016-03-04,1,0.690656563200001,0
2016-03-05,0,-16.8724685824,0
2016-03-06,0,-7.768991641600001,0
2016-03-07,19,4.7472986112,3
2016-03-08,15,13.85487616,1
2016-03-09,10,9.367788851200004,2
2016-03-10,19,8.594702643200002,0
2016-03-11,12,24.4502086656,7
2016-03-12,1,-9.057534668799995,2
2016-03-13,0,-8.22109952,0
2016-03-14,0,20.0736854016,3
2016-03-15,28,22.5704059904,4
2016-03-16,5,15.684477747200003,3
2016-03-17,8,17.045790822400004,10
2016-03-18,4,6.934684262400005,4
2016-03-19,2,-11.828992409599998,2
2016-03-20,3,-5.095667814400002,0
2016-03-21,8,24.4561252352,10
2016-03-22,6,17.4761307136,11
2016-03-23,17,13.300912947200004,8
2016-03-24,3,12.524873011200004,3
2016-03-25,7,24.091699712,10
2016-03-26,4,-21.991692902399997,1
2016-03-27,1,-3.189643776000004,0
2016-03-28,8,29.1678199808,8
2016-03-29,3,18.430389862400002,6
2016-03-30,2,6.575872921600006,4
2016-03-31,15,19.031505920000004,7
2016-04-01,7,-19.5224594432,3
2016-04-02,6,-15.565547827200003,1
2016-04-03,5,-8.325719756800003,0
2016-04-04,8,6.7608330239999965,5
2016-04-05,7,2.3941178367999996,4
2016-04-06,8,48.328596172800005,7
2016-04-07,9,-0.6934280191999953,6
2016-04-08,12,19.564636672000002,0
2016-04-09,3,-2.609383935999997,0
2016-04-10,3,-5.56025344,0
2016-04-11,3,2.197254451199999,1
2016-04-12,0,8.397161267199998,0
2016-04-13,5,10.3009765376,2
2016-04-14,4,19.2891137024,3
2016-04-15,0,22.2255138816,2
2016-04-16,0,-15.152884633599996,0
2016-04-17,0,-13.760124415999998,3
2016-04-18,4,15.2843449344,6
2016-04-19,2,12.0017130496,1
2016-04-20,0,4.479490867199999,2
2016-04-21,1,8.592713318400001,5
2016-04-22,4,1.577948979200002,9
2016-04-23,0,-6.271959961599999,0
2016-04-24,13,-6.549547520000001,0
2016-04-25,2,25.1602668544,0
2016-04-26,6,2.214271078400003,16
2016-04-27,6,1.6659196928000028,1
2016-04-28,8,7.261491302400001,3
2016-04-29,4,10.1968303104,3
2016-04-30,0,-7.637964287999999,0
2016-05-01,6,-3.7825590272000014,0
2016-05-02,1,13.5928030208,4
2016-05-03,2,5.5179327488,0
2016-05-04,5,11.393659494400001,2
2016-05-05,2,4.002599628800002,0
2016-05-06,1,12.182204211200002,3
2016-05-07,2,1.5017640960000023,0
2016-05-08,0,-9.0943880192,0
2016-05-09,6,10.674313113599998,8
2016-05-10,3,-0.2795337727999989,0
2016-05-11,6,8.6536896512,0
2016-05-12,0,20.4566762496,1
2016-05-13,0,-6.674246451199998,2
2016-05-14,2,3.873012428800001,0
2016-05-15,0,-7.235532492799999,0
2016-05-16,0,6.439367577599999,0
2016-05-17,5,0.2796871680000006,1
2016-05-18,1,7.4431162368,5
2016-05-19,3,4.493444710400002,1
2016-05-20,1,6.376678604800002,0
2016-05-21,0,1.5277193216000011,0
2016-05-22,0,1.0254731263999997,0
2016-05-23,1,12.0813990912,1
2016-05-24,0,29.464232448,0
2016-05-25,6,32.956907724800004,2
2016-05-26,5,-5.267381759999999,2
2016-05-27,4,10.466000691200001,1
2016-05-28,0,-15.637223935999998,0
2016-05-29,0,-4.884880281600001,0
2016-05-30,0,-1.4586850304000016,0
2016-05-31,10,20.418410803199997,1
2016-06-01,17,9.668574003200003,0
2016-06-02,13,16.916362854400003,0
2016-06-03,11,27.394592256000003,1
2016-06-04,0,-10.162804223999995,0
2016-06-05,13,12.7889757184,0
2016-06-06,3,29.9742321664,1
2016-06-07,4,21.231370137600003,1
2016-06-08,3,8.4099801088,0
2016-06-09,4,6.825948672000003,5
2016-06-10,8,11.776392806399997,0
2016-06-11,1,-7.946246656,0
2016-06-12,0,-2.4416750592000014,0
2016-06-13,8,16.7445523456,3
2016-06-14,2,73.5557020672,0
2016-06-15,1,7.683841331200007,1
2016-06-16,11,28.028279091200005,2
2016-06-17,0,10.024376627200006,2
2016-06-18,0,-11.913362841600005,0
2016-06-19,0,-7.875492864000002,0
2016-06-20,1,6.195216179199999,0
2016-06-21,4,21.284850380800002,0
2016-06-22,10,-0.8113822719999959,2
2016-06-23,5,8.140350566400002,0
2016-06-24,2,13.497503334400001,0
2016-06-25,0,-20.1667336192,0
2016-06-26,0,-8.518254592,0
2016-06-27,3,18.6390437888,2
2016-06-28,5,8.321059430399998,1
2016-06-29,1,16.863698944,1
2016-06-30,2,16.001185587200006,1
2016-07-01,2,6.773454848000004,4
2016-07-02,0,-5.4427912191999965,0
2016-07-03,0,8.4318737408,0
2016-07-04,0,-3.9634308095999984,1
2016-07-05,11,11.0865728512,6
2016-07-06,3,1.8035217408000008,0
2016-07-07,6,15.6816735232,0
2016-07-08,8,7.405085696,0
2016-07-09,0,-14.037864550399998,0
2016-07-10,0,-8.1983387648,0
