,tensorflow/tensorflow,pytorch/pytorch,chainer/chainer
2016-12-25,4,4,0.0
2016-12-26,3,4,5.0
2016-12-27,26,24,28.5
2016-12-28,25,17,1.874999999999997
2016-12-29,28,36,-0.9475000000000016
2016-12-30,14,23,-0.25481250000000055
2016-12-31,5,34,0.03270375000000225
2017-01-01,5,10,-0.8100083124999979
2017-01-02,0,8,-0.6119130937499984
2017-01-03,28,27,1.4993519311718764
2017-01-04,52,72,2.3751149161171883
2017-01-05,33,35,14.278219252629688
2017-01-06,49,6,22.232181715554688
2017-01-07,12,1,0.769114138198435
2017-01-08,10,0,4.980311834448436
2017-01-09,27,9,0.04298937246406265
2017-01-10,53,9,15.571675320000002
2017-01-11,47,8,7.29120009771875
2017-01-12,51,8,14.441099112131251
2017-01-13,57,22,6.723739737157812
2017-01-14,10,4,0.07437282708593873
2017-01-15,9,2,8.941064638325003
2017-01-16,9,16,26.621054793746875
2017-01-17,51,22,3.6407486949671872
2017-01-18,43,29,7.8441947986625005
2017-01-19,68,16,25.87918566548281
2017-01-20,63,17,4.203430403375001
2017-01-21,10,4,5.432287400482814
2017-01-22,7,9,-1.1041439856562487
2017-01-23,20,11,28.804541957970315
2017-01-24,54,25,20.29675158715156
2017-01-25,50,20,21.893144501082812
2017-01-26,37,13,8.492506682790623
2017-01-27,51,20,7.411559165901564
2017-01-28,15,17,-2.0715305819328105
2017-01-29,8,11,4.308279480035942
2017-01-30,32,8,28.375891554895315
2017-01-31,46,54,36.10828334769375
2017-02-01,71,23,3.0874037722453114
2017-02-02,54,16,10.313057337679687
2017-02-03,71,7,23.60797146931094
2017-02-04,19,4,-0.45350692169062246
2017-02-05,7,0,-0.6605128677124967
2017-02-06,66,9,58.238572007568756
2017-02-07,133,19,26.860327407514063
2017-02-08,71,12,0.15388608774531143
2017-02-09,55,20,3.768950872120312
2017-02-10,75,15,6.829790471906255
2017-02-11,40,5,2.071840678773443
2017-02-12,9,2,-3.2000595373343708
2017-02-13,27,9,31.893518389523443
2017-02-14,94,32,3.9542226296890632
2017-02-15,61,14,1.2143121072609397
2017-02-16,50,35,58.41416775336719
2017-02-17,38,25,-0.6383333711781267
2017-02-18,11,5,-2.5688352934953116
2017-02-19,9,0,-1.0991689309890615
2017-02-20,9,9,35.62346684978438
2017-02-21,29,26,11.434264778718752
2017-02-22,69,18,3.1488307028875013
2017-02-23,43,63,33.38616070334844
2017-02-24,38,8,-4.091549755382811
2017-02-25,16,8,8.31548138669844
2017-02-26,1,14,10.615942788717188
2017-02-27,46,15,27.42830449889688
2017-02-28,38,34,5.616072714084376
2017-03-01,63,19,8.768254749868753
2017-03-02,48,27,13.182706216514063
2017-03-03,52,25,16.933978055634377
2017-03-04,20,9,-4.609693449860936
2017-03-05,18,10,0.42965165374062764
2017-03-06,22,14,29.817290416100004
2017-03-07,48,21,1.2497642897625019
2017-03-08,46,16,26.802460114464065
2017-03-09,39,16,12.07424195415156
2017-03-10,43,16,33.56463572451719
2017-03-11,18,7,-1.4429121039390642
2017-03-12,5,5,13.958083107995314
2017-03-13,40,21,56.59455970595313
2017-03-14,56,18,-0.9044648766078112
2017-03-15,56,25,-0.6564872592437485
2017-03-16,61,15,11.922799433065627
2017-03-17,44,17,24.494488582656256
2017-03-18,13,1,9.290317156045315
2017-03-19,2,3,0.1371862435562523
2017-03-20,47,8,11.591080781789065
2017-03-21,34,7,37.10101342790001
2017-03-22,62,28,19.450239559932815
2017-03-23,52,26,12.108206362134375
2017-03-24,39,34,25.75674410032031
2017-03-25,11,4,-4.383991974278123
2017-03-26,5,4,13.053998162473441
2017-03-27,43,19,34.65566719063281
2017-03-28,62,19,22.36478817083594
2017-03-29,55,27,3.275919800820313
2017-03-30,55,12,16.999165987620316
2017-03-31,78,20,19.682849341034377
2017-04-01,18,4,1.3034955958687533
2017-04-02,2,3,-0.10742312839530932
2017-04-03,34,18,19.962945957412504
2017-04-04,31,15,22.480086983029693
2017-04-05,30,17,16.597906186145316
2017-04-06,36,31,40.821671266301564
2017-04-07,42,20,1.4368275945468731
2017-04-08,16,12,-4.0798592549312485
2017-04-09,3,5,4.67022217299219
2017-04-10,44,6,15.885861928935944
2017-04-11,49,33,49.94140631674688
2017-04-12,35,32,35.05025479775156
2017-04-13,35,12,8.481043205185934
2017-04-14,39,13,14.566556066740624
2017-04-15,8,3,4.898654919956254
2017-04-16,10,3,-3.712277793339058
2017-04-17,39,21,34.755742989589066
2017-04-18,45,44,30.719587847415628
2017-04-19,42,32,6.618710497723439
2017-04-20,55,26,18.3240826546375
2017-04-21,26,7,37.21264651093907
2017-04-22,16,8,19.365143262310937
2017-04-23,4,4,9.002527732323438
