,friendica/friendica,diaspora/diaspora,mastodon/mastodon
2024-04-20,0.0,0,0
2024-04-21,0.0,0,0
2024-04-22,0.0,0,9
2024-04-23,0.0,0,4
2024-04-24,0.0,0,6
2024-04-25,2.0,0,2
2024-04-26,-0.3999999999999999,0,6
2024-04-27,1.8399999999999999,0,0
2024-04-28,-0.496,0,0
2024-04-29,-0.22720000000000018,0,17
2024-04-30,-0.1470720000000001,0,4
2024-05-01,-0.10805760000000005,0,0
2024-05-02,-0.08492544000000005,0,6
2024-05-03,-0.0696330239999999,0,3
2024-05-04,-0.05879214079999995,0,0
2024-05-05,-0.02877542399999988,0,1
2024-05-06,-0.02493870079999993,0,9
2024-05-07,0.0,0,3
2024-05-08,0.0,0,0
2024-05-09,3.0,0,0
2024-05-10,15.4,0,10
2024-05-11,11.56,0,0
2024-05-12,-2.4240000000000004,0,0
2024-05-13,7.531199999999998,0,4
2024-05-14,0.5057919999999996,0,2
2024-05-15,0.3301375999999987,0,6
2024-05-16,4.772119039999999,0,7
2024-05-17,-2.8394946560000003,0,4
2024-05-18,0.3438701568000002,0,0
2024-05-19,2.407589273600001,0,3
2024-05-20,4.261393920000001,0,8
2024-05-21,-2.0925611007999994,0,3
2024-05-22,-1.1152261120000002,0,2
2024-05-23,0.31500042240000004,0,5
2024-05-24,2.3172763648000005,0,4
2024-05-25,-0.03607009279999973,0,0
2024-05-26,12.292944896,0,0
2024-05-27,-1.0416498687999995,0,5
2024-05-28,2.2494603263999995,0,2
2024-05-29,0.21054709759999968,0,3
2024-05-30,3.6434508799999996,1,6
2024-05-31,-0.8367646720000002,0,4
2024-06-01,0.7803943935999997,0,0
2024-06-02,3.7979552768,2,0
2024-06-03,4.2578497536,0,6
2024-06-04,2.8432785408,62,3
2024-06-05,1.9687770111999998,0,5
2024-06-06,-1.8907872256000002,0,14
2024-06-07,0.9560584191999997,0,13
2024-06-08,-1.1259479040000002,0,3
2024-06-09,5.329468825599999,2,0
2024-06-10,0.3012744192000003,0,10
2024-06-11,-1.262221824,0,14
2024-06-12,-0.7135335423999998,0,7
2024-06-13,0.5416448000000003,0,13
2024-06-14,2.4958531584,0,11
2024-06-15,5.117579776,3,0
2024-06-16,0.3446433791999999,3,0
2024-06-17,0.822220288,0,4
2024-06-18,2.9220724736,0,7
2024-06-19,-1.3795755008000001,0,7
2024-06-20,-0.7146291200000006,0,7
2024-06-21,1.5019873279999998,0,6
