,huggingface/transformers,pytorch/vision,tensorflow/models
2022-12-29,4,0,1.0
2022-12-30,3,0,-0.3999999999999999
2022-12-31,4,0,-0.12
2023-01-01,0,0,-0.064
2023-01-02,1,0,0.9583999999999999
2023-01-03,15,0,3.570048
2023-01-04,18,2,3.2570368000000003
2023-01-05,8,1,-0.5623705599999997
2023-01-06,4,1,0.2872442880000001
2023-01-07,1,0,0.43084984319999986
2023-01-08,5,0,0.4812287999999998
2023-01-09,2,0,1.48881664
2023-01-10,2,2,2.085442048
2023-01-11,2,2,3.5576957952000003
2023-01-12,5,4,-0.4247427071999996
2023-01-13,3,0,3.4623262720000003
2023-01-14,3,0,-3.5388312575999996
2023-01-15,2,0,-0.4429464576000002
2023-01-16,11,3,-1.2913842176
2023-01-17,18,1,1.2582191103999998
2023-01-18,14,0,3.6781577216
2023-01-19,19,1,6.383382220800001
2023-01-20,17,3,0.40956856320000057
2023-01-21,1,0,-1.6354919423999998
2023-01-22,0,0,-2.3390635008
2023-01-23,22,1,1.8547578879999995
2023-01-24,12,1,5.0300767232
2023-01-25,14,0,0.27820697600000033
2023-01-26,10,3,0.9265700864000004
2023-01-27,5,5,4.009028608
2023-01-28,0,0,-3.144759091199999
2023-01-29,0,0,-0.035255808000000055
2023-01-30,12,3,6.1043416064
2023-01-31,10,2,-3.1809218559999994
2023-02-01,7,5,0.9509165056
2023-02-02,12,3,4.6704134144000005
2023-02-03,11,0,-3.8800765952
2023-02-04,0,0,-1.5347955712
2023-02-05,0,0,-0.9279415296000002
2023-02-06,13,3,4.4059067392
2023-02-07,18,4,2.5562338304000005
2023-02-08,10,5,1.0666049536000006
2023-02-09,12,8,0.2931407872000005
2023-02-10,20,5,2.6475155456
2023-02-11,0,0,-1.0633470976
2023-02-12,1,0,-2.0229760000000003
2023-02-13,20,12,1.9887232
2023-02-14,14,10,-1.8853401600000002
2023-02-15,10,11,4.124898816
2023-02-16,10,8,1.4535546880000005
2023-02-17,7,8,-0.5592389631999994
2023-02-18,0,0,-1.8407701503999998
2023-02-19,0,0,-0.8671918080000003
2023-02-20,9,0,0.47513200639999975
2023-02-21,8,4,2.2367088639999997
2023-02-22,12,2,2.3979959296000004
2023-02-23,10,5,-0.21918719999999947
2023-02-24,12,17,3.3250452480000003
2023-02-25,1,0,-2.7322560512
2023-02-26,0,0,-1.0328155136000001
2023-02-27,13,9,3.3897318399999996
2023-02-28,17,0,0.969975808
2023-03-01,19,7,2.9925660672000003
2023-03-02,23,1,0.13342556160000063
2023-03-03,16,3,-1.3317568511999998
2023-03-04,5,0,-1.4259828736000002
2023-03-05,0,0,-0.7656995840000004
2023-03-06,15,0,0.5190681599999998
2023-03-07,13,1,3.2379934720000003
2023-03-08,13,3,2.9926458368000004
2023-03-09,16,2,0.2637520896000005
2023-03-10,11,4,-1.2254284799999997
2023-03-11,1,0,0.6700978175999999
2023-03-12,0,0,-1.4755693568000001
2023-03-13,25,1,5.31121664
2023-03-14,13,2,0.13709004800000058
2023-03-15,5,1,-0.2673154047999997
2023-03-16,12,2,2.1910499328000004
2023-03-17,13,0,-0.4553548799999998
2023-03-18,0,0,-1.8028033024
2023-03-19,0,0,-0.8499447808000002
2023-03-20,12,0,2.4409867264
2023-03-21,8,0,0.4050196480000001
2023-03-22,16,3,3.5292460032
2023-03-23,13,4,2.3798854656000006
2023-03-24,12,3,1.0242397184000005
2023-03-25,0,0,-1.7745600512
2023-03-26,0,0,-1.5623899136000001
2023-03-27,17,4,2.1652019199999994
2023-03-28,3,0,2.222815744
2023-03-29,14,0,-1.3967826943999997
2023-03-30,10,1,3.6129675264000003
2023-03-31,5,2,0.2629852160000006
2023-04-01,0,0,-2.2632401919999996
2023-04-02,0,0,-0.9766459392000001
2023-04-03,19,2,0.41028536319999964
2023-04-04,14,1,3.1835274239999998
2023-04-05,13,2,2.9579401216
2023-04-06,13,2,4.2289092608
2023-04-07,11,2,-0.8412883967999996
2023-04-08,0,0,-1.66580992
