,vercel/next.js,gohugoio/hugo,gatsbyjs/gatsby
2016-12-05,3,0,0.0
2016-12-06,6,2,7.0
2016-12-07,0,0,-1.1000000000000005
2016-12-08,1,0,-0.034999999999999476
2016-12-09,6,1,9.1785
2016-12-10,0,2,0.5543624999999999
2016-12-11,2,1,-2.5577042499999996
2016-12-12,1,1,0.7521512125000007
2016-12-13,1,0,-1.42532702875
2016-12-14,0,1,0.1787723463906249
2016-12-15,5,11,-0.9006075081453127
2016-12-16,7,3,0.5025186825015625
2016-12-17,12,0,-0.667120175889063
2016-12-18,2,0,-0.39106522439062535
2016-12-19,16,5,7.81853154956875
2016-12-20,30,1,-2.4951967960312507
2016-12-21,10,2,-0.9158443502156245
2016-12-22,20,5,-0.5151575792656248
2016-12-23,7,7,-0.3538406869828125
2016-12-24,9,0,-0.253638716765625
2016-12-25,2,4,-0.1998303132328125
2016-12-26,9,4,-0.15165819000000003
2016-12-27,8,3,9.872986265875
2016-12-28,9,10,-0.10866730586250073
2016-12-29,6,3,-0.9499999999999995
2016-12-30,6,0,-0.20999999999999952
2016-12-31,11,4,-0.9851249999999998
2017-01-01,9,5,-0.58219
2017-01-02,6,11,7.578368125
2017-01-03,5,5,6.270701924999999
2017-01-04,0,4,-3.80864010140625
2017-01-05,12,6,1.3532975811250005
2017-01-06,6,6,0.1676157697859375
2017-01-07,4,2,-1.5436846299984373
2017-01-08,5,1,-0.8558125632328122
2017-01-09,4,0,5.3993265475
2017-01-10,5,1,-2.2671149478750006
2017-01-11,2,3,5.989159155746875
2017-01-12,10,0,7.317315734654687
2017-01-13,3,0,2.938480302203125
2017-01-14,1,1,-3.8173251732296873
2017-01-15,5,2,-1.7779895014656242
2017-01-16,15,0,-1.1399103924999996
2017-01-17,4,0,0.16343366190624975
2017-01-18,2,4,2.0449482293531247
2017-01-19,3,0,4.531324207640624
2017-01-20,12,1,1.4389480234640617
2017-01-21,4,0,-2.2956336496875003
2017-01-22,5,1,-0.022291642629687303
2017-01-23,2,2,-0.8914166124999999
2017-01-24,2,1,14.46722863875
2017-01-25,2,0,0.10918528698437413
2017-01-26,7,1,-3.3832431560296867
2017-01-27,3,1,0.34094011470781305
2017-01-28,3,0,1.3317742910406247
2017-01-29,3,1,-1.82990717668125
2017-01-30,1,0,-0.9476909042656245
2017-01-31,3,0,-0.6731718319828125
2017-02-01,2,0,0.4871348797656243
2017-02-02,11,0,1.2811427426796869
2017-02-03,5,2,2.1193257988359373
2017-02-04,1,6,6.74187474521875
2017-02-05,4,2,-2.9489594767625
2017-02-06,2,2,14.830704510301564
2017-02-07,1,1,9.5207911375
2017-02-08,6,0,-0.6559797487499992
2017-02-09,14,2,8.311604148234377
2017-02-10,2,4,-5.3535555680140625
2017-02-11,2,1,-3.3264166667624986
2017-02-12,8,1,-2.1055365238234374
2017-02-13,3,1,-1.5211306233625
2017-02-14,8,0,0.8954025004999993
2017-02-15,16,1,-1.501600468209376
2017-02-16,14,1,-0.778736920335938
2017-02-17,8,14,1.5741449288999994
2017-02-18,5,8,-0.8727860887921879
2017-02-19,2,8,-0.2830239132328124
2017-02-20,2,4,-0.16556172499999994
2017-02-21,4,17,-0.1182395475
2017-02-22,1,4,8.90880606646875
2017-02-23,2,3,-2.7737285514656254
2017-02-24,1,3,-0.9829145474999994
2017-02-25,3,4,-0.5672534335312498
2017-02-26,7,2,-0.38862932646562504
2017-02-27,8,6,5.73251775
2017-02-28,8,5,-2.0095277625000003
2017-03-01,3,9,0.1993845362500004
2017-03-02,4,3,1.2001095491093747
2017-03-03,1,1,-0.06822571909531261
2017-03-04,1,3,1.2521785000000003
2017-03-05,3,3,-1.0038476749999998
2017-03-06,6,0,-0.49328889249999985
2017-03-07,4,1,0.6628558369062498
2017-03-08,2,3,-0.5570647281468752
2017-03-09,0,2,2.758487373234375
2017-03-10,2,4,0.9296441544859373
2017-03-11,0,4,0.9638794092687499
2017-03-12,3,1,-0.0635570967640624
2017-03-13,5,4,-0.7999351889656249
2017-03-14,5,5,3.58755697625
2017-03-15,10,3,2.515015195734375
2017-03-16,1,0,1.1633800405171877
2017-03-17,0,1,0.28017332720312504
2017-03-18,2,3,0.5526509167703126
2017-03-19,1,5,-1.3459085337468748
2017-03-20,0,2,3.2954645067687505
2017-03-21,1,2,15.328978291767188
2017-03-22,1,2,-5.868944049562501
2017-03-23,1,0,0.696285433756251
2017-03-24,3,3,0.741409924271875
2017-03-25,2,4,-1.1270617207296878
2017-03-26,4,1,-1.4507879599968747
2017-03-27,4,51,6.097241916034375
2017-03-28,5,0,1.2450712291874995
2017-03-29,5,2,1.5415963245531246
2017-03-30,5,0,-1.4238526837078123
2017-03-31,2,5,-1.3669203340468747
2017-04-01,3,2,-0.8190294137453125
2017-04-02,1,12,-0.5586239939640625
2017-04-03,5,1,4.601548720517187
2017-04-04,3,11,-0.8098098123593755
2017-04-05,6,2,-1.0827007171921876
2017-04-06,12,7,0.4607022062562499
2017-04-07,7,8,0.3694771303031249
2017-04-08,0,6,-0.6073471632328125
2017-04-09,0,1,-0.31062456249999987
2017-04-10,2,5,6.78227026875
2017-04-11,7,0,4.7317763924218745
2017-04-12,2,6,0.028205104570312223
2017-04-13,3,4,-1.107321549482812
2017-04-14,1,2,3.6525285094843754
2017-04-15,0,0,-1.3021393799984375
2017-04-16,0,3,-1.3895787007328122
2017-04-17,3,0,6.17250979625
2017-04-18,7,2,-0.7037132711093759
2017-04-19,2,3,7.189862656260938
2017-04-20,0,0,-1.6342958791765625
2017-04-21,0,0,0.8801683122859378
2017-04-22,12,6,1.9542089791890627
2017-04-23,2,1,-1.3016628204296872
2017-04-24,1,9,8.560846695517188
2017-04-25,1,4,-1.8815073273593752
2017-04-26,2,5,0.6966747350890627
2017-04-27,9,6,13.858142087643749
2017-04-28,1,1,0.03065532612343702
2017-04-29,0,1,7.7900655657375015
2017-04-30,5,4,0.2820489944890632
2017-05-01,1,20,3.5448944178031265
2017-05-02,2,7,11.259393284110939
2017-05-03,5,3,2.7457753128906255
2017-05-04,6,1,1.7285834682375008
2017-05-05,0,0,-1.5895132004484367
2017-05-06,5,3,4.80487062768125
2017-05-07,4,1,-5.045160623084375
2017-05-08,4,1,1.4160842506125002
2017-05-09,11,4,1.1214487814781244
2017-05-10,5,2,-0.838857911612501
2017-05-11,8,1,7.85363433061875
2017-05-12,1,0,0.8431452760468741
2017-05-13,2,7,-3.2913206366749996
2017-05-14,3,1,-1.6095535538218748
2017-05-15,19,1,4.950231235904687
2017-05-16,11,0,14.5160873129375
2017-05-17,3,3,4.73283505750625
2017-05-18,4,10,-3.8340641364624997
2017-05-19,2,4,3.7118046371281257
2017-05-20,2,4,0.9591982838437492
2017-05-21,3,0,-3.5086339911640616
2017-05-22,3,10,6.141733945
2017-05-23,1,7,6.288298558156249
2017-05-24,0,1,-4.855350650662501
2017-05-25,5,2,0.7189562556203124
2017-05-26,0,8,5.753423792157812
2017-05-27,8,1,-1.587477212575
2017-05-28,0,1,-1.2764168764578123
2017-05-29,1,0,0.4411286188359378
2017-05-30,2,6,6.448952778374999
2017-05-31,6,5,2.6751359389812492
2017-06-01,5,2,0.762444146421875
2017-06-02,5,4,15.338104684703126
