,Eugeny/terminus,vercel/hyper,railsware/upterm
2017-07-12,2,0,-1.0756227105156242
2017-07-13,0,0,10.606454279151563
2017-07-14,0,0,10.794394565215626
2017-07-15,8,0,11.389038264301563
2017-07-16,0,0,23.099378769040626
2017-07-17,0,0,-4.2769132503328136
2017-07-18,0,0,-2.3198261300718737
2017-07-19,0,0,7.439033226801564
2017-07-20,2,0,-1.0438491508031218
2017-07-21,0,0,12.624259665026564
2017-07-22,0,0,-2.4241983721343745
2017-07-23,1,0,-0.3760400676859357
2017-07-24,3,0,-1.031073323909374
2017-07-25,2,0,-0.687220028434373
2017-07-26,4,0,0.632860221250001
2017-07-27,1,0,8.597860811609376
2017-07-28,1,0,28.798413516660936
2017-07-29,1,0,-2.58901724725469
2017-07-30,4,0,-1.855840131753126
2017-07-31,1,0,1.8883524369843752
2017-08-01,0,0,4.885013384964065
2017-08-02,5,3,-1.3687168087499986
2017-08-03,0,0,1.1241112957343764
2017-08-04,9,3,18.12652593032344
2017-08-05,4,0,-2.5360580095421876
2017-08-06,0,0,-1.3097204265937497
2017-08-07,2,0,2.2965229837140626
2017-08-08,0,4,9.179911883453126
2017-08-09,0,3,10.449851289298438
2017-08-10,0,1,9.941841254784375
2017-08-11,5,0,15.68309564521875
2017-08-12,0,1,7.864429097631249
2017-08-13,1,2,-2.8601817356828123
2017-08-14,0,1,-1.6142522137499988
2017-08-15,0,3,1.8235879484531277
2017-08-16,0,0,-0.22933719276405995
2017-08-17,0,0,-0.981133111546873
2017-08-18,1,0,11.309425343381251
2017-08-19,0,3,9.3144659765375
2017-08-20,2,3,19.03455646118125
2017-08-21,0,5,10.915009834604685
2017-08-22,0,1,-0.9528931012500013
2017-08-23,0,0,0.11101286470312566
2017-08-24,0,0,-1.4929057706234352
2017-08-25,0,0,25.938967904964066
2017-08-26,1,0,-3.5372121774375
2017-08-27,0,0,-1.9118319698531239
2017-08-28,0,0,-1.2766912237234367
2017-08-29,0,0,-0.9167312029734346
2017-08-30,3,13,2.405939795965627
2017-08-31,0,1,-0.6913086686031241
2017-09-01,0,1,-0.45132750382187414
2017-09-02,0,0,-0.3438444514218744
2017-09-03,0,7,-0.2887565184703117
2017-09-04,0,2,0.9516497500000002
2017-09-05,0,2,-0.13948603749999997
2017-09-06,1,1,-0.07828108874999994
2017-09-07,0,2,-0.057204939046874945
2017-09-08,0,1,1.9541409423921876
2017-09-09,8,1,-0.21611675000000014
2017-09-10,1,5,-0.10316201250000002
2017-09-11,0,5,-0.06809369625000002
2017-09-12,0,0,-0.05089331301562482
2017-09-13,0,3,-0.040632352535937374
2017-09-14,0,0,1.9736759750000001
2017-09-15,0,2,19.7778126075
2017-09-16,0,7,-2.1091366260312516
2017-09-17,0,5,-0.9737977050718757
2017-09-18,0,2,-0.6113250000000002
2017-09-19,0,4,-0.44548349999999837
2017-09-20,0,6,1.6513409750000012
2017-09-21,0,2,0.5145723575000006
2017-09-22,0,1,18.56898944896875
2017-09-23,0,0,-2.210163965384376
2017-09-24,0,4,4.90719794928125
2017-09-25,0,11,1.8056039999999993
2017-09-26,0,5,-1.0050282749999988
2017-09-27,0,1,-0.6475676549999991
2017-09-28,3,0,-0.48978355978124877
2017-09-29,0,0,-0.3958342468374988
2017-09-30,0,1,-0.31751912483281164
2017-10-01,0,2,0.7343735868171881
2017-10-02,0,1,0.8093090331562501
2017-10-03,0,3,-0.22409805426249993
2017-10-04,0,0,-0.09869655760781249
2017-10-05,0,4,-0.04916249999999994
2017-10-06,0,0,-0.036779249999999875
2017-10-07,5,0,-0.02927876249999991
2017-10-08,3,0,-0.024255708749999928
2017-10-09,0,0,-0.02066200926562494
2017-10-10,0,0,-0.017967165551562456
2017-10-11,0,0,-0.008398852535937478
2017-10-12,0,0,0.0
2017-10-13,1,2,0.0
2017-10-14,0,0,0.0
2017-10-15,0,0,0.0
2017-10-16,0,0,0.0
2017-10-17,0,1,0.0
2017-10-18,0,2,0.0
2017-10-19,0,0,0.0
2017-10-20,1,1,0.0
2017-10-21,1,1,0.0
2017-10-22,3,1,0.0
2017-10-23,2,0,0.0
2017-10-24,0,2,0.0
2017-10-25,0,2,0.0
2017-10-26,0,0,0.0
2017-10-27,0,0,0.0
2017-10-28,0,0,0.0
2017-10-29,0,1,0.0
2017-10-30,0,0,0.0
2017-10-31,1,0,0.0
2017-11-01,0,2,0.0
2017-11-02,0,0,0.0
2017-11-03,0,7,0.0
2017-11-04,1,2,0.0
2017-11-05,0,1,0.0
2017-11-06,0,3,0.0
2017-11-07,0,0,0.0
2017-11-08,0,3,0.0
2017-11-09,0,0,0.0
2017-11-10,0,0,0.0
2017-11-11,0,0,0.0
2017-11-12,0,1,0.0
2017-11-13,0,1,0.0
2017-11-14,0,2,0.0
2017-11-15,0,0,0.0
2017-11-16,4,1,0.0
2017-11-17,0,0,0.0
2017-11-18,3,0,0.0
2017-11-19,0,0,0.0
2017-11-20,0,0,0.0
2017-11-21,2,0,0.0
2017-11-22,0,5,0.0
2017-11-23,0,0,0.0
2017-11-24,0,0,0.0
2017-11-25,0,0,0.0
2017-11-26,2,0,0.0
2017-11-27,5,0,0.0
2017-11-28,5,0,0.0
2017-11-29,0,3,0.0
2017-11-30,0,0,0.0
2017-12-01,3,0,0.0
2017-12-02,0,0,0.0
2017-12-03,0,0,0.0
2017-12-04,0,5,0.0
2017-12-05,5,1,0.0
2017-12-06,0,0,0.0
2017-12-07,3,0,0.0
2017-12-08,0,0,0.0
2017-12-09,0,0,0.0
2017-12-10,0,1,0.0
2017-12-11,0,2,0.0
2017-12-12,0,1,0.0
2017-12-13,0,0,0.0
2017-12-14,6,0,2.0
2017-12-15,2,0,-0.20000000000000018
2017-12-16,0,1,-0.09000000000000007
2017-12-17,0,0,2.943
2017-12-18,0,1,-0.3413250000000001
2017-12-19,0,0,-0.16723349999999998
2017-12-20,0,0,-0.11182402499999998
2017-12-21,0,0,-0.08417489249999971
2017-12-22,0,0,-0.0674868760312498
2017-12-23,0,0,-0.05628374257187484
2017-12-24,0,0,-0.0332810887499999
2017-12-25,0,0,-0.028704939046874926
2017-12-26,0,0,-0.025196557607812434
2017-12-27,2,0,0.0
2017-12-28,0,0,0.0
2017-12-29,0,0,0.0
2017-12-30,0,0,0.0
2017-12-31,0,0,0.0
2018-01-01,0,0,0.0
2018-01-02,0,0,0.0
2018-01-03,0,0,0.0
2018-01-04,6,1,0.0
2018-01-05,0,0,0.0
2018-01-06,0,0,0.0
2018-01-07,0,0,0.0
2018-01-08,0,0,0.0
2018-01-09,0,3,0.0
2018-01-10,0,1,0.0
2018-01-11,0,0,0.0
2018-01-12,0,0,0.0
2018-01-13,0,2,0.0
2018-01-14,0,0,0.0
2018-01-15,0,3,0.0
2018-01-16,0,1,0.0
2018-01-17,0,5,0.0
2018-01-18,0,1,0.0
2018-01-19,5,1,0.0
2018-01-20,0,0,0.0
2018-01-21,0,3,0.0
2018-01-22,0,2,0.0
2018-01-23,0,3,0.0
2018-01-24,4,2,0.0
2018-01-25,0,0,0.0
2018-01-26,0,0,0.0
2018-01-27,0,0,0.0
2018-01-28,0,0,0.0
2018-01-29,0,0,0.0
2018-01-30,0,0,0.0
2018-01-31,0,0,0.0
2018-02-01,0,0,0.0
2018-02-02,1,0,0.0
2018-02-03,1,1,0.0
2018-02-04,0,0,0.0
2018-02-05,0,0,0.0
2018-02-06,0,0,0.0
2018-02-07,0,0,0.0
2018-02-08,0,0,0.0
2018-02-09,0,0,0.0
2018-02-10,0,0,0.0
2018-02-11,0,0,0.0
2018-02-12,3,3,0.0
2018-02-13,0,0,0.0
2018-02-14,0,2,0.0
2018-02-15,0,0,0.0
2018-02-16,0,0,0.0
2018-02-17,0,0,0.0
2018-02-18,0,1,0.0
2018-02-19,0,0,0.0
2018-02-20,0,7,0.0
2018-02-21,0,0,0.0
2018-02-22,0,0,0.0
