,apache/commons-lang,apache/commons-io,google/guava
2017-08-18,0,0,9.0
2017-08-19,0,0,-2.7
2017-08-20,0,0,-0.9449999999999994
2017-08-21,1,0,0.46450000000000025
2017-08-22,0,0,-0.6614625000000001
2017-08-23,0,0,0.6275177500000001
2017-08-24,0,0,-0.5690277625
2017-08-25,0,0,-0.31577796374999995
2017-08-26,0,0,-0.23211070089062538
2017-08-27,0,0,-0.1856940815953127
2017-08-28,0,0,0.95132247625
2017-08-29,0,0,0.6608424207343749
2017-08-30,0,0,-0.4375406869828125
2017-08-31,0,0,0.819623283234375
2017-09-01,0,0,2.586754086767187
2017-09-02,0,0,-1.07488275
2017-09-03,0,0,-0.4275011124999997
2017-09-04,0,0,-0.26090063624999993
2017-09-05,0,0,0.814958259484375
2017-09-06,0,0,-0.4419017424984376
2017-09-07,0,1,1.7926167255171876
2017-09-08,4,0,0.26775146198437483
2017-09-09,2,0,-0.6113760635296875
2017-09-10,0,0,-0.2944704896984374
2017-09-11,0,0,2.8368941375
2017-09-12,0,0,2.9814397262499996
2017-09-13,0,0,0.39284130823437513
2017-09-14,0,1,0.7267211767671877
2017-09-15,0,1,-1.21919820728125
2017-09-16,0,0,-0.6218542932312499
2017-09-17,0,0,-0.4016320007328124
2017-09-18,0,0,3.71023922875
2017-09-19,0,0,3.570538529703125
2017-09-20,1,0,-2.1087333792609377
2017-09-21,1,0,1.1129983660375002
2017-09-22,0,0,0.8829297400031249
2017-09-23,0,0,-1.156860326465625
2017-09-24,0,0,-0.5707246999999998
2017-09-25,2,1,2.6084415925
2017-09-26,0,6,2.8019412641874997
2017-09-27,0,24,5.245280538240625
2017-09-28,0,4,2.1491066613359373
2017-09-29,1,0,2.3368445189687503
2017-09-30,0,3,-2.7502310099968748
2017-10-01,5,6,-1.3195279139656246
2017-10-02,0,0,0.14365047875000014
2017-10-03,0,0,1.064160967203125
2017-10-04,0,0,-0.20696358551093774
2017-10-05,0,0,2.053838648459375
2017-10-06,0,0,-0.4334163452078128
2017-10-07,3,0,-0.9318458999921877
2017-10-08,0,0,-0.4743009286640624
2017-10-09,11,0,2.7247732512500002
2017-10-10,5,0,5.893604623234375
2017-10-11,6,0,5.421143041985937
2017-10-12,4,0,0.5633037730187502
2017-10-13,0,2,-2.6571583372796868
2017-10-14,2,8,-1.322925206464062
2017-10-15,3,2,-0.8507677507328123
2017-10-16,0,0,1.38175014125
2017-10-17,0,0,1.9145410334531248
2017-10-18,0,0,-0.5066688970578128
2017-10-19,0,0,0.9680732782453121
2017-10-20,2,2,-0.1359991729250003
2017-10-21,4,0,-0.8037616529312499
2017-10-22,1,0,-0.3998849749999998
2017-10-23,9,0,-0.27730238499999993
2017-10-24,0,0,0.7884908827187499
2017-10-25,1,0,1.5299637744874999
2017-10-26,1,0,3.1771776335359374
2017-10-27,1,0,0.4662058794859374
2017-10-28,0,0,-1.2222060432312498
2017-10-29,0,0,-0.5716286632328123
2017-10-30,0,0,0.6376286375000001
2017-10-31,0,0,0.43527500124999996
2017-11-01,0,0,1.388644785734375
2017-11-02,0,0,6.067772333235937
2017-11-03,3,0,1.4617492589718744
2017-11-04,13,0,-1.2099698364624998
2017-11-05,0,0,-1.2969929389656245
2017-11-06,0,0,1.2741838637500003
2017-11-07,1,0,2.890412534484375
2017-11-08,6,0,-1.7993842149984376
2017-11-09,0,0,3.1601185369859377
2017-11-10,5,0,0.24426119867499962
2017-11-11,0,0,-1.4176385334421875
2017-11-12,0,0,-0.6836530946968749
2017-11-13,0,0,2.5757285892671877
2017-11-14,2,0,1.7932114714687497
2017-11-15,0,6,-0.458237643528125
2017-11-16,2,5,3.0297755270687503
2017-11-17,0,2,-1.7054089145625002
2017-11-18,0,4,-0.7752353364624999
2017-11-19,0,0,-0.4643326639656249
2017-11-20,0,0,2.68291534125
2017-11-21,0,0,3.8533361659531247
2017-11-22,0,0,0.9845388862546871
2017-11-23,0,0,-1.7359560514640624
2017-11-24,0,0,-0.8100777802953123
2017-11-25,2,0,-0.52280690293125
2017-11-26,0,0,-0.33893133749999993
2017-11-27,0,0,0.73756311625
2017-11-28,0,0,2.487740893453125
2017-11-29,0,0,-1.182005644776563
2017-11-30,0,0,4.509952783539062
2017-12-01,0,0,7.240587260301562
2017-12-02,0,0,-3.37520775
2017-12-03,0,0,-1.3549416124999993
2017-12-04,0,0,5.1748876387500005
2017-12-05,0,1,-1.382812288015625
2017-12-06,0,0,-0.3751001260296871
2017-12-07,0,0,5.892935629051562
2017-12-08,0,0,-1.7554740475781259
2017-12-09,0,0,-1.5237915170546874
2017-12-10,0,0,-0.8533186440953124
2017-12-11,0,0,1.492617745
2017-12-12,0,0,-0.9857026868437503
2017-12-13,0,0,3.4809792425875
2017-12-14,0,0,-0.5044419087484378
2017-12-15,0,0,1.0559972956578125
2017-12-16,0,0,-1.1134011093953127
2017-12-17,0,0,-0.49029513823281234
2017-12-18,0,0,3.6840419525000003
2017-12-19,0,0,4.56507786646875
2017-12-20,4,0,4.594282716034375
2017-12-21,4,0,0.9029741341874997
2017-12-22,0,0,5.439225082803126
2017-12-23,0,0,-3.6416928467640624
2017-12-24,0,0,-1.657749276465624
2017-12-25,0,0,-1.0602060199999996
2017-12-26,0,0,-0.7803975470625002
2017-12-27,0,0,9.386819680224999
2017-12-28,0,0,9.545286508243748
2017-12-29,0,0,-5.260248949692188
2017-12-30,0,0,-2.1413473870562494
2017-12-31,0,0,-1.2837923058624998
2018-01-01,0,0,-0.819315
2018-01-02,0,0,14.380828125
2018-01-03,0,0,10.00777605
2018-01-04,1,0,-4.48021172640625
2018-01-05,0,0,8.59026854971875
2018-01-06,0,0,-5.481521872026563
2018-01-07,5,2,-2.427241249999999
2018-01-08,0,0,0.4106583125000005
2018-01-09,0,0,0.22503745624999993
2018-01-10,0,0,1.2642854172656244
2018-01-11,0,0,-0.9881868474765636
2018-01-12,4,0,-1.2773169170234377
2018-01-13,0,0,-0.6409529276531254
2018-01-14,1,5,-0.4489906837937503
2018-01-15,0,0,-0.21379952249999998
2018-01-16,0,0,3.83076918146875
2018-01-17,0,0,3.660927056253125
2018-01-18,0,0,4.9862457494875
2018-01-19,0,0,-0.9196269564640627
2018-01-20,2,0,-0.8067334132328119
2018-01-21,0,0,-1.2461934999999995
2018-01-22,0,0,0.2531378000000002
2018-01-23,0,0,1.1598998425
2018-01-24,0,0,0.8741377266874999
2018-01-25,0,0,-1.2122001280093753
2018-01-26,0,0,-0.6094119935234377
2018-01-27,0,0,-0.3748398499109377
2018-01-28,0,0,0.7939100942687499
2018-01-29,0,0,-0.43854291198281253
2018-01-30,0,3,0.794647010734375
2018-01-31,0,2,0.5572486057359374
2018-02-01,0,0,1.4959172400031249
2018-02-02,0,0,0.17861292353437497
2018-02-03,0,0,-0.6329433624999998
2018-02-04,0,1,-0.31284002374999986
2018-02-05,0,0,-0.208702829265625
2018-02-06,0,0,2.8445754505171874
2018-02-07,0,0,-1.0111159655156252
2018-02-08,0,0,2.5943444600015626
2018-02-09,0,0,-0.1427941205140626
2018-02-10,0,0,-0.7785310432312499
2018-02-11,8,0,-0.38624416323281235
2018-02-12,0,0,1.7501699125
2018-02-13,0,0,2.21380492875
2018-02-14,2,0,-0.25719298779687505
2018-02-15,0,0,0.14509707655156268
2018-02-16,0,0,1.269587575953125
2018-02-17,0,0,-1.0010549564640625
2018-02-18,0,0,-0.4589683882328123
2018-02-19,0,0,-0.29663988499999994
2018-02-20,0,0,0.7780486327187499
2018-02-21,0,0,-0.4764756130125002
2018-02-22,0,0,-0.22714595521406253
2018-02-23,1,0,-0.12687467749843756
2018-02-24,1,0,-0.08549934676406261
2018-02-25,0,0,-0.05688707646562505
2018-02-26,0,0,-0.023280862499999996
2018-02-27,0,0,0.98104272625
2018-02-28,0,0,0.6841232832343749
2018-03-01,0,0,-0.4185834132328125
2018-03-02,1,0,-0.1644999999999999
2018-03-03,0,0,-0.09966249999999996
2018-03-04,0,0,-0.06988275
2018-03-05,0,0,-0.05300111249999999
2018-03-06,0,13,2.95776186375
2018-03-07,0,0,0.06516600948437479
2018-03-08,5,5,-0.6444601299984374
2018-03-09,1,0,-0.2970834132328124
2018-03-10,0,2,-0.17998749999999997
2018-03-11,1,0,-0.12932324999999997
2018-03-12,0,0,-0.09956283749999997
2018-03-13,0,0,0.91984731625
2018-03-14,0,0,1.6334125759531248
2018-03-15,0,0,-0.7616269564640626
2018-03-16,0,0,0.7169165867671876
2018-03-17,0,0,-0.4591625
2018-03-18,0,0,-0.2150452499999999
2018-03-19,0,0,-0.14222136249999995
2018-03-20,0,0,2.89431850125
2018-03-21,0,0,-0.9835115142656252
2018-03-22,0,0,2.6163822907359378
2018-03-23,0,0,-1.124624100215625
2018-03-24,0,0,-0.4513642167656248
2018-03-25,0,0,-0.2812441632328124
2018-03-26,0,0,-0.19033008749999997
2018-03-27,0,0,-0.14603257125
2018-03-28,0,0,2.882527262203125
2018-03-29,6,0,-0.9976220609484377
2018-03-30,0,0,-0.3626301502968749
2018-03-31,0,0,-0.2192502396984375
2018-04-01,0,0,-0.1204875
2018-04-02,0,0,-0.08916074999999998
2018-04-03,0,0,0.9301574125000001
2018-04-04,4,0,1.64312817875
2018-04-05,0,0,-0.7526301502968751
2018-04-06,1,0,-0.3102502396984374
2018-04-07,0,0,-0.15916249999999993
2018-04-08,0,0,-0.11004524999999998
2018-04-09,0,0,2.9172786375
2018-04-10,0,0,-0.9655189987500001
2018-04-11,0,0,-0.3687912642656248
2018-04-12,0,0,1.7761631532359374
2018-04-13,0,0,-0.7476543264656251
2018-04-14,0,0,-0.29916074999999986
2018-04-15,0,0,-0.18884258749999994
2018-04-16,0,0,-0.13719682125
2018-04-17,0,0,-0.10707065029687513
2018-04-18,1,0,5.912688035301563
2018-04-19,0,0,-1.8379145475000003
2018-04-20,2,0,0.3382465664687504
2018-04-21,0,0,-0.6841668264656249
2018-04-22,1,0,-0.3459749999999999
2018-04-23,0,0,-0.23782149999999994
2018-04-24,0,0,2.820152325
2018-04-25,0,0,4.9565361075
2018-04-26,1,0,-2.2335411630937503
2018-04-27,0,0,-0.9089577531468747
2018-04-28,0,0,-0.49336421676562486
2018-04-29,1,3,-0.3437191632328125
2018-04-30,0,0,0.7518359125
2018-05-01,0,0,-0.49655699625000005
2018-05-02,0,0,-0.26637379279687506
2018-05-03,0,0,-0.1955105402921878
2018-05-04,0,0,1.878337020603125
2018-05-05,1,0,-0.6297202500000001
2018-05-06,0,0,-0.23328086249999985
2018-05-07,0,0,-0.13795727374999994
2018-05-08,0,0,0.9037982832343749
2018-05-09,2,0,3.626976086767187
2018-05-10,1,0,-0.35156172500000005
2018-05-11,0,0,0.18258545250000024
2018-05-12,0,0,-0.7149159335312499
2018-05-13,0,0,-0.38203707646562496
