,getsentry/sentry,elastic/kibana,grafana/grafana
2021-07-22,40,43.0,23
2021-07-23,31,-0.30000000000000426,11
2021-07-24,1,-2.3350000000000017,1
2021-07-25,0,0.5944999999999989,0
2021-07-26,15,39.7975125,18
2021-07-27,28,33.03432975,10
2021-07-28,28,41.6675664625,5
2021-07-29,33,32.750498011249995,22
2021-07-30,23,24.321791755328125,13
2021-07-31,0,-7.384709686107811,0
2021-08-01,0,-4.953161815143744,0
2021-08-02,18,36.41959885271876,9
2021-08-03,24,39.166415153787504,13
2021-08-04,23,17.267395968932814,26
2021-08-05,25,21.506259870134375,15
2021-08-06,33,-2.3821997441156224,10
2021-08-07,2,-3.8123459797390566,0
2021-08-08,0,-3.2433064467015567,0
2021-08-09,4,29.73665272246407,15
2021-08-10,1,50.965546876875,16
2021-08-11,2,37.412522784843745,11
2021-08-12,1,35.92923264119062,12
2021-08-13,0,37.6083182628625,18
2021-08-14,1,-1.0113379848703126,2
2021-08-15,3,-2.6232599756953086,2
2021-08-16,0,56.08384716746407,11
2021-08-17,15,68.23422316850001,20
2021-08-18,17,30.490360849975,23
2021-08-19,15,32.095490190518746,20
2021-08-20,9,24.615337361393753,11
2021-08-21,0,-8.408947142101557,0
2021-08-22,0,-2.568374933829678,0
2021-08-23,16,43.04849762886407,21
2021-08-24,17,38.448313638403135,19
2021-08-25,23,37.078562395089065,15
2021-08-26,32,44.66404514450937,15
2021-08-27,20,3.7729806257312486,23
2021-08-28,0,-7.848085722643747,1
2021-08-29,0,-4.968771452324994,2
2021-08-30,26,34.472392285365636,9
2021-08-31,42,37.370748503856255,16
2021-09-01,30,38.55007870529063,25
2021-09-02,24,16.58495973782656,17
2021-09-03,2,38.15841627120157,5
2021-09-04,0,-9.236548084710936,0
2021-09-05,0,-4.117413763039057,0
2021-09-06,0,15.293598742500006,12
2021-09-07,28,36.21515638290626,20
2021-09-08,17,45.67135128219688,19
2021-09-09,23,33.57968859918437,23
2021-09-10,16,16.583963514904685,21
2021-09-11,0,-7.870555327153124,0
2021-09-12,0,-3.798918400403119,1
2021-09-13,31,37.65633369573438,26
2021-09-14,25,34.282129741417194,18
2021-09-15,29,37.90165302942656,25
2021-09-16,20,21.695122692448436,17
2021-09-17,18,-2.3467919965765613,22
2021-09-18,0,-2.4370380599515586,0
2021-09-19,0,1.166131875315632,1
2021-09-20,31,21.808039628234383,23
2021-09-21,33,26.10491194257344,15
2021-09-22,34,32.81882579738594,14
2021-09-23,29,37.63346523855781,24
