,friendica/friendica,diaspora/diaspora,mastodon/mastodon
2016-08-20,1,2,-0.2985000000000002
2016-08-21,0,22,-0.19166250000000004
2016-08-22,0,9,-0.1400917499999995
2016-08-23,8,0,-0.10986251249999965
2016-08-24,0,0,5.90993422875
2016-08-25,0,0,0.32386950948437465
2016-08-26,1,3,0.5641912693703124
2016-08-27,5,0,-0.3663931152156251
2016-08-28,0,0,-0.1974749999999996
2016-08-29,2,0,-0.14586299999999963
2016-08-30,0,0,-0.11575132499999963
2016-08-31,3,0,4.9041590600000005
2016-09-01,4,8,3.41833441315625
2016-09-02,1,0,0.3039448755187497
2016-09-03,4,5,2.5595328344484374
2016-09-04,2,37,8.429288647464062
2016-09-05,3,2,11.773266249999999
2016-09-06,10,4,-0.9414395625000012
2016-09-07,2,0,1.87227921875
2016-09-08,0,4,2.9448088874218756
2016-09-09,5,0,1.8919895015078139
2016-09-10,0,12,8.009416825590625
2016-09-11,1,8,-1.5351574703328121
2016-09-12,1,8,3.1098083115015633
2016-09-13,10,0,-0.03351197577656184
2016-09-14,2,0,-0.7189952847328113
2016-09-15,0,0,1.5749846359171882
2016-09-16,0,0,0.4736409890796882
2016-09-17,0,0,6.562726884559376
2016-09-18,3,12,9.017923825251563
2016-09-19,1,6,4.482048529676562
2016-09-20,5,10,4.6482370516875
2016-09-21,4,0,5.614758001840625
2016-09-22,9,0,3.495809492464063
2016-09-23,10,0,1.6064930902187506
2016-09-24,15,0,5.819182483162501
2016-09-25,16,17,2.515875918854688
2016-09-26,1,0,2.6833608995921887
2016-09-27,3,0,4.777834081546875
2016-09-28,8,8,-1.3382566795593744
2016-09-29,10,8,4.208206924925001
2016-09-30,8,6,1.9498342909203132
2016-10-01,20,7,-0.9144451254765618
2016-10-02,17,0,10.436601916282813
2016-10-03,7,0,7.490775420185938
2016-10-04,9,0,-1.6760020897062504
2016-10-05,11,0,4.0763343992625
2016-10-06,2,0,18.870864866034374
2016-10-07,9,0,4.330630596171875
2016-10-08,2,0,-1.1030320892265628
2016-10-09,5,0,4.646002171142188
2016-10-10,1,0,17.456571540578125
2016-10-11,2,0,-0.9097847575359372
2016-10-12,0,0,12.246221845926563
2016-10-13,0,0,0.46655867242187465
2016-10-14,1,0,6.199533590757815
2016-10-15,0,0,14.993435736921876
2016-10-16,2,0,8.147990804232812
2016-10-17,14,2,10.316465015620313
2016-10-18,0,29,5.0682031199875
2016-10-19,1,0,-1.5522091092140613
2016-10-20,4,0,2.3788964739593768
2016-10-21,12,0,-1.5776894070499976
2016-10-22,12,0,-0.018435785482810108
2016-10-23,11,4,2.113414537196877
2016-10-24,11,0,2.058687162467189
2016-10-25,7,2,1.1533459704015632
2016-10-26,3,2,-0.6906358333421871
2016-10-27,2,19,2.6252618316968754
2016-10-28,10,0,4.4728281329015624
2016-10-29,7,5,-0.80885039389375
2016-10-30,0,0,4.574931060734375
2016-10-31,5,0,3.1988035946671873
2016-11-01,4,0,1.1472483608453126
2016-11-02,3,7,13.313097028860938
2016-11-03,4,3,10.176798643678124
2016-11-04,9,0,4.865592829703124
2016-11-05,7,0,3.116359814814062
2016-11-06,6,14,4.371380706070314
2016-11-07,4,0,7.383375124921876
2016-11-08,0,0,8.062738417757814
2016-11-09,6,0,3.8418823163250004
2016-11-10,6,0,4.112928720209376
2016-11-11,0,0,-1.8135326279406239
2016-11-12,8,2,2.905119272209377
2016-11-13,13,8,11.852203677170314
2016-11-14,8,3,-1.0315430320234373
2016-11-15,33,6,5.777882530143751
2016-11-16,10,0,2.4850429445203126
2016-11-17,5,4,2.715459919046876
2016-11-18,4,8,17.829868706690625
2016-11-19,31,3,6.379371687284374
2016-11-20,29,0,0.7398794341874995
2016-11-21,5,0,25.345171736903126
2016-11-22,18,8,9.202388180267187
2016-11-23,5,6,14.734919371354687
2016-11-24,3,2,9.246943507685938
2016-11-25,4,6,22.512155246543752
2016-11-26,1,5,4.243512588809375
2016-11-27,10,2,-2.6562911915734353
2016-11-28,18,5,12.62035542687969
2016-11-29,17,5,4.787081964720316
2016-11-30,3,0,6.169552217326565
2016-12-01,13,4,6.3789416565015635
2016-12-02,4,2,4.458484120150002
2016-12-03,4,0,6.760482249876564
2016-12-04,7,5,7.700594633175001
2016-12-05,2,0,2.7076272204109384
2016-12-06,12,0,4.144680519729689
2016-12-07,0,0,4.170389579085938
2016-12-08,5,3,1.2905412588218763
2016-12-09,11,0,1.6367015237859388
2016-12-10,10,0,-1.184590005182811
2016-12-11,4,0,7.237170690107814
2016-12-12,5,0,1.650098640770313
2016-12-13,7,7,-0.047702092937499385
2016-12-14,26,0,5.283197394226563
2016-12-15,20,0,-0.07637011955937445
2016-12-16,0,0,-0.7018006430124993
2016-12-17,0,0,-0.44421034665468695
2016-12-18,7,0,3.6779760848921885
2016-12-19,16,0,1.3596473946250005
2016-12-20,116,0,5.4179217194156255
2016-12-21,21,0,3.081510939376562
2016-12-22,33,0,12.113447573120313
2016-12-23,22,0,-0.816753428231251
2016-12-24,4,0,3.983744597464063
2016-12-25,4,0,-1.1655493099999998
2016-12-26,4,0,6.273987780437501
2016-12-27,4,0,0.7553774863250005
2016-12-28,4,0,0.07588221933437578
2016-12-29,10,0,4.283869818971875
2016-12-30,10,0,-0.9815247380968743
2016-12-31,3,0,1.4181358727671882
2017-01-01,7,0,1.4562294948859378
2017-01-02,8,0,5.444596588570313
2017-01-03,5,2,6.070088653890625
2017-01-04,8,3,1.7768426474671872
2017-01-05,14,0,39.0586070006625
2017-01-06,7,0,2.4267270573859347
2017-01-07,17,4,9.082656319820313
2017-01-08,5,0,15.049899156468749
2017-01-09,11,0,4.391019153896877
2017-01-10,6,5,4.067343005584377
2017-01-11,14,3,1.3890998549250018
2017-01-12,6,0,3.8682951557015652
2017-01-13,5,6,1.9215693980171897
2017-01-14,2,12,8.169455627453127
2017-01-15,7,17,11.974938393560938
2017-01-16,10,2,7.3936584777875005
2017-01-17,4,0,3.547619726478125
2017-01-18,3,5,-0.9776078713968746
2017-01-19,6,0,4.678282052685939
2017-01-20,7,0,5.484740301762502
2017-01-21,5,0,14.332485995221877
2017-01-22,4,2,6.3804265872
2017-01-23,0,5,13.632554304921875
2017-01-24,3,0,10.004670744340626
2017-01-25,4,0,10.048618575296874
2017-01-26,3,0,30.99651180676875
2017-01-27,17,0,3.814792445620311
2017-01-28,19,2,1.2596909411750006
2017-01-29,4,4,8.12554930774844
2017-01-30,10,0,4.9373554897843785
2017-01-31,6,4,2.2845611051765653
2017-02-01,12,0,2.7276405639718773
2017-02-02,5,0,11.00991181282969
2017-02-03,7,0,0.38975469575156385
2017-02-04,4,0,1.1683270778875017
2017-02-05,2,7,17.65984575334844
2017-02-06,1,0,6.228498411648438
2017-02-07,0,0,2.597782324229688
2017-02-08,10,4,0.1015552208843753
2017-02-09,1,0,2.6040223334921895
2017-02-10,5,0,14.63616979186719
2017-02-11,3,3,10.493387401735937
2017-02-12,0,12,4.360951412095313
2017-02-13,0,9,13.771468666345314
2017-02-14,1,4,3.991947478426563
2017-02-15,5,1,-1.3442471804015614
2017-02-16,6,3,2.458746876289064
2017-02-17,3,1,11.508406490365628
2017-02-18,5,7,-1.3340460571437487
2017-02-19,10,4,10.520502466471877
2017-02-20,1,0,-0.16006325157656232
2017-02-21,5,0,-1.404282362251561
2017-02-22,8,0,4.072718172065626
2017-02-23,6,0,-0.10490797826718623
2017-02-24,10,0,-0.7637781683484364
2017-02-25,1,0,0.45324517440312584
2017-02-26,9,0,12.489985724017188
2017-02-27,7,0,3.408347748776562
2017-02-28,6,0,4.684650331037499
2017-03-01,1,0,11.698409301178124
2017-03-02,11,4,3.9438354886718745
2017-03-03,7,0,2.266445161804688
2017-03-04,9,80,1.5643425387140628
2017-03-05,8,6,7.764090573234377
2017-03-06,8,6,0.25027977201093843
2017-03-07,4,0,-0.2645454880453113
2017-03-08,3,0,-0.8955487670234364
2017-03-09,1,0,-0.6303041619187484
2017-03-10,1,0,-0.4653315335609362
2017-03-11,1,0,-0.29330156852812417
2017-03-12,21,4,-0.20458439044062443
2017-03-13,29,0,1.8533392202515628
2017-03-14,15,0,0.6941800048953126
2017-03-15,14,0,5.7836339819125
2017-03-16,9,2,0.28960114746406185
2017-03-17,8,2,5.560175
2017-03-18,57,3,0.13110399999999944
2017-03-19,18,0,3.435084225
2017-03-20,17,0,0.23128759499999996
2017-03-21,19,6,1.4422058527187507
2017-03-22,7,0,11.4175467919125
2017-03-23,25,7,0.4268587481203121
2017-03-24,15,3,2.97818488176875
2017-03-25,57,6,6.981007773120313
2017-03-26,21,15,11.565318274268751
2017-03-27,7,6,-2.092815825848438
2017-03-28,5,5,1.8488212343406254
2017-03-29,0,4,-0.08725085856718673
2017-03-30,16,2,5.161000596240627
2017-03-31,17,0,12.7903885085375
2017-04-01,14,0,6.924585810365625
2017-04-02,13,3,59.97562728448125
2017-04-03,11,0,49.62484332300937
2017-04-04,5,0,45.71189631578281
2017-04-05,20,2,121.63763228970312
2017-04-06,1,2,18.988779026876554
2017-04-07,14,5,31.175920409370313
2017-04-08,48,0,105.87267021131564
2017-04-09,8,0,1.736386117356254
2017-04-10,2,0,11.22483754645782
2017-04-11,11,2,19.16258935713126
2017-04-12,10,0,19.994392559592203
2017-04-13,15,0,55.681226522460946
2017-04-14,27,0,2.7126287519125043
2017-04-15,7,0,41.143599139181255
2017-04-16,16,0,37.16915400702344
2017-04-17,9,0,38.735324618129695
2017-04-18,10,4,15.844784947568751
2017-04-19,19,0,24.671820574367192
