,llvm/llvm-project,gcc-mirror/gcc,golang/go
2012-05-03,78,40,7.0
2012-05-04,74,26,12.200000000000001
2012-05-05,20,7,-6.839999999999999
2012-05-06,19,14,-2.2479999999999998
2012-05-07,67,24,5.748799999999999
2012-05-08,75,16,-1.6336640000000004
2012-05-09,63,28,1.7499775999999998
2012-05-10,59,22,1.2389580800000002
2012-05-11,68,19,-0.8808483840000001
2012-05-12,40,7,-2.1457867775999997
2012-05-13,20,9,-0.07501875200000008
2012-05-14,39,20,6.01127168
2012-05-15,75,52,10.642308096
2012-05-16,79,22,-0.8491375615999992
2012-05-17,49,14,3.2247721984
2012-05-18,44,13,-0.28570859519999914
2012-05-19,45,5,-3.2405312512
2012-05-20,33,8,0.6143627263999996
2012-05-21,41,32,2.382253568
2012-05-22,53,19,24.6145288192
2012-05-23,44,14,-2.7790560255999974
2012-05-24,71,22,13.633359052800001
2012-05-25,50,20,-6.402706636799998
2012-05-26,17,8,-6.259983974400001
2012-05-27,27,3,-3.031730176
2012-05-28,42,7,4.088192307199998
2012-05-29,50,33,18.2492752896
2012-05-30,60,18,16.497441280000004
2012-05-31,53,30,-7.531389030399996
2012-06-01,67,19,-3.947745791999999
2012-06-02,31,4,2.6677085183999996
2012-06-03,16,6,0.16324638719999918
2012-06-04,53,25,15.9438426112
2012-06-05,60,20,-3.8479966207999965
2012-06-06,71,15,5.051590246400001
2012-06-07,49,11,5.8907339776
2012-06-08,61,6,-0.9749796863999993
2012-06-09,28,7,-7.7279852544
2012-06-10,12,1,-2.6545925120000007
2012-06-11,38,20,0.20149268479999938
2012-06-12,29,45,-1.0121788416000004
2012-06-13,42,31,13.5203615744
2012-06-14,50,30,-2.6552367103999988
2012-06-15,87,25,-1.7617987583999994
2012-06-16,33,3,-3.34839296
2012-06-17,40,14,-1.6079475712000009
2012-06-18,34,26,1.0045742079999995
2012-06-19,72,21,5.4630223872
2012-06-20,103,24,-2.607306854399999
2012-06-21,69,9,-0.7968301055999998
2012-06-22,93,20,1.6131392512000002
2012-06-23,28,4,-0.8445619200000001
2012-06-24,23,5,8.8404151296
2012-06-25,47,27,15.41896448
2012-06-26,52,23,-4.600620543999998
2012-06-27,63,18,1.6555239424000003
2012-06-28,77,17,-1.3179549695999997
2012-06-29,75,18,-1.9975487488000008
2012-06-30,16,3,3.1586921471999996
2012-07-01,9,4,-2.0334797823999997
2012-07-02,97,16,3.3293535232
2012-07-03,50,25,4.089300992000001
2012-07-04,31,13,-3.9096924159999995
2012-07-05,40,17,-0.2964014079999999
2012-07-06,80,19,-1.0662342656
2012-07-07,25,5,-1.4541658112000004
2012-07-08,12,8,3.1797330944
2012-07-09,42,25,-1.1781813247999997
2012-07-10,49,16,1.7320377344000002
2012-07-11,59,8,2.1317164032000004
2012-07-12,51,14,4.6323547136
2012-07-13,57,17,2.3051118592000006
2012-07-14,12,6,-1.7833568255999994
2012-07-15,20,4,-1.3334995968000003
2012-07-16,84,46,2.4171089919999997
2012-07-17,72,20,-1.5205768192
2012-07-18,59,24,-0.4994019328000001
2012-07-19,56,25,1.7571055616
2012-07-20,50,22,0.10621562880000024
2012-07-21,18,12,0.3743663104000001
2012-07-22,6,9,0.4791242752000002
2012-07-23,33,26,2.5400505344
2012-07-24,45,21,-0.25581076479999965
2012-07-25,55,24,2.2952875007999998
2012-07-26,60,19,1.6319040512000003
2012-07-27,51,14,5.4247631872
2012-07-28,16,3,-2.2903814143999996
2012-07-29,9,2,3.5731943424
2012-07-30,69,17,18.3864756224
2012-07-31,76,23,-5.315421081599997
2012-08-01,47,17,1.4063449088000013
2012-08-02,66,26,-2.4609110015999995
2012-08-03,57,15,9.2403816448
2012-08-04,19,8,-4.2219026432
2012-08-05,10,3,2.8589295616
2012-08-06,38,28,0.038037094399999916
2012-08-07,76,13,7.6745341952
2012-08-08,80,15,3.0830024704000003
2012-08-09,77,16,3.3352299520000006
2012-08-10,68,21,-4.8284251136
2012-08-11,15,9,-3.7402328064000008
2012-08-12,9,8,-1.1106770944000006
2012-08-13,63,16,2.2445843455999994
2012-08-14,67,19,-0.7181643776
2012-08-15,80,17,8.936899072
2012-08-16,60,26,-2.4723670015999986
2012-08-17,66,24,3.8393681920000002
2012-08-18,30,7,-2.248264191999999
2012-08-19,7,11,-2.4853236736000004
2012-08-20,47,23,8.723163648
2012-08-21,80,13,-0.8718133247999997
2012-08-22,79,17,2.5546661888
2012-08-23,67,18,5.011932774400001
2012-08-24,114,14,7.6472328192
2012-08-25,14,13,-6.311145574399999
2012-08-26,4,23,-1.2549385216000002
2012-08-27,59,23,0.3927332863999995
2012-08-28,94,9,1.3228134399999996
2012-08-29,70,17,1.975527424
2012-08-30,78,7,1.6088644608000005
2012-08-31,76,15,13.4843251712
2012-09-01,35,5,1.6472393728000014
2012-09-02,17,12,-4.9749704704
2012-09-03,28,16,-1.6358340608000002
2012-09-04,48,29,5.203678310399999
2012-09-05,93,23,-1.7988701184
2012-09-06,81,16,4.7200816128
2012-09-07,73,17,7.103195136
2012-09-08,36,6,-3.8959738879999994
2012-09-09,10,11,-1.9682093055999998
2012-09-10,86,18,8.270604288
2012-09-11,81,24,5.157422182400001
2012-09-12,85,17,3.2821167104000013
2012-09-13,92,20,5.2325687296000005
2012-09-14,87,38,1.329519513600001
2012-09-15,32,12,-6.8523638784
2012-09-16,22,12,-0.08185333760000102
2012-09-17,65,27,10.9019027456
2012-09-18,97,27,14.682158694400002
2012-09-19,76,37,-1.7083245567999974
2012-09-20,53,24,0.6197476352000013
2012-09-21,87,15,2.644558848000001
2012-09-22,36,12,-1.4133968896000004
2012-09-23,7,7,1.2572761087999993
2012-09-24,48,19,25.358234623999998
2012-09-25,59,24,-7.193926758399996
2012-09-26,80,21,10.1799057408
2012-09-27,64,17,-2.842995609599999
2012-09-28,54,20,-0.47713177600000023
2012-09-29,34,16,-5.2950182912
2012-09-30,15,14,-1.4253849600000006
2012-10-01,50,48,5.168440115199999
2012-10-02,85,45,-1.8330474495999995
2012-10-03,99,18,4.731486003200001
2012-10-04,86,35,2.4199115776000006
2012-10-05,69,25,2.4272867328000007
2012-10-06,18,21,6.4859721728
2012-10-07,17,11,26.8393148416
2012-10-08,58,28,-3.482619289599999
2012-10-09,93,26,3.9246370816000002
2012-10-10,88,37,7.000337100800001
2012-10-11,77,36,-1.1240881151999993
2012-10-12,78,26,-0.738119987200001
2012-10-13,31,8,-7.3102024704
2012-10-14,24,9,-3.5894544384000007
2012-10-15,69,28,-0.3448733696000006
2012-10-16,74,16,8.5910704128
2012-10-17,69,14,3.4878550016000007
2012-10-18,85,20,-1.5770721279999993
2012-10-19,83,15,1.291870105600001
2012-10-20,28,9,-0.5475708927999996
2012-10-21,23,13,7.3669767168
2012-10-22,37,24,8.869856051200001
2012-10-23,76,40,-7.483704012799999
2012-10-24,93,26,-0.7688966144
2012-10-25,83,25,0.6078249983999995
2012-10-26,90,28,2.6166917119999997
2012-10-27,38,10,-3.043882496
2012-10-28,9,13,-0.21468794879999997
2012-10-29,73,61,8.9233169408
2012-10-30,77,26,8.471216435200002
2012-10-31,86,39,7.376595456000001
2012-11-01,73,22,23.2333212672
2012-11-02,72,26,-5.2457078783999975
2012-11-03,24,13,-10.3182958592
2012-11-04,7,13,-1.792608972800001
2012-11-05,39,31,-2.251150540800001
