,scala/scala,apache/groovy,jetbrains/kotlin
2019-09-22,2,0,1
2019-09-23,14,2,30
2019-09-24,1,0,53
2019-09-25,21,0,44
2019-09-26,5,9,17
2019-09-27,0,7,66
2019-09-28,0,5,5
2019-09-29,0,4,27
2019-09-30,7,1,44
2019-10-01,7,5,33
2019-10-02,2,0,46
2019-10-03,4,1,35
2019-10-04,2,1,37
2019-10-05,0,2,6
2019-10-06,1,0,0
2019-10-07,0,4,12
2019-10-08,1,1,69
2019-10-09,6,0,25
2019-10-10,3,6,42
2019-10-11,3,22,49
2019-10-12,0,2,6
2019-10-13,0,1,3
2019-10-14,2,0,41
2019-10-15,6,1,10
2019-10-16,7,0,22
2019-10-17,7,1,50
2019-10-18,0,4,40
2019-10-19,2,0,3
2019-10-20,0,2,1
2019-10-21,8,3,71
2019-10-22,10,10,10
2019-10-23,8,3,43
2019-10-24,3,0,52
2019-10-25,4,5,23
2019-10-26,0,6,3
2019-10-27,3,4,1
2019-10-28,4,6,50
2019-10-29,7,8,87
2019-10-30,5,7,32
2019-10-31,4,4,59
2019-11-01,5,6,61
2019-11-02,0,13,0
2019-11-03,1,22,0
2019-11-04,0,6,5
2019-11-05,1,4,34
2019-11-06,5,4,29
2019-11-07,7,2,40
2019-11-08,6,0,59
2019-11-09,1,10,2
2019-11-10,0,2,4
2019-11-11,3,7,47
2019-11-12,6,1,39
2019-11-13,0,0,31
2019-11-14,0,3,49
2019-11-15,4,9,12
2019-11-16,0,0,1
2019-11-17,1,5,1
2019-11-18,4,4,29
2019-11-19,10,1,70
2019-11-20,2,4,46
2019-11-21,3,5,41
2019-11-22,2,10,42
2019-11-23,3,9,4
2019-11-24,0,2,0
2019-11-25,4,5,57
2019-11-26,6,4,48
2019-11-27,5,2,59
2019-11-28,5,0,45
2019-11-29,0,8,75
2019-11-30,2,8,3
2019-12-01,1,5,2
2019-12-02,8,8,40
2019-12-03,4,8,48
2019-12-04,3,3,13
2019-12-05,4,2,26
2019-12-06,2,0,15
2019-12-07,0,7,0
2019-12-08,2,0,0
2019-12-09,10,1,23
2019-12-10,17,4,39
2019-12-11,4,8,45
2019-12-12,10,8,51
2019-12-13,3,6,29
2019-12-14,1,3,1
2019-12-15,1,2,3
2019-12-16,3,5,70
2019-12-17,5,3,67
2019-12-18,0,2,45
2019-12-19,3,6,58
2019-12-20,1,7,23
2019-12-21,0,5,3
2019-12-22,2,5,1
2019-12-23,0,4,22
2019-12-24,1,2,28
2019-12-25,0,2,76
2019-12-26,2,4,40
2019-12-27,0,8,55
2019-12-28,0,5,3
2019-12-29,0,4,1
2019-12-30,0,1,18
2019-12-31,1,5,5
2020-01-01,3,1,0
2020-01-02,2,1,3
2020-01-03,2,2,8
2020-01-04,0,8,0
2020-01-05,1,0,0
2020-01-06,0,0,2
2020-01-07,3,1,5
2020-01-08,5,1,15
2020-01-09,5,0,64
2020-01-10,4,7,45
2020-01-11,0,14,1
2020-01-12,3,5,1
2020-01-13,11,1,28
2020-01-14,7,1,58
2020-01-15,2,10,47
2020-01-16,2,7,51
2020-01-17,20,3,93
2020-01-18,12,1,4
2020-01-19,2,7,6
2020-01-20,6,4,38
2020-01-21,14,9,54
2020-01-22,6,7,51
2020-01-23,6,5,69
2020-01-24,9,9,119
2020-01-25,2,6,4
2020-01-26,0,4,11
2020-01-27,3,1,54
2020-01-28,14,3,60
2020-01-29,2,6,67
2020-01-30,8,2,44
2020-01-31,12,6,29
2020-02-01,2,7,9
2020-02-02,3,5,1
2020-02-03,21,6,24
2020-02-04,15,8,41
2020-02-05,10,3,44
2020-02-06,3,0,116
2020-02-07,2,2,56
2020-02-08,11,11,3
2020-02-09,0,1,7
2020-02-10,3,0,53
2020-02-11,7,1,107
2020-02-12,10,8,173
2020-02-13,16,5,90
2020-02-14,7,8,107
2020-02-15,2,2,12
2020-02-16,0,3,3
2020-02-17,13,3,55
2020-02-18,5,1,67
2020-02-19,5,7,56
2020-02-20,4,2,83
2020-02-21,6,3,52
2020-02-22,3,3,5
2020-02-23,3,4,4
2020-02-24,15,0,4
2020-02-25,18,4,42
2020-02-26,13,0,60
2020-02-27,9,0,37
2020-02-28,7,2,69
2020-02-29,7,4,14
2020-03-01,6,9,4
2020-03-02,7,5,35
2020-03-03,5,7,81
2020-03-04,5,4,54
2020-03-05,15,1,51
2020-03-06,5,0,60
2020-03-07,1,7,4
2020-03-08,2,1,1
2020-03-09,11,5,8
2020-03-10,0,5,48
2020-03-11,1,3,54
2020-03-12,2,0,65
2020-03-13,8,0,32
2020-03-14,0,15,1
2020-03-15,11,4,1
2020-03-16,6,1,129
2020-03-17,1,3,26
2020-03-18,11,2,49
2020-03-19,8,4,44
2020-03-20,8,5,75
2020-03-21,0,10,0
2020-03-22,2,13,3
2020-03-23,3,1,59
2020-03-24,5,0,60
2020-03-25,6,3,71
2020-03-26,2,4,92
2020-03-27,6,3,39
2020-03-28,4,15,28
2020-03-29,6,6,5
2020-03-30,10,1,115
2020-03-31,5,1,73
2020-04-01,3,0,33
2020-04-02,2,0,76
2020-04-03,8,0,73
2020-04-04,1,7,3
2020-04-05,2,0,3
2020-04-06,19,0,33
2020-04-07,4,2,67
2020-04-08,4,1,71
2020-04-09,4,2,78
2020-04-10,4,1,23
2020-04-11,1,26,15
2020-04-12,6,1,0
2020-04-13,4,0,77
2020-04-14,5,2,56
2020-04-15,14,5,80
2020-04-16,11,4,61
2020-04-17,5,2,74
2020-04-18,4,3,12
2020-04-19,8,2,4
2020-04-20,14,4,48
2020-04-21,11,2,79
2020-04-22,11,3,40
2020-04-23,17,2,78
2020-04-24,8,1,36
2020-04-25,2,7,3
2020-04-26,4,1,7
2020-04-27,9,6,27
2020-04-28,2,0,75
2020-04-29,6,8,51
2020-04-30,6,3,20
2020-05-01,5,0,7
2020-05-02,4,0,0
2020-05-03,1,0,0
2020-05-04,14,6,16
2020-05-05,13,1,0
2020-05-06,13,1,41
2020-05-07,4,2,74
2020-05-08,17,1,63
2020-05-09,2,2,7
2020-05-10,5,0,1
2020-05-11,9,4,3
2020-05-12,0,3,95
2020-05-13,12,3,47
2020-05-14,26,4,43
2020-05-15,37,1,49
2020-05-16,0,11,1
2020-05-17,3,4,2
2020-05-18,24,4,53
2020-05-19,8,0,38
2020-05-20,7,0,54
2020-05-21,4,2,35
2020-05-22,2,2,8
2020-05-23,4,1,5
2020-05-24,1,2,26
2020-05-25,1,2,55
2020-05-26,1,2,187
2020-05-27,2,2,38
2020-05-28,1,10,66
2020-05-29,5,5,56
2020-05-30,0,4,10
