,apache/solr,blevesearch/bleve,elastic/elasticsearch
2014-06-17,14,0,7.0
2014-06-18,19,0,7.8999999999999995
2014-06-19,8,0,12.265
2014-06-20,5,0,3.7335000000000003
2014-06-21,2,0,0.4438625000000007
2014-06-22,2,0,-3.4116667499999984
2014-06-23,4,0,-1.6277685374999988
2014-06-24,6,0,-1.0046585412499995
2014-06-25,1,0,3.324118945140625
2014-06-26,3,1,3.327039934714062
2014-06-27,6,0,10.826497736921874
2014-06-28,1,0,-2.7105090343812517
2014-06-29,0,0,-1.2308653191718744
2014-06-30,7,0,4.7228084175875
2014-07-01,13,0,16.606081783751563
2014-07-02,6,0,12.345497326251563
2014-07-03,9,7,12.781371535439064
2014-07-04,3,0,7.271000213242187
2014-07-05,6,0,-2.3184998103656245
2014-07-06,0,0,-4.435333520556249
2014-07-07,7,0,11.040198160520314
2014-07-08,5,0,11.049162931175
2014-07-09,12,0,16.28129282205781
2014-07-10,4,0,5.46943235253125
2014-07-11,4,6,3.859305389000001
2014-07-12,4,0,-8.981728270403124
2014-07-13,0,0,0.6442094564343757
2014-07-14,9,1,14.804898276340625
2014-07-15,9,0,13.912829665801562
2014-07-16,13,0,14.726096877228123
2014-07-17,4,0,3.962981397670312
2014-07-18,3,0,-1.1266611145843761
2014-07-19,5,0,-8.491437138424999
2014-07-20,5,0,-2.5882795577578115
2014-07-21,10,7,17.326061973673436
2014-07-22,4,1,14.142776214040623
2014-07-23,6,0,22.953300969734375
2014-07-24,6,0,3.7748795809890616
2014-07-25,1,0,4.646001333431251
2014-07-26,2,0,-6.1021096676140605
2014-07-27,2,0,-6.127237542328123
2014-07-28,5,0,18.424607980218752
2014-07-29,10,0,2.8619082502062483
2014-07-30,5,4,7.182143391501562
2014-07-31,4,5,1.669546511864061
2014-08-01,3,0,9.0908706152875
2014-08-02,1,4,-5.058734517689063
2014-08-03,1,5,-0.5331819700359359
2014-08-04,2,0,19.32872620832031
2014-08-05,4,1,18.02962849240781
