,reactor/reactor-core,Kotlin/kotlinx.coroutines,reactivex/rxjava
2016-08-22,5,0.0,1.0
2016-08-23,5,0.0,3.7
2016-08-24,1,0.0,2.695
2016-08-25,12,0.0,2.3205
2016-08-26,7,0.0,1.1018375000000002
2016-08-27,0,0.0,0.2516297500000002
2016-08-28,4,0.0,-0.45581186249999983
2016-08-29,0,0.0,-0.08011172374999975
2016-08-30,7,0.0,1.051802238234375
2016-08-31,12,0.0,1.8199714247046874
2016-09-01,9,0.0,1.4673847975062497
2016-09-02,6,0.0,0.3748431837562498
2016-09-03,0,0.0,-0.3667044632281251
2016-09-04,0,0.0,-0.9831698094796875
2016-09-05,13,0.0,1.45778920801875
2016-09-06,3,0.0,4.033796985001563
2016-09-07,8,0.0,1.0183457444859374
2016-09-08,0,0.0,11.2480492269875
2016-09-09,0,0.0,-0.7424007999953126
2016-09-10,0,0.0,-2.095213946979687
2016-09-11,0,0.0,1.1478059817687505
2016-09-12,0,0.0,4.9778244767671875
2016-09-13,0,0.0,0.7821043602187494
2016-09-14,0,0.0,-0.7386169440437498
2016-09-15,0,0.0,-0.041822975210937585
2016-09-16,1,0.0,-1.7645557651515629
2016-09-17,0,0.0,-1.0265828503390626
2016-09-18,0,0.0,-0.608254228446875
2016-09-19,1,0.0,-0.42680342977968766
2016-09-20,0,0.0,3.666281422942187
2016-09-21,1,0.0,0.5569329678078119
2016-09-22,0,0.0,4.8559983660375
2016-09-23,2,0.0,5.6930797400031246
2016-09-24,0,0.0,-3.3368168264656246
2016-09-25,0,0.0,5.603794000000001
2016-09-26,0,0.0,1.0304610499999995
2016-09-27,0,0.0,2.4429876800000003
2016-09-28,0,0.0,1.1846314104375004
2016-09-29,0,0.0,8.3697848710375
2016-09-30,0,0.0,-2.6602770670593756
2016-10-01,0,0.0,-0.6841737510218744
2016-10-02,0,0.0,-1.1082429221124999
2016-10-03,2,0.0,-0.49303892485937495
2016-10-04,2,0.0,0.7222516715578122
2016-10-05,0,0.0,1.6300986807406248
2016-10-06,3,0.0,1.3443813305234373
2016-10-07,1,0.0,0.2826634401468746
2016-10-08,2,0.0,-1.4459116390921876
2016-10-09,0,0.0,-0.6695863962468749
2016-10-10,0,0.0,1.56278920801875
2016-10-11,12,0.0,3.0932969850015626
2016-10-12,0,0.0,4.358508244485938
2016-10-13,0,0.0,-2.5172305230125
