,carla-simulator/carla,apolloauto/apollo,commaai/openpilot
2017-07-04,0,6,0.0
2017-07-05,0,21,0.0
2017-07-06,0,18,0.0
2017-07-07,0,14,2.0
2017-07-08,0,1,-1.0
2017-07-09,0,2,-0.25
2017-07-10,0,18,-0.125
2017-07-11,0,18,-0.078125
2017-07-12,0,15,3.9453125
2017-07-13,0,58,-2.041015625
2017-07-14,0,42,-0.5322265625
2017-07-15,0,7,-0.27618408203125
2017-07-16,0,8,-0.178070068359375
2017-07-17,0,18,-0.109375
2017-07-18,1,23,1.91796875
2017-07-19,0,32,-1.064453125
2017-07-20,0,59,-0.3023681640625
2017-07-21,0,68,-0.16864013671875
2017-07-22,0,12,-0.078125
2017-07-23,0,1,-0.0546875
2017-07-24,0,32,-0.041015625
2017-07-25,2,64,-0.0322265625
2017-07-26,7,73,-0.02618408203125
2017-07-27,4,65,-0.021820068359375
2017-07-28,5,46,1.0
2017-07-29,0,34,0.5
2017-07-30,0,2,-0.625
2017-07-31,0,30,0.8125
2017-08-01,0,69,-0.6015625
2017-08-02,0,66,-0.19140625
2017-08-03,0,69,-0.1103515625
2017-08-04,0,65,-0.07568359375
2017-08-05,0,32,-0.056549072265625
2017-08-06,0,7,-0.0445098876953125
2017-08-07,0,49,-0.0270233154296875
2017-08-08,0,62,-0.013092041015625
2017-08-09,0,53,-0.0109100341796875
2017-08-10,0,21,1.0
2017-08-11,0,40,0.5
2017-08-12,0,6,-0.625
2017-08-13,0,2,-0.1875
2017-08-14,0,32,-0.1015625
2017-08-15,0,52,0.93359375
2017-08-16,0,49,0.4521484375
2017-08-17,0,32,-0.66162109375
2017-08-18,0,59,-0.216705322265625
2017-08-19,0,8,-0.1255645751953125
2017-08-20,0,1,-0.0773162841796875
2017-08-21,0,37,-0.0478515625
2017-08-22,0,32,-0.03662109375
2017-08-23,1,42,-0.029205322265625
2017-08-24,0,46,-0.0240020751953125
2017-08-25,1,45,-0.0109100341796875
2017-08-26,0,14,0.0
2017-08-27,0,4,0.0
2017-08-28,1,24,0.0
2017-08-29,3,40,1.0
2017-08-30,3,26,-0.5
2017-08-31,1,49,-0.125
2017-09-01,0,34,-0.0625
2017-09-02,0,35,-0.0390625
2017-09-03,0,8,-0.02734375
2017-09-04,3,1,-0.0205078125
2017-09-05,7,38,-0.01611328125
2017-09-06,2,43,-0.013092041015625
2017-09-07,3,40,-0.0109100341796875
2017-09-08,0,32,0.0
2017-09-09,0,8,0.0
2017-09-10,0,2,0.0
2017-09-11,0,13,0.0
2017-09-12,0,42,0.0
2017-09-13,1,35,0.0
2017-09-14,4,15,0.0
2017-09-15,1,14,0.0
2017-09-16,0,5,0.0
