,gitlabhq/gitlabhq,gogs/gogs,gitbucket/gitbucket
2018-04-12,61.0,3,0
2018-04-13,37.5,0,3
2018-04-14,-34.625,0,1
2018-04-15,-13.8125,0,9
2018-04-16,84.4921875,3,5
2018-04-17,37.48828125,2,5
2018-04-18,47.3662109375,2,2
2018-04-19,18.91552734375,1,12
2018-04-20,1.337127685546875,0,1
2018-04-21,-61.91661071777344,2,0
2018-04-22,-20.136260986328125,0,4
2018-04-23,138.55418395996094,0,0
2018-04-24,15.8040771484375,2,5
2018-04-25,-21.384414672851562,2,3
2018-04-26,-10.174575805664062,5,5
2018-04-27,-2.9460601806640625,0,9
2018-04-28,-36.82916259765625,0,7
2018-04-29,-15.0755615234375,0,14
2018-04-30,59.0203857421875,0,5
2018-05-01,17.620452880859375,0,0
2018-05-02,40.71299743652344,0,3
2018-05-03,43.67681884765625,1,1
2018-05-04,17.01458740234375,0,1
2018-05-05,-65.72895812988281,0,1
2018-05-06,-5.408294677734375,0,0
2018-05-07,117.50547790527344,0,0
2018-05-08,-10.462905883789062,2,0
2018-05-09,23.089706420898438,0,2
2018-05-10,-18.930252075195312,1,1
2018-05-11,24.0225830078125,0,1
2018-05-12,-54.142120361328125,0,10
2018-05-13,-20.015640258789062,1,0
2018-05-14,60.45259094238281,0,0
2018-05-15,16.941696166992188,0,1
2018-05-16,13.634628295898438,0,0
2018-05-17,26.10589599609375,0,1
2018-05-18,13.619277954101562,0,1
2018-05-19,-51.07957458496094,0,9
2018-05-20,-21.533538818359375,0,0
2018-05-21,46.00653076171875,2,0
2018-05-22,36.68841552734375,0,4
2018-05-23,31.512725830078125,0,8
2018-05-24,25.885482788085938,0,10
2018-05-25,4.0167999267578125,0,0
2018-05-26,-49.87150573730469,1,3
2018-05-27,-18.208084106445312,3,7
2018-05-28,80.74168395996094,2,11
2018-05-29,44.55413818359375,0,1
2018-05-30,19.041961669921875,2,1
2018-05-31,46.830047607421875,0,2
2018-06-01,15.952911376953125,0,0
2018-06-02,-67.510498046875,1,1
2018-06-03,-21.5379638671875,3,2
2018-06-04,59.94053649902344,2,3
2018-06-05,115.12220764160156,0,6
2018-06-06,104.00445556640625,1,0
2018-06-07,3.49200439453125,0,2
2018-06-08,-29.807632446289062,0,0
2018-06-09,-83.79646301269531,8,0
2018-06-10,-35.620025634765625,0,3
2018-06-11,64.45938110351562,5,6
2018-06-12,13.71514892578125,0,5
2018-06-13,51.681732177734375,3,6
2018-06-14,20.177047729492188,0,0
2018-06-15,19.059783935546875,1,0
2018-06-16,-58.270843505859375,2,0
2018-06-17,-31.784271240234375,4,0
2018-06-18,67.038818359375,1,1
2018-06-19,22.877914428710938,0,7
2018-06-20,51.36219787597656,0,1
2018-06-21,-1.2472076416015625,0,0
2018-06-22,-7.7229461669921875,0,1
2018-06-23,-52.09523010253906,0,2
2018-06-24,-19.989654541015625,0,3
2018-06-25,111.04878234863281,2,3
2018-06-26,-7.849151611328125,3,1
2018-06-27,43.32173156738281,1,1
2018-06-28,-9.626632690429688,0,1
2018-06-29,15.667526245117188,0,6
2018-06-30,-38.175506591796875,0,10
2018-07-01,-19.308792114257812,0,3
2018-07-02,37.48780822753906,1,0
2018-07-03,42.4256591796875,0,0
2018-07-04,14.934097290039062,0,2
2018-07-05,33.69451904296875,0,1
2018-07-06,34.394317626953125,0,0
2018-07-07,-55.039794921875,0,0
2018-07-08,-21.885589599609375,0,1
2018-07-09,64.26507568359375,2,4
2018-07-10,9.943405151367188,0,0
2018-07-11,38.29913330078125,0,0
2018-07-12,12.566390991210938,0,0
2018-07-13,-22.121124267578125,0,0
2018-07-14,-34.18165588378906,0,0
2018-07-15,-17.014572143554688,1,5
2018-07-16,32.74189758300781,0,6
2018-07-17,49.792572021484375,0,0
2018-07-18,20.800521850585938,1,5
2018-07-19,-7.34405517578125,0,3
2018-07-20,22.555343627929688,0,0
2018-07-21,-46.884918212890625,0,1
2018-07-22,-10.584503173828125,0,3
2018-07-23,46.42189025878906,0,8
2018-07-24,30.227508544921875,0,0
2018-07-25,18.962432861328125,0,1
2018-07-26,8.927017211914062,0,2
2018-07-27,21.885360717773438,0,0
2018-07-28,-48.80035400390625,0,1
2018-07-29,-11.24615478515625,0,6
2018-07-30,66.33674621582031,0,2
2018-07-31,28.192642211914062,0,0
2018-08-01,31.510650634765625,0,0
2018-08-02,7.381195068359375,0,0
2018-08-03,14.30950927734375,0,0
2018-08-04,-57.571044921875,0,2
2018-08-05,-19.714508056640625,0,1
2018-08-06,29.188232421875,1,0
2018-08-07,56.22271728515625,0,0
2018-08-08,-16.782577514648438,0,0
2018-08-09,10.224777221679688,0,0
2018-08-10,29.903350830078125,0,0
