,emberjs/ember.js,angular/angular,facebook/react
2014-11-18,20,7.0,15
2014-11-19,10,3.0,9
2014-11-20,19,5.0,2
2014-11-21,18,0.0,7
2014-11-22,8,1.0,0
2014-11-23,15,1.0,0
2014-11-24,26,2.0,5
2014-11-25,31,10.0,13
2014-11-26,23,6.0,9
2014-11-27,9,0.0,4
2014-11-28,15,0.0,1
2014-11-29,0,0.0,0
2014-11-30,3,0.0,2
2014-12-01,5,3.0,8
2014-12-02,32,4.0,8
2014-12-03,19,8.0,8
2014-12-04,4,6.0,2
2014-12-05,17,4.0,3
2014-12-06,5,6.0,1
2014-12-07,6,0.0,3
2014-12-08,14,16.0,5
2014-12-09,14,1.0,1
2014-12-10,21,2.0,4
2014-12-11,9,4.0,1
2014-12-12,2,6.0,4
2014-12-13,15,3.0,3
2014-12-14,11,0.0,11
2014-12-15,15,0.0,4
2014-12-16,13,0.0,5
2014-12-17,17,3.0,4
2014-12-18,18,5.0,19
2014-12-19,11,0.0,5
2014-12-20,4,0.0,2
2014-12-21,41,0.0,2
2014-12-22,25,0.0,4
2014-12-23,25,0.0,7
2014-12-24,27,1.0,1
2014-12-25,11,0.0,2
2014-12-26,5,0.0,0
2014-12-27,3,0.0,0
2014-12-28,5,0.0,0
2014-12-29,9,6.0,5
2014-12-30,23,4.0,3
2014-12-31,6,0.0,2
2015-01-01,21,0.0,1
2015-01-02,23,0.0,2
2015-01-03,20,0.0,0
2015-01-04,14,0.0,0
2015-01-05,19,0.0,12
2015-01-06,8,5.0,1
2015-01-07,7,11.0,6
2015-01-08,1,6.0,2
2015-01-09,3,10.0,2
2015-01-10,7,0.0,1
2015-01-11,8,0.0,1
2015-01-12,4,3.0,3
2015-01-13,15,5.0,17
2015-01-14,7,3.0,4
2015-01-15,16,7.0,7
2015-01-16,13,3.0,11
2015-01-17,2,1.0,3
2015-01-18,0,0.0,1
2015-01-19,4,0.0,1
2015-01-20,0,11.0,5
2015-01-21,12,5.0,12
2015-01-22,10,14.0,18
2015-01-23,2,7.0,12
2015-01-24,4,1.0,2
2015-01-25,7,0.0,2
2015-01-26,17,1.0,5
2015-01-27,6,9.0,41
2015-01-28,0,5.0,10
2015-01-29,11,3.0,0
2015-01-30,9,2.0,6
2015-01-31,25,0.0,11
2015-02-01,16,0.0,1
2015-02-02,14,0.0,20
2015-02-03,9,0.0,11
2015-02-04,10,0.0,12
2015-02-05,4,22.0,11
2015-02-06,9,18.0,14
2015-02-07,13,4.0,2
2015-02-08,29,0.0,1
2015-02-09,7,2.0,12
2015-02-10,14,9.0,8
2015-02-11,5,6.0,9
2015-02-12,15,3.0,13
2015-02-13,5,7.0,10
2015-02-14,5,3.0,8
2015-02-15,16,3.0,1
2015-02-16,3,2.0,2
2015-02-17,2,15.0,19
2015-02-18,2,15.0,9
2015-02-19,5,10.0,20
2015-02-20,6,7.0,20
2015-02-21,0,9.0,2
2015-02-22,1,0.0,12
2015-02-23,0,4.0,3
2015-02-24,2,6.0,10
2015-02-25,11,13.0,2
2015-02-26,6,26.0,8
2015-02-27,5,6.0,5
2015-02-28,11,3.0,3
2015-03-01,8,0.0,3
2015-03-02,0,10.0,10
2015-03-03,3,8.0,14
2015-03-04,3,2.0,3
2015-03-05,5,1.0,8
2015-03-06,0,1.0,9
2015-03-07,1,2.0,1
2015-03-08,6,0.0,2
2015-03-09,7,4.0,7
2015-03-10,4,6.0,46
2015-03-11,2,8.0,69
2015-03-12,6,8.0,3
2015-03-13,0,19.0,5
2015-03-14,1,5.0,12
2015-03-15,8,0.0,0
2015-03-16,17,2.0,21
2015-03-17,1,12.0,13
2015-03-18,2,15.0,2
2015-03-19,17,15.0,7
2015-03-20,15,2.0,7
2015-03-21,4,14.0,2
2015-03-22,5,2.0,1
2015-03-23,9,4.0,10
2015-03-24,14,14.0,13
2015-03-25,10,4.0,25
2015-03-26,14,18.0,21
2015-03-27,2,13.0,10
2015-03-28,14,5.0,6
2015-03-29,4,0.0,3
2015-03-30,7,2.0,15
2015-03-31,11,11.0,5
2015-04-01,3,11.0,14
2015-04-02,104,18.0,14
2015-04-03,20,10.0,2
2015-04-04,5,3.0,1
2015-04-05,5,0.0,7
2015-04-06,11,8.0,0
2015-04-07,11,6.0,8
2015-04-08,3,8.0,19
2015-04-09,7,5.0,18
2015-04-10,6,34.0,7
2015-04-11,2,6.0,1
2015-04-12,9,1.0,0
2015-04-13,9,24.0,8
2015-04-14,16,17.0,4
2015-04-15,6,10.0,2
2015-04-16,20,26.0,3
2015-04-17,10,18.0,7
2015-04-18,3,6.0,8
2015-04-19,8,0.0,2
2015-04-20,25,15.0,8
2015-04-21,7,16.0,3
2015-04-22,9,2.0,11
2015-04-23,2,7.0,2
2015-04-24,5,5.0,5
2015-04-25,0,2.0,2
2015-04-26,13,0.0,4
2015-04-27,8,29.0,8
2015-04-28,11,24.0,6
2015-04-29,12,14.0,11
2015-04-30,13,8.0,3
2015-05-01,15,14.0,5
2015-05-02,16,0.0,3
2015-05-03,16,0.0,2
2015-05-04,16,8.0,6
2015-05-05,18,7.0,9
2015-05-06,10,18.0,1
2015-05-07,28,21.0,7
2015-05-08,9,32.0,7
2015-05-09,3,2.0,0
2015-05-10,17,2.0,2
2015-05-11,15,15.0,6
2015-05-12,18,28.0,3
2015-05-13,20,18.0,13
2015-05-14,22,12.0,7
2015-05-15,11,9.0,2
2015-05-16,5,2.0,12
2015-05-17,4,0.0,1
