,highcharts/highcharts,apache/echarts,plotly/plotly.js
2017-07-31,6,0.0,0
2017-08-01,8,1.0,8
2017-08-02,12,0.6000000000000001,8
2017-08-03,13,1.48,3
2017-08-04,11,-0.9839999999999999,10
2017-08-05,1,-0.3456,13
2017-08-06,0,-0.19955200000000006,0
2017-08-07,13,1.8638848,9
2017-08-08,13,3.09876224,8
2017-08-09,5,-1.9194526719999996,0
2017-08-10,9,3.3273050112,5
2017-08-11,4,2.0176904192,2
2017-08-12,0,1.6680996864000002,0
2017-08-13,0,-2.5017343999999997,0
2017-08-14,9,2.9690060799999998,16
2017-08-15,1,4.753998336,11
2017-08-16,13,-1.7442799615999998,3
2017-08-17,8,-2.2323356672,0
2017-08-18,9,0.9196421119999998,0
2017-08-19,0,-1.5243057152000001,0
2017-08-20,0,3.2634677248,0
2017-08-21,16,3.9266787328,2
2017-08-22,7,3.8016568320000004,1
2017-08-23,14,0.970072268800001,2
2017-08-24,7,2.4437750784000003,2
2017-08-25,18,-2.8797454335999997,1
2017-08-26,0,-2.033076224,0
2017-08-27,0,-1.1585217536000005,0
2017-08-28,15,-0.7949486080000003,2
2017-08-29,17,4.3931511808,0
2017-08-30,25,-0.4424629247999996,2
2017-08-31,31,4.3014477824,1
2017-09-01,16,-1.1332956159999994,3
2017-09-02,0,-1.9479446528,0
2017-09-03,0,-0.8697581568000001,0
2017-09-04,13,0.44767999999999963,0
2017-09-05,15,-0.8006912000000002,7
2017-09-06,11,4.56979712,5
2017-09-07,2,-2.3144519679999993,1
2017-09-08,4,7.2051282944,1
2017-09-09,0,-3.6570523647999993,0
2017-09-10,0,-1.2165595136000003,0
2017-09-11,11,1.31986944,1
2017-09-12,15,-1.2627717120000002,2
2017-09-13,21,1.4157330432,25
2017-09-14,21,0.8125158400000001,3
2017-09-15,14,4.665844736,6
2017-09-16,4,-2.949149695999999,0
2017-09-17,0,-1.0795116544,0
2017-09-18,13,-0.5638451200000001,3
2017-09-19,9,-0.3857418240000003,15
2017-09-20,15,-0.2879758336000001,23
2017-09-21,4,-0.20483174400000004,4
2017-09-22,5,0.8338689024000001,28
2017-09-23,0,-0.5165305855999999,0
2017-09-24,0,-0.19678894079999998,0
2017-09-25,9,4.936,9
2017-09-26,25,2.9584000000000006,2
2017-09-27,14,1.3700480000000006,10
2017-09-28,36,0.45703680000000046,15
2017-09-29,41,-2.22637056,3
2017-09-30,16,-0.9889157120000003,5
2017-10-01,3,-0.6357741568000004,0
2017-10-02,42,-0.4512768000000002,8
2017-10-03,19,-0.34934016,20
2017-10-04,24,-0.282141184,23
2017-10-05,13,-0.17972531199999991,27
2017-10-06,9,-0.09665976319999997,19
2017-10-07,11,-0.03839447039999999,0
2017-10-08,3,0.0,0
2017-10-09,0,2.0,12
2017-10-10,3,1.2000000000000002,9
2017-10-11,1,3.96,0
2017-10-12,7,10.632000000000001,5
2017-10-13,11,-3.0111999999999997,1
2017-10-14,3,-0.22310399999999975,0
2017-10-15,13,-2.7058304,1
2017-10-16,7,2.6747724799999992,14
2017-10-17,10,-0.4880445440000001,9
2017-10-18,12,-0.9409381375999999,14
2017-10-19,13,-1.3949377535999998,14
2017-10-20,9,2.20058368,19
2017-10-21,1,-1.7339628543999999,0
2017-10-22,3,2.3627815936,0
2017-10-23,6,0.42024488960000017,23
2017-10-24,1,1.594872832,14
2017-10-25,0,-1.8217306111999998,7
2017-10-26,1,1.2775583743999999,13
2017-10-27,0,-0.23296583680000005,8
2017-10-28,3,-0.9390607360000001,0
2017-10-29,4,-0.47728855040000007,0
2017-10-30,11,1.701702144,1
2017-10-31,11,4.9746784256000005,15
2017-11-01,13,10.2130581504,6
2017-11-02,9,-3.146098790399999,25
2017-11-03,13,6.724118016,4
2017-11-04,4,-3.5422560255999995,0
2017-11-05,6,2.0287634431999995,0
2017-11-06,7,5.43130368,1
2017-11-07,4,-3.2729123839999996,0
2017-11-08,7,5.9930425344,1
2017-11-09,8,-2.242460876799999,0
2017-11-10,11,6.6263648256,0
2017-11-11,2,-4.630276710399999,0
2017-11-12,0,1.316881408,0
2017-11-13,5,-0.06700431360000003,4
2017-11-14,8,-1.6936581120000005,6
2017-11-15,15,1.2631605248,15
2017-11-16,5,-0.15509340159999985,12
2017-11-17,0,-0.8359273471999997,8
2017-11-18,0,-1.2636309503999998,0
2017-11-19,0,-0.6882611200000001,0
2017-11-20,6,0.6114481151999999,6
2017-11-21,4,-0.6854239232,2
2017-11-22,5,-0.3045402624,3
2017-11-23,2,0.8180303872000001,2
2017-11-24,0,0.4713235456,4
2017-11-25,0,-0.5907040255999999,0
2017-11-26,0,-0.2197613568,0
2017-11-27,9,4.87602944,8
2017-11-28,1,4.913292288000001,6
2017-11-29,3,2.5342866432000006,1
2017-11-30,0,-2.6013337599999993,0
2017-12-01,2,0.19047372799999973,1
2017-12-02,0,1.2270861311999997,0
2017-12-03,0,-2.0908781568,0
2017-12-04,10,4.0380928,1
2017-12-05,25,0.3526963200000006,1
2017-12-06,11,4.712028672000001,1
2017-12-07,15,-1.8146743295999994,11
2017-12-08,5,2.7624246272,14
2017-12-09,0,0.9392187392000002,1
2017-12-10,0,-2.8949354496,0
2017-12-11,8,1.7079991295999997,19
2017-12-12,12,-1.01553664,1
2017-12-13,1,-1.3601382400000002,0
2017-12-14,15,5.2721504256,0
2017-12-15,13,1.1075958784000006,17
2017-12-16,0,-2.6263131135999997,1
2017-12-17,0,-1.087455232,0
2017-12-18,10,1.3651324927999997,13
2017-12-19,16,17.790050304,8
2017-12-20,11,1.8488626176000018,6
2017-12-21,7,5.377125683200001,1
2017-12-22,12,-6.463616511999999,6
