,llvm/llvm-project,golang/go,gcc-mirror/gcc
2020-05-03,40,1,4
2020-05-04,89,15,25
2020-05-05,122,15,67
2020-05-06,107,13,32
2020-05-07,137,26,35
2020-05-08,91,28,21
2020-05-09,41,3,41
2020-05-10,55,2,5
2020-05-11,114,7,43
2020-05-12,106,6,41
2020-05-13,110,9,33
2020-05-14,104,14,31
2020-05-15,126,1,29
2020-05-16,33,0,3
2020-05-17,39,0,11
2020-05-18,71,10,26
2020-05-19,141,10,32
2020-05-20,122,7,32
2020-05-21,97,12,20
2020-05-22,82,1,22
2020-05-23,42,1,12
2020-05-24,36,3,2
2020-05-25,57,1,25
2020-05-26,108,16,28
2020-05-27,136,5,28
2020-05-28,153,6,31
2020-05-29,152,9,30
2020-05-30,46,1,8
2020-05-31,38,5,15
2020-06-01,75,7,18
2020-06-02,124,8,62
2020-06-03,143,18,52
2020-06-04,141,15,69
2020-06-05,161,13,52
2020-06-06,39,0,4
2020-06-07,49,2,12
2020-06-08,125,13,47
2020-06-09,149,9,62
2020-06-10,112,7,49
2020-06-11,119,7,57
2020-06-12,93,4,45
2020-06-13,34,1,4
2020-06-14,31,2,7
2020-06-15,145,7,44
2020-06-16,144,5,65
2020-06-17,128,12,59
2020-06-18,151,8,53
2020-06-19,117,6,43
2020-06-20,62,1,9
2020-06-21,29,0,4
2020-06-22,102,1,16
2020-06-23,132,5,24
2020-06-24,136,9,27
2020-06-25,154,9,25
2020-06-26,142,8,12
2020-06-27,48,1,8
2020-06-28,27,1,11
2020-06-29,116,7,24
2020-06-30,140,7,20
2020-07-01,142,4,30
2020-07-02,109,1,24
2020-07-03,92,1,13
2020-07-04,42,0,2
2020-07-05,21,3,4
2020-07-06,103,6,44
2020-07-07,127,11,47
2020-07-08,138,9,44
2020-07-09,131,4,25
2020-07-10,120,4,55
2020-07-11,52,0,8
2020-07-12,25,0,2
2020-07-13,124,2,32
2020-07-14,131,3,26
2020-07-15,120,1,41
2020-07-16,142,7,45
2020-07-17,114,3,19
2020-07-18,52,0,7
2020-07-19,28,0,6
2020-07-20,123,3,23
2020-07-21,118,5,19
2020-07-22,163,1,21
2020-07-23,125,6,19
2020-07-24,100,3,20
2020-07-25,45,2,5
2020-07-26,45,0,7
2020-07-27,108,2,43
2020-07-28,136,2,17
2020-07-29,166,0,24
2020-07-30,129,11,28
2020-07-31,104,7,33
2020-08-01,34,2,9
2020-08-02,36,1,6
2020-08-03,112,8,33
2020-08-04,138,1,38
2020-08-05,170,1,21
2020-08-06,148,2,18
2020-08-07,136,2,10
2020-08-08,48,0,5
2020-08-09,38,0,5
2020-08-10,103,10,21
2020-08-11,165,6,16
2020-08-12,99,13,21
2020-08-13,143,7,16
2020-08-14,98,11,15
2020-08-15,34,11,1
2020-08-16,29,6,3
2020-08-17,131,41,12
2020-08-18,112,27,25
2020-08-19,116,13,23
2020-08-20,90,7,16
2020-08-21,107,7,12
2020-08-22,44,3,5
2020-08-23,18,3,5
2020-08-24,100,22,15
2020-08-25,109,17,25
2020-08-26,133,14,42
2020-08-27,157,19,20
2020-08-28,94,13,16
2020-08-29,55,2,3
2020-08-30,34,1,8
2020-08-31,53,3,17
2020-09-01,94,13,15
2020-09-02,85,6,15
2020-09-03,101,10,15
2020-09-04,76,0,12
2020-09-05,35,4,1
2020-09-06,22,3,4
2020-09-07,102,4,22
2020-09-08,102,5,19
2020-09-09,105,19,31
2020-09-10,102,6,36
2020-09-11,111,13,42
2020-09-12,47,4,8
2020-09-13,22,5,2
2020-09-14,116,11,17
2020-09-15,153,12,15
2020-09-16,158,18,35
2020-09-17,139,15,25
2020-09-18,102,21,20
2020-09-19,43,4,14
2020-09-20,29,1,6
2020-09-21,121,8,30
2020-09-22,133,17,32
2020-09-23,137,14,36
2020-09-24,145,12,37
2020-09-25,97,6,22
2020-09-26,34,6,15
2020-09-27,25,2,6
2020-09-28,100,11,24
2020-09-29,130,17,26
2020-09-30,121,13,32
2020-10-01,112,19,35
2020-10-02,106,8,31
2020-10-03,46,3,6
2020-10-04,40,0,2
2020-10-05,96,14,18
2020-10-06,102,19,24
2020-10-07,91,11,23
2020-10-08,94,7,28
2020-10-09,117,10,21
2020-10-10,36,2,19
2020-10-11,30,1,26
2020-10-12,110,26,35
2020-10-13,122,24,17
2020-10-14,121,15,44
2020-10-15,116,15,63
2020-10-16,107,22,56
2020-10-17,28,9,5
2020-10-18,32,3,4
2020-10-19,157,21,51
2020-10-20,133,39,62
2020-10-21,122,23,55
2020-10-22,124,21,77
2020-10-23,135,33,57
2020-10-24,51,11,7
2020-10-25,25,3,3
2020-10-26,129,42,60
2020-10-27,146,41,61
2020-10-28,151,29,45
2020-10-29,120,34,47
2020-10-30,150,30,29
2020-10-31,52,7,6
2020-11-01,15,4,8
2020-11-02,127,15,37
2020-11-03,166,9,67
2020-11-04,132,11,28
2020-11-05,119,22,30
2020-11-06,94,7,51
2020-11-07,46,9,10
2020-11-08,30,1,5
2020-11-09,129,23,35
2020-11-10,138,12,32
2020-11-11,151,9,36
2020-11-12,109,11,30
2020-11-13,133,5,64
2020-11-14,37,2,9
2020-11-15,20,0,13
2020-11-16,101,9,22
2020-11-17,134,7,48
2020-11-18,133,15,38
2020-11-19,106,13,34
2020-11-20,99,17,31
2020-11-21,43,4,17
2020-11-22,33,0,7
2020-11-23,90,2,24
2020-11-24,110,34,61
2020-11-25,98,35,67
2020-11-26,86,2,61
2020-11-27,63,3,54
2020-11-28,20,3,6
2020-11-29,21,0,12
2020-11-30,105,36,67
2020-12-01,140,37,39
2020-12-02,126,23,54
2020-12-03,116,30,48
2020-12-04,119,45,19
2020-12-05,50,2,47
2020-12-06,40,4,7
2020-12-07,103,29,25
2020-12-08,147,13,38
2020-12-09,123,19,21
2020-12-10,137,16,32
2020-12-11,85,6,31
2020-12-12,44,1,6
2020-12-13,33,0,20
2020-12-14,122,34,51
2020-12-15,154,23,73
2020-12-16,109,13,65
2020-12-17,129,29,73
2020-12-18,115,12,25
2020-12-19,38,1,4
2020-12-20,24,1,6
2020-12-21,74,19,18
2020-12-22,86,25,17
2020-12-23,84,53,17
2020-12-24,28,2,4
2020-12-25,20,7,5
2020-12-26,13,1,5
2020-12-27,21,1,6
2020-12-28,50,24,6
2020-12-29,60,25,10
2020-12-30,73,11,6
2020-12-31,52,5,11
2021-01-01,41,15,26
2021-01-02,35,2,10
2021-01-03,20,9,4
2021-01-04,67,6,28
2021-01-05,104,16,42
2021-01-06,121,8,18
2021-01-07,136,10,23
2021-01-08,113,27,26
2021-01-09,46,0,12
