,twbs/bootstrap,ant-design/ant-design,mui/material-ui
2015-07-07,2,30,26.0
2015-07-08,1,41,13.399999999999999
2015-07-09,1,35,35.23
2015-07-10,0,14,0.7389999999999954
2015-07-11,1,12,3.6967749999999997
2015-07-12,1,11,10.1973645
2015-07-13,3,23,21.828744675000003
2015-07-14,0,33,4.480060197500001
2015-07-15,0,59,1.4367302465937515
2015-07-16,0,45,16.129074543315628
2015-07-17,1,40,9.235745949831252
2015-07-18,8,0,-1.5117095607093733
2015-07-19,0,0,-1.1655029200749984
2015-07-20,0,65,9.387348194295315
2015-07-21,0,45,8.70912301289219
2015-07-22,0,21,14.524024400710939
2015-07-23,0,11,2.933286370848437
2015-07-24,1,13,-1.316238536226562
2015-07-25,7,1,-1.578387422385936
2015-07-26,3,1,-1.028744292748435
2015-07-27,3,14,8.280361435662503
2015-07-28,4,19,4.523201833042188
2015-07-29,3,36,9.513679517682814
2015-07-30,0,39,9.038727110839062
2015-07-31,4,21,7.836753432545312
2015-08-01,2,3,-0.13748717823125034
2015-08-02,0,0,1.5856550349640632
2015-08-03,0,38,16.74161290875
2015-08-04,0,28,5.326631617859375
2015-08-05,31,14,3.7021951528328128
2015-08-06,9,21,11.0234836578625
2015-08-07,0,16,2.4468249414328134
2015-08-08,8,3,0.038854561948438615
2015-08-09,1,5,0.5782685348593763
2015-08-10,44,15,3.851701723381252
2015-08-11,13,8,0.675021913110939
2015-08-12,0,19,3.9306970602281264
2015-08-13,32,3,13.859312687868751
2015-08-14,9,14,10.82588030933125
2015-08-15,5,4,1.5550531844546867
2015-08-16,0,3,-1.6971743437109377
2015-08-17,14,31,5.941251912646877
2015-08-18,37,51,9.522999524850002
2015-08-19,72,43,4.978802692539063
2015-08-20,44,41,1.1388821236000002
2015-08-21,43,28,13.544477440835939
2015-08-22,7,16,-2.469350392242187
2015-08-23,45,11,-1.3220141725296863
2015-08-24,25,36,12.141661828606251
2015-08-25,27,30,-0.9394306873593741
2015-08-26,25,12,-0.2079365721734363
2015-08-27,15,25,0.09442315474531315
2015-08-28,2,10,-0.6960148505484359
2015-08-29,10,1,1.5275984971578136
2015-08-30,2,0,6.437631799460938
2015-08-31,3,27,-0.9841593137500001
2015-09-01,6,39,2.463239472046875
2015-09-02,36,2,2.3161658952671877
2015-09-03,9,0,0.35906813819843786
2015-09-04,0,0,-0.47760844055156226
2015-09-05,14,0,0.6847921674640629
2015-09-06,17,0,0.6643697502187506
2015-09-07,3,21,1.6627253163187503
2015-09-08,9,20,2.5788241559984377
2015-09-09,4,14,-0.5143105402968751
2015-09-10,10,14,8.706225557095312
2015-09-11,3,30,-1.090868633123438
