,apache/thrift,protocolbuffers/protobuf,apache/avro
2009-06-09,0,0,0
2009-06-10,0,4,0
2009-06-11,0,2,0
2009-06-12,0,0,0
2009-06-13,0,0,0
2009-06-14,0,1,0
2009-06-15,0,3,1
2009-06-16,0,1,0
2009-06-17,1,8,1
2009-06-18,1,0,1
2009-06-19,0,0,1
2009-06-20,0,1,0
2009-06-21,0,3,0
2009-06-22,0,4,0
2009-06-23,0,4,3
2009-06-24,1,1,0
2009-06-25,0,13,4
2009-06-26,0,0,0
2009-06-27,0,1,0
2009-06-28,0,5,0
2009-06-29,0,0,0
2009-06-30,0,2,1
2009-07-01,0,1,3
2009-07-02,3,3,5
2009-07-03,0,8,1
2009-07-04,0,2,3
2009-07-05,0,0,0
2009-07-06,0,8,1
2009-07-07,0,4,1
2009-07-08,0,10,1
2009-07-09,0,7,1
2009-07-10,0,3,0
2009-07-11,0,1,0
2009-07-12,0,0,0
2009-07-13,1,0,0
2009-07-14,1,0,3
2009-07-15,0,0,0
2009-07-16,0,0,1
2009-07-17,4,1,0
2009-07-18,0,0,1
2009-07-19,0,0,0
2009-07-20,0,4,1
2009-07-21,9,4,0
2009-07-22,0,8,1
2009-07-23,1,5,0
2009-07-24,1,1,0
2009-07-25,0,2,0
2009-07-26,0,2,0
2009-07-27,1,0,0
2009-07-28,0,0,3
2009-07-29,5,7,0
2009-07-30,1,2,0
2009-07-31,5,3,3
2009-08-01,0,8,0
2009-08-02,0,6,0
2009-08-03,1,3,0
2009-08-04,0,8,0
2009-08-05,1,6,0
2009-08-06,0,4,0
2009-08-07,0,3,0
2009-08-08,0,5,0
2009-08-09,0,0,0
2009-08-10,0,4,0
2009-08-11,0,3,0
2009-08-12,0,2,2
2009-08-13,1,1,0
2009-08-14,1,1,0
2009-08-15,0,0,0
2009-08-16,0,6,0
2009-08-17,0,2,0
2009-08-18,0,0,7
2009-08-19,0,0,0
2009-08-20,2,0,0
2009-08-21,0,0,1
2009-08-22,0,0,0
2009-08-23,0,0,0
2009-08-24,0,0,0
2009-08-25,0,3,1
2009-08-26,0,0,0
2009-08-27,1,2,1
2009-08-28,0,2,1
2009-08-29,0,1,0
2009-08-30,0,0,0
2009-08-31,0,8,1
2009-09-01,5,2,0
2009-09-02,2,2,1
2009-09-03,0,0,2
2009-09-04,0,0,3
2009-09-05,0,0,0
2009-09-06,0,2,0
2009-09-07,0,0,0
2009-09-08,0,0,1
2009-09-09,1,5,0
2009-09-10,0,0,0
2009-09-11,0,1,1
2009-09-12,0,0,0
2009-09-13,0,0,0
2009-09-14,0,0,0
2009-09-15,0,2,0
2009-09-16,2,0,0
2009-09-17,1,0,0
2009-09-18,0,0,0
2009-09-19,1,0,0
2009-09-20,0,0,0
2009-09-21,1,0,0
2009-09-22,0,0,3
2009-09-23,0,0,3
2009-09-24,1,0,3
2009-09-25,1,0,5
2009-09-26,0,1,0
2009-09-27,0,0,0
2009-09-28,0,0,0
2009-09-29,0,0,0
2009-09-30,0,0,2
2009-10-01,2,0,0
2009-10-02,1,0,0
2009-10-03,0,0,0
2009-10-04,0,0,0
2009-10-05,0,0,0
2009-10-06,0,0,2
2009-10-07,0,1,2
2009-10-08,0,0,1
2009-10-09,0,0,4
2009-10-10,0,0,0
2009-10-11,0,0,0
2009-10-12,0,2,0
2009-10-13,0,0,0
2009-10-14,0,0,2
2009-10-15,2,0,4
2009-10-16,0,0,0
2009-10-17,0,0,0
2009-10-18,0,0,0
2009-10-19,0,0,0
2009-10-20,0,0,3
2009-10-21,2,0,3
2009-10-22,0,0,2
2009-10-23,0,0,1
2009-10-24,0,0,0
2009-10-25,0,0,0
2009-10-26,0,0,0
2009-10-27,2,0,2
2009-10-28,1,0,1
2009-10-29,0,0,0
2009-10-30,0,1,1
2009-10-31,0,0,1
2009-11-01,0,0,0
2009-11-02,0,1,0
2009-11-03,1,4,2
2009-11-04,1,0,0
2009-11-05,0,0,2
2009-11-06,0,0,0
2009-11-07,0,0,1
2009-11-08,0,0,0
2009-11-09,1,0,1
2009-11-10,0,0,4
2009-11-11,2,0,3
2009-11-12,4,1,4
2009-11-13,1,0,2
2009-11-14,0,3,1
2009-11-15,0,1,0
2009-11-16,0,0,1
2009-11-17,1,0,2
2009-11-18,0,0,0
2009-11-19,1,0,4
2009-11-20,0,0,11
2009-11-21,0,0,4
2009-11-22,0,0,0
2009-11-23,0,0,0
2009-11-24,0,0,3
2009-11-25,0,1,2
2009-11-26,0,0,0
2009-11-27,0,5,0
2009-11-28,0,1,0
2009-11-29,0,0,0
2009-11-30,0,0,0
2009-12-01,0,1,2
2009-12-02,0,0,0
2009-12-03,1,0,1
2009-12-04,0,0,2
2009-12-05,0,1,1
2009-12-06,0,3,0
2009-12-07,2,4,0
2009-12-08,1,0,1
2009-12-09,3,0,1
2009-12-10,0,0,1
2009-12-11,0,2,0
2009-12-12,0,0,0
2009-12-13,0,0,0
2009-12-14,0,0,0
2009-12-15,0,0,4
2009-12-16,0,0,0
2009-12-17,0,0,0
2009-12-18,2,7,0
2009-12-19,0,1,0
2009-12-20,0,1,0
2009-12-21,0,7,0
2009-12-22,0,9,0
2009-12-23,0,9,0
2009-12-24,0,1,0
2009-12-25,0,0,0
2009-12-26,0,0,0
2009-12-27,0,0,0
2009-12-28,1,0,0
2009-12-29,0,4,3
2009-12-30,0,3,1
2009-12-31,2,1,7
2010-01-01,0,4,0
2010-01-02,0,2,0
2010-01-03,0,1,0
2010-01-04,0,5,1
2010-01-05,0,3,2
2010-01-06,2,2,1
2010-01-07,0,3,2
2010-01-08,0,4,5
2010-01-09,0,3,1
2010-01-10,0,0,4
2010-01-11,3,1,1
2010-01-12,0,4,8
2010-01-13,0,1,5
2010-01-14,0,2,7
2010-01-15,5,3,3
2010-01-16,1,3,3
2010-01-17,0,1,0
2010-01-18,0,0,5
2010-01-19,1,2,5
2010-01-20,0,2,4
2010-01-21,1,1,2
2010-01-22,0,0,8
2010-01-23,0,0,1
2010-01-24,0,0,0
2010-01-25,1,0,2
2010-01-26,1,0,9
2010-01-27,0,0,2
2010-01-28,0,1,1
2010-01-29,0,1,4
2010-01-30,0,0,0
2010-01-31,0,0,0
2010-02-01,0,2,0
2010-02-02,0,0,6
2010-02-03,0,0,3
2010-02-04,0,0,11
2010-02-05,0,2,1
2010-02-06,0,0,4
2010-02-07,0,0,0
2010-02-08,0,2,1
2010-02-09,0,1,5
2010-02-10,3,1,1
2010-02-11,0,0,1
2010-02-12,1,0,0
2010-02-13,0,0,0
2010-02-14,0,0,0
2010-02-15,1,0,2
2010-02-16,1,1,5
2010-02-17,4,0,0
2010-02-18,5,3,0
2010-02-19,1,0,8
2010-02-20,0,0,1
2010-02-21,0,0,1
2010-02-22,0,0,0
2010-02-23,2,1,4
2010-02-24,0,0,0
2010-02-25,0,0,3
2010-02-26,2,0,0
2010-02-27,1,0,0
2010-02-28,1,0,0
