,huggingface/transformers,tensorflow/models,pytorch/vision
2022-12-29,4,1.0,0
2022-12-30,3,-0.3999999999999999,0
2022-12-31,4,-0.12,0
2023-01-01,0,-0.064,0
2023-01-02,1,0.9583999999999999,0
2023-01-03,15,3.570048,0
2023-01-04,18,3.2570368000000003,2
2023-01-05,8,-0.5623705599999997,1
2023-01-06,4,0.2872442880000001,1
2023-01-07,1,0.43084984319999986,0
2023-01-08,5,0.4812287999999998,0
2023-01-09,2,1.48881664,0
2023-01-10,2,2.085442048,2
2023-01-11,2,3.5576957952000003,2
2023-01-12,5,-0.4247427071999996,4
2023-01-13,3,3.4623262720000003,0
2023-01-14,3,-3.5388312575999996,0
2023-01-15,2,-0.4429464576000002,0
2023-01-16,11,-1.2913842176,3
2023-01-17,18,1.2582191103999998,1
2023-01-18,14,3.6781577216,0
2023-01-19,19,6.383382220800001,1
2023-01-20,17,0.40956856320000057,3
2023-01-21,1,-1.6354919423999998,0
2023-01-22,0,-2.3390635008,0
2023-01-23,22,1.8547578879999995,1
2023-01-24,12,5.0300767232,1
2023-01-25,14,0.27820697600000033,0
2023-01-26,10,0.9265700864000004,3
2023-01-27,5,4.009028608,5
2023-01-28,0,-3.144759091199999,0
2023-01-29,0,-0.035255808000000055,0
2023-01-30,12,6.1043416064,3
2023-01-31,10,-3.1809218559999994,2
2023-02-01,7,0.9509165056,5
2023-02-02,12,4.6704134144000005,3
2023-02-03,11,-3.8800765952,0
2023-02-04,0,-1.5347955712,0
2023-02-05,0,-0.9279415296000002,0
2023-02-06,13,4.4059067392,3
2023-02-07,18,2.5562338304000005,4
2023-02-08,10,1.0666049536000006,5
2023-02-09,12,0.2931407872000005,8
2023-02-10,20,2.6475155456,5
2023-02-11,0,-1.0633470976,0
2023-02-12,1,-2.0229760000000003,0
2023-02-13,20,1.9887232,12
2023-02-14,14,-1.8853401600000002,10
2023-02-15,10,4.124898816,11
2023-02-16,10,1.4535546880000005,8
2023-02-17,7,-0.5592389631999994,8
2023-02-18,0,-1.8407701503999998,0
2023-02-19,0,-0.8671918080000003,0
2023-02-20,9,0.47513200639999975,0
2023-02-21,8,2.2367088639999997,4
2023-02-22,12,2.3979959296000004,2
2023-02-23,10,-0.21918719999999947,5
2023-02-24,12,3.3250452480000003,17
2023-02-25,1,-2.7322560512,0
2023-02-26,0,-1.0328155136000001,0
2023-02-27,13,3.3897318399999996,9
2023-02-28,17,0.969975808,0
2023-03-01,19,2.9925660672000003,7
2023-03-02,23,0.13342556160000063,1
2023-03-03,16,-1.3317568511999998,3
2023-03-04,5,-1.4259828736000002,0
2023-03-05,0,-0.7656995840000004,0
2023-03-06,15,0.5190681599999998,0
2023-03-07,13,3.2379934720000003,1
2023-03-08,13,2.9926458368000004,3
2023-03-09,16,0.2637520896000005,2
2023-03-10,11,-1.2254284799999997,4
2023-03-11,1,0.6700978175999999,0
2023-03-12,0,-1.4755693568000001,0
2023-03-13,25,5.31121664,1
2023-03-14,13,0.13709004800000058,2
2023-03-15,5,-0.2673154047999997,1
2023-03-16,12,2.1910499328000004,2
2023-03-17,13,-0.4553548799999998,0
2023-03-18,0,-1.8028033024,0
2023-03-19,0,-0.8499447808000002,0
2023-03-20,12,2.4409867264,0
2023-03-21,8,0.4050196480000001,0
2023-03-22,16,3.5292460032,3
2023-03-23,13,2.3798854656000006,4
2023-03-24,12,1.0242397184000005,3
2023-03-25,0,-1.7745600512,0
2023-03-26,0,-1.5623899136000001,0
2023-03-27,17,2.1652019199999994,4
2023-03-28,3,2.222815744,0
2023-03-29,14,-1.3967826943999997,0
2023-03-30,10,3.6129675264000003,1
2023-03-31,5,0.2629852160000006,2
2023-04-01,0,-2.2632401919999996,0
2023-04-02,0,-0.9766459392000001,0
2023-04-03,19,0.41028536319999964,2
2023-04-04,14,3.1835274239999998,1
2023-04-05,13,2.9579401216,2
2023-04-06,13,4.2289092608,2
2023-04-07,11,-0.8412883967999996,2
2023-04-08,0,-1.66580992,0
2023-04-09,0,-1.5971656704000003,0
2023-04-10,8,0.1368166399999996,0
2023-04-11,7,1.9980820479999999,0
2023-04-12,11,3.2225277952000004,0
2023-04-13,15,1.2215932928000006,1
2023-04-14,12,-0.6817556479999993,2
2023-04-15,1,-1.9081767935999998,0
2023-04-16,0,-0.8703693824000003,0
2023-04-17,14,4.4557816832,0
2023-04-18,10,6.611908608,1
2023-04-19,10,-1.5018748927999992,0
2023-04-20,18,-1.8335816703999996,0
2023-04-21,21,3.2946452479999997,3
2023-04-22,1,-2.9176640512,0
2023-04-23,1,-1.1987803136000004,0
2023-04-24,19,0.25002239999999987,0
2023-04-25,9,-0.9479552000000001,0
2023-04-26,11,1.451772928,0
2023-04-27,10,0.8421628928000002,0
2023-04-28,10,-0.22700298239999972,0
2023-04-29,1,0.1134712832000001,0
2023-04-30,0,0.18184601599999994,0
2023-05-01,7,2.25452544,1
2023-05-02,10,1.453413888,6
2023-05-03,17,0.20898232320000032,7
2023-05-04,12,-0.5135677439999999,1
2023-05-05,6,-1.0839934976,0
2023-05-06,1,-0.5447417856000002,0
2023-05-07,3,-0.35227002880000013,0
2023-05-08,6,1.7465408511999998,3
2023-05-09,13,1.0107446272000002,4
2023-05-10,14,-0.1835659263999998,4
2023-05-11,20,1.1449235456000002,5
2023-05-12,10,0.8280479744,1
2023-05-13,0,-1.2599021568,1
2023-05-14,0,-0.5154304000000001,0
2023-05-15,11,0.6761804799999999,4
2023-05-16,20,2.366880256,2
2023-05-17,15,1.4998913024000002,1
2023-05-18,15,4.2525804544,2
2023-05-19,13,-3.0734507007999996,1
2023-05-20,1,-0.12265973760000004,1
2023-05-21,0,-1.0472155136,0
2023-05-22,12,0.45328383999999966,3
2023-05-23,14,0.21713100799999996,2
2023-05-24,17,-0.8127561727999999,5
2023-05-25,7,-0.4080369664,1
2023-05-26,7,0.7421080576,1
2023-05-27,0,0.4332884992,1
2023-05-28,0,-0.588070912,0
2023-05-29,0,4.7618680831999995,0
2023-05-30,14,0.8608737280000005,3
2023-05-31,29,0.10049413120000028,4
2023-06-01,12,-1.5457133567999999,1
2023-06-02,8,-0.6813337600000002,1
2023-06-03,0,-0.4360862720000002,0
2023-06-04,0,-0.3158258688000002,0
