,rust-lang/rust,swiftlang/swift,golang/go
2014-09-17,61,47,13.0
2014-09-18,30,52,12.7
2014-09-19,21,36,20.014999999999997
2014-09-20,18,4,-3.2005000000000026
2014-09-21,12,9,-0.6576125000000002
2014-09-22,43,27,5.774207250000002
2014-09-23,19,50,3.4036843375000023
2014-09-24,34,26,19.473445273750002
2014-09-25,31,20,12.885573408296874
2014-09-26,21,15,17.664542967314063
2014-09-27,16,12,-2.9758785843468765
2014-09-28,9,29,-1.3034987895406238
2014-09-29,47,26,12.434414000734378
2014-09-30,37,37,19.42747171260469
2014-10-01,40,32,8.232192395920313
2014-10-02,67,32,5.677390511492188
2014-10-03,43,25,6.052009704745314
2014-10-04,22,12,1.313218577346877
2014-10-05,27,7,-1.04532458752031
2014-10-06,25,26,16.62129331194844
2014-10-07,29,25,10.165626047745313
2014-10-08,23,25,10.054129960653125
2014-10-09,48,38,7.998974609271874
2014-10-10,12,34,-0.7829341138218742
2014-10-11,25,11,1.1565447125359392
2014-10-12,23,3,-0.5435030961359353
2014-10-13,41,16,3.8572383318406276
2014-10-14,22,23,4.654938049432815
2014-10-15,28,44,17.4877113964
2014-10-16,27,17,7.236559414079687
2014-10-17,21,14,6.578460793860937
2014-10-18,17,7,-0.25402585517656284
2014-10-19,16,3,3.4983055971312513
2014-10-20,15,24,14.471451323126564
2014-10-21,23,15,4.397989167385938
2014-10-22,20,8,7.809319755476563
2014-10-23,21,22,0.6318678624875003
2014-10-24,19,29,7.25788763041094
2014-10-25,26,8,-0.980606297499999
2014-10-26,21,12,-0.27072923010468575
2014-10-27,53,20,16.04107250235
2014-10-28,41,20,18.587823980320312
2014-10-29,24,17,18.589003918315623
2014-10-30,45,9,12.027506450842186
2014-10-31,37,19,5.218422006843749
2014-11-01,18,14,-1.0904643334984363
2014-11-02,30,14,-1.1740326445890599
2014-11-03,76,18,6.385369235698441
2014-11-04,24,14,1.9605774299484402
2014-11-05,34,15,6.2267556660609396
2014-11-06,69,20,12.056267957901564
2014-11-07,40,25,1.4805481947093755
2014-11-08,18,16,-0.7254298627156246
2014-11-09,31,15,5.8801169048953135
2014-11-10,18,13,11.5550273619125
2014-11-11,18,40,23.813599258339064
2014-11-12,32,35,12.151888682649998
2014-11-13,20,18,3.380644038231249
2014-11-14,20,29,18.19888624999375
2014-11-15,14,16,-1.8768277213156241
2014-11-16,42,6,1.6139387405906271
2014-11-17,62,29,7.9471870801046895
2014-11-18,42,27,8.534061910545315
2014-11-19,73,33,3.3286288011265643
2014-11-20,38,38,6.779595189565626
2014-11-21,55,47,10.784756522065626
2014-11-22,18,17,1.4009830164203132
2014-11-23,46,4,-0.9142666892859364
2014-11-24,25,11,2.7560469428656265
2014-11-25,36,2,2.697055475950002
2014-11-26,33,2,-1.2749280085312484
