,highcharts/highcharts,apache/echarts,plotly/plotly.js
2017-07-31,6,0.0,0
2017-08-01,8,1.0,8
2017-08-02,12,0.8,8
2017-08-03,13,1.72,3
2017-08-04,11,-0.528,10
2017-08-05,1,-0.2416000000000002,13
2017-08-06,0,-0.1551360000000001,0
2017-08-07,13,1.8868352,9
2017-08-08,13,3.51157248,8
2017-08-09,5,-1.0321720319999999,0
2017-08-10,9,3.5232894975999995,5
2017-08-11,4,2.8995552256000003,2
2017-08-12,0,2.6695892992,0
2017-08-13,0,-1.4550016000000003,0
2017-08-14,9,3.2380313599999995,16
2017-08-15,1,5.674973696,11
2017-08-16,13,-0.12074874879999964,3
2017-08-17,8,-1.4534434816000006,0
2017-08-18,9,1.1626270719999998,0
2017-08-19,0,-1.0084791295999997,0
2017-08-20,0,3.4049045504,0
2017-08-21,16,4.792342118400001,2
2017-08-22,7,5.195904512,1
2017-08-23,14,2.6924831744000004,2
2017-08-24,7,3.8606815232,2
2017-08-25,18,-1.2985361408000005,1
2017-08-26,0,-1.4189066240000006,0
2017-08-27,0,-0.9299703808000004,0
2017-08-28,15,-0.679392768,2
2017-08-29,17,4.4563492864,0
2017-08-30,25,0.5917275136000009,2
2017-08-31,31,4.9187868672,1
2017-09-01,16,0.23440025600000047,3
2017-09-02,0,-1.2332038144000002,0
2017-09-03,0,-0.6553493504000004,0
2017-09-04,13,0.5491839999999998,0
2017-09-05,15,-0.5459072000000001,7
2017-09-06,11,4.6405632,5
2017-09-07,2,-1.2815400959999996,1
2017-09-08,4,7.4212815872,1
2017-09-09,0,-1.9691275263999994,0
2017-09-10,0,-0.8533675008000006,0
2017-09-11,11,1.4713932799999996,1
2017-09-12,15,-0.7853317120000001,2
2017-09-13,21,1.5386090495999998,25
2017-09-14,21,1.2686310400000003,3
2017-09-15,14,5.175039488,6
2017-09-16,4,-1.6221736959999995,0
2017-09-17,0,-0.7838124032000002,0
2017-09-18,13,-0.44012544000000026,3
2017-09-19,9,-0.322305024,15
2017-09-20,15,-0.2528657408,23
2017-09-21,4,-0.18520166399999996,4
2017-09-22,5,0.8447255552000001,28
2017-09-23,0,-0.31126497279999954,0
2017-09-24,0,-0.15481610239999985,0
2017-09-25,9,4.952,9
2017-09-26,25,3.9664,2
2017-09-27,14,2.574464,10
2017-09-28,36,1.5395711999999997,15
2017-09-29,41,-1.3449267200000004,3
2017-09-30,16,-0.7420677120000004,5
2017-10-01,3,-0.5206933504000003,0
2017-10-02,42,-0.3897216000000002,8
2017-10-03,19,-0.31489535999999985,20
2017-10-04,24,-0.2632785919999996,23
2017-10-05,13,-0.17067775999999962,27
2017-10-06,9,-0.09304053759999967,19
2017-10-07,11,-0.03740805119999989,0
2017-10-08,3,0.0,0
2017-10-09,0,2.0,12
2017-10-10,3,1.6,9
2017-10-11,1,4.4399999999999995,0
2017-10-12,7,11.744,5
2017-10-13,11,-0.16320000000000023,1
2017-10-14,3,1.0017279999999988,0
2017-10-15,13,-1.7239296000000006,1
2017-10-16,7,2.9768089599999996,14
2017-10-17,10,0.4584591359999999,9
2017-10-18,12,-0.3013301248000002,14
2017-10-19,13,-1.0068190208,14
2017-10-20,9,2.3281464320000005,19
2017-10-21,1,-1.0733888511999994,0
2017-10-22,3,2.5130416128,0
2017-10-23,6,1.0844914688,23
2017-10-24,1,2.147366912,14
2017-10-25,0,-1.0761875455999999,7
2017-10-26,1,1.4625871871999998,13
2017-10-27,0,0.24894248959999987,8
2017-10-28,3,-0.6163215360000001,0
2017-10-29,4,-0.38165381120000014,0
2017-10-30,11,1.746497024,1
2017-10-31,11,5.3983643648,15
2017-11-01,13,11.5055045632,6
2017-11-02,9,-0.2676902912000001,25
2017-11-03,13,7.959097855999999,4
2017-11-04,4,-1.1559984128000003,0
2017-11-05,6,3.012657049599999,0
2017-11-06,7,6.77080576,1
2017-11-07,4,-1.104518144,0
2017-11-08,7,6.9248412672,1
2017-11-09,8,-0.12799651839999893,0
2017-11-10,11,7.738530508799999,0
2017-11-11,2,-2.2863066111999997,0
2017-11-12,0,2.0805662719999996,0
2017-11-13,5,1.0193006591999998,4
2017-11-14,8,-0.7901567999999997,6
2017-11-15,15,1.7244135424,15
2017-11-16,5,0.6065677312000002,12
2017-11-17,0,-0.23602728959999997,8
2017-11-18,0,-0.8941350911999996,0
2017-11-19,0,-0.5704104959999998,0
2017-11-20,6,0.6669628416000002,6
2017-11-21,4,-0.4559256575999997,2
2017-11-22,5,-0.24896952319999996,3
2017-11-23,2,0.8420852736000002,2
2017-11-24,0,0.6832898048000002,4
2017-11-25,0,-0.3448624127999999,0
2017-11-26,0,-0.16089815040000008,0
2017-11-27,9,4.90147328,8
2017-11-28,1,5.926476288,6
2017-11-29,3,4.1415658496,1
2017-11-30,0,-1.0373555200000002,0
2017-12-01,2,0.7846855679999993,1
2017-12-02,0,1.8422629375999997,0
2017-12-03,0,-1.3029653504,0
2017-12-04,10,4.2495487999999995,1
2017-12-05,25,1.4502656000000003,1
2017-12-06,11,5.563078144,1
2017-12-07,15,-0.18800404479999955,11
2017-12-08,5,3.5436563455999996,14
2017-12-09,0,2.1834950656,1
2017-12-10,0,-1.7780538368000003,0
2017-12-11,8,2.0107199487999994,19
2017-12-12,12,-0.27679231999999976,1
2017-12-13,1,-0.966934528,0
2017-12-14,15,5.3997365248,0
2017-12-15,13,2.3687903232000007,17
2017-12-16,0,-1.5547921408,1
2017-12-17,0,-0.8147200000000001,0
2017-12-18,10,1.4853136383999999,13
2017-12-19,16,18.252294144,8
2017-12-20,11,5.763487436800001,6
2017-12-21,7,8.188255129599998,1
2017-12-22,12,-3.333233152,6
