,MonoGame/MonoGame,godotengine/godot,4ian/GDevelop
2013-10-30,-0.06533191679999995,0,2
2013-10-31,-0.816630272,0,3
2013-11-01,-0.38178426880000005,0,2
2013-11-02,-0.2426656768000001,0,2
2013-11-03,-0.16855654400000006,0,0
2013-11-04,-0.1317861376,0,2
2013-11-05,0.9146993664,0,0
2013-11-06,-0.4486819839999999,0,0
2013-11-07,-0.1607520256,0,0
2013-11-08,1.9232018432,0,0
2013-11-09,-0.8415999999999999,0,0
2013-11-10,0.730048,0,0
2013-11-11,3.4490368,0,0
2013-11-12,-1.8215705599999996,0,2
2013-11-13,-0.619059712,0,0
2013-11-14,-0.3563245568000001,0,0
2013-11-15,-0.2330931200000002,0,0
2013-11-16,-0.17308262400000007,0,0
2013-11-17,-0.13581967360000002,0,0
2013-11-18,1.911362048,0,0
2013-11-19,0.12657899520000027,0,0
2013-11-20,-0.6911926272,0,0
2013-11-21,3.752,0,0
2013-11-22,0.25280000000000014,0,0
2013-11-23,-1.3815039999999998,0,0
2013-11-24,1.4281215999999999,0,3
2013-11-25,-1.15410432,0,0
2013-11-26,0.5083100159999998,0,0
2013-11-27,-0.7205088256,0,0
2013-11-28,0.6645932031999999,0,1
2013-11-29,0.37873203200000005,0,0
2013-11-30,-0.6890304512,0,0
2013-12-01,-0.2762894336,0,0
2013-12-02,1.841125376,0,0
2013-12-03,2.0844811264,0,0
2013-12-04,0.49192908800000024,0,0
2013-12-05,1.6578680832000001,0,0
2013-12-06,-1.7487262719999999,0,0
2013-12-07,-0.7006578688000001,0,0
2013-12-08,0.5762194431999998,0,0
2013-12-09,2.30966528,0,0
2013-12-10,0.45879449600000033,0,0
2013-12-11,-1.4006941696,0,0
2013-12-12,-0.5974175744,0,0
2013-12-13,0.6461845503999999,0,1
2013-12-14,-0.6344136704000001,0,0
2013-12-15,-0.26716416000000004,0,0
2013-12-16,-0.180193792,0,3
2013-12-17,-0.13660641280000002,0,0
2013-12-18,1.9013421056,0,0
2013-12-19,-0.8485595135999998,0,0
2013-12-20,-0.25837055999999997,0,0
2013-12-21,-0.143155712,0,0
2013-12-22,-0.0959981568000001,0,0
2013-12-23,-0.059904000000000034,0,0
2013-12-24,-0.04592640000000001,0,1
2013-12-25,0.96325888,0,0
2013-12-26,-0.4303114239999999,0,2
2013-12-27,-0.1455963136,0,3
2013-12-28,-0.064,0,0
2013-12-29,-0.04160000000000005,0,4
2013-12-30,-0.029952000000000017,0,0
2013-12-31,-0.022963200000000007,0,0
2014-01-01,-0.018370559999999994,0,0
2014-01-02,-0.015155711999999993,0,1
2014-01-03,3.9872018432,0,0
2014-01-04,-1.5999999999999996,1,5
2014-01-05,-0.48,0,0
2014-01-06,4.744,0,0
2014-01-07,8.8336,0,0
2014-01-08,2.880192000000001,0,0
2014-01-09,-2.9318527999999997,0,0
2014-01-10,-2.74548224,0,0
2014-01-11,-1.4199828480000005,0,0
2014-01-12,-0.9562806272000005,0,0
2014-01-13,3.3327359999999997,0,0
2014-01-14,-2.1214643199999994,0,0
2014-01-15,0.09640550400000014,0,0
2014-01-16,3.0452334592000003,0,0
2014-01-17,4.9809033216,0,0
2014-01-18,2.5105956864000003,0,0
2014-01-19,0.37054720000000074,0,0
2014-01-20,5.96216576,0,0
2014-01-21,2.041405952,0,0
2014-01-22,-4.7566799872,0,0
2014-01-23,-2.0114923520000003,0,0
2014-01-24,0.7179978751999996,0,0
2014-01-25,-1.7201267712000003,0,0
2014-01-26,0.08966359039999983,0,0
2014-01-27,4.0085107712,0,0
2014-01-28,-2.5193879551999996,0,0
2014-01-29,0.05482260480000001,0,0
2014-01-30,8.1028865024,0,0
2014-01-31,-3.9946931199999995,0,0
2014-02-01,-0.3470346240000002,0,0
2014-02-02,0.8236171263999998,0,0
2014-02-03,7.568639488,0,0
2014-02-04,-1.2851079167999995,0,3
2014-02-05,-2.738630144,0,0
2014-02-06,-1.2296427520000002,0,3
2014-02-07,0.20153323519999966,0,0
2014-02-08,-0.9738483712000001,0,0
2014-02-09,-0.4684216320000001,0,0
2014-02-10,0.6586657792000001,10,0
2014-02-11,-0.6587094015999999,8,0
2014-02-12,3.6893974528,2,0
2014-02-13,-1.7253576703999998,11,1
2014-02-14,-0.53997056,9,0
2014-02-15,-0.301107712,4,0
2014-02-16,3.7978386432,3,0
2014-02-17,0.2618214400000003,5,0
2014-02-18,-0.38700851199999997,7,0
2014-02-19,-0.9822803967999999,6,0
2014-02-20,1.524977152,1,0
2014-02-21,3.8817993727999998,14,0
2014-02-22,-2.4333567999999994,4,0
2014-02-23,-0.87736064,9,0
2014-02-24,2.476472832,3,3
2014-02-25,7.4322213888,3,0
2014-02-26,10.8035615744,12,2
2014-02-27,3.5636447232000013,3,0
2014-02-28,-4.022964223999999,4,0
2014-03-01,-2.0456308736000004,0,0
2014-03-02,9.109551616,0,0
2014-03-03,3.599339520000001,0,2
2014-03-04,-6.5775221759999996,0,0
2014-03-05,6.1559945216,3,0
2014-03-06,8.587411148800001,1,0
2014-03-07,9.084852736,2,0
2014-03-08,-9.854066380799999,3,0
2014-03-09,1.1708153855999996,0,0
2014-03-10,12.6688615424,0,1
2014-03-11,-2.0383318016,7,0
2014-03-12,44.716014592,9,0
2014-03-13,6.6800363520000055,2,0
2014-03-14,-15.064622899199996,5,0
2014-03-15,-10.216021299200001,1,0
2014-03-16,-4.551059865600003,0,0
2014-03-17,-4.044372480000002,1,0
2014-03-18,-2.847915008000001,1,0
2014-03-19,0.8367867904000001,3,0
2014-03-20,-2.7700612095999992,0,0
2014-03-21,-1.5891821567999997,0,0
2014-03-22,-0.6746864639999999,0,0
2014-03-23,1.7928386559999998,0,0
2014-03-24,1.0949882880000001,1,0
2014-03-25,12.8783122432,0,0
2014-03-26,5.976888320000001,0,0
2014-03-27,4.2633328640000006,3,3
2014-03-28,-3.917498470399998,1,0
2014-03-29,-2.9762304000000004,0,0
2014-03-30,-2.465195520000001,0,0
2014-03-31,2.4824386559999994,7,5
2014-04-01,-0.7069259776000001,3,0
2014-04-02,3.8777257984,1,1
2014-04-03,5.442039500800001,7,0
2014-04-04,-0.012765593599999292,0,0
2014-04-05,-3.8716254207999996,19,1
2014-04-06,-1.6309069824000004,4,0
2014-04-07,7.9936812031999995,0,1
2014-04-08,7.687288832,0,0
2014-04-09,-0.42815621119999925,0,1
2014-04-10,30.1873183744,6,1
2014-04-11,-10.167443148799997,0,0
2014-04-12,-7.943729971200001,0,0
2014-04-13,3.1603164159999997,0,0
2014-04-14,3.739394559999999,0,0
2014-04-15,-2.232547328,2,0
2014-04-16,1.4813006847999999,0,2
2014-04-17,9.2275390464,2,1
2014-04-18,4.122473779200001,2,2
2014-04-19,7.000419840000001,2,0
2014-04-20,6.882540339200002,0,0
2014-04-21,10.906610176000001,0,1
2014-04-22,13.3642220544,3,0
2014-04-23,-1.5349384191999995,1,2
2014-04-24,14.1462468608,7,1
2014-04-25,27.0493043712,0,0
2014-04-26,-2.930604339199995,2,1
2014-04-27,13.2577782784,1,0
2014-04-28,-0.5902167039999995,2,4
2014-04-29,32.0462881792,2,1
2014-04-30,0.3374231552000033,2,1
2014-05-01,-7.288576204800002,5,0
2014-05-02,5.898104012800001,4,0
2014-05-03,-15.1115286528,0,0
2014-05-04,-0.9297900544000015,0,0
2014-05-05,6.4581476352,5,0
2014-05-06,-2.6954641407999986,10,0
2014-05-07,4.888439296000001,3,0
2014-05-08,27.6550775808,6,1
2014-05-09,1.2286212096000035,0,1
2014-05-10,-3.7999247359999977,2,0
2014-05-11,14.2483006464,4,0
2014-05-12,-2.1346820096000005,4,1
2014-05-13,9.3805689856,3,0
2014-05-14,-0.01831372800000075,2,1
2014-05-15,13.2401437696,0,0
2014-05-16,-3.660743782399999,0,0
2014-05-17,2.4882217983999997,0,0
2014-05-18,14.968146432000001,0,0
2014-05-19,-3.5480450047999987,0,0
2014-05-20,18.711755264,7,0
2014-05-21,-3.3617378303999956,6,0
2014-05-22,-4.684691660799999,3,0
2014-05-23,-5.177950515199999,0,0
2014-05-24,-0.4194775040000014,3,0
2014-05-25,2.0080891904,2,2
2014-05-26,-2.410693427199999,1,0
2014-05-27,7.2627617792,0,2
2014-05-28,0.7894493184000009,3,0
2014-05-29,13.756546048,2,1
2014-05-30,12.354302668800003,0,2
2014-05-31,-5.187945062399997,2,0
2014-06-01,10.6868318208,0,0
2014-06-02,-8.6506912768,2,2
2014-06-03,-6.115000422400001,0,0
2014-06-04,8.5630143488,4,0
2014-06-05,22.8075956224,0,0
2014-06-06,-7.1456159743999965,0,0
2014-06-07,-2.8456657919999984,0,0
2014-06-08,18.3872664576,0,0
2014-06-09,2.7151205376000007,0,0
