,llvm/llvm-project,golang/go,gcc-mirror/gcc
2012-05-03,78,7.0,40
2012-05-04,74,12.200000000000001,26
2012-05-05,20,-6.839999999999999,7
2012-05-06,19,-2.2479999999999998,14
2012-05-07,67,5.748799999999999,24
2012-05-08,75,-1.6336640000000004,16
2012-05-09,63,1.7499775999999998,28
2012-05-10,59,1.2389580800000002,22
2012-05-11,68,-0.8808483840000001,19
2012-05-12,40,-2.1457867775999997,7
2012-05-13,20,-0.07501875200000008,9
2012-05-14,39,6.01127168,20
2012-05-15,75,10.642308096,52
2012-05-16,79,-0.8491375615999992,22
2012-05-17,49,3.2247721984,14
2012-05-18,44,-0.28570859519999914,13
2012-05-19,45,-3.2405312512,5
2012-05-20,33,0.6143627263999996,8
2012-05-21,41,2.382253568,32
2012-05-22,53,24.6145288192,19
2012-05-23,44,-2.7790560255999974,14
2012-05-24,71,13.633359052800001,22
2012-05-25,50,-6.402706636799998,20
2012-05-26,17,-6.259983974400001,8
2012-05-27,27,-3.031730176,3
2012-05-28,42,4.088192307199998,7
2012-05-29,50,18.2492752896,33
2012-05-30,60,16.497441280000004,18
2012-05-31,53,-7.531389030399996,30
2012-06-01,67,-3.947745791999999,19
2012-06-02,31,2.6677085183999996,4
2012-06-03,16,0.16324638719999918,6
2012-06-04,53,15.9438426112,25
2012-06-05,60,-3.8479966207999965,20
2012-06-06,71,5.051590246400001,15
2012-06-07,49,5.8907339776,11
2012-06-08,61,-0.9749796863999993,6
2012-06-09,28,-7.7279852544,7
2012-06-10,12,-2.6545925120000007,1
2012-06-11,38,0.20149268479999938,20
2012-06-12,29,-1.0121788416000004,45
2012-06-13,42,13.5203615744,31
2012-06-14,50,-2.6552367103999988,30
2012-06-15,87,-1.7617987583999994,25
2012-06-16,33,-3.34839296,3
2012-06-17,40,-1.6079475712000009,14
2012-06-18,34,1.0045742079999995,26
2012-06-19,72,5.4630223872,21
2012-06-20,103,-2.607306854399999,24
2012-06-21,69,-0.7968301055999998,9
2012-06-22,93,1.6131392512000002,20
2012-06-23,28,-0.8445619200000001,4
2012-06-24,23,8.8404151296,5
2012-06-25,47,15.41896448,27
2012-06-26,52,-4.600620543999998,23
2012-06-27,63,1.6555239424000003,18
2012-06-28,77,-1.3179549695999997,17
2012-06-29,75,-1.9975487488000008,18
2012-06-30,16,3.1586921471999996,3
2012-07-01,9,-2.0334797823999997,4
2012-07-02,97,3.3293535232,16
2012-07-03,50,4.089300992000001,25
2012-07-04,31,-3.9096924159999995,13
2012-07-05,40,-0.2964014079999999,17
2012-07-06,80,-1.0662342656,19
2012-07-07,25,-1.4541658112000004,5
