,rust-lang/rust,python/cpython,JuliaLang/julia
2022-06-16,89,11.0,9
2022-06-17,68,13.899999999999999,11
2022-06-18,71,5.004999999999998,3
2022-06-19,69,9.311499999999999,7
2022-06-20,100,4.9302125,9
2022-06-21,84,23.11827825,10
2022-06-22,105,9.3403291125,7
2022-06-23,105,10.71593440375,4
2022-06-24,65,9.616787275578126,4
2022-06-25,74,6.611770165620314,1
2022-06-26,94,11.937343024601564,2
2022-06-27,98,6.609957652826564,5
2022-06-28,140,9.937938862245314,3
2022-06-29,115,6.779871230607814,6
2022-06-30,165,8.998117707398439,16
2022-07-01,106,9.012144108564064,2
2022-07-02,117,0.9948808452937516,0
2022-07-03,74,0.7989634681265643,6
2022-07-04,84,4.259326154406252,3
2022-07-05,107,12.21214490555469,22
2022-07-06,128,2.4911912929375006,12
2022-07-07,97,10.076608781876564,7
2022-07-08,125,4.619094063453125,7
2022-07-09,70,4.932057690881251,5
2022-07-10,50,1.0627403537562508,3
2022-07-11,116,5.543835548309376,3
2022-07-12,65,3.3237332542984386,10
2022-07-13,97,4.444283121315626,13
2022-07-14,103,9.41001130691875,7
2022-07-15,97,3.9679082698828125,5
2022-07-16,68,4.232963917209375,5
2022-07-17,77,4.360755914889063,5
2022-07-18,108,13.404049156951563,7
2022-07-19,94,4.531125445032813,8
2022-07-20,171,13.915346652170314,10
2022-07-21,111,2.136417625476562,6
2022-07-22,81,12.8726831891125,7
2022-07-23,63,5.1372797415109375,6
2022-07-24,109,5.567287391690627,4
2022-07-25,112,14.684976975440627,7
2022-07-26,114,13.8393128658,6
2022-07-27,97,10.463678568351563,3
2022-07-28,115,12.591482355248438,1
2022-07-29,97,6.351378750596876,4
2022-07-30,85,2.876188122085939,5
2022-07-31,77,1.4157071753359398,0
2022-08-01,85,13.932681126837503,3
2022-08-02,96,1.9817938471968768,3
2022-08-03,103,7.709511738123439,8
2022-08-04,134,18.553793359670312,4
2022-08-05,65,9.451847018746875,3
2022-08-06,72,4.75954450176875,5
2022-08-07,63,-2.6670741384531245,3
2022-08-08,72,8.342444430221878,3
2022-08-09,111,3.7911587253562518,7
2022-08-10,97,5.005619819346877,5
2022-08-11,76,12.074314823414063,5
2022-08-12,109,4.3729377500625,4
2022-08-13,61,4.795843957542188,2
2022-08-14,57,1.027310287907813,1
2022-08-15,80,6.526307892212501,4
2022-08-16,106,6.240848604843751,4
2022-08-17,88,7.093722797796876,11
2022-08-18,104,10.972378108675,8
2022-08-19,89,9.490811438779687,6
2022-08-20,79,-1.6374380378624998,5
2022-08-21,117,3.4102561523890635,1
2022-08-22,133,3.417794173201564,7
2022-08-23,134,8.48008150576719,3
2022-08-24,87,7.003749746837501,5
2022-08-25,67,7.932602911321876,3
2022-08-26,112,7.779839640473438,8
2022-08-27,92,4.705382652095313,0
2022-08-28,80,-0.01376308719687458,2
2022-08-29,87,11.604995226135939,14
2022-08-30,100,16.72347659724219,16
2022-08-31,124,1.7830542159140625,21
2022-09-01,94,2.7076973200000003,17
2022-09-02,87,3.058310147020314,12
2022-09-03,53,3.2467431957343775,10
2022-09-04,60,6.378708978531252,0
2022-09-05,82,9.17637886746719,6
2022-09-06,75,5.795827684475,19
2022-09-07,74,8.880842175985938,11
2022-09-08,96,6.651917942989063,3
2022-09-09,88,4.809664128492188,2
2022-09-10,72,1.9883153409921883,1
2022-09-11,54,1.3489109647421889,5
2022-09-12,126,0.6113857244453142,9
2022-09-13,115,8.855337779040626,11
2022-09-14,103,4.219610096729689,16
2022-09-15,75,4.402125882790625,17
2022-09-16,94,2.4465186312140625,7
2022-09-17,58,5.693712813567188,7
2022-09-18,46,2.507187166435938,3
2022-09-19,70,6.734216633309376,7
2022-09-20,82,6.406907278860938,7
2022-09-21,86,3.2588804122718757,11
2022-09-22,103,4.455924119046875,7
2022-09-23,99,2.4729211341906256,1
2022-09-24,93,1.674295708971876,2
2022-09-25,68,3.866509013746876,1
2022-09-26,101,4.755330360185939,5
2022-09-27,140,2.6454479532312507,10
2022-09-28,64,6.782867619337501,5
2022-09-29,77,2.4630946371343754,14
2022-09-30,82,7.7381762867265635,12
2022-10-01,104,1.324891981471875,2
2022-10-02,91,4.754492094559376,7
2022-10-03,83,20.60466764981406,11
2022-10-04,65,29.944995474226562,9
2022-10-05,65,22.101897762721872,11
2022-10-06,78,13.742699938231247,14
2022-10-07,116,41.1484311239,15
2022-10-08,60,6.507105608965624,6
2022-10-09,83,-2.561661314370311,1
2022-10-10,108,6.170246084298441,17
2022-10-11,64,6.226944434690631,0
2022-10-12,74,8.383717378443755,6
2022-10-13,68,-0.5743613888578092,8
2022-10-14,87,-1.483120418267184,5
2022-10-15,68,13.26068911809844,5
2022-10-16,70,4.275177687378127,4
2022-10-17,77,8.952265537950002,3
2022-10-18,65,9.698726449735936,7
2022-10-19,93,12.427163701984377,5
2022-10-20,104,11.014859867203125,8
2022-10-21,78,4.904880196771876,7
2022-10-22,64,4.423961348126563,5
