,tarantool/tarantool,memcached/memcached,redis/redis
2010-09-08,1,0,3
2010-09-09,4,0,2
2010-09-10,0,0,0
2010-09-11,0,0,0
2010-09-12,0,0,0
2010-09-13,1,0,4
2010-09-14,0,3,2
2010-09-15,4,0,1
2010-09-16,1,0,8
2010-09-17,0,0,2
2010-09-18,0,0,0
2010-09-19,0,0,0
2010-09-20,12,0,0
2010-09-21,3,0,0
2010-09-22,1,0,6
2010-09-23,0,0,5
2010-09-24,0,0,3
2010-09-25,0,0,0
2010-09-26,0,0,0
2010-09-27,0,0,0
2010-09-28,0,0,0
2010-09-29,0,0,0
2010-09-30,0,0,0
2010-10-01,0,0,0
2010-10-02,0,0,0
2010-10-03,0,0,0
2010-10-04,0,0,0
2010-10-05,0,0,0
2010-10-06,0,0,0
2010-10-07,0,0,2
2010-10-08,0,0,0
2010-10-09,0,0,0
2010-10-10,0,0,0
2010-10-11,2,0,2
2010-10-12,8,0,0
2010-10-13,22,0,11
2010-10-14,6,0,4
2010-10-15,4,0,15
2010-10-16,0,0,0
2010-10-17,0,0,4
2010-10-18,0,0,0
2010-10-19,0,0,0
2010-10-20,1,0,0
2010-10-21,0,0,5
2010-10-22,2,0,2
2010-10-23,0,0,2
2010-10-24,0,0,1
2010-10-25,1,0,2
2010-10-26,0,0,1
2010-10-27,3,0,1
2010-10-28,0,0,5
2010-10-29,0,0,0
2010-10-30,0,0,0
2010-10-31,0,0,0
2010-11-01,2,0,0
2010-11-02,2,0,10
2010-11-03,11,3,9
2010-11-04,0,0,11
2010-11-05,0,0,7
2010-11-06,0,0,0
2010-11-07,0,0,0
2010-11-08,11,0,6
2010-11-09,2,0,0
2010-11-10,10,2,0
2010-11-11,17,3,1
2010-11-12,1,2,1
2010-11-13,9,0,0
2010-11-14,0,0,0
2010-11-15,10,0,1
2010-11-16,8,0,1
2010-11-17,2,0,0
2010-11-18,5,0,0
2010-11-19,5,0,0
2010-11-20,0,0,0
2010-11-21,0,0,4
2010-11-22,3,0,0
2010-11-23,1,0,0
2010-11-24,3,0,0
2010-11-25,4,0,0
2010-11-26,6,0,1
2010-11-27,0,0,0
2010-11-28,0,0,2
2010-11-29,1,0,7
2010-11-30,2,0,10
2010-12-01,6,0,1
2010-12-02,5,0,0
2010-12-03,8,0,0
2010-12-04,0,0,0
2010-12-05,0,0,0
2010-12-06,6,0,7
2010-12-07,7,0,1
2010-12-08,3,0,0
2010-12-09,6,0,6
2010-12-10,5,0,13
2010-12-11,0,0,0
2010-12-12,0,0,0
2010-12-13,6,0,0
2010-12-14,2,0,15
2010-12-15,1,0,26
2010-12-16,2,0,3
2010-12-17,3,0,0
2010-12-18,0,0,2
2010-12-19,0,0,3
2010-12-20,4,0,3
2010-12-21,0,0,0
2010-12-22,2,0,2
2010-12-23,4,0,8
2010-12-24,0,0,0
2010-12-25,0,0,0
2010-12-26,0,0,1
2010-12-27,13,0,0
2010-12-28,0,0,5
2010-12-29,1,0,8
