,django/django,sinatra/sinatra,rails/rails
2011-09-08,8.0,2,20
2011-09-09,20.0,0,10
2011-09-10,30.0,0,20
2011-09-11,15.0,0,7
2011-09-12,2.0,1,45
2011-09-13,5.0,0,28
2011-09-14,2.0,2,18
2011-09-15,2.0,6,11
2011-09-16,9.0,0,13
2011-09-17,3.0,6,6
2011-09-18,6.0,2,7
2011-09-19,2.0,4,1
2011-09-20,2.0,1,4
2011-09-21,9.0,1,11
2011-09-22,18.0,6,28
2011-09-23,4.0,0,10
2011-09-24,3.0,0,8
2011-09-25,2.0,2,7
2011-09-26,4.0,0,22
2011-09-27,2.0,0,9
2011-09-28,2.0,0,12
2011-09-29,3.0,4,6
2011-09-30,5.0,5,12
2011-10-01,1.0,9,5
2011-10-02,1.0,0,13
2011-10-03,1.0,6,23
2011-10-04,3.0,5,20
2011-10-05,5.0,6,28
2011-10-06,3.0,0,18
2011-10-07,8.0,6,16
2011-10-08,5.0,0,22
2011-10-09,1.0,0,25
2011-10-10,5.0,0,20
2011-10-11,5.0,7,15
2011-10-12,2.0,0,10
2011-10-13,19.0,0,13
2011-10-14,5.0,8,17
2011-10-15,3.0,3,22
2011-10-16,8.0,0,7
2011-10-17,10.0,0,12
2011-10-18,4.0,0,13
2011-10-19,2.0,0,23
2011-10-20,4.0,0,15
2011-10-21,1.0,0,9
2011-10-22,7.0,0,17
2011-10-23,2.0,4,1
2011-10-24,2.0,0,9
2011-10-25,1.0,0,12
2011-10-26,10.0,0,10
2011-10-27,1.0,0,9
2011-10-28,4.0,4,3
2011-10-29,7.0,0,12
2011-10-30,2.0,7,11
2011-10-31,3.0,6,13
2011-11-01,6.0,1,6
2011-11-02,1.0,2,5
2011-11-03,1.0,0,12
2011-11-04,2.0,0,16
2011-11-05,0.0,6,17
2011-11-06,3.0,6,19
2011-11-07,3.0,2,14
2011-11-08,0.0,2,16
2011-11-09,1.0,2,12
2011-11-10,1.0,2,21
2011-11-11,2.0,2,12
2011-11-12,10.0,0,5
2011-11-13,4.0,0,38
2011-11-14,0.0,7,20
2011-11-15,1.0,2,9
2011-11-16,4.0,0,24
2011-11-17,3.0,2,22
2011-11-18,5.0,0,33
2011-11-19,8.0,1,15
2011-11-20,12.0,0,13
2011-11-21,10.0,3,9
2011-11-22,6.0,0,16
2011-11-23,0.0,0,23
2011-11-24,2.0,2,5
2011-11-25,2.0,0,22
2011-11-26,2.0,0,19
2011-11-27,8.0,0,20
2011-11-28,1.0,7,33
2011-11-29,3.0,0,32
2011-11-30,0.0,1,43
2011-12-01,2.0,0,29
2011-12-02,0.0,1,19
2011-12-03,2.0,0,16
2011-12-04,1.0,0,44
2011-12-05,1.0,1,22
2011-12-06,0.0,0,24
2011-12-07,5.0,2,18
2011-12-08,0.0,0,44
2011-12-09,14.0,0,20
2011-12-10,0.0,0,12
2011-12-11,10.0,0,15
2011-12-12,0.0,0,24
2011-12-13,0.0,1,25
2011-12-14,1.0,0,23
2011-12-15,3.0,3,23
2011-12-16,7.0,0,26
2011-12-17,18.0,0,15
2011-12-18,0.0,0,15
2011-12-19,8.0,0,12
2011-12-20,1.0,1,68
2011-12-21,2.0,0,68
2011-12-22,11.0,0,26
2011-12-23,14.0,0,30
2011-12-24,7.0,0,54
2011-12-25,4.0,0,36
2011-12-26,0.0,0,16
2011-12-27,6.0,0,9
2011-12-28,1.0,0,27
2011-12-29,6.0,0,27
2011-12-30,22.0,21,35
2011-12-31,3.0,6,15
2012-01-01,4.0,1,5
2012-01-02,10.0,5,12
2012-01-03,4.0,4,23
2012-01-04,2.0,0,40
2012-01-05,1.0,2,78
2012-01-06,1.0,1,82
2012-01-07,11.0,0,24
2012-01-08,9.0,0,7
2012-01-09,1.0,0,5
2012-01-10,1.0,4,18
2012-01-11,1.0,0,13
2012-01-12,2.0,0,41
2012-01-13,1.0,0,62
2012-01-14,1.0,0,15
2012-01-15,5.0,0,13
2012-01-16,0.0,0,38
2012-01-17,0.0,0,69
2012-01-18,0.0,3,43
2012-01-19,3.0,0,27
2012-01-20,1.0,0,36
2012-01-21,3.0,6,21
2012-01-22,1.0,2,13
2012-01-23,1.0,0,33
2012-01-24,4.0,0,21
2012-01-25,2.0,0,33
2012-01-26,0.0,0,29
2012-01-27,2.0,0,18
2012-01-28,7.0,0,9
2012-01-29,4.0,0,16
2012-01-30,1.0,5,18
2012-01-31,3.0,2,53
2012-02-01,3.0,6,41
2012-02-02,2.0,1,38
2012-02-03,9.0,1,12
2012-02-04,21.0,0,17
2012-02-05,9.0,0,15
2012-02-06,1.0,0,17
2012-02-07,1.0,0,47
2012-02-08,0.0,0,16
2012-02-09,22.0,0,40
2012-02-10,10.0,2,12
2012-02-11,15.0,0,11
2012-02-12,6.0,0,16
2012-02-13,2.0,0,17
2012-02-14,2.0,0,22
2012-02-15,1.0,0,11
2012-02-16,13.0,0,19
2012-02-17,5.0,0,9
2012-02-18,6.0,0,14
2012-02-19,7.0,0,1
2012-02-20,2.0,0,18
2012-02-21,3.0,3,30
2012-02-22,7.0,0,25
2012-02-23,3.0,0,21
2012-02-24,3.0,0,8
2012-02-25,0.0,0,19
2012-02-26,4.0,0,11
2012-02-27,7.0,0,19
2012-02-28,3.0,0,16
2012-02-29,3.0,0,19
2012-03-01,7.0,0,7
2012-03-02,20.0,0,17
2012-03-03,14.0,8,17
2012-03-04,7.0,2,24
2012-03-05,18.0,1,27
2012-03-06,0.0,7,25
2012-03-07,0.0,12,26
2012-03-08,0.0,14,16
2012-03-09,1.0,0,19
2012-03-10,4.0,4,26
2012-03-11,2.0,11,18
2012-03-12,12.0,0,25
2012-03-13,15.0,4,50
2012-03-14,27.0,3,44
2012-03-15,7.0,18,28
2012-03-16,6.0,0,25
2012-03-17,9.0,0,25
2012-03-18,1.0,11,17
2012-03-19,3.0,1,14
2012-03-20,2.0,0,12
2012-03-21,2.0,0,19
2012-03-22,4.0,2,12
2012-03-23,25.0,10,13
2012-03-24,0.0,0,16
2012-03-25,1.0,1,3
2012-03-26,2.0,0,30
2012-03-27,1.0,0,30
2012-03-28,1.0,0,25
2012-03-29,6.0,0,14
2012-03-30,5.0,0,22
2012-03-31,25.0,0,15
2012-04-01,3.0,0,22
2012-04-02,2.0,3,11
2012-04-03,0.0,0,18
2012-04-04,0.0,0,21
2012-04-05,3.0,0,26
2012-04-06,3.0,0,6
2012-04-07,2.0,0,14
2012-04-08,2.0,0,8
2012-04-09,6.0,0,16
2012-04-10,5.0,0,0
2012-04-11,6.0,0,14
2012-04-12,2.0,0,27
2012-04-13,1.0,0,32
2012-04-14,4.0,0,10
2012-04-15,2.0,0,4
2012-04-16,1.0,0,16
2012-04-17,0.0,0,18
2012-04-18,0.0,0,10
2012-04-19,1.0,1,11
2012-04-20,4.0,0,10
2012-04-21,3.0,0,10
2012-04-22,4.0,0,4
2012-04-23,1.0,0,8
2012-04-24,5.0,0,37
2012-04-25,2.0,0,54
2012-04-26,4.0,5,32
2012-04-27,1.0,0,44
2012-04-28,22.0,0,40
2012-04-29,24.0,0,52
2012-04-30,19.0,0,69
2012-05-01,8.0,0,30
2012-05-02,1.0,0,46
2012-05-03,10.0,0,35
2012-05-04,1.0,0,48
2012-05-05,5.0,0,28
2012-05-06,1.0,0,22
2012-05-07,4.0,2,33
2012-05-08,2.0,0,24
2012-05-09,1.0,0,16
2012-05-10,8.0,0,19
2012-05-11,4.0,0,44
2012-05-12,5.0,7,34
2012-05-13,0.0,7,51
2012-05-14,1.0,1,24
2012-05-15,2.0,0,38
2012-05-16,9.0,0,70
2012-05-17,10.0,0,61
2012-05-18,11.0,0,53
2012-05-19,7.0,0,47
2012-05-20,3.0,0,19
2012-05-21,1.0,2,29
2012-05-22,9.0,2,47
2012-05-23,1.0,4,45
2012-05-24,7.0,0,20
2012-05-25,6.0,0,28
2012-05-26,4.0,0,25
2012-05-27,5.0,1,10
2012-05-28,4.0,1,38
2012-05-29,0.0,8,35
2012-05-30,1.0,3,35
2012-05-31,9.0,0,23
2012-06-01,1.0,1,17
2012-06-02,7.0,0,10
2012-06-03,4.0,0,7
2012-06-04,6.0,0,8
2012-06-05,4.0,0,16
2012-06-06,10.0,4,16
2012-06-07,22.0,2,7
2012-06-08,15.0,0,7
2012-06-09,7.0,0,13
2012-06-10,2.0,0,13
2012-06-11,2.0,4,29
2012-06-12,2.0,5,17
2012-06-13,3.0,0,9
2012-06-14,7.0,0,27
2012-06-15,1.0,0,17
2012-06-16,4.0,0,15
2012-06-17,2.0,2,22
2012-06-18,5.0,12,21
2012-06-19,5.0,2,45
2012-06-20,0.0,3,30
2012-06-21,0.0,0,19
2012-06-22,3.0,0,30
2012-06-23,7.0,2,21
2012-06-24,1.0,1,18
2012-06-25,2.0,2,19
2012-06-26,3.0,0,11
2012-06-27,4.0,0,20
2012-06-28,4.0,4,17
2012-06-29,1.0,0,17
2012-06-30,11.0,1,16
2012-07-01,8.0,2,13
2012-07-02,2.0,3,5
2012-07-03,8.0,0,28
2012-07-04,2.0,0,15
2012-07-05,4.0,0,16
2012-07-06,9.0,5,21
2012-07-07,9.0,4,31
2012-07-08,8.0,2,18
2012-07-09,2.0,0,6
2012-07-10,3.0,0,9
2012-07-11,3.0,0,7
2012-07-12,3.0,2,3
2012-07-13,2.0,0,29
2012-07-14,6.0,0,8
2012-07-15,7.0,0,1
2012-07-16,4.0,0,12
2012-07-17,8.0,0,16
2012-07-18,8.0,2,14
2012-07-19,2.0,0,8
2012-07-20,3.0,2,20
2012-07-21,7.0,0,18
2012-07-22,18.0,0,8
2012-07-23,2.0,0,8
2012-07-24,5.0,0,13
2012-07-25,21.0,0,4
2012-07-26,1.0,1,13
2012-07-27,0.0,0,19
2012-07-28,2.0,0,12
2012-07-29,2.0,0,17
2012-07-30,5.0,3,35
2012-07-31,1.0,5,20
2012-08-01,1.0,1,22
2012-08-02,7.0,1,21
2012-08-03,10.0,0,13
2012-08-04,13.0,0,20
2012-08-05,5.0,0,8
2012-08-06,4.0,0,12
2012-08-07,22.0,2,18
2012-08-08,16.0,0,9
2012-08-09,4.0,2,12
2012-08-10,7.0,1,16
2012-08-11,14.0,0,20
2012-08-12,18.0,0,9
2012-08-13,12.0,0,9
2012-08-14,28.0,1,12
2012-08-15,42.0,0,13
2012-08-16,16.0,0,2
2012-08-17,5.0,2,19
2012-08-18,34.0,0,16
2012-08-19,15.0,1,8
2012-08-20,11.0,1,19
2012-08-21,8.0,3,32
2012-08-22,3.0,0,9
2012-08-23,8.0,0,17
2012-08-24,4.0,0,15
2012-08-25,6.0,0,7
2012-08-26,3.0,0,18
2012-08-27,0.0,0,11
2012-08-28,6.0,0,41
2012-08-29,7.0,0,19
2012-08-30,9.0,0,18
2012-08-31,8.0,0,21
2012-09-01,9.0,0,10
2012-09-02,0.0,0,11
2012-09-03,2.0,0,12
2012-09-04,5.0,2,7
2012-09-05,5.0,3,22
2012-09-06,7.0,0,25
2012-09-07,40.0,0,26
