,TryGhost/Ghost,decaporg/decap-cms,strapi/strapi
2024-02-25,0,0,0.0
2024-02-26,5,0,7.0
2024-02-27,3,1,4.200000000000001
2024-02-28,19,0,8.360000000000001
2024-02-29,4,0,9.912
2024-03-01,1,1,4.420800000000002
2024-03-02,0,0,-8.388864
2024-03-03,0,0,-3.453606400000001
2024-03-04,5,0,20.85363968
2024-03-05,6,1,12.269725696000002
2024-03-06,13,1,10.867088998400003
2024-03-07,3,2,-2.695906201599998
2024-03-08,2,4,-4.7436865536
2024-03-09,0,0,-6.423490764800001
2024-03-10,0,0,-4.2698256384
2024-03-11,6,0,6.327275519999999
2024-03-12,13,0,8.404754944
2024-03-13,8,1,10.739297177600001
2024-03-14,9,0,2.0977273856000025
2024-03-15,3,0,5.627389132800001
2024-03-16,0,0,-9.890850713599999
2024-03-17,0,0,-4.140341452800001
2024-03-18,7,0,35.430494003199996
2024-03-19,4,1,4.956733952000004
2024-03-20,8,1,13.215794380800002
2024-03-21,8,2,20.677601996800004
2024-03-22,2,0,-11.264547635199996
2024-03-23,0,0,-13.1990877184
2024-03-24,0,0,-6.640317952000002
2024-03-25,7,0,8.673272319999999
2024-03-26,3,0,0.5811850239999998
2024-03-27,12,0,7.3037950976
2024-03-28,16,4,-5.568595865599999
2024-03-29,0,3,0.3468583935999998
2024-03-30,0,0,-5.2568187904
2024-03-31,2,0,-2.3088693248000007
2024-04-01,4,0,-1.4451660800000004
2024-04-02,5,2,24.923784704
2024-04-03,16,3,36.7500993536
2024-04-04,6,0,-1.8737805311999978
2024-04-05,1,0,-0.18681855999999897
2024-04-06,0,0,-13.2157268992
2024-04-07,0,0,-6.1163409408000025
2024-04-08,8,0,13.067660799999999
2024-04-09,1,0,-6.674460160000001
2024-04-10,3,0,5.522705408
2024-04-11,4,2,8.338580787200002
2024-04-12,2,0,1.1542895616000006
2024-04-13,0,0,-8.169236684799998
2024-04-14,0,0,-3.4866009088000003
2024-04-15,3,0,7.919738879999999
2024-04-16,4,3,1.4978140160000004
2024-04-17,9,0,11.8380048384
2024-04-18,11,0,-2.0316314623999983
2024-04-19,2,0,-4.289347276799999
2024-04-20,0,0,-3.6902033408
2024-04-21,0,0,-1.975275724800001
2024-04-22,5,0,2.7271679999999994
2024-04-23,5,0,7.43661056
2024-04-24,3,0,9.752982528
2024-04-25,8,0,-0.9777545215999979
2024-04-26,2,0,4.233200230400001
2024-04-27,0,0,-6.4557065216
2024-04-28,0,0,-1.6889691136000007
2024-04-29,6,0,8.91640576
