,pytorch/pytorch,apache/mxnet,tensorflow/tensorflow
2016-09-25,7,0,5
2016-09-26,8,2,49
2016-09-27,16,1,68
2016-09-28,5,1,47
2016-09-29,13,4,69
2016-09-30,18,1,55
2016-10-01,5,2,10
2016-10-02,5,1,5
2016-10-03,11,2,30
2016-10-04,3,2,44
2016-10-05,9,2,34
2016-10-06,2,2,57
2016-10-07,34,2,48
2016-10-08,2,1,17
2016-10-09,2,0,7
2016-10-10,3,2,42
2016-10-11,5,1,69
2016-10-12,3,4,73
2016-10-13,10,0,62
2016-10-14,16,1,71
2016-10-15,2,5,22
2016-10-16,4,2,27
2016-10-17,17,6,44
2016-10-18,5,3,70
2016-10-19,9,3,103
2016-10-20,0,1,58
2016-10-21,0,1,63
2016-10-22,3,0,38
2016-10-23,1,1,26
2016-10-24,24,6,64
2016-10-25,7,1,69
2016-10-26,10,4,62
2016-10-27,8,1,67
2016-10-28,4,1,61
2016-10-29,5,1,16
2016-10-30,1,3,6
2016-10-31,6,4,70
2016-11-01,13,1,58
2016-11-02,12,0,58
2016-11-03,10,2,70
2016-11-04,0,2,67
2016-11-05,4,2,5
2016-11-06,1,2,5
2016-11-07,13,3,18
2016-11-08,79,4,9
2016-11-09,5,6,107
2016-11-10,9,4,42
2016-11-11,29,4,47
2016-11-12,0,3,31
2016-11-13,4,1,3
2016-11-14,3,3,46
2016-11-15,25,6,64
2016-11-16,13,7,151
2016-11-17,6,7,68
2016-11-18,8,11,54
2016-11-19,4,5,22
2016-11-20,0,3,17
2016-11-21,10,7,44
2016-11-22,9,6,70
2016-11-23,7,8,69
2016-11-24,9,8,30
2016-11-25,1,4,13
2016-11-26,9,0,8
2016-11-27,0,2,4
2016-11-28,8,2,47
2016-11-29,39,7,59
2016-11-30,3,3,57
2016-12-01,26,1,73
2016-12-02,5,4,70
2016-12-03,1,7,26
2016-12-04,0,2,3
2016-12-05,20,1,56
2016-12-06,8,4,44
2016-12-07,2,10,110
2016-12-08,3,3,84
2016-12-09,4,4,59
2016-12-10,0,3,31
2016-12-11,4,2,7
2016-12-12,5,0,36
2016-12-13,17,1,50
2016-12-14,24,0,46
2016-12-15,39,5,59
2016-12-16,17,3,69
2016-12-17,7,3,28
2016-12-18,2,4,5
2016-12-19,17,3,35
2016-12-20,30,4,37
2016-12-21,19,3,64
2016-12-22,26,3,57
2016-12-23,7,4,17
2016-12-24,4,1,6
2016-12-25,4,0,4
2016-12-26,4,2,3
2016-12-27,24,2,26
2016-12-28,17,2,25
2016-12-29,36,110,28
2016-12-30,23,14,14
2016-12-31,34,6,5
2017-01-01,10,8,5
2017-01-02,8,1,0
2017-01-03,27,6,28
2017-01-04,72,8,52
2017-01-05,35,2,33
2017-01-06,6,6,49
2017-01-07,1,8,12
2017-01-08,0,5,10
2017-01-09,9,6,27
2017-01-10,9,6,53
2017-01-11,8,7,47
2017-01-12,8,4,51
2017-01-13,22,3,57
2017-01-14,4,2,10
2017-01-15,2,4,9
2017-01-16,16,4,9
2017-01-17,22,1,51
2017-01-18,29,3,43
2017-01-19,16,8,68
2017-01-20,17,6,63
2017-01-21,4,8,10
2017-01-22,9,7,7
2017-01-23,11,2,20
2017-01-24,25,4,54
2017-01-25,20,8,50
2017-01-26,13,8,37
2017-01-27,20,12,51
2017-01-28,17,6,15
2017-01-29,11,5,8
2017-01-30,8,3,32
2017-01-31,54,2,46
2017-02-01,23,2,71
2017-02-02,16,4,54
2017-02-03,7,1,71
2017-02-04,4,6,19
2017-02-05,0,2,7
2017-02-06,9,5,66
2017-02-07,19,8,133
2017-02-08,12,3,71
2017-02-09,20,1,55
2017-02-10,15,3,75
2017-02-11,5,0,40
2017-02-12,2,2,9
2017-02-13,9,2,27
2017-02-14,32,2,94
2017-02-15,14,4,61
2017-02-16,35,3,50
2017-02-17,25,0,38
2017-02-18,5,5,11
2017-02-19,0,7,9
2017-02-20,9,0,9
2017-02-21,26,5,29
2017-02-22,18,7,69
2017-02-23,63,3,43
2017-02-24,8,7,38
2017-02-25,8,3,16
2017-02-26,14,0,1
2017-02-27,15,2,46
2017-02-28,34,11,38
2017-03-01,19,4,63
2017-03-02,27,4,48
2017-03-03,25,7,52
2017-03-04,9,1,20
2017-03-05,10,6,18
2017-03-06,14,4,22
2017-03-07,21,1,48
2017-03-08,16,1,46
2017-03-09,16,5,39
2017-03-10,16,8,43
2017-03-11,7,6,18
2017-03-12,5,4,5
2017-03-13,21,7,40
2017-03-14,18,5,56
2017-03-15,25,10,56
2017-03-16,15,7,61
2017-03-17,17,5,44
2017-03-18,1,6,13
2017-03-19,3,3,2
2017-03-20,8,5,47
2017-03-21,7,7,34
2017-03-22,28,8,62
2017-03-23,26,8,52
2017-03-24,34,7,39
