,WordPress/WordPress,getgrav/grav,tryghost/ghost
2022-08-02,2.0,0,28
2022-08-03,7.6,0,47
2022-08-04,14.24,3,34
2022-08-05,8.064,0,44
2022-08-06,-3.1312000000000006,0,0
2022-08-07,5.752127999999998,0,0
2022-08-08,6.9612544,0,23
2022-08-09,1.3029401599999995,0,31
2022-08-10,-2.015081984000001,0,23
2022-08-11,8.969650483199999,0,61
2022-08-12,1.386204364800001,0,36
2022-08-13,3.0961207296000004,0,0
2022-08-14,-1.7930016768000003,0,1
2022-08-15,-0.7141182464000004,0,30
2022-08-16,1.6344096768000005,0,17
2022-08-17,0.5044444160000006,0,23
2022-08-18,2.7601116159999997,1,36
2022-08-19,4.4589234176,0,42
2022-08-20,-0.07342653439999935,0,0
2022-08-21,-0.401836544,0,0
2022-08-22,3.9991110655999997,0,26
2022-08-23,4.4017611776,0,39
2022-08-24,3.9603828736,0,36
2022-08-25,0.7388648447999997,0,52
2022-08-26,2.2135565311999996,0,5
2022-08-27,-0.8477659136,0,0
2022-08-28,1.7585217535999997,0,0
2022-08-29,2.6274511871999997,0,4
2022-08-30,3.3924509696,0,20
2022-08-31,6.088736256000001,0,29
2022-09-01,13.3880262656,0,18
2022-09-02,-0.49712291839999967,3,24
2022-09-03,-1.9073160192000014,0,0
2022-09-04,-0.8812404736000008,0,0
2022-09-05,8.5606286336,1,9
2022-09-06,11.9860011008,0,32
2022-09-07,2.4321654784,0,8
2022-09-08,8.330872832,3,17
2022-09-09,3.540370124800001,0,50
2022-09-10,-2.9497759744000005,0,4
2022-09-11,10.6802801664,0,0
2022-09-12,3.8514917376,0,9
2022-09-13,6.1835191296,1,29
2022-09-14,16.793970176000002,0,15
2022-09-15,8.49935872,0,18
2022-09-16,-0.17654855680000026,0,22
2022-09-17,0.5044769791999997,0,2
2022-09-18,-1.6585802752000012,0,0
2022-09-19,30.3325326336,0,26
2022-09-20,29.5398847488,0,20
2022-09-21,4.437258956800001,0,16
2022-09-22,-5.822189056000003,3,18
2022-09-23,4.454751641599999,0,11
2022-09-24,-4.526345728000001,0,9
2022-09-25,1.4932734975999988,0,1
2022-09-26,11.504625663999999,0,45
2022-09-27,16.669582643200002,0,55
2022-09-28,2.5807044608000034,0,28
2022-09-29,4.3673571328000005,0,37
2022-09-30,-2.9200487424000006,0,3
2022-10-01,-1.102595891200001,0,0
2022-10-02,-1.4679388160000006,0,0
2022-10-03,2.1648976895999996,0,24
2022-10-04,19.846601728,4,12
2022-10-05,-1.763397119999997,12,36
2022-10-06,0.5350003711999998,0,25
2022-10-07,17.320782336,0,43
2022-10-08,-2.5610951679999996,0,0
2022-10-09,2.7594519551999985,0,0
2022-10-10,9.8069891072,1,14
2022-10-11,32.4777327616,0,18
2022-10-12,-6.855349145599998,0,17
2022-10-13,-0.27036743680000264,0,19
2022-10-14,-2.1132650496000016,0,11
2022-10-15,-2.0301526015999998,0,0
2022-10-16,-1.305316864,0,1
2022-10-17,9.2797447168,0,13
2022-10-18,10.527688601600001,0,15
2022-10-19,0.33995694080000227,0,36
2022-10-20,1.6628436992000006,0,36
2022-10-21,1.3692351487999996,0,42
2022-10-22,0.6802263039999996,0,0
2022-10-23,-0.9664739328000005,0,0
2022-10-24,5.573265817599999,0,16
2022-10-25,3.6040677376000003,2,17
2022-10-26,-0.5363124223999991,2,21
2022-10-27,3.2609337344,0,47
2022-10-28,1.0279854080000002,0,4
2022-10-29,4.33254144,0,0
2022-10-30,1.8466151424000001,0,10
2022-10-31,4.064072396799999,0,15
2022-11-01,1.7079187455999998,0,15
2022-11-02,-0.0598171648000001,0,17
2022-11-03,-0.5451275264000002,0,17
2022-11-04,1.8740257792,0,12
2022-11-05,-0.35240140799999997,0,2
2022-11-06,2.0286419968000002,0,0
2022-11-07,3.7756855296000005,0,19
2022-11-08,0.3408958464000005,0,9
2022-11-09,6.7591428096,0,6
2022-11-10,7.7167980544,0,5
2022-11-11,9.908856627199999,0,11
2022-11-12,-3.1127256064000006,0,0
2022-11-13,0.7554080767999984,0,0
2022-11-14,3.9745883135999995,0,10
2022-11-15,-0.4867904512000001,0,8
2022-11-16,3.1796080639999995,0,2
2022-11-17,0.8507820032,0,38
2022-11-18,0.14168391680000036,0,18
2022-11-19,-0.4903628799999993,0,0
2022-11-20,-0.07291422719999985,0,0
2022-11-21,0.19746959359999994,0,6
2022-11-22,4.2684602368,0,6
2022-11-23,2.5378164736000004,0,15
2022-11-24,3.5043489792,0,14
2022-11-25,-0.778928128,0,3
2022-11-26,6.910925004799999,0,0
2022-11-27,-1.2587619327999997,0,0
2022-11-28,0.6959282175999995,0,13
2022-11-29,8.7815141376,0,10
2022-11-30,4.243405209600001,0,13
2022-12-01,4.241152,1,30
2022-12-02,-0.8349090816000002,1,28
2022-12-03,-0.9156490240000006,0,0
2022-12-04,1.6280846335999999,0,0
2022-12-05,1.4577640448,0,12
2022-12-06,8.5125344256,0,13
2022-12-07,0.10102353920000073,0,29
2022-12-08,0.9449118719999996,0,41
2022-12-09,1.2603103232000001,0,14
2022-12-10,-0.5908819968000001,0,0
2022-12-11,-0.09155297280000041,0,0
2022-12-12,3.0878913536,0,11
2022-12-13,3.5834672128000005,0,7
2022-12-14,5.2284402688,0,23
2022-12-15,1.6689408000000001,0,8
2022-12-16,0.08828385279999962,0,5
2022-12-17,0.5559292927999997,0,0
2022-12-18,0.7346823167999998,0,0
2022-12-19,2.8341400575999995,0,0
2022-12-20,0.4770006015999999,0,2
2022-12-21,-0.25629020159999993,0,0
2022-12-22,1.0581027840000004,0,0
2022-12-23,0.01898065920000036,0,1
2022-12-24,0.2692921344,0,0
2022-12-25,0.3700452352,0,0
2022-12-26,0.4169853952,0,0
2022-12-27,0.4505562112000001,0,0
2022-12-28,0.4764268544000001,0,0
2022-12-29,0.5192553472,0,0
2022-12-30,1.5342637056,0,1
2022-12-31,0.3361820672,0,0
2023-01-01,0.46865141759999984,1,0
2023-01-02,1.5006514175999999,6,4
2023-01-03,0.3150514176,0,10
2023-01-04,0.44311541759999984,0,17
2023-01-05,4.4802226176,0,8
2023-01-06,0.6981246976000002,0,17
2023-01-07,-0.011272294400000327,0,0
2023-01-08,0.2437532671999998,0,0
2023-01-09,3.3493246975999997,0,3
2023-01-10,4.7985197056,0,11
2023-01-11,5.1889308672,2,20
2023-01-12,2.7165157376,0,6
2023-01-13,3.8533738495999996,0,10
2023-01-14,0.631778304,0,0
2023-01-15,5.1536156671999995,0,0
2023-01-16,2.5081112575999995,0,3
2023-01-17,-0.34786211840000014,0,11
2023-01-18,8.2531492864,0,17
2023-01-19,7.905455513600001,0,15
2023-01-20,2.2351772672,0,22
2023-01-21,-1.0973347840000005,0,0
2023-01-22,0.8663177215999993,0,0
2023-01-23,4.0634267648,0,16
2023-01-24,12.5841385472,0,10
2023-01-25,2.6704778240000007,0,19
2023-01-26,2.4825454592,0,7
2023-01-27,4.816415744,0,1
2023-01-28,-0.3918449663999999,0,0
2023-01-29,-1.4231844864000007,0,0
2023-01-30,1.3195538431999994,0,25
2023-01-31,6.2333472768,0,9
2023-02-01,11.2752203776,0,9
2023-02-02,9.75304704,0,16
2023-02-03,14.1993521152,0,12
2023-02-04,-0.19853475839999923,0,0
2023-02-05,-3.287819059200002,0,0
2023-02-06,13.314089676799998,0,1
2023-02-07,47.959046553600004,0,5
2023-02-08,-7.290271027199999,0,4
2023-02-09,-5.321120051200003,0,15
2023-02-10,-2.8073153536000017,1,4
2023-02-11,-0.6073025535999999,0,0
2023-02-12,-2.0780394495999994,0,0
2023-02-13,14.8008262656,0,24
2023-02-14,12.9953662976,0,2
2023-02-15,0.7356517376000031,1,10
2023-02-16,0.41187911680000067,0,9
2023-02-17,1.7805326335999991,1,22
2023-02-18,-0.8998350848000007,0,0
2023-02-19,-1.1671661568000005,14,0
2023-02-20,1.3459795967999992,8,21
2023-02-21,10.223576985600001,5,25
2023-02-22,4.425531187200002,5,28
2023-02-23,4.699388108800001,0,26
2023-02-24,0.7729487871999998,2,1
2023-02-25,-0.4923755520000004,0,0
2023-02-26,-0.8485672960000006,0,0
2023-02-27,2.6396598271999996,0,21
2023-02-28,5.2631284736,0,14
2023-03-01,15.5537512448,0,24
2023-03-02,-2.9185348607999995,0,30
2023-03-03,0.34064302079999953,0,16
2023-03-04,-1.1729318912000002,0,0
2023-03-05,-0.4968467456000003,0,0
2023-03-06,5.7991171072,6,7
2023-03-07,9.7639023616,2,12
2023-03-08,3.3856620544000005,0,11
2023-03-09,6.803459891200001,0,7
2023-03-10,5.2788313088,0,14
2023-03-11,-2.6234093568000008,0,0
2023-03-12,-1.1533560832000012,0,1
2023-03-13,0.38275829759999924,0,9
2023-03-14,4.454934425599999,0,18
2023-03-15,0.7458629632000009,0,31
2023-03-16,0.16139141120000033,0,21
2023-03-17,0.5753321472000004,1,38
2023-03-18,1.7517895680000006,0,0
2023-03-19,0.7055878144000003,0,0
2023-03-20,2.9369086976,0,9
2023-03-21,6.5736365056,0,15
2023-03-22,-0.37077473279999973,7,29
2023-03-23,0.43150172159999967,0,17
2023-03-24,2.7092046847999995,0,25
2023-03-25,-0.5722958847999999,0,0
2023-03-26,-0.07115847680000043,0,0
2023-03-27,1.1124072448,0,10
2023-03-28,4.0277670912,0,26
2023-03-29,1.4165658624000006,0,7
2023-03-30,1.6007651327999999,0,26
2023-03-31,-0.3145858048000001,0,2
2023-04-01,0.07708293119999987,0,1
2023-04-02,0.22547056639999996,0,6
2023-04-03,0.3317374975999998,0,13
2023-04-04,9.3746272256,0,15
2023-04-05,-1.3960798207999994,0,18
2023-04-06,0.7161451519999995,1,25
2023-04-07,-0.13706270720000013,0,24
2023-04-08,1.1413127168,0,2
2023-04-09,0.07082741759999989,0,0
2023-04-10,2.2511922176,0,10
2023-04-11,1.9227749375999998,0,13
2023-04-12,0.8051332096000006,0,21
2023-04-13,-0.06203545599999982,0,18
2023-04-14,0.2706349055999999,0,24
2023-04-15,0.3529833471999999,0,0
2023-04-16,0.4087341056,0,0
2023-04-17,0.4359350272,0,19
2023-04-18,2.4655937536000003,0,28
2023-04-19,3.0780105728000002,0,26
2023-04-20,2.7493250048,0,33
2023-04-21,6.6001820672000004,0,47
2023-04-22,-1.3025485824,0,0
2023-04-23,-0.3072205824000007,0,0
2023-04-24,3.9943858175999996,0,0
2023-04-25,-0.6582964224000001,0,2
2023-04-26,3.9090574335999997,0,9
2023-04-27,2.2947678208,0,14
2023-04-28,1.2951931904,0,1
2023-04-29,-0.5236146175999998,0,0
2023-04-30,-0.05874923520000008,0,0
2023-05-01,0.1820005375999998,0,11
2023-05-02,2.2655773696,0,12
2023-05-03,12.918708736,0,15
2023-05-04,-1.3605371903999997,0,3
2023-05-05,0.08575743999999919,0,17
2023-05-06,-0.48873205760000027,0,0
2023-05-07,-0.09215928320000022,0,0
2023-05-08,1.0942258175999997,10,11
2023-05-09,1.9900875775999998,12,7
2023-05-10,1.7738638335999999,4,9
2023-05-11,6.691316940800001,0,13
2023-05-12,-0.3343645695999995,0,14
2023-05-13,-0.4269416448000005,0,1
2023-05-14,0.9814812671999997,0,0
2023-05-15,-0.04340490240000028,0,14
2023-05-16,7.167200665599999,0,28
2023-05-17,3.8570156032000003,0,46
2023-05-18,0.7624214528,0,11
2023-05-19,0.24453601280000004,0,51
2023-05-20,0.5913494527999998,0,0
2023-05-21,-0.20349665280000018,0,0
2023-05-22,3.0683821055999996,0,25
2023-05-23,1.5828790272,1,32
2023-05-24,1.6233102336000003,0,25
2023-05-25,3.6056091648000006,0,36
2023-05-26,1.2633737216000003,0,1
2023-05-27,-0.4674097152000001,0,0
2023-05-28,-0.00976404480000026,0,0
2023-05-29,1.1630723071999998,0,13
2023-05-30,5.0614332416,0,34
2023-05-31,-0.7641726975999998,0,23
2023-06-01,0.9383728127999997,5,58
