,getsentry/sentry,elastic/kibana,grafana/grafana
2018-01-21,0,0,2
2018-01-22,12,9,13
2018-01-23,9,10,13
2018-01-24,16,6,18
2018-01-25,20,9,35
2018-01-26,14,6,19
2018-01-27,0,3,3
2018-01-28,0,0,1
2018-01-29,6,12,22
2018-01-30,8,17,45
2018-01-31,17,11,58
2018-02-01,13,11,41
2018-02-02,14,14,11
2018-02-03,1,3,6
2018-02-04,0,1,3
2018-02-05,5,11,41
2018-02-06,11,8,13
2018-02-07,12,11,8
2018-02-08,16,25,14
2018-02-09,6,10,17
2018-02-10,1,0,1
2018-02-11,0,1,0
2018-02-12,9,7,16
2018-02-13,18,16,6
2018-02-14,7,13,30
2018-02-15,16,2,21
2018-02-16,22,5,23
2018-02-17,2,0,2
2018-02-18,0,0,2
2018-02-19,0,3,13
2018-02-20,10,4,19
2018-02-21,16,13,29
2018-02-22,16,9,26
2018-02-23,7,17,6
2018-02-24,0,0,1
2018-02-25,0,2,1
2018-02-26,7,2,9
2018-02-27,24,3,13
2018-02-28,14,0,12
2018-03-01,11,0,8
2018-03-02,15,2,2
2018-03-03,0,3,4
2018-03-04,0,7,6
2018-03-05,22,2,6
2018-03-06,30,2,26
2018-03-07,25,9,39
2018-03-08,23,10,14
2018-03-09,26,15,9
2018-03-10,0,1,2
2018-03-11,0,1,1
2018-03-12,16,11,20
2018-03-13,21,7,37
2018-03-14,27,7,26
2018-03-15,24,9,22
2018-03-16,25,17,18
2018-03-17,0,1,1
2018-03-18,0,0,1
2018-03-19,15,10,29
2018-03-20,19,13,38
2018-03-21,16,9,11
2018-03-22,17,15,32
2018-03-23,12,7,38
2018-03-24,1,3,6
2018-03-25,0,2,2
2018-03-26,15,6,14
2018-03-27,21,2,21
2018-03-28,17,18,24
2018-03-29,27,8,6
2018-03-30,5,9,6
2018-03-31,0,0,0
2018-04-01,0,0,0
2018-04-02,23,6,5
2018-04-03,15,10,20
2018-04-04,9,11,19
2018-04-05,30,5,21
2018-04-06,10,5,11
2018-04-07,0,0,1
2018-04-08,0,0,6
2018-04-09,16,6,22
2018-04-10,21,11,24
2018-04-11,5,16,14
2018-04-12,21,11,19
2018-04-13,16,4,29
2018-04-14,0,0,5
2018-04-15,0,0,5
2018-04-16,15,8,56
2018-04-17,16,12,56
2018-04-18,14,16,22
2018-04-19,16,5,21
2018-04-20,7,11,19
2018-04-21,1,0,1
2018-04-22,0,0,5
2018-04-23,17,3,19
2018-04-24,19,3,16
2018-04-25,13,14,10
2018-04-26,29,5,11
2018-04-27,13,9,24
2018-04-28,1,0,2
2018-04-29,0,0,0
2018-04-30,14,14,12
2018-05-01,16,7,3
2018-05-02,25,20,19
2018-05-03,9,13,10
2018-05-04,19,18,4
2018-05-05,1,1,2
2018-05-06,0,0,1
2018-05-07,21,13,23
2018-05-08,18,20,38
