,AvaloniaUI/Avalonia,nwjs/nw.js,electron/electron
2021-12-05,10,1,0.0
2021-12-06,21,0,4.0
2021-12-07,17,0,2.5999999999999996
2021-12-08,1,0,0.5199999999999996
2021-12-09,14,0,0.6509999999999997
2021-12-10,9,0,0.6868500000000002
2021-12-11,5,0,-0.2999544999999997
2021-12-12,7,0,-0.19516079999999966
2021-12-13,17,0,1.8508599275000004
2021-12-14,2,0,1.6785043966875002
2021-12-15,8,0,1.607327192059375
2021-12-16,5,0,1.5939794206265625
2021-12-17,17,0,0.5826141381984374
2021-12-18,13,1,0.6614743344484376
2021-12-19,14,4,-0.3102813775359373
2021-12-20,18,3,0.8044300825000004
2021-12-21,4,6,0.7509559564687502
2021-12-22,25,0,0.7337750013968752
2021-12-23,28,0,0.7390995138968751
2021-12-24,4,0,-0.2543525398531249
2021-12-25,7,13,-0.14773896433749983
2021-12-26,2,1,-0.0964084280515623
2021-12-27,14,0,1.9305661887140628
2021-12-28,4,0,0.750059228234375
2021-12-29,4,0,0.7677771256984375
2021-12-30,16,0,-0.2310608618015626
2021-12-31,10,0,0.8672078344484376
2022-01-01,8,0,-0.18979485253593742
2022-01-02,2,1,-0.10810327499999983
2022-01-03,20,2,6.920033845
2022-01-04,6,1,2.23594516521875
2022-01-05,9,1,2.3314235356624997
2022-01-06,3,2,6.334370821948437
2022-01-07,7,0,2.9153699512140623
2022-01-08,0,10,-0.984873063015625
2022-01-09,0,2,-0.5903706900359371
2022-01-10,2,2,6.575870338750001
2022-01-11,10,0,1.9647874326406254
2022-01-12,5,0,4.1076209169515625
2022-01-13,9,0,5.981294579595312
2022-01-14,5,0,-0.2916870337171875
2022-01-15,1,0,-0.829369969814062
2022-01-16,20,0,-0.5218922476437493
2022-01-17,14,0,4.629136838750001
2022-01-18,10,0,3.2004509076406253
2022-01-19,13,0,2.123783774451563
2022-01-20,20,0,3.213643991064062
2022-01-21,8,0,3.1276213499609375
2022-01-22,19,0,-0.8970940307671873
2022-01-23,13,0,-0.494663415035937
2022-01-24,20,0,4.646883218750001
2022-01-25,17,0,5.221180612421875
2022-01-26,22,0,4.9443363465078125
2022-01-27,25,0,2.8281768158093747
2022-01-28,21,0,0.9478429053296875
2022-01-29,5,0,-0.8274274122062496
2022-01-30,13,0,-0.5240809726437491
2022-01-31,18,0,5.629208943750001
2022-02-01,13,3,5.100832182421875
2022-02-02,15,0,5.8791521317265625
2022-02-03,25,0,1.6804981966906245
2022-02-04,7,0,-0.020828759778124928
2022-02-05,7,0,-0.7079075361749995
2022-02-06,0,0,-0.46760778007187404
2022-02-07,11,2,1.651160997500001
2022-02-08,14,0,4.514881106906251
2022-02-09,3,0,3.1689383454406252
2022-02-10,6,0,1.1541855924249997
2022-02-11,5,1,4.337584396951563
2022-02-12,7,0,-0.8743108706234375
2022-02-13,3,0,-0.47995662753593704
2022-02-14,6,0,1.6637105450000005
2022-02-15,25,0,2.5372008427187507
2022-02-16,17,0,1.3940781698500002
2022-02-17,5,0,4.439735030257813
2022-02-18,1,0,1.174974482575
2022-02-19,2,0,-0.6408602701499999
2022-02-20,15,7,-0.3904935376796872
2022-02-21,7,3,5.745780570000001
2022-02-22,5,2,1.1993495102187501
2022-02-23,7,0,4.364266400881251
2022-02-24,13,0,2.112874310110937
2022-02-25,12,0,1.2071983373500004
2022-02-26,1,0,-0.6766563887109373
